date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.01723, 0.14029, 0.09300, 0.11979, 0.00073, 0.00257, 0.07899, 0.01013, 0.08519, 0.36682, 0.08525
1991-01-02, 0.01630, 0.12912, 0.09636, 0.10676, 0.00074, 0.00228, 0.08292, 0.01084, 0.08804, 0.37894, 0.08770
1991-01-03, 0.01851, 0.12666, 0.09594, 0.11506, 0.00076, 0.00220, 0.09034, 0.01016, 0.08813, 0.36486, 0.08738
1991-01-04, 0.01707, 0.12382, 0.09355, 0.11849, 0.00080, 0.00219, 0.09631, 0.00895, 0.08594, 0.36685, 0.08605
1991-01-05, 0.01849, 0.13522, 0.09364, 0.11349, 0.00088, 0.00204, 0.09702, 0.00845, 0.08620, 0.35794, 0.08664
1991-01-06, 0.01764, 0.09859, 0.10393, 0.09414, 0.00109, 0.00209, 0.08102, 0.00928, 0.09547, 0.39978, 0.09698
1991-01-07, 0.01907, 0.11995, 0.09863, 0.10828, 0.00141, 0.00221, 0.07269, 0.00934, 0.08990, 0.38733, 0.09119
1991-01-08, 0.01758, 0.11257, 0.10424, 0.10318, 0.00170, 0.00285, 0.06255, 0.01035, 0.09488, 0.39278, 0.09732
1991-01-09, 0.01812, 0.09500, 0.10467, 0.10989, 0.00181, 0.00315, 0.06811, 0.01132, 0.09430, 0.39652, 0.09712
1991-01-10, 0.01691, 0.07972, 0.11480, 0.08568, 0.00191, 0.00341, 0.05368, 0.01244, 0.10374, 0.42141, 0.10629
1991-01-11, 0.01559, 0.08562, 0.11679, 0.07309, 0.00197, 0.00390, 0.04762, 0.01349, 0.10444, 0.42993, 0.10757
1991-01-12, 0.01576, 0.08991, 0.10961, 0.08759, 0.00223, 0.00398, 0.06583, 0.01323, 0.09720, 0.41492, 0.09975
1991-01-13, 0.01625, 0.07614, 0.10741, 0.09863, 0.00270, 0.00423, 0.07005, 0.01351, 0.09446, 0.41968, 0.09692
1991-01-14, 0.01586, 0.08620, 0.10855, 0.09098, 0.00306, 0.00498, 0.06998, 0.01346, 0.09558, 0.41227, 0.09909
1991-01-15, 0.01864, 0.09523, 0.10814, 0.09059, 0.00319, 0.00505, 0.07543, 0.01239, 0.09591, 0.39612, 0.09932
1991-01-16, 0.01272, 0.05061, 0.12137, 0.08079, 0.00356, 0.00540, 0.05148, 0.01381, 0.10781, 0.44068, 0.11178
1991-01-17, 0.01430, 0.07319, 0.11387, 0.07814, 0.00391, 0.00562, 0.06390, 0.01464, 0.10005, 0.42960, 0.10277
1991-01-18, 0.01543, 0.08553, 0.11286, 0.08018, 0.00411, 0.00629, 0.07334, 0.01293, 0.10100, 0.40507, 0.10325
1991-01-19, 0.01539, 0.09418, 0.10121, 0.08680, 0.00430, 0.00719, 0.10859, 0.00868, 0.09275, 0.38508, 0.09582
1991-01-20, 0.01473, 0.08594, 0.10720, 0.07864, 0.00446, 0.00700, 0.08783, 0.00968, 0.09766, 0.40641, 0.10046
1991-01-21, 0.01408, 0.07027, 0.11539, 0.07766, 0.00433, 0.00613, 0.06906, 0.01140, 0.10395, 0.42097, 0.10676
1991-01-22, 0.01250, 0.05879, 0.11319, 0.08468, 0.00424, 0.00635, 0.06606, 0.01287, 0.10043, 0.43786, 0.10302
1991-01-23, 0.01245, 0.05149, 0.11870, 0.06850, 0.00416, 0.00660, 0.06036, 0.01439, 0.10521, 0.45154, 0.10659
1991-01-24, 0.01023, 0.04644, 0.12202, 0.05457, 0.00407, 0.00667, 0.06386, 0.01570, 0.10694, 0.46037, 0.10914
1991-01-25, 0.01248, 0.04708, 0.11438, 0.07353, 0.00337, 0.00577, 0.09207, 0.01467, 0.09964, 0.43500, 0.10200
1991-01-26, 0.01137, 0.04641, 0.11557, 0.09268, 0.00328, 0.00475, 0.07707, 0.01267, 0.10213, 0.42859, 0.10549
1991-01-27, 0.01022, 0.04809, 0.11381, 0.10046, 0.00351, 0.00486, 0.07077, 0.01407, 0.09916, 0.43231, 0.10274
1991-01-28, 0.00849, 0.04468, 0.11485, 0.10894, 0.00372, 0.00482, 0.06708, 0.01553, 0.09890, 0.43055, 0.10243
1991-01-29, 0.00711, 0.04330, 0.11847, 0.09786, 0.00384, 0.00500, 0.06090, 0.01668, 0.10135, 0.44062, 0.10487
1991-01-30, 0.00701, 0.03810, 0.12399, 0.07641, 0.00397, 0.00558, 0.05336, 0.01760, 0.10574, 0.45904, 0.10921
1991-01-31, 0.00960, 0.05797, 0.11570, 0.07268, 0.00361, 0.00466, 0.08358, 0.01474, 0.10025, 0.43313, 0.10409
1991-02-01, 0.01055, 0.05910, 0.11326, 0.06846, 0.00363, 0.00424, 0.08581, 0.01502, 0.09773, 0.44035, 0.10185
1991-02-02, 0.01266, 0.05249, 0.10974, 0.08858, 0.00371, 0.00426, 0.08608, 0.01442, 0.09508, 0.43338, 0.09961
1991-02-03, 0.01231, 0.04058, 0.11641, 0.08034, 0.00390, 0.00475, 0.07308, 0.01613, 0.10020, 0.44763, 0.10467
1991-02-04, 0.00942, 0.03554, 0.12108, 0.07150, 0.00392, 0.00518, 0.06498, 0.01744, 0.10365, 0.45907, 0.10822
1991-02-05, 0.01019, 0.04328, 0.11156, 0.09376, 0.00310, 0.00433, 0.09503, 0.01676, 0.09482, 0.42820, 0.09897
1991-02-06, 0.01055, 0.04618, 0.11028, 0.10487, 0.00246, 0.00375, 0.08654, 0.01562, 0.09466, 0.42663, 0.09847
1991-02-07, 0.01134, 0.04188, 0.11344, 0.10642, 0.00255, 0.00399, 0.07446, 0.01669, 0.09704, 0.43119, 0.10101
1991-02-08, 0.01258, 0.03624, 0.11598, 0.10571, 0.00267, 0.00388, 0.07101, 0.01816, 0.09838, 0.43395, 0.10144
1991-02-09, 0.01232, 0.03014, 0.11602, 0.11319, 0.00271, 0.00383, 0.07142, 0.01887, 0.09760, 0.43373, 0.10019
