date, weight 
1991-01-01, 3.29681e-06
1991-01-02, 3.58120e-06
1991-01-03, 1.83052e-06
1991-01-04, 1.44178e-06
1991-01-05, 1.21842e-06
1991-01-06, 1.51684e-06
1991-01-07, 4.49581e-06
1991-01-08, 1.59374e-05
1991-01-09, 1.86790e-05
1991-01-10, 1.67147e-05
1991-01-11, 2.78546e-05
1991-01-12, 1.92929e-05
1991-01-13, 6.29890e-06
1991-01-14, 3.08002e-06
1991-01-15, 1.11527e-05
1991-01-16, 2.82660e-05
1991-01-17, 2.34184e-05
1991-01-18, 1.53507e-05
1991-01-19, 7.06875e-06
1991-01-20, 3.71234e-06
1991-01-21, 1.21072e-05
1991-01-22, 1.38837e-05
1991-01-23, 3.51373e-06
1991-01-24, 1.80833e-06
1991-01-25, 6.99740e-06
1991-01-26, 1.53932e-05
1991-01-27, 9.65742e-06
1991-01-28, 3.31258e-06
1991-01-29, 1.86438e-06
1991-01-30, 1.24555e-06
1991-01-31, 9.50947e-07
1991-02-01, 7.72654e-07
1991-02-02, 6.43280e-07
1991-02-03, 5.56133e-07
1991-02-04, 4.90574e-07
1991-02-05, 4.41582e-07
1991-02-06, 5.81856e-07
1991-02-07, 7.65130e-07
1991-02-08, 5.21651e-07
1991-02-09, 4.45841e-07
1991-02-10, 1.16669e-06
1991-02-11, 1.57099e-06
1991-02-12, 5.93253e-07
1991-02-13, 3.92527e-07
1991-02-14, 3.37833e-07
1991-02-15, 2.61609e-07
1991-02-16, 2.34338e-07
1991-02-17, 2.81935e-07
1991-02-18, 3.78191e-07
1991-02-19, 3.39937e-07
1991-02-20, 3.13688e-07
1991-02-21, 7.43065e-07
1991-02-22, 7.42697e-06
1991-02-23, 2.68208e-05
1991-02-24, 2.11418e-05
1991-02-25, 3.07129e-05
1991-02-26, 3.96105e-05
1991-02-27, 3.13022e-05
1991-02-28, 1.64777e-05
1991-03-01, 3.05950e-05
1991-03-02, 3.89728e-05
1991-03-03, 3.44555e-05
1991-03-04, 2.75654e-05
1991-03-05, 1.72260e-05
1991-03-06, 9.81635e-06
1991-03-07, 6.09354e-06
1991-03-08, 3.16208e-06
1991-03-09, 2.72765e-06
1991-03-10, 7.26618e-06
1991-03-11, 1.39385e-05
1991-03-12, 3.67045e-05
1991-03-13, 3.34883e-05
1991-03-14, 1.59651e-05
1991-03-15, 2.27321e-05
1991-03-16, 2.03405e-05
1991-03-17, 1.74196e-05
1991-03-18, 1.08588e-05
1991-03-19, 9.01257e-06
1991-03-20, 1.48454e-05
1991-03-21, 1.17176e-05
1991-03-22, 1.02769e-05
1991-03-23, 1.02553e-05
1991-03-24, 1.81512e-05
1991-03-25, 2.81971e-05
1991-03-26, 2.72247e-05
1991-03-27, 2.12836e-05
1991-03-28, 4.81537e-05
1991-03-29, 1.54119e-04
1991-03-30, 2.70691e-04
1991-03-31, 3.72346e-04
1991-04-01, 3.57781e-04
1991-04-02, 2.82644e-04
1991-04-03, 2.55536e-04
1991-04-04, 2.52351e-04
1991-04-05, 4.13702e-04
1991-04-06, 5.12183e-04
