date, weight 
1991-01-01, 2.57156e-06
1991-01-02, 2.22181e-06
1991-01-03, 1.13715e-06
1991-01-04, 8.79938e-07
1991-01-05, 7.52415e-07
1991-01-06, 9.43088e-07
1991-01-07, 2.54586e-06
1991-01-08, 6.89814e-06
1991-01-09, 6.14097e-06
1991-01-10, 4.22292e-06
1991-01-11, 7.87223e-06
1991-01-12, 6.08549e-06
1991-01-13, 1.97274e-06
1991-01-14, 1.04537e-06
1991-01-15, 5.36257e-06
1991-01-16, 1.23842e-05
1991-01-17, 6.95949e-06
1991-01-18, 1.95140e-06
1991-01-19, 1.02781e-06
1991-01-20, 7.54128e-07
1991-01-21, 2.00883e-06
1991-01-22, 2.64260e-06
1991-01-23, 7.70041e-07
1991-01-24, 4.86339e-07
1991-01-25, 5.53386e-07
1991-01-26, 6.52582e-07
1991-01-27, 3.96214e-07
1991-01-28, 3.69056e-07
1991-01-29, 3.31358e-07
1991-01-30, 2.55769e-07
1991-01-31, 2.31552e-07
1991-02-01, 2.14800e-07
1991-02-02, 2.01252e-07
1991-02-03, 1.89751e-07
1991-02-04, 1.79675e-07
1991-02-05, 1.70752e-07
1991-02-06, 1.89363e-07
1991-02-07, 2.06625e-07
1991-02-08, 1.59216e-07
1991-02-09, 1.83844e-07
1991-02-10, 3.00323e-07
1991-02-11, 3.04220e-07
1991-02-12, 1.62930e-07
1991-02-13, 1.70522e-07
1991-02-14, 1.87665e-07
1991-02-15, 1.27918e-07
1991-02-16, 1.16149e-07
1991-02-17, 1.55804e-07
1991-02-18, 2.50532e-07
1991-02-19, 2.36395e-07
1991-02-20, 1.57518e-07
1991-02-21, 1.42260e-07
1991-02-22, 3.73253e-06
1991-02-23, 9.96145e-06
1991-02-24, 5.70207e-06
1991-02-25, 6.32598e-06
1991-02-26, 6.46136e-06
1991-02-27, 7.30371e-06
1991-02-28, 6.13300e-06
1991-03-01, 9.19088e-06
1991-03-02, 1.08357e-05
1991-03-03, 8.29606e-06
1991-03-04, 5.39548e-06
1991-03-05, 3.12467e-06
1991-03-06, 1.50953e-06
1991-03-07, 8.58217e-07
1991-03-08, 5.62654e-07
1991-03-09, 4.10997e-07
1991-03-10, 1.43396e-06
1991-03-11, 3.70862e-06
1991-03-12, 1.53494e-05
1991-03-13, 1.76074e-05
1991-03-14, 6.38926e-06
1991-03-15, 2.38315e-06
1991-03-16, 2.94019e-06
1991-03-17, 2.83187e-06
1991-03-18, 1.54115e-06
1991-03-19, 1.50761e-06
1991-03-20, 1.22342e-06
1991-03-21, 8.99790e-07
1991-03-22, 6.20921e-07
1991-03-23, 6.57464e-07
1991-03-24, 1.47106e-06
1991-03-25, 4.05146e-06
1991-03-26, 6.24634e-06
1991-03-27, 4.40297e-06
1991-03-28, 1.73983e-05
1991-03-29, 7.10026e-05
1991-03-30, 1.28087e-04
1991-03-31, 1.64663e-04
1991-04-01, 1.34943e-04
1991-04-02, 8.57614e-05
1991-04-03, 7.32904e-05
1991-04-04, 6.17611e-05
1991-04-05, 1.39953e-04
1991-04-06, 2.85757e-04
1991-04-07, 2.51339e-04
1991-04-08, 1.98350e-04
1991-04-09, 1.33791e-04
1991-04-10, 1.10525e-04
1991-04-11, 1.36531e-04
1991-04-12, 1.40383e-04
1991-04-13, 1.37269e-04
1991-04-14, 1.27770e-04
1991-04-15, 1.76942e-04
1991-04-16, 2.19208e-04
1991-04-17, 2.12189e-04
1991-04-18, 2.73490e-04
1991-04-19, 3.68550e-04
1991-04-20, 3.83937e-04
1991-04-21, 3.58136e-04
1991-04-22, 3.96359e-04
1991-04-23, 4.65289e-04
1991-04-24, 6.14049e-04
1991-04-25, 6.82705e-04
1991-04-26, 6.63562e-04
1991-04-27, 6.46755e-04
1991-04-28, 4.99918e-04
1991-04-29, 4.10980e-04
1991-04-30, 4.00221e-04
1991-05-01, 4.62227e-04
1991-05-02, 6.92042e-04
1991-05-03, 0.00105
1991-05-04, 0.00132
1991-05-05, 0.00132
1991-05-06, 0.00137
1991-05-07, 0.00159
1991-05-08, 0.00153
1991-05-09, 0.00139
1991-05-10, 0.00141
1991-05-11, 0.00144
1991-05-12, 0.00130
1991-05-13, 0.00118
1991-05-14, 0.00117
1991-05-15, 0.00125
1991-05-16, 0.00110
1991-05-17, 9.61113e-04
1991-05-18, 9.53844e-04
1991-05-19, 9.92444e-04
1991-05-20, 9.40689e-04
1991-05-21, 7.96869e-04
1991-05-22, 7.45471e-04
1991-05-23, 8.31317e-04
1991-05-24, 7.91235e-04
1991-05-25, 6.55156e-04
1991-05-26, 5.42791e-04
1991-05-27, 4.81217e-04
1991-05-28, 4.10541e-04
1991-05-29, 3.53207e-04
1991-05-30, 3.52769e-04
1991-05-31, 3.47120e-04
1991-06-01, 3.63795e-04
1991-06-02, 3.79124e-04
1991-06-03, 3.68542e-04
1991-06-04, 3.21846e-04
1991-06-05, 2.92846e-04
1991-06-06, 2.27801e-04
1991-06-07, 1.81166e-04
1991-06-08, 1.48672e-04
1991-06-09, 1.16165e-04
1991-06-10, 9.12831e-05
