date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.01082, 0.10794, 0.09857, 0.10867, 0.00063, 0.00197, 0.08810, 0.01671, 0.08491, 0.39752, 0.08418
1991-01-02, 0.01005, 0.09064, 0.10568, 0.09553, 0.00072, 0.00198, 0.07065, 0.01906, 0.08992, 0.42659, 0.08918
1991-01-03, 0.00895, 0.07478, 0.10880, 0.09914, 0.00069, 0.00223, 0.06740, 0.02063, 0.09145, 0.43480, 0.09113
1991-01-04, 0.00803, 0.07082, 0.11238, 0.08314, 0.00072, 0.00247, 0.06488, 0.02192, 0.09358, 0.44867, 0.09338
1991-01-05, 0.00748, 0.06233, 0.11582, 0.07046, 0.00073, 0.00220, 0.06238, 0.02346, 0.09557, 0.46433, 0.09524
1991-01-06, 0.00850, 0.09629, 0.10809, 0.07404, 0.00059, 0.00165, 0.08141, 0.02057, 0.09027, 0.42877, 0.08983
1991-01-07, 0.00818, 0.08540, 0.11256, 0.06976, 0.00051, 0.00152, 0.06505, 0.02121, 0.09386, 0.44858, 0.09336
1991-01-08, 0.00787, 0.07732, 0.11626, 0.06599, 0.00047, 0.00159, 0.05882, 0.02285, 0.09604, 0.45733, 0.09547
1991-01-09, 0.00922, 0.06910, 0.11546, 0.06978, 0.00045, 0.00165, 0.06873, 0.02269, 0.09525, 0.45275, 0.09492
1991-01-10, 0.00862, 0.06881, 0.11903, 0.07037, 0.00044, 0.00192, 0.05407, 0.02439, 0.09711, 0.45888, 0.09637
1991-01-11, 0.00702, 0.05815, 0.12570, 0.06405, 0.00050, 0.00256, 0.04414, 0.02563, 0.10229, 0.46854, 0.10142
1991-01-12, 0.00638, 0.05392, 0.12772, 0.05989, 0.00056, 0.00245, 0.04073, 0.02721, 0.10274, 0.47665, 0.10176
1991-01-13, 0.00603, 0.05374, 0.12823, 0.05626, 0.00067, 0.00190, 0.04226, 0.02834, 0.10209, 0.47998, 0.10051
1991-01-14, 0.00567, 0.05015, 0.13072, 0.04980, 0.00079, 0.00210, 0.04209, 0.02932, 0.10351, 0.48412, 0.10175
1991-01-15, 0.00676, 0.04538, 0.12806, 0.04361, 0.00081, 0.00245, 0.07458, 0.02834, 0.10143, 0.46866, 0.09991
1991-01-16, 0.00676, 0.04435, 0.12616, 0.05064, 0.00085, 0.00236, 0.07642, 0.02690, 0.10088, 0.46504, 0.09965
1991-01-17, 0.00643, 0.05021, 0.12726, 0.05666, 0.00095, 0.00217, 0.06469, 0.02787, 0.10094, 0.46371, 0.09912
1991-01-18, 0.00618, 0.05205, 0.12820, 0.05702, 0.00107, 0.00222, 0.06545, 0.02915, 0.10056, 0.45988, 0.09823
1991-01-19, 0.00589, 0.05271, 0.12923, 0.05485, 0.00115, 0.00262, 0.06410, 0.02980, 0.10060, 0.46076, 0.09829
1991-01-20, 0.00624, 0.05006, 0.12594, 0.05733, 0.00103, 0.00340, 0.07940, 0.02864, 0.09825, 0.45342, 0.09628
1991-01-21, 0.00605, 0.04003, 0.12903, 0.06339, 0.00091, 0.00333, 0.06843, 0.02813, 0.10132, 0.46013, 0.09924
1991-01-22, 0.00603, 0.03884, 0.12956, 0.06198, 0.00091, 0.00273, 0.06630, 0.02988, 0.10008, 0.46625, 0.09744
1991-01-23, 0.00626, 0.04066, 0.13141, 0.06141, 0.00104, 0.00250, 0.06571, 0.03147, 0.10045, 0.46204, 0.09707
1991-01-24, 0.00611, 0.04957, 0.13078, 0.05612, 0.00116, 0.00262, 0.07293, 0.03132, 0.09964, 0.45372, 0.09603
1991-01-25, 0.00805, 0.05087, 0.12859, 0.04141, 0.00111, 0.00261, 0.10051, 0.03164, 0.09682, 0.44547, 0.09292
1991-01-26, 0.00720, 0.04673, 0.12875, 0.05500, 0.00103, 0.00247, 0.08762, 0.03098, 0.09708, 0.44957, 0.09356
1991-01-27, 0.00736, 0.04293, 0.12665, 0.06819, 0.00092, 0.00228, 0.09166, 0.03175, 0.09426, 0.44354, 0.09047
1991-01-28, 0.00732, 0.03692, 0.13120, 0.07450, 0.00083, 0.00205, 0.08267, 0.03317, 0.09742, 0.44124, 0.09268
1991-01-29, 0.00689, 0.03221, 0.13557, 0.07114, 0.00079, 0.00232, 0.07282, 0.03470, 0.09969, 0.44915, 0.09473
1991-01-30, 0.00630, 0.02987, 0.13968, 0.06400, 0.00080, 0.00273, 0.06335, 0.03672, 0.10135, 0.45914, 0.09607
1991-01-31, 0.00604, 0.04204, 0.13517, 0.05728, 0.00080, 0.00184, 0.07490, 0.03579, 0.09788, 0.45511, 0.09314
1991-02-01, 0.00600, 0.04166, 0.13468, 0.06634, 0.00071, 0.00109, 0.07541, 0.03664, 0.09631, 0.45037, 0.09080
1991-02-02, 0.00562, 0.03245, 0.14167, 0.06801, 0.00070, 0.00099, 0.06320, 0.03935, 0.09989, 0.45516, 0.09295
1991-02-03, 0.00509, 0.05392, 0.14367, 0.05421, 0.00078, 0.00098, 0.05411, 0.03930, 0.10125, 0.45291, 0.09378
1991-02-04, 0.00469, 0.05089, 0.14711, 0.04589, 0.00079, 0.00102, 0.04661, 0.04154, 0.10192, 0.46567, 0.09386
1991-02-05, 0.00452, 0.04812, 0.15103, 0.04087, 0.00076, 0.00110, 0.04314, 0.04311, 0.10393, 0.46804, 0.09538
1991-02-06, 0.00498, 0.05280, 0.15052, 0.03861, 0.00057, 0.00121, 0.05390, 0.04283, 0.10332, 0.45691, 0.09435
1991-02-07, 0.00470, 0.05061, 0.15337, 0.03790, 0.00055, 0.00144, 0.04720, 0.04444, 0.10381, 0.46191, 0.09406
1991-02-08, 0.00414, 0.04620, 0.15583, 0.04049, 0.00057, 0.00090, 0.04216, 0.04604, 0.10417, 0.46542, 0.09408
1991-02-09, 0.00556, 0.05737, 0.15056, 0.03718, 0.00055, 0.00068, 0.06844, 0.04566, 0.09925, 0.44569, 0.08906
1991-02-10, 0.00635, 0.06593, 0.14345, 0.06526, 0.00037, 0.00090, 0.07792, 0.04387, 0.09406, 0.41810, 0.08378
1991-02-11, 0.00599, 0.07223, 0.13719, 0.08253, 0.00031, 0.00093, 0.08035, 0.04197, 0.08998, 0.40839, 0.08014
1991-02-12, 0.00596, 0.06837, 0.14357, 0.07352, 0.00031, 0.00078, 0.07585, 0.04523, 0.09249, 0.41217, 0.08173
1991-02-13, 0.00588, 0.06485, 0.14700, 0.06294, 0.00036, 0.00062, 0.07387, 0.04645, 0.09460, 0.41932, 0.08411
1991-02-14, 0.00542, 0.05410, 0.15237, 0.05394, 0.00038, 0.00060, 0.06650, 0.04827, 0.09706, 0.43514, 0.08622
1991-02-15, 0.00511, 0.04130, 0.15717, 0.06000, 0.00037, 0.00053, 0.06127, 0.04938, 0.09929, 0.43784, 0.08774
1991-02-16, 0.00442, 0.03917, 0.16164, 0.05471, 0.00035, 0.00044, 0.05655, 0.05150, 0.10067, 0.44258, 0.08796
1991-02-17, 0.00633, 0.05061, 0.15347, 0.04744, 0.00033, 0.00045, 0.08870, 0.04873, 0.09514, 0.42518, 0.08361
1991-02-18, 0.00535, 0.04429, 0.15653, 0.05674, 0.00031, 0.00048, 0.07489, 0.04956, 0.09690, 0.42996, 0.08500
1991-02-19, 0.00580, 0.04807, 0.15697, 0.05868, 0.00027, 0.00048, 0.07563, 0.05040, 0.09598, 0.42438, 0.08333
1991-02-20, 0.00590, 0.04177, 0.16026, 0.06191, 0.00025, 0.00042, 0.07538, 0.05165, 0.09745, 0.42116, 0.08385
1991-02-21, 0.00482, 0.03560, 0.16136, 0.07031, 0.00021, 0.00042, 0.07374, 0.05119, 0.09819, 0.41938, 0.08479
1991-02-22, 0.00520, 0.04209, 0.14976, 0.08380, 0.00020, 0.00052, 0.08952, 0.04557, 0.09326, 0.40871, 0.08137
1991-02-23, 0.00520, 0.03913, 0.15075, 0.09668, 0.00008, 0.00052, 0.09179, 0.04647, 0.09353, 0.39576, 0.08010
1991-02-24, 0.00451, 0.03433, 0.16272, 0.08778, 0.00009, 0.00068, 0.07585, 0.05177, 0.09884, 0.40133, 0.08208
1991-02-25, 0.00471, 0.03158, 0.16832, 0.08359, 0.00013, 0.00097, 0.06636, 0.05335, 0.10177, 0.40514, 0.08406
1991-02-26, 0.00606, 0.05296, 0.15608, 0.08004, 0.00016, 0.00131, 0.08328, 0.04693, 0.09633, 0.39481, 0.08205
1991-02-27, 0.00610, 0.05704, 0.15828, 0.07294, 0.00015, 0.00148, 0.07854, 0.04878, 0.09564, 0.40000, 0.08105
1991-02-28, 0.00697, 0.06427, 0.15038, 0.08087, 0.00015, 0.00092, 0.09050, 0.04543, 0.09081, 0.39176, 0.07795
1991-03-01, 0.00667, 0.05824, 0.14753, 0.10000, 0.00026, 0.00066, 0.08384, 0.04138, 0.09187, 0.38901, 0.08053
1991-03-02, 0.00585, 0.05483, 0.14851, 0.10161, 0.00045, 0.00066, 0.08354, 0.04239, 0.09088, 0.39149, 0.07979
1991-03-03, 0.00865, 0.07119, 0.12728, 0.10915, 0.00064, 0.00075, 0.13603, 0.03367, 0.08070, 0.36111, 0.07083
1991-03-04, 0.00794, 0.08251, 0.12498, 0.10063, 0.00071, 0.00113, 0.13809, 0.03102, 0.08099, 0.36069, 0.07132
1991-03-05, 0.00862, 0.08329, 0.11990, 0.11908, 0.00067, 0.00176, 0.14237, 0.02877, 0.07877, 0.34811, 0.06867
1991-03-06, 0.01008, 0.08070, 0.11882, 0.13855, 0.00060, 0.00198, 0.14775, 0.02850, 0.07890, 0.32681, 0.06731
1991-03-07, 0.01017, 0.07193, 0.12366, 0.14216, 0.00057, 0.00176, 0.14172, 0.03012, 0.08230, 0.32613, 0.06949
1991-03-08, 0.00918, 0.06520, 0.12964, 0.14414, 0.00065, 0.00173, 0.13378, 0.03250, 0.08489, 0.32708, 0.07121
