date, weight 
1991-01-01, 8.67328e-06
1991-01-02, 8.38902e-06
1991-01-03, 4.82260e-06
1991-01-04, 4.04881e-06
1991-01-05, 3.16006e-06
1991-01-06, 6.25211e-06
1991-01-07, 2.15963e-05
1991-01-08, 4.03144e-05
1991-01-09, 3.26118e-05
1991-01-10, 2.93307e-05
1991-01-11, 3.57852e-05
1991-01-12, 3.55513e-05
1991-01-13, 1.54863e-05
1991-01-14, 6.41099e-06
1991-01-15, 7.01663e-06
1991-01-16, 2.99929e-05
1991-01-17, 3.95087e-05
1991-01-18, 2.36476e-05
1991-01-19, 9.87381e-06
1991-01-20, 5.23740e-06
1991-01-21, 2.23508e-05
1991-01-22, 2.71617e-05
1991-01-23, 6.27529e-06
1991-01-24, 3.25976e-06
1991-01-25, 6.54110e-06
1991-01-26, 2.22720e-05
1991-01-27, 2.03259e-05
1991-01-28, 6.49777e-06
1991-01-29, 7.30294e-06
1991-01-30, 4.74621e-06
1991-01-31, 2.41486e-06
1991-02-01, 1.83582e-06
1991-02-02, 1.51734e-06
1991-02-03, 2.16489e-06
1991-02-04, 2.87679e-06
1991-02-05, 1.24784e-06
1991-02-06, 5.17720e-06
1991-02-07, 1.00136e-05
1991-02-08, 8.69779e-06
1991-02-09, 5.92997e-06
1991-02-10, 2.97854e-06
1991-02-11, 3.20380e-06
1991-02-12, 2.04182e-06
1991-02-13, 1.08157e-06
1991-02-14, 1.81844e-06
1991-02-15, 2.63094e-06
1991-02-16, 1.74634e-06
1991-02-17, 1.22081e-06
1991-02-18, 1.82447e-06
1991-02-19, 2.04623e-06
1991-02-20, 2.26864e-06
1991-02-21, 9.77383e-06
1991-02-22, 1.58799e-05
1991-02-23, 4.22152e-05
1991-02-24, 4.94640e-05
1991-02-25, 4.24148e-05
1991-02-26, 4.87025e-05
1991-02-27, 4.74796e-05
1991-02-28, 4.20944e-05
1991-03-01, 8.02788e-05
1991-03-02, 1.06181e-04
1991-03-03, 6.34181e-05
1991-03-04, 3.98118e-05
1991-03-05, 3.38765e-05
1991-03-06, 2.65393e-05
1991-03-07, 1.67417e-05
1991-03-08, 8.22285e-06
1991-03-09, 8.08449e-06
1991-03-10, 1.80605e-05
1991-03-11, 2.78594e-05
1991-03-12, 5.19915e-05
1991-03-13, 4.66357e-05
1991-03-14, 4.12003e-05
1991-03-15, 6.66250e-05
1991-03-16, 5.38232e-05
1991-03-17, 6.72280e-05
1991-03-18, 7.51296e-05
1991-03-19, 7.09929e-05
1991-03-20, 6.82685e-05
1991-03-21, 5.75179e-05
1991-03-22, 4.99535e-05
1991-03-23, 4.05205e-05
1991-03-24, 5.82263e-05
1991-03-25, 8.98104e-05
1991-03-26, 8.28551e-05
1991-03-27, 6.70212e-05
1991-03-28, 1.11069e-04
1991-03-29, 3.21527e-04
1991-03-30, 5.06646e-04
1991-03-31, 5.89128e-04
1991-04-01, 5.86672e-04
1991-04-02, 4.46255e-04
1991-04-03, 3.56837e-04
1991-04-04, 3.29021e-04
1991-04-05, 5.47763e-04
1991-04-06, 6.54203e-04
1991-04-07, 6.23553e-04
1991-04-08, 7.22547e-04
1991-04-09, 4.98292e-04
1991-04-10, 3.87553e-04
1991-04-11, 4.43059e-04
1991-04-12, 5.14176e-04
1991-04-13, 5.00587e-04
1991-04-14, 4.69996e-04
1991-04-15, 4.99918e-04
1991-04-16, 5.16114e-04
1991-04-17, 6.31769e-04
1991-04-18, 7.20305e-04
1991-04-19, 9.07585e-04
1991-04-20, 0.00101
1991-04-21, 8.70880e-04
1991-04-22, 9.11660e-04
1991-04-23, 0.00117
1991-04-24, 0.00123
1991-04-25, 0.00114
1991-04-26, 0.00118
1991-04-27, 0.00110
1991-04-28, 9.78111e-04
1991-04-29, 9.29662e-04
1991-04-30, 8.74121e-04
1991-05-01, 7.51118e-04
1991-05-02, 7.77743e-04
1991-05-03, 8.77233e-04
1991-05-04, 9.49639e-04
1991-05-05, 8.72240e-04
1991-05-06, 8.18037e-04
1991-05-07, 8.31516e-04
1991-05-08, 7.63660e-04
1991-05-09, 6.28573e-04
1991-05-10, 6.04928e-04
1991-05-11, 6.33374e-04
1991-05-12, 5.21845e-04
1991-05-13, 4.00919e-04
1991-05-14, 4.06506e-04
1991-05-15, 4.65665e-04
1991-05-16, 3.20831e-04
1991-05-17, 2.14331e-04
1991-05-18, 1.81910e-04
1991-05-19, 1.34402e-04
1991-05-20, 1.19902e-04
1991-05-21, 1.10035e-04
1991-05-22, 9.68179e-05
1991-05-23, 1.03307e-04
1991-05-24, 1.01756e-04
1991-05-25, 7.00929e-05
1991-05-26, 6.69001e-05
1991-05-27, 7.55634e-05
1991-05-28, 5.28297e-05
1991-05-29, 3.80635e-05
1991-05-30, 5.78173e-05
1991-05-31, 7.06869e-05
1991-06-01, 6.30905e-05
1991-06-02, 9.06945e-05
1991-06-03, 6.68053e-05
1991-06-04, 5.26252e-05
1991-06-05, 5.37979e-05
1991-06-06, 3.65381e-05
1991-06-07, 4.17884e-05
1991-06-08, 3.97705e-05
1991-06-09, 2.98221e-05
1991-06-10, 2.28392e-05
1991-06-11, 2.47989e-05
1991-06-12, 5.17605e-05
1991-06-13, 5.53880e-05
1991-06-14, 8.93948e-05
1991-06-15, 6.74482e-05
1991-06-16, 4.87995e-05
1991-06-17, 5.48918e-05
1991-06-18, 4.61423e-05
1991-06-19, 5.27295e-05
1991-06-20, 3.61669e-05
1991-06-21, 3.06536e-05
1991-06-22, 3.39680e-05
1991-06-23, 6.64034e-05
1991-06-24, 6.14735e-05
1991-06-25, 2.38215e-05
1991-06-26, 4.27937e-05
1991-06-27, 7.18493e-05
1991-06-28, 3.90397e-05
1991-06-29, 2.85826e-05
1991-06-30, 7.99732e-05
1991-07-01, 1.10472e-04
1991-07-02, 1.29953e-04
1991-07-03, 7.96334e-05
1991-07-04, 3.48152e-05
1991-07-05, 3.61602e-05
1991-07-06, 4.17169e-05
1991-07-07, 3.72353e-05
1991-07-08, 1.93236e-05
1991-07-09, 1.91886e-05
1991-07-10, 5.43222e-05
1991-07-11, 6.81641e-05
1991-07-12, 5.32051e-05
1991-07-13, 3.71173e-05
1991-07-14, 4.34246e-05
1991-07-15, 4.52967e-05
1991-07-16, 3.06728e-05
1991-07-17, 2.64610e-05
1991-07-18, 1.74308e-05
1991-07-19, 2.41181e-05
1991-07-20, 3.19677e-05
1991-07-21, 5.00052e-05
1991-07-22, 5.17458e-05
1991-07-23, 4.43004e-05
1991-07-24, 4.95415e-05
1991-07-25, 4.78135e-05
1991-07-26, 4.23891e-05
1991-07-27, 3.95982e-05
1991-07-28, 2.95348e-05
1991-07-29, 5.03846e-05
1991-07-30, 5.65095e-05
1991-07-31, 3.21134e-05
1991-08-01, 2.03614e-05
1991-08-02, 6.41305e-05
1991-08-03, 7.32277e-05
1991-08-04, 8.48121e-05
1991-08-05, 8.06311e-05
1991-08-06, 3.51218e-05
1991-08-07, 2.63326e-05
1991-08-08, 2.05969e-05
1991-08-09, 2.59995e-05
1991-08-10, 3.32839e-05
1991-08-11, 6.90035e-05
1991-08-12, 1.80500e-04
1991-08-13, 1.43609e-04
1991-08-14, 4.10632e-05
1991-08-15, 2.92730e-05
1991-08-16, 2.01107e-05
1991-08-17, 1.84854e-05
1991-08-18, 2.33505e-05
1991-08-19, 1.80635e-05
1991-08-20, 4.05936e-05
1991-08-21, 5.00823e-05
1991-08-22, 3.23042e-05
1991-08-23, 2.64928e-05
1991-08-24, 1.71338e-05
1991-08-25, 2.66878e-05
1991-08-26, 4.02302e-05
1991-08-27, 2.68918e-05
1991-08-28, 2.54286e-05
1991-08-29, 4.51229e-05
1991-08-30, 5.06661e-05
1991-08-31, 5.51115e-05
1991-09-01, 5.32782e-05
1991-09-02, 4.83549e-05
1991-09-03, 1.91198e-05
1991-09-04, 1.46630e-05
1991-09-05, 3.72419e-05
1991-09-06, 3.96539e-05
1991-09-07, 3.04848e-05
1991-09-08, 2.69651e-05
1991-09-09, 7.41610e-05
1991-09-10, 1.22272e-04
1991-09-11, 8.80747e-05
1991-09-12, 4.46976e-05
1991-09-13, 2.59313e-05
1991-09-14, 1.26203e-05
1991-09-15, 1.50739e-05
1991-09-16, 3.88902e-05
1991-09-17, 9.19186e-05
1991-09-18, 1.58004e-04
1991-09-19, 9.25656e-05
1991-09-20, 5.09648e-05
1991-09-21, 2.62913e-05
1991-09-22, 1.72247e-05
1991-09-23, 5.49197e-05
1991-09-24, 7.35634e-05
1991-09-25, 5.11150e-05
1991-09-26, 1.06408e-04
1991-09-27, 2.13088e-04
1991-09-28, 1.64125e-04
1991-09-29, 1.89899e-04
1991-09-30, 1.12438e-04
1991-10-01, 5.07030e-05
1991-10-02, 4.44908e-05
1991-10-03, 5.18984e-05
1991-10-04, 4.06964e-05
1991-10-05, 1.05736e-04
1991-10-06, 1.04637e-04
1991-10-07, 3.45209e-05
1991-10-08, 4.23537e-05
1991-10-09, 3.51182e-05
1991-10-10, 4.00021e-05
1991-10-11, 5.07083e-05
1991-10-12, 6.32479e-05
1991-10-13, 1.56285e-04
1991-10-14, 1.26159e-04
1991-10-15, 5.42420e-05
1991-10-16, 8.97863e-05
1991-10-17, 1.20770e-04
1991-10-18, 6.96449e-05
1991-10-19, 3.93749e-05
1991-10-20, 5.40663e-05
1991-10-21, 6.06871e-05
1991-10-22, 8.10019e-05
1991-10-23, 8.01247e-05
1991-10-24, 5.98647e-05
1991-10-25, 5.98467e-05
1991-10-26, 1.05251e-04
1991-10-27, 1.51772e-04
1991-10-28, 1.51042e-04
1991-10-29, 2.97151e-04
1991-10-30, 2.31527e-04
1991-10-31, 1.40754e-04
1991-11-01, 7.77414e-05
1991-11-02, 7.11958e-05
1991-11-03, 9.95850e-05
1991-11-04, 1.43940e-04
1991-11-05, 2.04147e-04
1991-11-06, 1.00413e-04
1991-11-07, 1.09273e-04
1991-11-08, 8.92301e-05
1991-11-09, 8.24498e-05
1991-11-10, 5.43058e-05
1991-11-11, 4.77551e-05
1991-11-12, 4.76246e-05
1991-11-13, 5.16495e-05
1991-11-14, 4.23028e-05
1991-11-15, 4.79659e-05
1991-11-16, 1.08510e-04
1991-11-17, 1.06410e-04
1991-11-18, 6.30343e-05
1991-11-19, 3.98532e-05
1991-11-20, 2.67699e-05
1991-11-21, 3.31814e-05
1991-11-22, 4.18875e-05
1991-11-23, 8.23101e-05
1991-11-24, 7.31244e-05
1991-11-25, 3.01566e-05
1991-11-26, 3.61128e-05
1991-11-27, 2.91912e-05
1991-11-28, 3.11312e-05
1991-11-29, 3.74693e-05
1991-11-30, 3.23202e-05
1991-12-01, 2.29688e-05
1991-12-02, 3.26097e-05
1991-12-03, 3.54272e-05
1991-12-04, 3.59583e-05
1991-12-05, 8.04370e-05
1991-12-06, 8.90295e-05
1991-12-07, 4.62318e-05
1991-12-08, 5.46255e-05
1991-12-09, 5.88191e-05
1991-12-10, 3.10335e-05
1991-12-11, 1.84264e-05
1991-12-12, 4.20231e-05
1991-12-13, 5.02851e-05
1991-12-14, 3.61992e-05
1991-12-15, 4.68264e-05
1991-12-16, 2.63168e-05
1991-12-17, 1.59496e-05
1991-12-18, 2.02931e-05
1991-12-19, 2.78543e-05
1991-12-20, 3.19048e-05
1991-12-21, 2.86891e-05
1991-12-22, 1.66766e-05
1991-12-23, 2.31858e-05
1991-12-24, 1.79428e-05
1991-12-25, 1.47446e-05
1991-12-26, 1.86566e-05
1991-12-27, 2.95597e-05
1991-12-28, 3.77328e-05
1991-12-29, 2.08120e-05
1991-12-30, 1.02215e-05
1991-12-31, 9.28020e-06
