date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.00836, 0.07920, 0.12030, 0.04843, 0.00077, 0.00365, 0.07332, 0.02823, 0.09626, 0.44593, 0.09554
1991-01-02, 0.00757, 0.06916, 0.12342, 0.05505, 0.00075, 0.00405, 0.06091, 0.02989, 0.09776, 0.45449, 0.09696
1991-01-03, 0.00675, 0.05494, 0.12855, 0.05597, 0.00087, 0.00454, 0.05061, 0.03147, 0.10119, 0.46493, 0.10019
1991-01-04, 0.00603, 0.04552, 0.13387, 0.04710, 0.00092, 0.00498, 0.04244, 0.03293, 0.10478, 0.47853, 0.10291
1991-01-05, 0.00554, 0.03903, 0.13795, 0.03661, 0.00091, 0.00459, 0.03545, 0.03456, 0.10720, 0.49328, 0.10488
1991-01-06, 0.00805, 0.06572, 0.12285, 0.03972, 0.00076, 0.00255, 0.09023, 0.02954, 0.09645, 0.45049, 0.09364
1991-01-07, 0.00834, 0.06020, 0.12697, 0.03825, 0.00065, 0.00133, 0.07673, 0.03052, 0.09924, 0.46267, 0.09510
1991-01-08, 0.00891, 0.05703, 0.12772, 0.04622, 0.00059, 0.00128, 0.07224, 0.03099, 0.09932, 0.46078, 0.09492
1991-01-09, 0.00919, 0.04849, 0.12771, 0.05173, 0.00055, 0.00146, 0.07920, 0.03132, 0.09883, 0.45719, 0.09432
1991-01-10, 0.00871, 0.04399, 0.13259, 0.05248, 0.00057, 0.00167, 0.06299, 0.03327, 0.10169, 0.46536, 0.09670
1991-01-11, 0.00666, 0.03771, 0.13894, 0.04692, 0.00058, 0.00203, 0.05032, 0.03508, 0.10591, 0.47493, 0.10092
1991-01-12, 0.00587, 0.03376, 0.14203, 0.04430, 0.00059, 0.00188, 0.04323, 0.03710, 0.10678, 0.48313, 0.10133
1991-01-13, 0.00557, 0.03220, 0.14401, 0.04277, 0.00070, 0.00145, 0.03986, 0.03886, 0.10683, 0.48726, 0.10050
1991-01-14, 0.00558, 0.03779, 0.14354, 0.03983, 0.00083, 0.00163, 0.04937, 0.03895, 0.10589, 0.47737, 0.09922
1991-01-15, 0.00698, 0.03609, 0.14055, 0.03343, 0.00091, 0.00191, 0.08082, 0.03680, 0.10425, 0.46072, 0.09755
1991-01-16, 0.00671, 0.03260, 0.13767, 0.04189, 0.00099, 0.00187, 0.08194, 0.03477, 0.10290, 0.46153, 0.09712
1991-01-17, 0.00637, 0.02998, 0.14113, 0.04725, 0.00108, 0.00164, 0.06807, 0.03644, 0.10436, 0.46574, 0.09794
1991-01-18, 0.00615, 0.02713, 0.14451, 0.04773, 0.00118, 0.00165, 0.06217, 0.03808, 0.10586, 0.46676, 0.09880
