date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.00989, 0.10270, 0.11124, 0.05948, 0.00066, 0.00236, 0.07955, 0.02390, 0.09119, 0.42961, 0.08940
1991-01-02, 0.00887, 0.08643, 0.11613, 0.06449, 0.00072, 0.00260, 0.06446, 0.02578, 0.09418, 0.44394, 0.09240
1991-01-03, 0.00784, 0.07019, 0.11984, 0.07345, 0.00074, 0.00297, 0.05808, 0.02760, 0.09588, 0.44900, 0.09441
1991-01-04, 0.00712, 0.06040, 0.12432, 0.06745, 0.00071, 0.00337, 0.05099, 0.02913, 0.09861, 0.46097, 0.09694
1991-01-05, 0.00651, 0.05499, 0.12828, 0.05013, 0.00071, 0.00302, 0.04694, 0.03055, 0.10114, 0.47883, 0.09888
1991-01-06, 0.00837, 0.08939, 0.11512, 0.05137, 0.00054, 0.00179, 0.09291, 0.02609, 0.09168, 0.43349, 0.08926
1991-01-07, 0.00829, 0.07972, 0.11869, 0.05853, 0.00044, 0.00116, 0.07692, 0.02628, 0.09471, 0.44383, 0.09143
1991-01-08, 0.00806, 0.07502, 0.11942, 0.06497, 0.00042, 0.00115, 0.07783, 0.02675, 0.09503, 0.43986, 0.09148
1991-01-09, 0.00859, 0.06244, 0.12200, 0.06016, 0.00044, 0.00129, 0.08015, 0.02782, 0.09669, 0.44729, 0.09313
1991-01-10, 0.00902, 0.05746, 0.12823, 0.05281, 0.00053, 0.00148, 0.06063, 0.03006, 0.10062, 0.46253, 0.09663
1991-01-11, 0.00688, 0.04862, 0.13563, 0.04609, 0.00057, 0.00191, 0.04637, 0.03175, 0.10596, 0.47422, 0.10199
1991-01-12, 0.00608, 0.04444, 0.13831, 0.04313, 0.00058, 0.00186, 0.04029, 0.03370, 0.10650, 0.48287, 0.10223
1991-01-13, 0.00584, 0.04427, 0.13915, 0.04172, 0.00065, 0.00147, 0.04057, 0.03524, 0.10560, 0.48500, 0.10049
1991-01-14, 0.00568, 0.04308, 0.14067, 0.03844, 0.00075, 0.00166, 0.04419, 0.03592, 0.10608, 0.48265, 0.10087
1991-01-15, 0.00678, 0.04302, 0.13688, 0.03191, 0.00079, 0.00197, 0.07821, 0.03399, 0.10353, 0.46427, 0.09864
1991-01-16, 0.00657, 0.03936, 0.13400, 0.04167, 0.00088, 0.00195, 0.07973, 0.03204, 0.10226, 0.46347, 0.09806
