date, weight 
1991-01-01, 3.58818e-05
1991-01-02, 3.03500e-05
1991-01-03, 2.07323e-05
1991-01-04, 3.09731e-05
1991-01-05, 6.37927e-05
1991-01-06, 9.10469e-05
1991-01-07, 7.97113e-05
1991-01-08, 8.73344e-05
1991-01-09, 6.29890e-05
1991-01-10, 5.11496e-05
1991-01-11, 9.89684e-05
1991-01-12, 1.18268e-04
1991-01-13, 6.18335e-05
1991-01-14, 3.42740e-05
1991-01-15, 6.36208e-05
1991-01-16, 1.44884e-04
1991-01-17, 1.53062e-04
1991-01-18, 1.69159e-04
1991-01-19, 1.02713e-04
1991-01-20, 3.71427e-05
1991-01-21, 6.21038e-05
1991-01-22, 6.94854e-05
1991-01-23, 2.79012e-05
1991-01-24, 1.82435e-05
1991-01-25, 3.03366e-05
1991-01-26, 1.04855e-04
1991-01-27, 1.08955e-04
1991-01-28, 4.66677e-05
1991-01-29, 4.27808e-05
1991-01-30, 2.26580e-05
1991-01-31, 1.22875e-05
1991-02-01, 9.58377e-06
1991-02-02, 7.84110e-06
1991-02-03, 1.28634e-05
1991-02-04, 1.69174e-05
1991-02-05, 8.19020e-06
1991-02-06, 3.00671e-05
1991-02-07, 4.01486e-05
1991-02-08, 1.72614e-05
1991-02-09, 9.58659e-06
1991-02-10, 7.30091e-06
1991-02-11, 2.29792e-05
1991-02-12, 2.53592e-05
1991-02-13, 1.06768e-05
1991-02-14, 2.18143e-05
1991-02-15, 6.69367e-05
1991-02-16, 4.90781e-05
1991-02-17, 1.22247e-05
1991-02-18, 1.49021e-05
1991-02-19, 3.51337e-05
1991-02-20, 3.01602e-05
1991-02-21, 5.09983e-05
1991-02-22, 6.39380e-05
1991-02-23, 1.53432e-04
1991-02-24, 1.51210e-04
1991-02-25, 1.68144e-04
1991-02-26, 1.52706e-04
1991-02-27, 1.12286e-04
1991-02-28, 7.72758e-05
1991-03-01, 1.66349e-04
1991-03-02, 2.09333e-04
1991-03-03, 1.08656e-04
1991-03-04, 1.18055e-04
1991-03-05, 1.26809e-04
1991-03-06, 1.04995e-04
1991-03-07, 6.94102e-05
1991-03-08, 3.59970e-05
1991-03-09, 6.39044e-05
1991-03-10, 1.20307e-04
1991-03-11, 2.13657e-04
1991-03-12, 2.81667e-04
1991-03-13, 1.80931e-04
1991-03-14, 9.65928e-05
1991-03-15, 7.49129e-05
1991-03-16, 1.37793e-04
1991-03-17, 2.65357e-04
1991-03-18, 2.22494e-04
1991-03-19, 1.43186e-04
1991-03-20, 1.27904e-04
1991-03-21, 1.28219e-04
1991-03-22, 1.50363e-04
1991-03-23, 1.68868e-04
1991-03-24, 2.37322e-04
1991-03-25, 2.52712e-04
1991-03-26, 1.94849e-04
1991-03-27, 1.41321e-04
1991-03-28, 1.82926e-04
1991-03-29, 4.98540e-04
1991-03-30, 8.11015e-04
1991-03-31, 0.00115
1991-04-01, 9.96484e-04
1991-04-02, 6.44565e-04
1991-04-03, 5.32671e-04
1991-04-04, 4.29033e-04
1991-04-05, 4.46881e-04
1991-04-06, 5.79653e-04
1991-04-07, 6.70170e-04
1991-04-08, 6.56693e-04
1991-04-09, 5.27515e-04
1991-04-10, 4.89013e-04
1991-04-11, 5.41382e-04
1991-04-12, 5.70598e-04
1991-04-13, 5.50059e-04
