date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.03204, 0.12795, 0.10561, 0.08508, 0.00090, 0.00516, 0.05059, 0.00572, 0.10386, 0.37679, 0.10629
1991-01-02, 0.02468, 0.15797, 0.10346, 0.07745, 0.00112, 0.00514, 0.04565, 0.00594, 0.10091, 0.37281, 0.10486
1991-01-03, 0.02143, 0.15464, 0.10662, 0.07600, 0.00115, 0.00457, 0.05245, 0.00569, 0.10322, 0.36738, 0.10683
1991-01-04, 0.01747, 0.15033, 0.10503, 0.07215, 0.00111, 0.00464, 0.05224, 0.00625, 0.10152, 0.38456, 0.10470
1991-01-05, 0.01465, 0.12128, 0.11045, 0.07944, 0.00123, 0.00484, 0.04977, 0.00741, 0.10556, 0.39528, 0.11008
1991-01-06, 0.01856, 0.09985, 0.11741, 0.06999, 0.00134, 0.00411, 0.04232, 0.00640, 0.11298, 0.41005, 0.11701
1991-01-07, 0.01727, 0.09255, 0.11425, 0.08165, 0.00160, 0.00447, 0.03887, 0.00691, 0.10977, 0.41926, 0.11339
1991-01-08, 0.02137, 0.12882, 0.10632, 0.07727, 0.00166, 0.00470, 0.05788, 0.00747, 0.10163, 0.38765, 0.10524
1991-01-09, 0.01956, 0.11493, 0.10765, 0.08610, 0.00172, 0.00450, 0.05442, 0.00708, 0.10257, 0.39431, 0.10715
1991-01-10, 0.02183, 0.10448, 0.10990, 0.07190, 0.00179, 0.00475, 0.05786, 0.00717, 0.10479, 0.40551, 0.11002
1991-01-11, 0.01941, 0.11814, 0.11479, 0.06624, 0.00161, 0.00496, 0.05535, 0.00769, 0.10929, 0.38792, 0.11460
1991-01-12, 0.01807, 0.09150, 0.11357, 0.08095, 0.00106, 0.00426, 0.05676, 0.00806, 0.10709, 0.40479, 0.11389
1991-01-13, 0.01674, 0.07954, 0.11418, 0.07814, 0.00120, 0.00421, 0.04802, 0.00897, 0.10673, 0.42880, 0.11347
1991-01-14, 0.01840, 0.08613, 0.10878, 0.08747, 0.00158, 0.00469, 0.05500, 0.00993, 0.10064, 0.42007, 0.10729
1991-01-15, 0.02295, 0.07372, 0.10319, 0.12792, 0.00124, 0.00471, 0.08937, 0.00853, 0.09584, 0.37005, 0.10246
1991-01-16, 0.01598, 0.06245, 0.11067, 0.10732, 0.00113, 0.00476, 0.07049, 0.00859, 0.10359, 0.40384, 0.11119
1991-01-17, 0.02061, 0.07340, 0.10702, 0.09404, 0.00137, 0.00420, 0.08637, 0.00906, 0.09964, 0.39836, 0.10594
1991-01-18, 0.01870, 0.06139, 0.11098, 0.10738, 0.00194, 0.00467, 0.07420, 0.00936, 0.10348, 0.39791, 0.10999
1991-01-19, 0.01897, 0.06402, 0.10626, 0.11092, 0.00214, 0.00539, 0.09018, 0.00847, 0.09921, 0.39009, 0.10435
1991-01-20, 0.01874, 0.10062, 0.10509, 0.09910, 0.00207, 0.00521, 0.08184, 0.00824, 0.09812, 0.37785, 0.10312
