date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.03297, 0.12656, 0.10224, 0.09429, 0.00120, 0.00626, 0.06165, 0.00653, 0.09830, 0.36833, 0.10166
1991-01-02, 0.02243, 0.15503, 0.09923, 0.08882, 0.00137, 0.00589, 0.05933, 0.00662, 0.09487, 0.36663, 0.09978
1991-01-03, 0.02022, 0.16597, 0.10283, 0.07745, 0.00144, 0.00520, 0.05856, 0.00636, 0.09814, 0.36127, 0.10256
1991-01-04, 0.01694, 0.14248, 0.10595, 0.06827, 0.00152, 0.00557, 0.05306, 0.00722, 0.10106, 0.39253, 0.10540
1991-01-05, 0.01331, 0.09726, 0.11529, 0.07218, 0.00164, 0.00565, 0.04427, 0.00832, 0.10898, 0.41869, 0.11442
1991-01-06, 0.01779, 0.07901, 0.12065, 0.05908, 0.00179, 0.00477, 0.04376, 0.00729, 0.11479, 0.43104, 0.12002
1991-01-07, 0.01725, 0.07104, 0.11821, 0.06820, 0.00207, 0.00504, 0.04195, 0.00798, 0.11187, 0.43945, 0.11693
1991-01-08, 0.02020, 0.10336, 0.10872, 0.07121, 0.00208, 0.00496, 0.06639, 0.00833, 0.10224, 0.40517, 0.10733
1991-01-09, 0.01848, 0.08607, 0.10915, 0.09070, 0.00225, 0.00500, 0.06115, 0.00765, 0.10308, 0.40779, 0.10869
1991-01-10, 0.02003, 0.09198, 0.11008, 0.07567, 0.00220, 0.00542, 0.06752, 0.00760, 0.10408, 0.40535, 0.11007
1991-01-11, 0.01718, 0.11383, 0.11430, 0.06701, 0.00189, 0.00525, 0.06504, 0.00811, 0.10783, 0.38580, 0.11376
1991-01-12, 0.01717, 0.10383, 0.11096, 0.07769, 0.00137, 0.00436, 0.06908, 0.00859, 0.10370, 0.39242, 0.11083
1991-01-13, 0.01622, 0.08202, 0.11163, 0.08295, 0.00142, 0.00409, 0.05690, 0.00937, 0.10335, 0.42136, 0.11068
1991-01-14, 0.01790, 0.08621, 0.10814, 0.09025, 0.00182, 0.00459, 0.05846, 0.01026, 0.09916, 0.41715, 0.10606
1991-01-15, 0.02298, 0.07421, 0.10713, 0.11085, 0.00157, 0.00491, 0.08335, 0.01031, 0.09801, 0.38149, 0.10518
1991-01-16, 0.01544, 0.05250, 0.11799, 0.09128, 0.00143, 0.00485, 0.05460, 0.01099, 0.10853, 0.42637, 0.11602
1991-01-17, 0.01917, 0.06511, 0.11314, 0.08207, 0.00158, 0.00414, 0.06599, 0.01087, 0.10378, 0.42427, 0.10988
1991-01-18, 0.01806, 0.06216, 0.11657, 0.08617, 0.00205, 0.00462, 0.05564, 0.01117, 0.10707, 0.42288, 0.11362
1991-01-19, 0.01938, 0.07355, 0.10711, 0.09576, 0.00213, 0.00527, 0.08946, 0.00975, 0.09850, 0.39532, 0.10376
1991-01-20, 0.01838, 0.11104, 0.10347, 0.08812, 0.00199, 0.00514, 0.08875, 0.00881, 0.09569, 0.37807, 0.10054
1991-01-21, 0.01787, 0.10687, 0.10679, 0.08682, 0.00266, 0.00615, 0.08265, 0.00948, 0.09834, 0.37924, 0.10312
1991-01-22, 0.01852, 0.11541, 0.10399, 0.09001, 0.00287, 0.00628, 0.07972, 0.01063, 0.09453, 0.37885, 0.09919
1991-01-23, 0.01771, 0.11952, 0.10500, 0.07590, 0.00311, 0.00645, 0.06904, 0.01194, 0.09497, 0.39650, 0.09986
1991-01-24, 0.01555, 0.09001, 0.11106, 0.06873, 0.00342, 0.00689, 0.05889, 0.01308, 0.10003, 0.42619, 0.10614
