date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.03247, 0.12799, 0.10395, 0.09101, 0.00140, 0.00647, 0.05718, 0.00661, 0.10037, 0.36884, 0.10373
1991-01-02, 0.02168, 0.15250, 0.10072, 0.08796, 0.00149, 0.00577, 0.05461, 0.00655, 0.09653, 0.37053, 0.10167
1991-01-03, 0.01853, 0.16922, 0.10360, 0.07785, 0.00144, 0.00508, 0.05463, 0.00631, 0.09911, 0.36072, 0.10351
1991-01-04, 0.01557, 0.14971, 0.10576, 0.06844, 0.00144, 0.00550, 0.05083, 0.00716, 0.10112, 0.38910, 0.10536
1991-01-05, 0.01237, 0.10546, 0.11512, 0.06944, 0.00151, 0.00561, 0.04107, 0.00824, 0.10910, 0.41757, 0.11450
1991-01-06, 0.01735, 0.09230, 0.11986, 0.05797, 0.00165, 0.00493, 0.04221, 0.00712, 0.11430, 0.42274, 0.11956
1991-01-07, 0.01707, 0.07923, 0.11715, 0.07195, 0.00195, 0.00528, 0.04057, 0.00777, 0.11120, 0.43173, 0.11610
1991-01-08, 0.01962, 0.10627, 0.10890, 0.07170, 0.00197, 0.00507, 0.06377, 0.00822, 0.10282, 0.40386, 0.10780
1991-01-09, 0.01821, 0.08672, 0.10895, 0.09555, 0.00220, 0.00503, 0.05971, 0.00748, 0.10319, 0.40403, 0.10892
1991-01-10, 0.01988, 0.09234, 0.11008, 0.07959, 0.00215, 0.00537, 0.06726, 0.00746, 0.10440, 0.40096, 0.11050
1991-01-11, 0.01758, 0.11366, 0.11409, 0.07104, 0.00183, 0.00505, 0.06489, 0.00802, 0.10797, 0.38186, 0.11402
1991-01-12, 0.01743, 0.10355, 0.11137, 0.08139, 0.00133, 0.00432, 0.06427, 0.00845, 0.10451, 0.39164, 0.11175
1991-01-13, 0.01686, 0.08119, 0.11183, 0.08404, 0.00137, 0.00416, 0.05365, 0.00919, 0.10390, 0.42222, 0.11159
1991-01-14, 0.01860, 0.08413, 0.10806, 0.09299, 0.00168, 0.00466, 0.05533, 0.01015, 0.09945, 0.41839, 0.10655
1991-01-15, 0.02373, 0.07503, 0.10811, 0.10916, 0.00150, 0.00504, 0.07641, 0.01052, 0.09901, 0.38492, 0.10656
1991-01-16, 0.01645, 0.05302, 0.11726, 0.09606, 0.00139, 0.00489, 0.05228, 0.01093, 0.10789, 0.42440, 0.11543
1991-01-17, 0.02006, 0.06959, 0.11242, 0.08724, 0.00156, 0.00421, 0.05919, 0.01067, 0.10340, 0.42209, 0.10958
1991-01-18, 0.01746, 0.06577, 0.11642, 0.08966, 0.00195, 0.00462, 0.05061, 0.01109, 0.10716, 0.42148, 0.11378
1991-01-19, 0.01914, 0.08086, 0.10662, 0.09803, 0.00197, 0.00510, 0.08403, 0.00984, 0.09812, 0.39303, 0.10327
1991-01-20, 0.01844, 0.11934, 0.10228, 0.08998, 0.00176, 0.00504, 0.08468, 0.00884, 0.09467, 0.37560, 0.09936
1991-01-21, 0.01790, 0.11100, 0.10613, 0.09338, 0.00232, 0.00600, 0.07986, 0.00941, 0.09786, 0.37374, 0.10238
1991-01-22, 0.01876, 0.11815, 0.10285, 0.09868, 0.00255, 0.00605, 0.07827, 0.01040, 0.09377, 0.37241, 0.09810
1991-01-23, 0.01763, 0.11752, 0.10511, 0.08044, 0.00283, 0.00635, 0.06697, 0.01202, 0.09536, 0.39559, 0.10018
1991-01-24, 0.01534, 0.08714, 0.11157, 0.07018, 0.00310, 0.00682, 0.05674, 0.01309, 0.10086, 0.42809, 0.10709
1991-01-25, 0.01803, 0.07378, 0.10906, 0.07353, 0.00319, 0.00646, 0.08494, 0.01293, 0.09795, 0.41523, 0.10490
1991-01-26, 0.02198, 0.10854, 0.10532, 0.07223, 0.00280, 0.00523, 0.08685, 0.01033, 0.09597, 0.38768, 0.10306
1991-01-27, 0.02362, 0.11490, 0.09837, 0.08862, 0.00273, 0.00563, 0.08258, 0.01130, 0.08850, 0.38813, 0.09560
1991-01-28, 0.01873, 0.08308, 0.10607, 0.10388, 0.00276, 0.00611, 0.07741, 0.01221, 0.09584, 0.39068, 0.10322
1991-01-29, 0.01351, 0.07322, 0.11372, 0.07961, 0.00280, 0.00736, 0.06554, 0.01317, 0.10251, 0.41747, 0.11109
1991-01-30, 0.01213, 0.07348, 0.11467, 0.07170, 0.00280, 0.00865, 0.06352, 0.01442, 0.10220, 0.42513, 0.11130
1991-01-31, 0.01178, 0.08700, 0.10638, 0.08600, 0.00236, 0.00683, 0.09563, 0.01268, 0.09524, 0.39337, 0.10274
1991-02-01, 0.01086, 0.08511, 0.10458, 0.08830, 0.00220, 0.00656, 0.09459, 0.01264, 0.09356, 0.40088, 0.10071
1991-02-02, 0.01138, 0.09977, 0.09929, 0.08305, 0.00238, 0.00642, 0.11385, 0.01191, 0.08907, 0.38647, 0.09641
1991-02-03, 0.01096, 0.09031, 0.10858, 0.07220, 0.00272, 0.00681, 0.08113, 0.01371, 0.09686, 0.41229, 0.10443
1991-02-04, 0.01170, 0.11341, 0.10121, 0.08146, 0.00248, 0.00651, 0.09996, 0.01299, 0.08975, 0.38371, 0.09682
1991-02-05, 0.01248, 0.11700, 0.09294, 0.09749, 0.00231, 0.00619, 0.12367, 0.01173, 0.08238, 0.36598, 0.08784
1991-02-06, 0.01371, 0.12092, 0.09732, 0.09818, 0.00202, 0.00608, 0.10475, 0.01130, 0.08737, 0.36659, 0.09175
1991-02-07, 0.01363, 0.10597, 0.10051, 0.10691, 0.00185, 0.00657, 0.09010, 0.01260, 0.08963, 0.37871, 0.09353
1991-02-08, 0.01244, 0.09561, 0.10585, 0.08964, 0.00187, 0.00593, 0.08251, 0.01484, 0.09354, 0.40029, 0.09749
1991-02-09, 0.01137, 0.08028, 0.11136, 0.08110, 0.00192, 0.00487, 0.07359, 0.01648, 0.09778, 0.41965, 0.10158
1991-02-10, 0.00914, 0.05754, 0.11499, 0.08452, 0.00197, 0.00508, 0.07238, 0.01687, 0.10068, 0.43191, 0.10492
1991-02-11, 0.01056, 0.06239, 0.10946, 0.09440, 0.00164, 0.00445, 0.09141, 0.01568, 0.09560, 0.41429, 0.10011
1991-02-12, 0.01118, 0.07191, 0.10088, 0.12889, 0.00165, 0.00441, 0.10091, 0.01454, 0.08799, 0.38606, 0.09158
