date, weight 
1991-01-01, 7.80473e-05
1991-01-02, 6.25244e-05
1991-01-03, 3.59490e-05
1991-01-04, 3.16655e-05
1991-01-05, 4.35429e-05
1991-01-06, 8.95155e-05
1991-01-07, 1.31046e-04
1991-01-08, 8.71139e-05
1991-01-09, 6.92531e-05
1991-01-10, 6.80126e-05
1991-01-11, 1.13003e-04
1991-01-12, 1.69877e-04
1991-01-13, 1.17020e-04
1991-01-14, 7.86814e-05
1991-01-15, 6.97966e-05
1991-01-16, 9.54126e-05
1991-01-17, 1.42625e-04
1991-01-18, 1.51551e-04
1991-01-19, 1.23997e-04
1991-01-20, 9.54596e-05
1991-01-21, 9.94967e-05
1991-01-22, 9.79172e-05
1991-01-23, 4.09946e-05
1991-01-24, 2.50575e-05
1991-01-25, 5.19764e-05
1991-01-26, 1.47971e-04
1991-01-27, 1.70689e-04
1991-01-28, 9.94634e-05
1991-01-29, 6.89691e-05
1991-01-30, 3.38623e-05
1991-01-31, 2.40630e-05
1991-02-01, 2.44644e-05
1991-02-02, 2.86805e-05
1991-02-03, 6.99311e-05
1991-02-04, 1.01794e-04
1991-02-05, 5.45173e-05
1991-02-06, 5.22224e-05
1991-02-07, 7.18442e-05
1991-02-08, 3.46410e-05
1991-02-09, 1.72079e-05
1991-02-10, 1.30476e-05
1991-02-11, 3.37058e-05
1991-02-12, 6.59669e-05
1991-02-13, 3.67268e-05
1991-02-14, 4.30911e-05
1991-02-15, 7.20054e-05
1991-02-16, 4.36386e-05
1991-02-17, 2.52516e-05
1991-02-18, 3.94251e-05
1991-02-19, 9.59619e-05
1991-02-20, 1.18166e-04
1991-02-21, 9.60279e-05
1991-02-22, 7.97245e-05
1991-02-23, 1.43832e-04
1991-02-24, 2.12151e-04
1991-02-25, 2.61404e-04
1991-02-26, 3.13644e-04
1991-02-27, 2.84796e-04
1991-02-28, 2.22825e-04
1991-03-01, 2.36815e-04
1991-03-02, 2.93544e-04
1991-03-03, 2.45724e-04
1991-03-04, 2.06302e-04
1991-03-05, 2.37617e-04
1991-03-06, 1.96985e-04
1991-03-07, 1.37774e-04
1991-03-08, 1.11677e-04
1991-03-09, 1.66834e-04
1991-03-10, 2.40879e-04
1991-03-11, 2.77012e-04
1991-03-12, 2.94800e-04
1991-03-13, 2.01909e-04
1991-03-14, 1.08836e-04
1991-03-15, 7.54281e-05
1991-03-16, 2.09863e-04
1991-03-17, 3.87539e-04
1991-03-18, 3.01346e-04
1991-03-19, 1.92621e-04
1991-03-20, 1.47745e-04
1991-03-21, 1.61039e-04
1991-03-22, 1.62795e-04
1991-03-23, 1.78622e-04
1991-03-24, 2.50213e-04
1991-03-25, 2.23766e-04
1991-03-26, 1.56356e-04
1991-03-27, 1.41201e-04
