date, weight 
1991-01-01, 5.07488e-06
1991-01-02, 1.84728e-06
1991-01-03, 1.05872e-06
1991-01-04, 9.26852e-07
1991-01-05, 1.49763e-06
1991-01-06, 5.03174e-06
1991-01-07, 5.40340e-06
1991-01-08, 2.31652e-06
1991-01-09, 1.08072e-06
1991-01-10, 1.82328e-06
1991-01-11, 2.46866e-06
1991-01-12, 9.54813e-07
1991-01-13, 6.12299e-07
1991-01-14, 5.11040e-07
1991-01-15, 4.59253e-07
1991-01-16, 4.00782e-07
1991-01-17, 3.67494e-07
1991-01-18, 3.41163e-07
1991-01-19, 3.54220e-07
1991-01-20, 3.63370e-07
1991-01-21, 2.92191e-07
1991-01-22, 2.70749e-07
1991-01-23, 2.56370e-07
1991-01-24, 2.78462e-07
1991-01-25, 3.44663e-06
1991-01-26, 5.35214e-06
1991-01-27, 1.40534e-06
1991-01-28, 6.16715e-07
1991-01-29, 1.50121e-06
1991-01-30, 2.18944e-06
1991-01-31, 5.98445e-07
1991-02-01, 3.52465e-07
1991-02-02, 2.70607e-07
1991-02-03, 2.31443e-07
1991-02-04, 3.22600e-07
1991-02-05, 1.32420e-06
1991-02-06, 3.41026e-06
1991-02-07, 3.03204e-06
1991-02-08, 2.35243e-06
1991-02-09, 1.77361e-06
1991-02-10, 3.06693e-06
1991-02-11, 4.35588e-06
1991-02-12, 1.44270e-06
1991-02-13, 2.31594e-06
1991-02-14, 1.92483e-06
1991-02-15, 6.82586e-07
1991-02-16, 4.66955e-07
1991-02-17, 3.06213e-07
1991-02-18, 7.09044e-07
1991-02-19, 4.99946e-06
1991-02-20, 1.41631e-05
1991-02-21, 1.11951e-05
1991-02-22, 6.21929e-06
1991-02-23, 1.80164e-06
1991-02-24, 8.94092e-07
1991-02-25, 9.06075e-07
1991-02-26, 8.52353e-06
1991-02-27, 2.10242e-05
1991-02-28, 8.37608e-05
1991-03-01, 3.88407e-05
1991-03-02, 3.64554e-05
1991-03-03, 3.02357e-05
1991-03-04, 9.98311e-06
1991-03-05, 7.18907e-06
1991-03-06, 1.97483e-05
1991-03-07, 2.04064e-05
1991-03-08, 1.48550e-05
1991-03-09, 4.90742e-05
1991-03-10, 6.46186e-05
1991-03-11, 3.40642e-05
1991-03-12, 2.79948e-05
1991-03-13, 4.76922e-05
1991-03-14, 5.95583e-05
1991-03-15, 1.24554e-04
1991-03-16, 2.51223e-04
1991-03-17, 1.69379e-04
1991-03-18, 6.68582e-05
1991-03-19, 5.95780e-05
1991-03-20, 3.48847e-05
1991-03-21, 2.41939e-05
1991-03-22, 1.96796e-05
1991-03-23, 2.14511e-05
1991-03-24, 4.83898e-05
1991-03-25, 8.04512e-05
1991-03-26, 1.33313e-04
1991-03-27, 1.37070e-04
1991-03-28, 1.29581e-04
1991-03-29, 2.10880e-04
1991-03-30, 2.75200e-04
1991-03-31, 3.40586e-04
1991-04-01, 3.06070e-04
