date, weight 
1991-01-01, 6.02502e-05
1991-01-02, 4.71747e-05
1991-01-03, 3.77044e-05
1991-01-04, 3.73343e-05
1991-01-05, 1.29569e-04
1991-01-06, 2.06038e-04
1991-01-07, 1.46731e-04
1991-01-08, 9.27970e-05
1991-01-09, 2.76103e-04
1991-01-10, 3.79558e-04
1991-01-11, 1.62146e-04
1991-01-12, 6.63813e-05
1991-01-13, 4.63756e-05
1991-01-14, 9.12432e-05
1991-01-15, 1.91474e-04
1991-01-16, 1.78015e-04
1991-01-17, 7.54599e-05
1991-01-18, 3.64546e-05
1991-01-19, 3.83567e-05
1991-01-20, 6.93853e-05
1991-01-21, 6.99288e-05
1991-01-22, 3.67148e-05
1991-01-23, 2.25319e-05
1991-01-24, 1.86591e-05
1991-01-25, 3.56329e-05
1991-01-26, 4.39670e-05
1991-01-27, 2.59219e-05
1991-01-28, 1.95494e-05
1991-01-29, 3.13751e-05
1991-01-30, 6.87574e-05
1991-01-31, 6.78526e-05
1991-02-01, 4.68140e-05
1991-02-02, 2.46192e-05
1991-02-03, 9.62473e-06
1991-02-04, 8.00009e-06
1991-02-05, 2.29478e-05
1991-02-06, 4.29013e-05
1991-02-07, 5.65272e-05
1991-02-08, 4.10875e-05
1991-02-09, 4.05521e-05
1991-02-10, 7.16153e-05
1991-02-11, 1.06406e-04
1991-02-12, 1.04673e-04
1991-02-13, 2.28546e-04
1991-02-14, 2.14700e-04
1991-02-15, 5.89472e-05
1991-02-16, 3.54415e-05
1991-02-17, 4.80064e-05
1991-02-18, 6.12528e-05
1991-02-19, 4.54989e-05
1991-02-20, 2.70927e-05
1991-02-21, 5.30753e-05
1991-02-22, 1.23150e-04
1991-02-23, 1.43257e-04
1991-02-24, 9.47494e-05
1991-02-25, 7.59163e-05
1991-02-26, 1.70475e-04
1991-02-27, 2.19929e-04
1991-02-28, 1.79545e-04
1991-03-01, 9.46490e-05
1991-03-02, 5.42263e-05
1991-03-03, 7.28385e-05
1991-03-04, 1.48166e-04
1991-03-05, 1.27287e-04
1991-03-06, 1.07468e-04
1991-03-07, 1.94549e-04
1991-03-08, 2.42523e-04
1991-03-09, 2.66070e-04
1991-03-10, 2.39579e-04
1991-03-11, 3.28675e-04
1991-03-12, 2.95990e-04
1991-03-13, 2.76402e-04
1991-03-14, 3.60935e-04
1991-03-15, 4.58970e-04
1991-03-16, 5.05808e-04
1991-03-17, 3.14994e-04
1991-03-18, 2.18423e-04
1991-03-19, 3.07581e-04
1991-03-20, 4.45388e-04
1991-03-21, 2.87296e-04
1991-03-22, 1.92534e-04
1991-03-23, 2.15107e-04
1991-03-24, 2.33423e-04
1991-03-25, 2.96324e-04
1991-03-26, 3.50979e-04
1991-03-27, 4.21295e-04
1991-03-28, 6.94191e-04
1991-03-29, 8.06357e-04
1991-03-30, 9.44463e-04
1991-03-31, 9.78486e-04
1991-04-01, 8.00365e-04
1991-04-02, 8.56661e-04
1991-04-03, 9.35454e-04
1991-04-04, 8.03209e-04
1991-04-05, 7.14117e-04
1991-04-06, 5.53011e-04
1991-04-07, 5.96968e-04
1991-04-08, 8.67867e-04
1991-04-09, 9.65727e-04
1991-04-10, 9.71488e-04
1991-04-11, 8.16634e-04
1991-04-12, 7.07089e-04
1991-04-13, 7.33142e-04
1991-04-14, 9.93157e-04
1991-04-15, 8.00363e-04
1991-04-16, 5.46050e-04
1991-04-17, 5.86291e-04
1991-04-18, 5.08600e-04
1991-04-19, 3.63679e-04
1991-04-20, 4.00123e-04
1991-04-21, 6.15927e-04
1991-04-22, 7.21638e-04
1991-04-23, 6.30471e-04
