date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.02116, 0.14974, 0.09389, 0.10481, 0.00059, 0.00192, 0.07477, 0.00905, 0.09360, 0.36536, 0.08511
1991-01-02, 0.01971, 0.13237, 0.10061, 0.08779, 0.00065, 0.00209, 0.06275, 0.00982, 0.09905, 0.39397, 0.09118
1991-01-03, 0.02402, 0.13867, 0.09809, 0.08221, 0.00075, 0.00250, 0.07653, 0.01076, 0.09700, 0.38153, 0.08794
1991-01-04, 0.02049, 0.11912, 0.10201, 0.09854, 0.00076, 0.00191, 0.06344, 0.01102, 0.10020, 0.39057, 0.09192
1991-01-05, 0.01937, 0.07836, 0.10960, 0.10398, 0.00070, 0.00137, 0.06522, 0.01016, 0.10604, 0.40493, 0.10026
1991-01-06, 0.01902, 0.06080, 0.11241, 0.10094, 0.00086, 0.00167, 0.04926, 0.01070, 0.10771, 0.43404, 0.10258
1991-01-07, 0.02424, 0.06455, 0.10853, 0.10309, 0.00103, 0.00211, 0.05266, 0.01170, 0.10391, 0.43102, 0.09716
1991-01-08, 0.02195, 0.05650, 0.11431, 0.10931, 0.00103, 0.00280, 0.04916, 0.01192, 0.11057, 0.41910, 0.10336
1991-01-09, 0.01735, 0.05309, 0.12181, 0.09265, 0.00103, 0.00355, 0.03622, 0.01278, 0.11609, 0.43485, 0.11058
1991-01-10, 0.01650, 0.05168, 0.12096, 0.08473, 0.00117, 0.00373, 0.04248, 0.01368, 0.11360, 0.44280, 0.10867
1991-01-11, 0.01509, 0.04611, 0.12039, 0.08825, 0.00126, 0.00368, 0.04006, 0.01446, 0.11184, 0.45124, 0.10761
1991-01-12, 0.01510, 0.04055, 0.11814, 0.09410, 0.00135, 0.00434, 0.04573, 0.01412, 0.10933, 0.45216, 0.10507
1991-01-13, 0.02144, 0.04687, 0.11183, 0.10851, 0.00130, 0.00473, 0.07663, 0.01487, 0.10224, 0.41408, 0.09750
1991-01-14, 0.01956, 0.04632, 0.11607, 0.10801, 0.00127, 0.00413, 0.07123, 0.01428, 0.10640, 0.41144, 0.10128
1991-01-15, 0.01408, 0.03684, 0.12351, 0.09820, 0.00160, 0.00409, 0.04132, 0.01487, 0.11272, 0.44454, 0.10824
1991-01-16, 0.01421, 0.04474, 0.12106, 0.08917, 0.00212, 0.00423, 0.04871, 0.01570, 0.10981, 0.44441, 0.10584
1991-01-17, 0.01224, 0.04238, 0.12031, 0.09074, 0.00257, 0.00461, 0.05988, 0.01425, 0.10971, 0.43662, 0.10669
1991-01-18, 0.01215, 0.05652, 0.11290, 0.09242, 0.00277, 0.00544, 0.07342, 0.01250, 0.10363, 0.42703, 0.10121
1991-01-19, 0.01092, 0.05780, 0.11081, 0.09149, 0.00276, 0.00576, 0.08267, 0.01172, 0.10263, 0.42296, 0.10049
