date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.00661, 0.03677, 0.13754, 0.03392, 0.00056, 0.00103, 0.06303, 0.03524, 0.10790, 0.48141, 0.09601
1991-01-02, 0.00668, 0.03654, 0.13985, 0.03164, 0.00054, 0.00104, 0.06493, 0.03712, 0.10849, 0.47700, 0.09615
1991-01-03, 0.00625, 0.02577, 0.14768, 0.02669, 0.00051, 0.00097, 0.04925, 0.04022, 0.11366, 0.48893, 0.10008
1991-01-04, 0.00590, 0.02738, 0.14932, 0.02278, 0.00049, 0.00087, 0.04407, 0.04141, 0.11396, 0.49392, 0.09990
1991-01-05, 0.00644, 0.03222, 0.14807, 0.02036, 0.00046, 0.00084, 0.05155, 0.04177, 0.11214, 0.48858, 0.09758
1991-01-06, 0.00670, 0.02377, 0.14895, 0.03491, 0.00037, 0.00089, 0.04962, 0.04174, 0.11274, 0.48298, 0.09734
1991-01-07, 0.00642, 0.01943, 0.15067, 0.03848, 0.00037, 0.00107, 0.04811, 0.04231, 0.11369, 0.48163, 0.09782
1991-01-08, 0.00697, 0.01606, 0.15287, 0.03270, 0.00037, 0.00120, 0.04932, 0.04388, 0.11434, 0.48386, 0.09842
1991-01-09, 0.00670, 0.01465, 0.15746, 0.03336, 0.00037, 0.00120, 0.03685, 0.04528, 0.11709, 0.48637, 0.10068
1991-01-10, 0.00630, 0.01845, 0.16054, 0.03020, 0.00033, 0.00128, 0.03112, 0.04627, 0.11865, 0.48510, 0.10176
1991-01-11, 0.00598, 0.02050, 0.16178, 0.02841, 0.00029, 0.00132, 0.02915, 0.04758, 0.11815, 0.48609, 0.10076
1991-01-12, 0.00535, 0.01583, 0.16487, 0.02707, 0.00028, 0.00123, 0.02504, 0.04935, 0.11919, 0.49065, 0.10113
1991-01-13, 0.00505, 0.01461, 0.16747, 0.02386, 0.00029, 0.00164, 0.02234, 0.05025, 0.12034, 0.49204, 0.10210
1991-01-14, 0.00634, 0.03410, 0.15742, 0.02132, 0.00032, 0.00177, 0.05528, 0.04697, 0.11250, 0.46876, 0.09522
1991-01-15, 0.00783, 0.05161, 0.15403, 0.02330, 0.00032, 0.00118, 0.05956, 0.04559, 0.10963, 0.45479, 0.09216
1991-01-16, 0.00839, 0.04878, 0.15736, 0.02617, 0.00041, 0.00095, 0.05416, 0.04708, 0.11107, 0.45299, 0.09264
1991-01-17, 0.00808, 0.04558, 0.16072, 0.02667, 0.00048, 0.00122, 0.05298, 0.04894, 0.11217, 0.45016, 0.09299
1991-01-18, 0.00682, 0.03895, 0.16593, 0.02260, 0.00050, 0.00159, 0.04611, 0.05103, 0.11480, 0.45697, 0.09470
1991-01-19, 0.00727, 0.04386, 0.15875, 0.01891, 0.00043, 0.00149, 0.07042, 0.04818, 0.11011, 0.44967, 0.09092
1991-01-20, 0.00647, 0.04345, 0.16049, 0.02073, 0.00032, 0.00116, 0.06229, 0.04919, 0.11023, 0.45536, 0.09031
1991-01-21, 0.00596, 0.03352, 0.16667, 0.02441, 0.00023, 0.00096, 0.04715, 0.05172, 0.11362, 0.46319, 0.09256
1991-01-22, 0.00585, 0.02826, 0.17037, 0.02439, 0.00017, 0.00086, 0.04189, 0.05334, 0.11512, 0.46666, 0.09309
1991-01-23, 0.00571, 0.02487, 0.17409, 0.02145, 0.00016, 0.00088, 0.03686, 0.05476, 0.11673, 0.47052, 0.09396
1991-01-24, 0.00618, 0.04533, 0.16615, 0.01849, 0.00017, 0.00092, 0.06230, 0.05187, 0.11065, 0.44934, 0.08861
1991-01-25, 0.00624, 0.04641, 0.16676, 0.01827, 0.00020, 0.00076, 0.06347, 0.05272, 0.10961, 0.44841, 0.08715
1991-01-26, 0.00707, 0.05144, 0.16480, 0.02187, 0.00023, 0.00042, 0.07287, 0.05133, 0.10795, 0.43615, 0.08587
1991-01-27, 0.00657, 0.04138, 0.17043, 0.01839, 0.00025, 0.00027, 0.06509, 0.05386, 0.11009, 0.44669, 0.08698
1991-01-28, 0.00593, 0.03120, 0.17598, 0.02167, 0.00027, 0.00022, 0.05582, 0.05602, 0.11269, 0.45164, 0.08856
1991-01-29, 0.00564, 0.02677, 0.18126, 0.01757, 0.00028, 0.00020, 0.04825, 0.05835, 0.11477, 0.45714, 0.08976
1991-01-30, 0.00528, 0.02621, 0.18511, 0.01483, 0.00024, 0.00020, 0.04177, 0.06011, 0.11609, 0.45984, 0.09033
1991-01-31, 0.00518, 0.02718, 0.18675, 0.01309, 0.00021, 0.00019, 0.04008, 0.06098, 0.11624, 0.46006, 0.09005
1991-02-01, 0.00467, 0.02050, 0.19146, 0.01261, 0.00025, 0.00021, 0.03209, 0.06259, 0.11839, 0.46573, 0.09148
