date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.01353, 0.10168, 0.10314, 0.09184, 0.00075, 0.00165, 0.07670, 0.01524, 0.09537, 0.41237, 0.08773
1991-01-02, 0.01192, 0.08702, 0.10618, 0.08023, 0.00077, 0.00175, 0.07703, 0.01615, 0.09716, 0.43197, 0.08982
1991-01-03, 0.01491, 0.08967, 0.10361, 0.08426, 0.00076, 0.00205, 0.08763, 0.01702, 0.09402, 0.42037, 0.08570
1991-01-04, 0.01292, 0.07065, 0.11371, 0.07286, 0.00078, 0.00163, 0.05745, 0.01867, 0.10280, 0.45442, 0.09411
1991-01-05, 0.01442, 0.09913, 0.10740, 0.06716, 0.00055, 0.00118, 0.07382, 0.01464, 0.09784, 0.43123, 0.09263
1991-01-06, 0.01333, 0.11286, 0.10527, 0.06512, 0.00050, 0.00110, 0.06607, 0.01533, 0.09491, 0.43601, 0.08950
1991-01-07, 0.01248, 0.09927, 0.10764, 0.07820, 0.00054, 0.00122, 0.05583, 0.01657, 0.09618, 0.44178, 0.09031
1991-01-08, 0.01416, 0.09628, 0.10632, 0.09471, 0.00049, 0.00144, 0.07259, 0.01702, 0.09443, 0.41382, 0.08872
1991-01-09, 0.01435, 0.09638, 0.10979, 0.08955, 0.00046, 0.00174, 0.06317, 0.01805, 0.09691, 0.41862, 0.09097
1991-01-10, 0.01404, 0.10634, 0.11166, 0.06382, 0.00042, 0.00180, 0.06459, 0.01881, 0.09803, 0.42824, 0.09225
1991-01-11, 0.01308, 0.10662, 0.11293, 0.06202, 0.00041, 0.00174, 0.06301, 0.01955, 0.09817, 0.42959, 0.09288
1991-01-12, 0.01093, 0.08073, 0.11601, 0.07646, 0.00055, 0.00175, 0.05117, 0.02055, 0.09985, 0.44800, 0.09400
1991-01-13, 0.00991, 0.06780, 0.11965, 0.07583, 0.00079, 0.00228, 0.04767, 0.02153, 0.10211, 0.45572, 0.09671
1991-01-14, 0.01155, 0.06197, 0.11352, 0.08667, 0.00094, 0.00274, 0.08122, 0.02007, 0.09699, 0.43273, 0.09161
1991-01-15, 0.00991, 0.07847, 0.11627, 0.08401, 0.00105, 0.00274, 0.06995, 0.01981, 0.09967, 0.42334, 0.09478
1991-01-16, 0.00978, 0.07431, 0.11851, 0.07861, 0.00127, 0.00278, 0.06169, 0.01941, 0.10191, 0.43439, 0.09733
1991-01-17, 0.00818, 0.06884, 0.11882, 0.08675, 0.00167, 0.00284, 0.06527, 0.02023, 0.10138, 0.42976, 0.09625
1991-01-18, 0.00784, 0.06289, 0.11624, 0.09060, 0.00209, 0.00308, 0.07157, 0.02009, 0.09848, 0.43355, 0.09356
1991-01-19, 0.00990, 0.08239, 0.10863, 0.08425, 0.00236, 0.00328, 0.09492, 0.01839, 0.09140, 0.41735, 0.08712
1991-01-20, 0.00941, 0.07981, 0.10992, 0.08131, 0.00232, 0.00359, 0.09421, 0.01699, 0.09401, 0.41850, 0.08993
