date, weight 
1991-01-01, 4.48631e-05
1991-01-02, 3.45569e-05
1991-01-03, 1.83478e-05
1991-01-04, 1.49375e-05
1991-01-05, 5.52185e-05
1991-01-06, 9.82760e-05
1991-01-07, 4.79994e-05
1991-01-08, 2.78519e-05
1991-01-09, 9.32138e-05
1991-01-10, 2.20519e-04
1991-01-11, 2.10261e-04
1991-01-12, 1.19547e-04
1991-01-13, 5.37433e-05
1991-01-14, 3.30898e-05
1991-01-15, 4.59702e-05
1991-01-16, 6.64176e-05
1991-01-17, 9.27838e-05
1991-01-18, 8.20282e-05
1991-01-19, 3.96678e-05
1991-01-20, 6.16361e-05
1991-01-21, 1.46565e-04
1991-01-22, 1.02912e-04
1991-01-23, 4.11825e-05
1991-01-24, 1.91090e-05
1991-01-25, 2.11086e-05
1991-01-26, 6.03010e-05
1991-01-27, 5.74906e-05
1991-01-28, 3.45969e-05
1991-01-29, 2.01310e-05
1991-01-30, 1.35921e-05
1991-01-31, 1.06878e-05
1991-02-01, 6.22995e-06
1991-02-02, 4.78401e-06
1991-02-03, 3.90534e-06
1991-02-04, 4.69744e-06
1991-02-05, 1.86192e-05
1991-02-06, 9.19969e-05
1991-02-07, 1.51520e-04
1991-02-08, 8.79858e-05
1991-02-09, 3.77709e-05
1991-02-10, 4.18381e-05
1991-02-11, 3.62779e-05
1991-02-12, 1.79210e-05
1991-02-13, 1.58421e-05
1991-02-14, 3.88271e-05
1991-02-15, 3.68634e-05
1991-02-16, 1.02768e-05
1991-02-17, 1.63338e-05
1991-02-18, 4.14726e-05
1991-02-19, 2.17100e-05
1991-02-20, 1.18536e-05
1991-02-21, 2.90897e-05
1991-02-22, 6.11890e-05
1991-02-23, 1.05144e-04
1991-02-24, 9.20266e-05
1991-02-25, 6.17035e-05
1991-02-26, 8.71705e-05
1991-02-27, 8.52160e-05
1991-02-28, 1.09130e-04
1991-03-01, 1.75342e-04
1991-03-02, 1.08971e-04
1991-03-03, 9.19069e-05
1991-03-04, 1.53364e-04
1991-03-05, 1.69208e-04
1991-03-06, 1.24285e-04
1991-03-07, 1.28086e-04
1991-03-08, 1.10264e-04
1991-03-09, 1.16436e-04
1991-03-10, 1.76578e-04
1991-03-11, 1.69216e-04
1991-03-12, 1.68672e-04
1991-03-13, 1.96692e-04
1991-03-14, 1.79954e-04
1991-03-15, 2.25640e-04
1991-03-16, 4.05037e-04
1991-03-17, 3.10534e-04
1991-03-18, 2.03187e-04
1991-03-19, 1.81256e-04
1991-03-20, 2.11203e-04
1991-03-21, 1.83837e-04
1991-03-22, 1.31023e-04
1991-03-23, 1.15654e-04
1991-03-24, 1.42264e-04
1991-03-25, 1.98027e-04
1991-03-26, 2.16473e-04
1991-03-27, 2.73874e-04
1991-03-28, 4.43188e-04
1991-03-29, 7.07782e-04
1991-03-30, 9.29024e-04
1991-03-31, 0.00112
1991-04-01, 0.00112
