date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.01319, 0.08958, 0.10849, 0.08770, 0.00117, 0.00243, 0.08942, 0.01870, 0.09258, 0.40446, 0.09229
1991-01-02, 0.01269, 0.07263, 0.11200, 0.08197, 0.00117, 0.00239, 0.08769, 0.02011, 0.09490, 0.42003, 0.09441
1991-01-03, 0.01396, 0.06450, 0.11553, 0.06536, 0.00120, 0.00281, 0.08990, 0.02004, 0.09822, 0.43065, 0.09784
1991-01-04, 0.01219, 0.05288, 0.11919, 0.05423, 0.00128, 0.00278, 0.07760, 0.01973, 0.10143, 0.45669, 0.10199
1991-01-05, 0.01132, 0.06015, 0.11644, 0.05087, 0.00136, 0.00249, 0.07913, 0.01855, 0.09966, 0.45897, 0.10106
1991-01-06, 0.01296, 0.07644, 0.11098, 0.05503, 0.00140, 0.00223, 0.09334, 0.01811, 0.09469, 0.43940, 0.09541
1991-01-07, 0.01140, 0.08189, 0.10994, 0.06398, 0.00154, 0.00235, 0.08790, 0.01900, 0.09295, 0.43578, 0.09326
1991-01-08, 0.01163, 0.08151, 0.10675, 0.06629, 0.00164, 0.00263, 0.10385, 0.01774, 0.09079, 0.42545, 0.09172
1991-01-09, 0.01148, 0.07559, 0.11298, 0.06435, 0.00167, 0.00290, 0.08024, 0.01902, 0.09578, 0.43928, 0.09671
1991-01-10, 0.00968, 0.06433, 0.12111, 0.05063, 0.00170, 0.00328, 0.06228, 0.02059, 0.10215, 0.46122, 0.10303
1991-01-11, 0.00854, 0.06924, 0.12272, 0.04149, 0.00159, 0.00341, 0.06110, 0.02161, 0.10271, 0.46367, 0.10391
1991-01-12, 0.00848, 0.07814, 0.11886, 0.03665, 0.00154, 0.00289, 0.07690, 0.02190, 0.09861, 0.45630, 0.09973
1991-01-13, 0.00798, 0.06930, 0.11907, 0.04731, 0.00166, 0.00285, 0.07945, 0.02226, 0.09839, 0.45274, 0.09900
1991-01-14, 0.00913, 0.05219, 0.11434, 0.06334, 0.00166, 0.00319, 0.11594, 0.02068, 0.09492, 0.42898, 0.09563
1991-01-15, 0.00968, 0.05019, 0.11946, 0.05719, 0.00175, 0.00345, 0.09902, 0.01969, 0.10101, 0.43715, 0.10143
1991-01-16, 0.00761, 0.04428, 0.12365, 0.05870, 0.00205, 0.00342, 0.07499, 0.02114, 0.10366, 0.45609, 0.10441
1991-01-17, 0.00870, 0.04511, 0.12407, 0.05673, 0.00235, 0.00333, 0.07588, 0.02227, 0.10294, 0.45511, 0.10352
1991-01-18, 0.01116, 0.05336, 0.12189, 0.06316, 0.00251, 0.00351, 0.08017, 0.02271, 0.10037, 0.44091, 0.10026
