date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.01491, 0.10989, 0.10364, 0.07569, 0.00067, 0.00178, 0.08101, 0.01662, 0.09522, 0.41266, 0.08793
1991-01-02, 0.01305, 0.08118, 0.11071, 0.06389, 0.00071, 0.00171, 0.07060, 0.01805, 0.10047, 0.44604, 0.09359
1991-01-03, 0.01492, 0.08452, 0.11084, 0.05343, 0.00073, 0.00206, 0.06905, 0.01895, 0.09935, 0.45360, 0.09256
1991-01-04, 0.01285, 0.07393, 0.11598, 0.04290, 0.00072, 0.00188, 0.05947, 0.02010, 0.10335, 0.47234, 0.09648
1991-01-05, 0.01433, 0.11480, 0.10744, 0.04894, 0.00053, 0.00135, 0.07630, 0.01563, 0.09704, 0.43047, 0.09316
1991-01-06, 0.01301, 0.13079, 0.10636, 0.04222, 0.00046, 0.00104, 0.06591, 0.01608, 0.09532, 0.43772, 0.09109
1991-01-07, 0.01268, 0.12914, 0.10662, 0.04912, 0.00049, 0.00115, 0.06214, 0.01760, 0.09459, 0.43677, 0.08969
1991-01-08, 0.01409, 0.11030, 0.10716, 0.06581, 0.00047, 0.00142, 0.07440, 0.01804, 0.09476, 0.42330, 0.09024
1991-01-09, 0.01414, 0.09001, 0.11348, 0.06598, 0.00045, 0.00185, 0.05779, 0.01975, 0.09963, 0.44215, 0.09476
1991-01-10, 0.01414, 0.11062, 0.11296, 0.04999, 0.00043, 0.00192, 0.05782, 0.01960, 0.09843, 0.44000, 0.09410
1991-01-11, 0.01205, 0.11549, 0.11517, 0.03928, 0.00043, 0.00180, 0.05369, 0.01977, 0.09977, 0.44590, 0.09663
1991-01-12, 0.01025, 0.09318, 0.11668, 0.06025, 0.00048, 0.00182, 0.04734, 0.02100, 0.10002, 0.45271, 0.09627
1991-01-13, 0.00853, 0.07097, 0.11707, 0.08125, 0.00056, 0.00200, 0.04403, 0.02191, 0.09898, 0.45979, 0.09491
1991-01-14, 0.00948, 0.06068, 0.11048, 0.08836, 0.00058, 0.00212, 0.08677, 0.01986, 0.09411, 0.43700, 0.09055
1991-01-15, 0.00963, 0.06208, 0.11848, 0.07153, 0.00063, 0.00252, 0.07216, 0.02006, 0.10183, 0.44257, 0.09851
1991-01-16, 0.01017, 0.05699, 0.12167, 0.06834, 0.00070, 0.00259, 0.06082, 0.01979, 0.10514, 0.45187, 0.10193
1991-01-17, 0.00848, 0.05229, 0.12281, 0.07051, 0.00097, 0.00248, 0.05626, 0.02152, 0.10449, 0.45928, 0.10090
1991-01-18, 0.00794, 0.04900, 0.12344, 0.07625, 0.00130, 0.00264, 0.06129, 0.02173, 0.10464, 0.45115, 0.10063
1991-01-19, 0.00969, 0.07276, 0.11397, 0.06992, 0.00155, 0.00334, 0.08932, 0.02021, 0.09603, 0.43072, 0.09249
1991-01-20, 0.00972, 0.07619, 0.11639, 0.05593, 0.00158, 0.00357, 0.08951, 0.01869, 0.09957, 0.43185, 0.09700
1991-01-21, 0.01006, 0.07438, 0.11883, 0.06430, 0.00147, 0.00318, 0.06873, 0.02052, 0.10031, 0.44142, 0.09679
