date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.00896, 0.07699, 0.12322, 0.02568, 0.00046, 0.00203, 0.07873, 0.03082, 0.09679, 0.46354, 0.09277
1991-01-02, 0.00842, 0.06654, 0.12770, 0.02927, 0.00047, 0.00230, 0.06726, 0.03280, 0.09908, 0.47163, 0.09453
1991-01-03, 0.00798, 0.05266, 0.13439, 0.03093, 0.00047, 0.00266, 0.05260, 0.03490, 0.10348, 0.48207, 0.09786
1991-01-04, 0.00706, 0.04310, 0.14064, 0.02420, 0.00046, 0.00297, 0.04211, 0.03696, 0.10749, 0.49496, 0.10005
1991-01-05, 0.00639, 0.03924, 0.14339, 0.02081, 0.00043, 0.00233, 0.03677, 0.03887, 0.10831, 0.50224, 0.10123
1991-01-06, 0.00774, 0.05709, 0.13477, 0.03913, 0.00031, 0.00110, 0.05898, 0.03604, 0.10181, 0.46822, 0.09481
1991-01-07, 0.00734, 0.05656, 0.13905, 0.03189, 0.00028, 0.00096, 0.05014, 0.03711, 0.10471, 0.47497, 0.09699
1991-01-08, 0.00900, 0.05954, 0.13821, 0.02392, 0.00028, 0.00112, 0.06349, 0.03709, 0.10360, 0.46790, 0.09585
1991-01-09, 0.00934, 0.05426, 0.14129, 0.02650, 0.00032, 0.00130, 0.05569, 0.03825, 0.10531, 0.47044, 0.09730
1991-01-10, 0.00781, 0.05462, 0.14533, 0.02704, 0.00034, 0.00163, 0.04395, 0.03952, 0.10771, 0.47288, 0.09918
1991-01-11, 0.00666, 0.04517, 0.14983, 0.02893, 0.00032, 0.00224, 0.03648, 0.04063, 0.11070, 0.47744, 0.10159
1991-01-12, 0.00614, 0.04067, 0.15162, 0.02756, 0.00033, 0.00210, 0.03372, 0.04246, 0.11032, 0.48380, 0.10129
1991-01-13, 0.00584, 0.03777, 0.15414, 0.02462, 0.00041, 0.00198, 0.03210, 0.04378, 0.11118, 0.48665, 0.10154
1991-01-14, 0.00572, 0.03814, 0.15567, 0.02290, 0.00050, 0.00240, 0.03222, 0.04458, 0.11140, 0.48536, 0.10112
1991-01-15, 0.00765, 0.05203, 0.14916, 0.02024, 0.00053, 0.00213, 0.06332, 0.04107, 0.10716, 0.46051, 0.09619
1991-01-16, 0.00825, 0.04388, 0.14756, 0.02284, 0.00058, 0.00188, 0.07986, 0.04019, 0.10592, 0.45541, 0.09363
1991-01-17, 0.00714, 0.03616, 0.15075, 0.03765, 0.00062, 0.00160, 0.05854, 0.04221, 0.10672, 0.46325, 0.09536
1991-01-18, 0.00670, 0.03274, 0.15629, 0.02945, 0.00064, 0.00151, 0.04748, 0.04454, 0.10962, 0.47289, 0.09813
1991-01-19, 0.00651, 0.03050, 0.16004, 0.02447, 0.00061, 0.00160, 0.04298, 0.04600, 0.11136, 0.47665, 0.09927
1991-01-20, 0.00683, 0.02823, 0.15593, 0.02467, 0.00056, 0.00183, 0.05920, 0.04398, 0.10871, 0.47287, 0.09720
1991-01-21, 0.00619, 0.02652, 0.15325, 0.04185, 0.00049, 0.00190, 0.05135, 0.04153, 0.10772, 0.47228, 0.09694
1991-01-22, 0.00595, 0.02516, 0.15384, 0.04304, 0.00047, 0.00156, 0.05017, 0.04300, 0.10641, 0.47526, 0.09513
1991-01-23, 0.00570, 0.02347, 0.15814, 0.04092, 0.00056, 0.00128, 0.04862, 0.04518, 0.10812, 0.47214, 0.09588
1991-01-24, 0.00555, 0.02361, 0.16223, 0.03444, 0.00070, 0.00141, 0.04439, 0.04688, 0.10991, 0.47389, 0.09700
1991-01-25, 0.00614, 0.03472, 0.15872, 0.02430, 0.00074, 0.00152, 0.05876, 0.04643, 0.10631, 0.46879, 0.09358
1991-01-26, 0.00541, 0.03778, 0.15696, 0.03103, 0.00069, 0.00115, 0.06014, 0.04601, 0.10446, 0.46457, 0.09181
1991-01-27, 0.00514, 0.02867, 0.16208, 0.03389, 0.00066, 0.00096, 0.05209, 0.04807, 0.10690, 0.46810, 0.09343
1991-01-28, 0.00568, 0.02347, 0.15956, 0.04878, 0.00070, 0.00089, 0.05574, 0.04677, 0.10507, 0.46146, 0.09188
1991-01-29, 0.00567, 0.02148, 0.16238, 0.04703, 0.00076, 0.00092, 0.05121, 0.04830, 0.10567, 0.46441, 0.09218
1991-01-30, 0.00539, 0.02013, 0.16718, 0.04242, 0.00075, 0.00091, 0.04590, 0.05071, 0.10736, 0.46604, 0.09322
1991-01-31, 0.00468, 0.02057, 0.17220, 0.03312, 0.00066, 0.00066, 0.04174, 0.05319, 0.10905, 0.47028, 0.09385
1991-02-01, 0.00440, 0.02115, 0.17566, 0.02739, 0.00057, 0.00044, 0.03824, 0.05512, 0.10975, 0.47366, 0.09361
1991-02-02, 0.00410, 0.01671, 0.18001, 0.02423, 0.00056, 0.00040, 0.03024, 0.05687, 0.11152, 0.48050, 0.09484
1991-02-03, 0.00390, 0.01448, 0.18299, 0.02165, 0.00056, 0.00041, 0.02614, 0.05836, 0.11216, 0.48427, 0.09509
1991-02-04, 0.00380, 0.01503, 0.18524, 0.01947, 0.00057, 0.00040, 0.02499, 0.05963, 0.11234, 0.48363, 0.09491
1991-02-05, 0.00393, 0.02339, 0.18448, 0.01701, 0.00058, 0.00037, 0.03213, 0.06016, 0.11042, 0.47491, 0.09262
1991-02-06, 0.00412, 0.02869, 0.18510, 0.01587, 0.00059, 0.00032, 0.03650, 0.06077, 0.10987, 0.46673, 0.09143
1991-02-07, 0.00430, 0.02934, 0.18805, 0.01537, 0.00059, 0.00029, 0.03290, 0.06186, 0.11097, 0.46451, 0.09180
1991-02-08, 0.00413, 0.03049, 0.19026, 0.01480, 0.00060, 0.00023, 0.03071, 0.06275, 0.11147, 0.46254, 0.09202
