date, weight 
1991-01-01, 3.73287e-06
1991-01-02, 2.55029e-06
1991-01-03, 1.63985e-06
1991-01-04, 1.29525e-06
1991-01-05, 1.09783e-06
1991-01-06, 3.37858e-06
1991-01-07, 1.99778e-05
1991-01-08, 3.28163e-05
1991-01-09, 2.01877e-05
1991-01-10, 2.16384e-05
1991-01-11, 3.00363e-05
1991-01-12, 1.93144e-05
1991-01-13, 6.12187e-06
1991-01-14, 3.33924e-06
1991-01-15, 1.88065e-05
1991-01-16, 4.00629e-05
1991-01-17, 2.35226e-05
1991-01-18, 1.29466e-05
1991-01-19, 4.73121e-06
1991-01-20, 2.84079e-06
1991-01-21, 7.30494e-06
1991-01-22, 8.71134e-06
1991-01-23, 2.51110e-06
1991-01-24, 1.47167e-06
1991-01-25, 1.21550e-06
1991-01-26, 1.49194e-06
1991-01-27, 1.40738e-06
1991-01-28, 8.47461e-07
1991-01-29, 7.33246e-07
1991-01-30, 5.63717e-07
1991-01-31, 5.09185e-07
1991-02-01, 4.73115e-07
1991-02-02, 4.12144e-07
1991-02-03, 3.76265e-07
1991-02-04, 3.53696e-07
1991-02-05, 4.04241e-07
1991-02-06, 6.54262e-07
1991-02-07, 6.27307e-07
1991-02-08, 3.92633e-07
1991-02-09, 3.51723e-07
1991-02-10, 4.76847e-07
1991-02-11, 4.66545e-07
1991-02-12, 2.72871e-07
1991-02-13, 3.17611e-07
1991-02-14, 3.72732e-07
1991-02-15, 2.31586e-07
1991-02-16, 1.94517e-07
1991-02-17, 4.62007e-07
1991-02-18, 8.63890e-07
1991-02-19, 5.87999e-07
1991-02-20, 4.33124e-07
1991-02-21, 5.21725e-07
1991-02-22, 1.32791e-05
1991-02-23, 2.20936e-05
1991-02-24, 1.66949e-05
1991-02-25, 3.18617e-05
1991-02-26, 3.21127e-05
1991-02-27, 2.45065e-05
1991-02-28, 1.23058e-05
1991-03-01, 2.68507e-05
1991-03-02, 2.56014e-05
1991-03-03, 1.64483e-05
1991-03-04, 1.54446e-05
1991-03-05, 9.67197e-06
1991-03-06, 9.52541e-06
1991-03-07, 8.60814e-06
1991-03-08, 3.04702e-06
1991-03-09, 1.85664e-06
1991-03-10, 2.53944e-06
1991-03-11, 6.59501e-06
1991-03-12, 1.22798e-05
1991-03-13, 9.75797e-06
1991-03-14, 6.10373e-06
1991-03-15, 9.17307e-06
1991-03-16, 2.58954e-05
1991-03-17, 2.10111e-05
1991-03-18, 8.25471e-06
1991-03-19, 9.75656e-06
1991-03-20, 1.60822e-05
1991-03-21, 1.05852e-05
1991-03-22, 5.21811e-06
1991-03-23, 6.39966e-06
1991-03-24, 1.56221e-05
1991-03-25, 2.54943e-05
1991-03-26, 3.88488e-05
1991-03-27, 3.22359e-05
1991-03-28, 6.51136e-05
1991-03-29, 1.79383e-04
1991-03-30, 3.09734e-04
1991-03-31, 3.76220e-04
1991-04-01, 3.22405e-04
1991-04-02, 2.65172e-04
1991-04-03, 2.32048e-04
1991-04-04, 2.13388e-04
1991-04-05, 3.80960e-04
1991-04-06, 5.19994e-04
1991-04-07, 4.20444e-04
1991-04-08, 3.93014e-04
1991-04-09, 3.39843e-04
1991-04-10, 3.03935e-04
1991-04-11, 2.94840e-04
1991-04-12, 3.40375e-04
1991-04-13, 3.56083e-04
1991-04-14, 3.60878e-04
1991-04-15, 4.85792e-04
1991-04-16, 4.93741e-04
1991-04-17, 4.52866e-04
1991-04-18, 6.15760e-04
1991-04-19, 8.08852e-04
1991-04-20, 7.89227e-04
1991-04-21, 7.33676e-04
1991-04-22, 9.47593e-04
1991-04-23, 0.00118
1991-04-24, 0.00136
1991-04-25, 0.00126
1991-04-26, 0.00104
1991-04-27, 9.15419e-04
1991-04-28, 7.72066e-04
1991-04-29, 7.92614e-04
1991-04-30, 7.60121e-04
1991-05-01, 7.70089e-04
1991-05-02, 0.00107
1991-05-03, 0.00144
1991-05-04, 0.00162
1991-05-05, 0.00138
1991-05-06, 0.00123
1991-05-07, 0.00118
1991-05-08, 9.94733e-04
1991-05-09, 8.59419e-04
1991-05-10, 8.65757e-04
1991-05-11, 9.13857e-04
1991-05-12, 7.94699e-04
1991-05-13, 7.42061e-04
1991-05-14, 8.02937e-04
1991-05-15, 7.77626e-04
1991-05-16, 6.15934e-04
1991-05-17, 5.49871e-04
1991-05-18, 4.72755e-04
1991-05-19, 3.54202e-04
1991-05-20, 2.82739e-04
1991-05-21, 2.17805e-04
1991-05-22, 1.87276e-04
1991-05-23, 1.72524e-04
1991-05-24, 1.62449e-04
1991-05-25, 1.26267e-04
1991-05-26, 1.21206e-04
1991-05-27, 9.84257e-05
1991-05-28, 6.49933e-05
1991-05-29, 5.45727e-05
1991-05-30, 6.68234e-05
1991-05-31, 6.04338e-05
1991-06-01, 7.55631e-05
1991-06-02, 9.88949e-05
1991-06-03, 7.46201e-05
1991-06-04, 6.01675e-05
1991-06-05, 4.55676e-05
1991-06-06, 4.36319e-05
1991-06-07, 4.79065e-05
1991-06-08, 4.54093e-05
1991-06-09, 2.92282e-05
1991-06-10, 2.56775e-05
1991-06-11, 3.11660e-05
1991-06-12, 8.09968e-05
1991-06-13, 5.90744e-05
1991-06-14, 3.19311e-05
1991-06-15, 2.61130e-05
1991-06-16, 3.96478e-05
1991-06-17, 4.07518e-05
1991-06-18, 3.68853e-05
1991-06-19, 5.06589e-05
1991-06-20, 3.75420e-05
1991-06-21, 3.43912e-05
1991-06-22, 4.53432e-05
1991-06-23, 1.04084e-04
1991-06-24, 1.02823e-04
1991-06-25, 4.92865e-05
1991-06-26, 5.21159e-05
1991-06-27, 4.98037e-05
1991-06-28, 2.91019e-05
1991-06-29, 3.12442e-05
1991-06-30, 4.08021e-05
1991-07-01, 4.72532e-05
1991-07-02, 3.48391e-05
1991-07-03, 3.18258e-05
1991-07-04, 2.57708e-05
1991-07-05, 3.52853e-05
1991-07-06, 4.57590e-05
1991-07-07, 3.66740e-05
1991-07-08, 3.10331e-05
1991-07-09, 6.89492e-05
1991-07-10, 1.01672e-04
