date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.00647, 0.05046, 0.13869, 0.01976, 0.00041, 0.00259, 0.05188, 0.03893, 0.10256, 0.48766, 0.10060
1991-01-02, 0.00602, 0.04525, 0.14270, 0.02381, 0.00041, 0.00310, 0.04588, 0.04100, 0.10384, 0.48653, 0.10146
1991-01-03, 0.00522, 0.03405, 0.14942, 0.02016, 0.00041, 0.00380, 0.03439, 0.04353, 0.10721, 0.49753, 0.10428
1991-01-04, 0.00489, 0.02716, 0.15328, 0.01733, 0.00041, 0.00440, 0.02761, 0.04521, 0.10886, 0.50511, 0.10573
1991-01-05, 0.00485, 0.03064, 0.15303, 0.01536, 0.00039, 0.00381, 0.03010, 0.04586, 0.10771, 0.50432, 0.10394
1991-01-06, 0.00602, 0.04290, 0.14659, 0.01444, 0.00031, 0.00172, 0.05907, 0.04344, 0.10343, 0.48402, 0.09805
1991-01-07, 0.00679, 0.04307, 0.14594, 0.02326, 0.00025, 0.00091, 0.06514, 0.04293, 0.10268, 0.47300, 0.09604
1991-01-08, 0.00632, 0.04164, 0.14908, 0.03123, 0.00024, 0.00106, 0.05053, 0.04431, 0.10407, 0.47467, 0.09684
1991-01-09, 0.00612, 0.03574, 0.14784, 0.03588, 0.00023, 0.00123, 0.06236, 0.04435, 0.10217, 0.46944, 0.09465
1991-01-10, 0.00590, 0.03232, 0.15166, 0.03654, 0.00022, 0.00130, 0.05644, 0.04552, 0.10442, 0.46945, 0.09624
1991-01-11, 0.00526, 0.02847, 0.15594, 0.04005, 0.00021, 0.00165, 0.04323, 0.04676, 0.10700, 0.47368, 0.09775
1991-01-12, 0.00500, 0.02647, 0.15784, 0.03966, 0.00020, 0.00168, 0.03995, 0.04837, 0.10682, 0.47631, 0.09769
1991-01-13, 0.00498, 0.02568, 0.16025, 0.03572, 0.00022, 0.00124, 0.03873, 0.04980, 0.10735, 0.47800, 0.09802
1991-01-14, 0.00479, 0.02481, 0.16267, 0.03227, 0.00026, 0.00150, 0.03645, 0.05096, 0.10806, 0.48005, 0.09818
1991-01-15, 0.00702, 0.02528, 0.15974, 0.02903, 0.00030, 0.00165, 0.05924, 0.04914, 0.10592, 0.46714, 0.09555
1991-01-16, 0.00715, 0.03364, 0.15082, 0.04045, 0.00033, 0.00125, 0.07509, 0.04542, 0.09988, 0.45581, 0.09017
1991-01-17, 0.00703, 0.03272, 0.15082, 0.04408, 0.00034, 0.00076, 0.07345, 0.04655, 0.09816, 0.45773, 0.08837
1991-01-18, 0.00767, 0.02728, 0.15560, 0.04905, 0.00033, 0.00059, 0.06971, 0.04826, 0.10078, 0.45043, 0.09030
1991-01-19, 0.00733, 0.02983, 0.15944, 0.03750, 0.00032, 0.00072, 0.06660, 0.05008, 0.10219, 0.45484, 0.09114
1991-01-20, 0.00758, 0.02805, 0.15865, 0.03065, 0.00027, 0.00086, 0.07402, 0.05008, 0.10065, 0.45983, 0.08934
1991-01-21, 0.00596, 0.02346, 0.16406, 0.03683, 0.00022, 0.00074, 0.05469, 0.05116, 0.10440, 0.46590, 0.09257
1991-01-22, 0.00555, 0.02218, 0.16572, 0.03777, 0.00021, 0.00063, 0.04956, 0.05262, 0.10399, 0.47008, 0.09170
1991-01-23, 0.00545, 0.02230, 0.17065, 0.02843, 0.00023, 0.00060, 0.04416, 0.05519, 0.10574, 0.47449, 0.09275
1991-01-24, 0.00529, 0.02096, 0.17411, 0.02491, 0.00026, 0.00060, 0.04025, 0.05667, 0.10703, 0.47638, 0.09355
1991-01-25, 0.00556, 0.05409, 0.15984, 0.01962, 0.00026, 0.00056, 0.06793, 0.05146, 0.09826, 0.45589, 0.08653
1991-01-26, 0.00573, 0.05705, 0.16049, 0.01710, 0.00026, 0.00049, 0.07018, 0.05261, 0.09715, 0.45390, 0.08506
1991-01-27, 0.00663, 0.04401, 0.16822, 0.01889, 0.00024, 0.00044, 0.06796, 0.05482, 0.10175, 0.44838, 0.08866
1991-01-28, 0.00495, 0.02991, 0.17222, 0.02497, 0.00023, 0.00042, 0.05654, 0.05617, 0.10343, 0.46137, 0.08979
1991-01-29, 0.00450, 0.02289, 0.17656, 0.02616, 0.00023, 0.00045, 0.04756, 0.05831, 0.10472, 0.46807, 0.09055
1991-01-30, 0.00420, 0.02058, 0.18123, 0.02405, 0.00022, 0.00048, 0.04250, 0.06088, 0.10590, 0.46882, 0.09115
1991-01-31, 0.00394, 0.01774, 0.18687, 0.01985, 0.00021, 0.00039, 0.03481, 0.06339, 0.10799, 0.47244, 0.09238
1991-02-01, 0.00374, 0.01556, 0.19120, 0.01654, 0.00020, 0.00020, 0.02886, 0.06540, 0.10933, 0.47611, 0.09288
1991-02-02, 0.00357, 0.01394, 0.19452, 0.01428, 0.00018, 0.00011, 0.02474, 0.06697, 0.11013, 0.47845, 0.09311
1991-02-03, 0.00344, 0.01271, 0.19728, 0.01273, 0.00018, 0.00008, 0.02178, 0.06833, 0.11061, 0.47965, 0.09320
1991-02-04, 0.00332, 0.01174, 0.19983, 0.01157, 0.00017, 0.00008, 0.01950, 0.06955, 0.11100, 0.47998, 0.09326
1991-02-05, 0.00322, 0.01099, 0.20229, 0.01065, 0.00016, 0.00008, 0.01773, 0.07068, 0.11138, 0.47953, 0.09331
1991-02-06, 0.00314, 0.01913, 0.20194, 0.00978, 0.00012, 0.00007, 0.02394, 0.07102, 0.10974, 0.46981, 0.09132
1991-02-07, 0.00319, 0.02048, 0.20355, 0.00915, 0.00011, 0.00007, 0.02462, 0.07194, 0.10944, 0.46682, 0.09063
1991-02-08, 0.00324, 0.01473, 0.20769, 0.00884, 0.00012, 0.00006, 0.01905, 0.07323, 0.11142, 0.46928, 0.09233
1991-02-09, 0.00388, 0.02772, 0.19925, 0.00764, 0.00011, 0.00005, 0.03629, 0.07037, 0.10616, 0.46005, 0.08847
1991-02-10, 0.00372, 0.02477, 0.19959, 0.01440, 0.00011, 0.00006, 0.03555, 0.07048, 0.10567, 0.45769, 0.08796
1991-02-11, 0.00322, 0.01524, 0.20392, 0.02477, 0.00010, 0.00007, 0.02770, 0.07212, 0.10735, 0.45648, 0.08903
1991-02-12, 0.00322, 0.01431, 0.20830, 0.02074, 0.00009, 0.00008, 0.02737, 0.07386, 0.10877, 0.45361, 0.08966
1991-02-13, 0.00351, 0.02706, 0.20190, 0.01514, 0.00008, 0.00009, 0.03758, 0.07148, 0.10561, 0.44981, 0.08774
1991-02-14, 0.00355, 0.02505, 0.20570, 0.01208, 0.00007, 0.00009, 0.03332, 0.07326, 0.10625, 0.45287, 0.08775
1991-02-15, 0.00417, 0.02239, 0.21117, 0.01010, 0.00006, 0.00005, 0.03050, 0.07439, 0.10938, 0.44753, 0.09027
1991-02-16, 0.00404, 0.01906, 0.21464, 0.00883, 0.00005, 0.00003, 0.02884, 0.07614, 0.10949, 0.44925, 0.08961
1991-02-17, 0.00431, 0.03565, 0.20340, 0.00537, 0.00004, 0.00004, 0.05466, 0.07225, 0.10280, 0.43676, 0.08471
1991-02-18, 0.00455, 0.04221, 0.19962, 0.01223, 0.00004, 0.00004, 0.05792, 0.07073, 0.10001, 0.43034, 0.08231
1991-02-19, 0.00424, 0.03415, 0.20476, 0.02224, 0.00003, 0.00003, 0.04828, 0.07238, 0.10202, 0.42834, 0.08353
1991-02-20, 0.00395, 0.03060, 0.20822, 0.02564, 0.00003, 0.00003, 0.04623, 0.07370, 0.10276, 0.42523, 0.08361
1991-02-21, 0.00465, 0.03341, 0.20523, 0.02566, 0.00002, 0.00004, 0.05629, 0.07271, 0.10081, 0.41928, 0.08190
1991-02-22, 0.00583, 0.04767, 0.19296, 0.02280, 0.00002, 0.00005, 0.08703, 0.06599, 0.09707, 0.40074, 0.07983
1991-02-23, 0.00553, 0.03938, 0.19951, 0.02363, 0.00002, 0.00004, 0.08119, 0.06859, 0.09878, 0.40294, 0.08039
