date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.00619, 0.04757, 0.15933, 0.01081, 0.00019, 0.00069, 0.04426, 0.05098, 0.11313, 0.47399, 0.09287
1991-01-02, 0.00616, 0.03875, 0.16464, 0.01339, 0.00017, 0.00064, 0.03577, 0.05270, 0.11639, 0.47622, 0.09518
1991-01-03, 0.00562, 0.03136, 0.16936, 0.01061, 0.00015, 0.00072, 0.02849, 0.05511, 0.11827, 0.48438, 0.09592
1991-01-04, 0.00500, 0.02654, 0.17319, 0.00956, 0.00014, 0.00081, 0.02225, 0.05674, 0.11989, 0.48935, 0.09652
1991-01-05, 0.00471, 0.02373, 0.17643, 0.00890, 0.00012, 0.00076, 0.01854, 0.05815, 0.12112, 0.49087, 0.09668
1991-01-06, 0.00535, 0.02625, 0.17266, 0.02598, 0.00010, 0.00034, 0.02710, 0.05743, 0.11731, 0.47480, 0.09269
1991-01-07, 0.00517, 0.03251, 0.17240, 0.02258, 0.00008, 0.00030, 0.02886, 0.05695, 0.11694, 0.47208, 0.09213
1991-01-08, 0.00516, 0.03080, 0.17190, 0.02297, 0.00007, 0.00038, 0.04038, 0.05718, 0.11542, 0.46476, 0.09095
1991-01-09, 0.00498, 0.02062, 0.17698, 0.03118, 0.00006, 0.00036, 0.02838, 0.05912, 0.11775, 0.46794, 0.09261
1991-01-10, 0.00467, 0.01718, 0.18058, 0.03227, 0.00005, 0.00030, 0.02368, 0.06024, 0.11940, 0.46798, 0.09363
1991-01-11, 0.00429, 0.01501, 0.18370, 0.03419, 0.00004, 0.00040, 0.01817, 0.06115, 0.12066, 0.46809, 0.09432
1991-01-12, 0.00406, 0.01390, 0.18556, 0.03412, 0.00005, 0.00033, 0.01736, 0.06231, 0.12046, 0.46824, 0.09360
1991-01-13, 0.00389, 0.01347, 0.18790, 0.03136, 0.00006, 0.00032, 0.01679, 0.06320, 0.12110, 0.46815, 0.09375
1991-01-14, 0.00420, 0.02648, 0.18397, 0.02856, 0.00006, 0.00061, 0.02850, 0.06225, 0.11774, 0.45689, 0.09074
1991-01-15, 0.00442, 0.02724, 0.18598, 0.02643, 0.00006, 0.00069, 0.02777, 0.06300, 0.11815, 0.45565, 0.09060
1991-01-16, 0.00529, 0.02641, 0.18748, 0.02563, 0.00008, 0.00037, 0.03153, 0.06275, 0.11870, 0.45097, 0.09079
1991-01-17, 0.00424, 0.01998, 0.18795, 0.03327, 0.00012, 0.00028, 0.02976, 0.06300, 0.11749, 0.45463, 0.08928
1991-01-18, 0.00369, 0.01528, 0.19115, 0.03679, 0.00017, 0.00032, 0.02464, 0.06411, 0.11845, 0.45580, 0.08961
1991-01-19, 0.00356, 0.01338, 0.19667, 0.02875, 0.00019, 0.00033, 0.01985, 0.06658, 0.12062, 0.45947, 0.09060
1991-01-20, 0.00444, 0.01281, 0.19216, 0.02305, 0.00017, 0.00032, 0.04356, 0.06423, 0.11795, 0.45261, 0.08869
1991-01-21, 0.00365, 0.01260, 0.19559, 0.02752, 0.00011, 0.00026, 0.02860, 0.06498, 0.11966, 0.45700, 0.09004
1991-01-22, 0.00351, 0.00986, 0.19928, 0.02809, 0.00006, 0.00018, 0.02337, 0.06681, 0.12043, 0.45864, 0.08977
1991-01-23, 0.00347, 0.00921, 0.20190, 0.02712, 0.00004, 0.00015, 0.02263, 0.06776, 0.12095, 0.45695, 0.08981
1991-01-24, 0.00342, 0.00880, 0.20436, 0.02549, 0.00004, 0.00030, 0.02130, 0.06853, 0.12142, 0.45630, 0.09004
1991-01-25, 0.00429, 0.01489, 0.20152, 0.02343, 0.00005, 0.00073, 0.03028, 0.06734, 0.11868, 0.45079, 0.08799
1991-01-26, 0.00356, 0.01076, 0.20010, 0.03441, 0.00008, 0.00041, 0.03042, 0.06598, 0.11759, 0.44916, 0.08752
