date, weight 
1991-01-01, 6.24472e-07
1991-01-02, 4.21530e-07
1991-01-03, 3.61718e-07
1991-01-04, 3.35783e-07
1991-01-05, 3.16249e-07
1991-01-06, 3.68605e-07
1991-01-07, 2.71982e-06
1991-01-08, 5.79201e-06
1991-01-09, 2.84854e-06
1991-01-10, 4.10987e-06
1991-01-11, 1.16061e-05
1991-01-12, 8.99612e-06
1991-01-13, 2.30620e-06
1991-01-14, 1.15355e-06
1991-01-15, 7.58102e-07
1991-01-16, 5.46576e-07
1991-01-17, 4.67015e-07
1991-01-18, 4.07144e-07
1991-01-19, 3.20988e-07
1991-01-20, 6.86102e-07
1991-01-21, 5.10668e-06
1991-01-22, 6.67456e-06
1991-01-23, 1.50108e-06
1991-01-24, 6.91820e-07
1991-01-25, 4.36529e-07
1991-01-26, 3.56737e-07
1991-01-27, 3.12293e-07
1991-01-28, 2.36464e-07
1991-01-29, 2.08895e-07
1991-01-30, 1.90913e-07
1991-01-31, 1.77248e-07
1991-02-01, 1.66169e-07
1991-02-02, 1.56905e-07
1991-02-03, 1.50827e-07
1991-02-04, 1.44730e-07
1991-02-05, 1.37605e-07
1991-02-06, 1.32657e-07
1991-02-07, 1.25711e-07
1991-02-08, 1.21824e-07
1991-02-09, 1.54103e-07
1991-02-10, 1.72419e-07
1991-02-11, 1.19019e-07
1991-02-12, 1.09355e-07
1991-02-13, 1.09810e-07
1991-02-14, 1.08807e-07
1991-02-15, 9.83409e-08
1991-02-16, 9.64893e-08
1991-02-17, 9.99174e-08
1991-02-18, 9.42636e-08
1991-02-19, 1.13390e-07
1991-02-20, 1.45178e-07
1991-02-21, 1.25533e-07
1991-02-22, 1.04282e-06
1991-02-23, 1.59484e-06
1991-02-24, 3.71321e-07
1991-02-25, 2.01397e-07
1991-02-26, 4.44314e-07
1991-02-27, 5.19279e-07
1991-02-28, 2.60762e-07
1991-03-01, 1.01522e-05
1991-03-02, 3.43504e-06
1991-03-03, 4.82634e-06
1991-03-04, 3.57620e-06
1991-03-05, 1.13055e-06
1991-03-06, 5.47396e-07
1991-03-07, 3.44454e-07
1991-03-08, 2.49388e-07
1991-03-09, 1.93645e-07
1991-03-10, 2.05671e-07
1991-03-11, 2.52123e-07
1991-03-12, 1.97709e-07
