date, weight 
1991-01-01, 5.58546e-07
1991-01-02, 4.05543e-07
1991-01-03, 3.57619e-07
1991-01-04, 3.33630e-07
1991-01-05, 3.14593e-07
1991-01-06, 4.94030e-07
1991-01-07, 4.30996e-06
1991-01-08, 7.24100e-06
1991-01-09, 3.24563e-06
1991-01-10, 5.54510e-06
1991-01-11, 1.65090e-05
1991-01-12, 1.27284e-05
1991-01-13, 3.12711e-06
1991-01-14, 1.52188e-06
1991-01-15, 9.83316e-07
1991-01-16, 6.77549e-07
1991-01-17, 5.30001e-07
1991-01-18, 4.38449e-07
1991-01-19, 3.75064e-07
1991-01-20, 8.81162e-07
1991-01-21, 3.27282e-06
1991-01-22, 3.48775e-06
1991-01-23, 9.45347e-07
1991-01-24, 4.97439e-07
1991-01-25, 3.50178e-07
1991-01-26, 2.87686e-07
1991-01-27, 2.47992e-07
1991-01-28, 2.15287e-07
1991-01-29, 1.95981e-07
1991-01-30, 1.81606e-07
1991-01-31, 1.70070e-07
1991-02-01, 1.60334e-07
1991-02-02, 1.51960e-07
1991-02-03, 1.48847e-07
1991-02-04, 1.44342e-07
1991-02-05, 1.34687e-07
1991-02-06, 1.29973e-07
1991-02-07, 1.23061e-07
1991-02-08, 1.30461e-07
1991-02-09, 1.59473e-07
1991-02-10, 1.48716e-07
1991-02-11, 1.13408e-07
1991-02-12, 1.05926e-07
1991-02-13, 1.02584e-07
1991-02-14, 9.97531e-08
1991-02-15, 9.56390e-08
1991-02-16, 9.47048e-08
1991-02-17, 9.45561e-08
1991-02-18, 8.99576e-08
1991-02-19, 1.19010e-07
1991-02-20, 1.34593e-07
1991-02-21, 1.19528e-07
1991-02-22, 7.03958e-07
1991-02-23, 9.86203e-07
1991-02-24, 2.49052e-07
1991-02-25, 1.89918e-07
1991-02-26, 3.63023e-07
1991-02-27, 3.17144e-07
1991-02-28, 1.96139e-07
1991-03-01, 1.29827e-05
1991-03-02, 3.28505e-06
1991-03-03, 3.74667e-06
1991-03-04, 2.81756e-06
1991-03-05, 9.83869e-07
1991-03-06, 4.86859e-07
1991-03-07, 3.17864e-07
1991-03-08, 2.36118e-07
1991-03-09, 1.88949e-07
1991-03-10, 2.38270e-07
1991-03-11, 3.02514e-07
1991-03-12, 1.99545e-07
1991-03-13, 1.30990e-07
1991-03-14, 2.72989e-07
1991-03-15, 4.01160e-06
1991-03-16, 2.60895e-05
1991-03-17, 8.36728e-05
1991-03-18, 9.91140e-05
1991-03-19, 4.78636e-05
1991-03-20, 2.47909e-05
1991-03-21, 1.38472e-05
1991-03-22, 7.11250e-06
1991-03-23, 8.75530e-06
1991-03-24, 2.00282e-05
1991-03-25, 4.85069e-05
1991-03-26, 4.96579e-05
1991-03-27, 3.39457e-05
1991-03-28, 5.35253e-05
1991-03-29, 1.23032e-04
1991-03-30, 1.88738e-04
1991-03-31, 1.88124e-04
1991-04-01, 1.46001e-04
1991-04-02, 9.84892e-05
1991-04-03, 1.18307e-04
1991-04-04, 2.14101e-04
1991-04-05, 3.53024e-04
1991-04-06, 3.27416e-04
1991-04-07, 2.48039e-04
1991-04-08, 2.09408e-04
1991-04-09, 1.95455e-04
