date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.00604, 0.04627, 0.15334, 0.01181, 0.00037, 0.00137, 0.04487, 0.04925, 0.10747, 0.48146, 0.09774
1991-01-02, 0.00555, 0.04286, 0.15550, 0.01477, 0.00035, 0.00158, 0.03957, 0.05059, 0.10812, 0.48324, 0.09788
1991-01-03, 0.00505, 0.03648, 0.16064, 0.01221, 0.00033, 0.00193, 0.03281, 0.05240, 0.11078, 0.48787, 0.09950
1991-01-04, 0.00473, 0.03235, 0.16383, 0.01076, 0.00031, 0.00216, 0.02815, 0.05370, 0.11227, 0.49178, 0.09996
1991-01-05, 0.00457, 0.03106, 0.16572, 0.00992, 0.00028, 0.00187, 0.02586, 0.05502, 0.11248, 0.49323, 0.10000
1991-01-06, 0.00505, 0.04070, 0.16126, 0.00913, 0.00024, 0.00104, 0.04516, 0.05371, 0.10867, 0.47943, 0.09562
1991-01-07, 0.00576, 0.04690, 0.15997, 0.01022, 0.00021, 0.00057, 0.05335, 0.05206, 0.10824, 0.46816, 0.09457
1991-01-08, 0.00667, 0.05244, 0.15545, 0.01347, 0.00020, 0.00071, 0.06801, 0.05020, 0.10477, 0.45622, 0.09188
1991-01-09, 0.00682, 0.04596, 0.15904, 0.01815, 0.00018, 0.00084, 0.06162, 0.05188, 0.10620, 0.45640, 0.09291
1991-01-10, 0.00649, 0.04117, 0.16387, 0.02020, 0.00017, 0.00089, 0.05049, 0.05350, 0.10892, 0.45938, 0.09493
1991-01-11, 0.00553, 0.03542, 0.16827, 0.02254, 0.00016, 0.00107, 0.03985, 0.05510, 0.11117, 0.46420, 0.09669
1991-01-12, 0.00507, 0.03149, 0.17101, 0.02157, 0.00016, 0.00130, 0.03589, 0.05706, 0.11134, 0.46877, 0.09635
1991-01-13, 0.00481, 0.02877, 0.17397, 0.01876, 0.00018, 0.00143, 0.03282, 0.05828, 0.11253, 0.47124, 0.09723
1991-01-14, 0.00518, 0.03228, 0.17312, 0.01713, 0.00018, 0.00179, 0.03793, 0.05810, 0.11107, 0.46717, 0.09605
1991-01-15, 0.00605, 0.04526, 0.16810, 0.01655, 0.00015, 0.00162, 0.05400, 0.05556, 0.10797, 0.45204, 0.09270
1991-01-16, 0.00612, 0.04108, 0.16951, 0.01705, 0.00019, 0.00106, 0.05640, 0.05620, 0.10802, 0.45318, 0.09121
1991-01-17, 0.00535, 0.03770, 0.17077, 0.02486, 0.00026, 0.00073, 0.05082, 0.05721, 0.10759, 0.45392, 0.09078
1991-01-18, 0.00502, 0.03627, 0.17292, 0.03020, 0.00033, 0.00072, 0.04591, 0.05820, 0.10806, 0.45146, 0.09091
1991-01-19, 0.00581, 0.04840, 0.16934, 0.02882, 0.00036, 0.00080, 0.05440, 0.05717, 0.10510, 0.44180, 0.08802
1991-01-20, 0.00597, 0.03969, 0.16910, 0.02419, 0.00032, 0.00086, 0.06851, 0.05671, 0.10473, 0.44218, 0.08774
1991-01-21, 0.00493, 0.03572, 0.17352, 0.02979, 0.00024, 0.00084, 0.05089, 0.05756, 0.10766, 0.44856, 0.09029
1991-01-22, 0.00451, 0.02801, 0.17881, 0.03013, 0.00018, 0.00074, 0.04272, 0.06044, 0.10929, 0.45440, 0.09078
1991-01-23, 0.00427, 0.02542, 0.18174, 0.02868, 0.00017, 0.00066, 0.04038, 0.06181, 0.11006, 0.45581, 0.09099
1991-01-24, 0.00411, 0.02357, 0.18468, 0.02588, 0.00018, 0.00081, 0.03662, 0.06292, 0.11102, 0.45851, 0.09172
1991-01-25, 0.00464, 0.02339, 0.18290, 0.02375, 0.00018, 0.00125, 0.04484, 0.06215, 0.10917, 0.45746, 0.09026
1991-01-26, 0.00385, 0.02255, 0.18160, 0.02743, 0.00022, 0.00082, 0.04648, 0.06037, 0.10899, 0.45712, 0.09057
1991-01-27, 0.00367, 0.02278, 0.18245, 0.02760, 0.00031, 0.00042, 0.04749, 0.06106, 0.10829, 0.45636, 0.08958
1991-01-28, 0.00358, 0.02059, 0.18412, 0.03414, 0.00042, 0.00032, 0.04711, 0.06193, 0.10816, 0.45067, 0.08896
1991-01-29, 0.00350, 0.01898, 0.18769, 0.03465, 0.00052, 0.00031, 0.04280, 0.06336, 0.10927, 0.44940, 0.08953
1991-01-30, 0.00345, 0.01772, 0.19445, 0.02391, 0.00054, 0.00031, 0.03441, 0.06647, 0.11189, 0.45564, 0.09122
1991-01-31, 0.00336, 0.01679, 0.19811, 0.01988, 0.00049, 0.00028, 0.02943, 0.06816, 0.11284, 0.45901, 0.09163
1991-02-01, 0.00327, 0.01604, 0.20099, 0.01753, 0.00042, 0.00026, 0.02596, 0.06952, 0.11333, 0.46093, 0.09175
1991-02-02, 0.00319, 0.01538, 0.20352, 0.01584, 0.00038, 0.00023, 0.02334, 0.07070, 0.11366, 0.46200, 0.09177
1991-02-03, 0.00311, 0.01476, 0.20587, 0.01451, 0.00035, 0.00021, 0.02127, 0.07177, 0.11392, 0.46249, 0.09174
1991-02-04, 0.00303, 0.01420, 0.20813, 0.01342, 0.00034, 0.00018, 0.01956, 0.07278, 0.11416, 0.46250, 0.09169
1991-02-05, 0.00318, 0.01617, 0.20956, 0.01215, 0.00035, 0.00016, 0.02068, 0.07358, 0.11386, 0.45925, 0.09107
1991-02-06, 0.00319, 0.01824, 0.21051, 0.01100, 0.00037, 0.00014, 0.02243, 0.07417, 0.11337, 0.45635, 0.09023
1991-02-07, 0.00293, 0.01653, 0.21337, 0.01072, 0.00037, 0.00013, 0.02005, 0.07521, 0.11415, 0.45597, 0.09058
1991-02-08, 0.00363, 0.01480, 0.21112, 0.01066, 0.00037, 0.00013, 0.02825, 0.07442, 0.11209, 0.45515, 0.08938
