date, weight 
1991-01-01, 5.07045e-06
1991-01-02, 2.75831e-06
1991-01-03, 1.55993e-06
1991-01-04, 1.12925e-06
1991-01-05, 9.00171e-07
1991-01-06, 7.96041e-07
1991-01-07, 4.39086e-06
1991-01-08, 1.32975e-05
1991-01-09, 1.28535e-05
1991-01-10, 1.97999e-05
1991-01-11, 3.24840e-05
1991-01-12, 2.05656e-05
1991-01-13, 5.90486e-06
1991-01-14, 2.92253e-06
1991-01-15, 1.04434e-05
1991-01-16, 2.13181e-05
1991-01-17, 1.10922e-05
1991-01-18, 5.24206e-06
1991-01-19, 2.23797e-06
1991-01-20, 3.14329e-06
1991-01-21, 2.44649e-05
1991-01-22, 2.61484e-05
1991-01-23, 5.30694e-06
1991-01-24, 2.38890e-06
1991-01-25, 1.45029e-06
1991-01-26, 1.26191e-06
1991-01-27, 1.19931e-06
1991-01-28, 7.16663e-07
1991-01-29, 5.67262e-07
1991-01-30, 4.79910e-07
1991-01-31, 4.19886e-07
1991-02-01, 3.74068e-07
1991-02-02, 3.36143e-07
1991-02-03, 3.06016e-07
1991-02-04, 2.80878e-07
1991-02-05, 2.79365e-07
1991-02-06, 3.69564e-07
1991-02-07, 3.26010e-07
1991-02-08, 2.46988e-07
1991-02-09, 4.34994e-07
1991-02-10, 1.49340e-06
1991-02-11, 1.22746e-06
1991-02-12, 4.13645e-07
1991-02-13, 3.07521e-07
1991-02-14, 2.92021e-07
1991-02-15, 1.94989e-07
1991-02-16, 1.68566e-07
1991-02-17, 2.11786e-07
1991-02-18, 2.58900e-07
1991-02-19, 1.72728e-07
1991-02-20, 1.89544e-07
1991-02-21, 2.19070e-07
1991-02-22, 4.97603e-06
1991-02-23, 8.65031e-06
1991-02-24, 4.32307e-06
1991-02-25, 6.17899e-06
1991-02-26, 9.82516e-06
1991-02-27, 8.04521e-06
1991-02-28, 4.15907e-06
1991-03-01, 1.34594e-05
1991-03-02, 8.82223e-06
1991-03-03, 4.44716e-06
1991-03-04, 2.65895e-06
1991-03-05, 1.23965e-06
1991-03-06, 8.88507e-07
1991-03-07, 6.73362e-07
1991-03-08, 4.06706e-07
1991-03-09, 3.08576e-07
1991-03-10, 9.77219e-07
1991-03-11, 2.39662e-06
1991-03-12, 2.33020e-06
1991-03-13, 2.26579e-06
1991-03-14, 1.17187e-06
1991-03-15, 3.15036e-06
1991-03-16, 1.45691e-05
1991-03-17, 1.58276e-05
1991-03-18, 9.70603e-06
1991-03-19, 5.78720e-06
1991-03-20, 3.56987e-06
1991-03-21, 2.04520e-06
1991-03-22, 1.28093e-06
1991-03-23, 5.56906e-06
1991-03-24, 1.55949e-05
1991-03-25, 3.15650e-05
1991-03-26, 4.97086e-05
1991-03-27, 3.45241e-05
1991-03-28, 5.09721e-05
1991-03-29, 1.29310e-04
1991-03-30, 2.14970e-04
1991-03-31, 2.54985e-04
1991-04-01, 2.14980e-04
1991-04-02, 1.57328e-04
1991-04-03, 1.53572e-04
1991-04-04, 1.52143e-04
1991-04-05, 2.16793e-04
1991-04-06, 3.34126e-04
1991-04-07, 2.66920e-04
1991-04-08, 2.23916e-04
1991-04-09, 2.22286e-04
1991-04-10, 2.14123e-04
1991-04-11, 2.15782e-04
1991-04-12, 1.81622e-04
1991-04-13, 1.56354e-04
1991-04-14, 1.88191e-04
1991-04-15, 3.27795e-04
1991-04-16, 3.57316e-04
1991-04-17, 3.01668e-04
1991-04-18, 3.98165e-04
1991-04-19, 5.22611e-04
1991-04-20, 5.48885e-04
1991-04-21, 5.90703e-04
1991-04-22, 8.01237e-04
1991-04-23, 9.44633e-04
1991-04-24, 0.00106
1991-04-25, 0.00110
1991-04-26, 9.47017e-04
1991-04-27, 8.03210e-04
1991-04-28, 6.73452e-04
1991-04-29, 6.72580e-04
1991-04-30, 7.21046e-04
1991-05-01, 7.16299e-04
1991-05-02, 9.34171e-04
1991-05-03, 0.00144
1991-05-04, 0.00167
1991-05-05, 0.00150
1991-05-06, 0.00143
1991-05-07, 0.00150
1991-05-08, 0.00134
1991-05-09, 0.00122
1991-05-10, 0.00129
1991-05-11, 0.00133
1991-05-12, 0.00126
1991-05-13, 0.00118
1991-05-14, 0.00108
1991-05-15, 9.77539e-04
1991-05-16, 8.69507e-04
1991-05-17, 8.44272e-04
1991-05-18, 7.55871e-04
1991-05-19, 6.55453e-04
1991-05-20, 5.86303e-04
1991-05-21, 4.73859e-04
1991-05-22, 4.25515e-04
1991-05-23, 3.80527e-04
1991-05-24, 3.00685e-04
1991-05-25, 2.49125e-04
1991-05-26, 2.24335e-04
1991-05-27, 1.74548e-04
1991-05-28, 1.39861e-04
1991-05-29, 1.27000e-04
1991-05-30, 1.27560e-04
1991-05-31, 1.02745e-04
1991-06-01, 1.09077e-04
1991-06-02, 1.21889e-04
1991-06-03, 8.88333e-05
1991-06-04, 6.38109e-05
1991-06-05, 5.58669e-05
1991-06-06, 5.84235e-05
1991-06-07, 4.91209e-05
1991-06-08, 4.21379e-05
1991-06-09, 3.07334e-05
1991-06-10, 2.82422e-05
1991-06-11, 3.50244e-05
1991-06-12, 8.42021e-05
1991-06-13, 6.68163e-05
1991-06-14, 4.02307e-05
1991-06-15, 5.07769e-05
1991-06-16, 5.37613e-05
1991-06-17, 4.41480e-05
1991-06-18, 4.56417e-05
1991-06-19, 4.06138e-05
1991-06-20, 3.31281e-05
1991-06-21, 4.22410e-05
1991-06-22, 4.52708e-05
1991-06-23, 5.03237e-05
1991-06-24, 4.11771e-05
1991-06-25, 3.26446e-05
1991-06-26, 4.37139e-05
1991-06-27, 5.21189e-05
1991-06-28, 4.47909e-05
1991-06-29, 6.35378e-05
1991-06-30, 7.04890e-05
1991-07-01, 6.14545e-05
1991-07-02, 4.96715e-05
1991-07-03, 5.29013e-05
1991-07-04, 4.69979e-05
1991-07-05, 6.43841e-05
1991-07-06, 7.03209e-05
1991-07-07, 4.45653e-05
1991-07-08, 3.21001e-05
1991-07-09, 4.33761e-05
1991-07-10, 5.45542e-05
1991-07-11, 7.66770e-05
1991-07-12, 9.26306e-05
1991-07-13, 6.58148e-05
1991-07-14, 4.57707e-05
1991-07-15, 3.58228e-05
1991-07-16, 5.28932e-05
1991-07-17, 6.67884e-05
1991-07-18, 5.80204e-05
1991-07-19, 5.66744e-05
