date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.01073, 0.16579, 0.09839, 0.05715, 0.00064, 0.00235, 0.09973, 0.01927, 0.08158, 0.38304, 0.08133
1991-01-02, 0.00934, 0.14908, 0.10663, 0.05492, 0.00085, 0.00274, 0.08336, 0.02127, 0.08824, 0.39613, 0.08742
1991-01-03, 0.00826, 0.12701, 0.11202, 0.05312, 0.00094, 0.00342, 0.07116, 0.02396, 0.09123, 0.41887, 0.09000
1991-01-04, 0.00831, 0.11098, 0.11646, 0.04800, 0.00088, 0.00370, 0.07031, 0.02592, 0.09397, 0.42933, 0.09213
1991-01-05, 0.00776, 0.09654, 0.12085, 0.04329, 0.00075, 0.00366, 0.06080, 0.02715, 0.09689, 0.44756, 0.09475
1991-01-06, 0.00715, 0.08806, 0.12306, 0.04215, 0.00064, 0.00344, 0.05492, 0.02851, 0.09757, 0.45919, 0.09529
1991-01-07, 0.00824, 0.10266, 0.11423, 0.04153, 0.00056, 0.00299, 0.08497, 0.02582, 0.09106, 0.43847, 0.08947
1991-01-08, 0.00833, 0.09993, 0.11648, 0.04499, 0.00057, 0.00306, 0.07365, 0.02723, 0.09182, 0.44380, 0.09014
1991-01-09, 0.00876, 0.11304, 0.11195, 0.05815, 0.00059, 0.00295, 0.08630, 0.02577, 0.08848, 0.41667, 0.08733
1991-01-10, 0.00824, 0.10882, 0.11154, 0.06820, 0.00066, 0.00272, 0.08374, 0.02673, 0.08722, 0.41631, 0.08581
1991-01-11, 0.00865, 0.10758, 0.11833, 0.05038, 0.00074, 0.00253, 0.09030, 0.02949, 0.09159, 0.41145, 0.08896
1991-01-12, 0.00791, 0.09795, 0.12448, 0.03899, 0.00082, 0.00247, 0.07569, 0.03204, 0.09507, 0.43311, 0.09148
1991-01-13, 0.00772, 0.09180, 0.12785, 0.03653, 0.00087, 0.00230, 0.06593, 0.03380, 0.09645, 0.44492, 0.09184
1991-01-14, 0.00718, 0.08326, 0.12988, 0.04062, 0.00087, 0.00213, 0.06229, 0.03519, 0.09680, 0.45038, 0.09141
1991-01-15, 0.00668, 0.07250, 0.13422, 0.04324, 0.00084, 0.00210, 0.05495, 0.03707, 0.09910, 0.45624, 0.09307
1991-01-16, 0.00650, 0.06035, 0.13729, 0.03469, 0.00079, 0.00225, 0.06124, 0.03802, 0.10101, 0.46304, 0.09484
1991-01-17, 0.00606, 0.05112, 0.14510, 0.03002, 0.00074, 0.00218, 0.04009, 0.03953, 0.10686, 0.47825, 0.10005
1991-01-18, 0.00601, 0.05307, 0.14560, 0.02822, 0.00071, 0.00189, 0.04481, 0.04087, 0.10562, 0.47511, 0.09810
1991-01-19, 0.00568, 0.05115, 0.14671, 0.03074, 0.00073, 0.00181, 0.04542, 0.04235, 0.10487, 0.47416, 0.09638
1991-01-20, 0.00541, 0.04569, 0.15111, 0.03359, 0.00077, 0.00208, 0.03854, 0.04327, 0.10806, 0.47304, 0.09844
1991-01-21, 0.00581, 0.05496, 0.14985, 0.02636, 0.00071, 0.00283, 0.05698, 0.04275, 0.10659, 0.45712, 0.09604
1991-01-22, 0.00570, 0.05253, 0.15114, 0.03260, 0.00053, 0.00249, 0.05376, 0.04307, 0.10697, 0.45508, 0.09612
1991-01-23, 0.00562, 0.05368, 0.15284, 0.03325, 0.00063, 0.00139, 0.04623, 0.04482, 0.10663, 0.45836, 0.09654
1991-01-24, 0.00547, 0.04705, 0.15559, 0.03290, 0.00083, 0.00118, 0.04212, 0.04667, 0.10721, 0.46435, 0.09665
1991-01-25, 0.00522, 0.05399, 0.15125, 0.03035, 0.00097, 0.00149, 0.05191, 0.04491, 0.10492, 0.45948, 0.09549
1991-01-26, 0.00783, 0.06668, 0.14094, 0.02742, 0.00094, 0.00145, 0.08028, 0.04227, 0.09708, 0.44671, 0.08841
1991-01-27, 0.00803, 0.06319, 0.13847, 0.03702, 0.00083, 0.00118, 0.09426, 0.03937, 0.09708, 0.43199, 0.08859
1991-01-28, 0.00852, 0.06552, 0.12763, 0.05791, 0.00070, 0.00113, 0.11836, 0.03607, 0.09013, 0.41170, 0.08233
1991-01-29, 0.00800, 0.05248, 0.13209, 0.07851, 0.00046, 0.00104, 0.11223, 0.03905, 0.09121, 0.40296, 0.08197
1991-01-30, 0.00679, 0.04400, 0.14100, 0.07843, 0.00040, 0.00115, 0.08650, 0.04232, 0.09621, 0.41710, 0.08609
1991-01-31, 0.00709, 0.05605, 0.14250, 0.06951, 0.00042, 0.00121, 0.08417, 0.04395, 0.09550, 0.41459, 0.08499
1991-02-01, 0.00697, 0.05690, 0.14012, 0.07267, 0.00049, 0.00112, 0.09315, 0.04285, 0.09334, 0.40929, 0.08312
1991-02-02, 0.00655, 0.05158, 0.14090, 0.07793, 0.00058, 0.00117, 0.09104, 0.04271, 0.09346, 0.41088, 0.08320
1991-02-03, 0.00644, 0.05877, 0.14514, 0.06490, 0.00063, 0.00097, 0.08750, 0.04512, 0.09512, 0.41161, 0.08379
1991-02-04, 0.00659, 0.07319, 0.14000, 0.06022, 0.00070, 0.00083, 0.09792, 0.04356, 0.09258, 0.40253, 0.08188
1991-02-05, 0.00661, 0.07570, 0.14525, 0.04594, 0.00078, 0.00080, 0.08743, 0.04637, 0.09464, 0.41326, 0.08321
1991-02-06, 0.00719, 0.07847, 0.14526, 0.03789, 0.00079, 0.00084, 0.09336, 0.04534, 0.09537, 0.41098, 0.08450
1991-02-07, 0.00710, 0.06394, 0.15047, 0.03296, 0.00075, 0.00089, 0.08940, 0.04744, 0.09751, 0.42312, 0.08642
1991-02-08, 0.00688, 0.06185, 0.15129, 0.03708, 0.00060, 0.00092, 0.09017, 0.04886, 0.09609, 0.42181, 0.08446
1991-02-09, 0.00660, 0.06011, 0.15279, 0.04789, 0.00051, 0.00093, 0.08285, 0.04951, 0.09620, 0.41844, 0.08417
1991-02-10, 0.00658, 0.06190, 0.15659, 0.04779, 0.00048, 0.00091, 0.07254, 0.05131, 0.09735, 0.41984, 0.08469
1991-02-11, 0.00646, 0.06280, 0.15953, 0.04837, 0.00045, 0.00093, 0.06471, 0.05289, 0.09781, 0.42156, 0.08451
1991-02-12, 0.00577, 0.05449, 0.16410, 0.04681, 0.00050, 0.00127, 0.05695, 0.05455, 0.09985, 0.42957, 0.08614
1991-02-13, 0.00567, 0.05320, 0.16764, 0.03911, 0.00054, 0.00139, 0.05307, 0.05568, 0.10142, 0.43500, 0.08728
1991-02-14, 0.00581, 0.05400, 0.16527, 0.04499, 0.00055, 0.00103, 0.06436, 0.05486, 0.09921, 0.42513, 0.08480
1991-02-15, 0.00616, 0.06763, 0.15503, 0.05616, 0.00052, 0.00078, 0.07703, 0.05136, 0.09304, 0.41286, 0.07943
1991-02-16, 0.00639, 0.06976, 0.15894, 0.04943, 0.00050, 0.00043, 0.07214, 0.05353, 0.09417, 0.41504, 0.07967
1991-02-17, 0.00593, 0.05855, 0.17147, 0.04018, 0.00049, 0.00033, 0.05901, 0.05818, 0.10054, 0.42165, 0.08367
1991-02-18, 0.00636, 0.06104, 0.16243, 0.04854, 0.00044, 0.00031, 0.08068, 0.05407, 0.09627, 0.41022, 0.07963
