date, weight 
1991-01-01, 1.06247e-05
1991-01-02, 8.54517e-06
1991-01-03, 4.94192e-06
1991-01-04, 3.57103e-06
1991-01-05, 4.28922e-06
1991-01-06, 6.04085e-06
1991-01-07, 6.07938e-06
1991-01-08, 6.36611e-06
1991-01-09, 7.89190e-06
1991-01-10, 6.49526e-06
1991-01-11, 3.71154e-06
1991-01-12, 2.24874e-06
1991-01-13, 1.59690e-06
1991-01-14, 1.27990e-06
1991-01-15, 1.10290e-06
1991-01-16, 1.49217e-06
1991-01-17, 4.20461e-05
1991-01-18, 1.16929e-04
1991-01-19, 4.95952e-05
1991-01-20, 1.18816e-05
1991-01-21, 6.17733e-06
1991-01-22, 1.54632e-05
1991-01-23, 1.76818e-05
1991-01-24, 4.82559e-06
1991-01-25, 3.43998e-06
1991-01-26, 5.90331e-06
1991-01-27, 1.35991e-05
1991-01-28, 1.15402e-05
1991-01-29, 1.15571e-05
1991-01-30, 1.52678e-05
1991-01-31, 8.49222e-06
1991-02-01, 3.03844e-06
1991-02-02, 1.84347e-06
1991-02-03, 1.39247e-06
1991-02-04, 2.15133e-06
1991-02-05, 4.23665e-06
1991-02-06, 4.38483e-06
1991-02-07, 3.80461e-06
1991-02-08, 4.97475e-06
1991-02-09, 8.50175e-06
1991-02-10, 6.80398e-06
1991-02-11, 3.01949e-06
1991-02-12, 1.86822e-06
1991-02-13, 1.50576e-06
1991-02-14, 1.34048e-06
1991-02-15, 1.29902e-06
1991-02-16, 1.59231e-06
1991-02-17, 1.12922e-06
1991-02-18, 1.24031e-06
1991-02-19, 4.76340e-06
1991-02-20, 5.50153e-06
1991-02-21, 3.29200e-06
1991-02-22, 3.35982e-06
1991-02-23, 1.37349e-06
1991-02-24, 2.33843e-06
1991-02-25, 7.32016e-06
1991-02-26, 2.37576e-05
1991-02-27, 4.79881e-05
1991-02-28, 4.68756e-05
1991-03-01, 1.69056e-05
1991-03-02, 4.51079e-05
1991-03-03, 4.01547e-05
1991-03-04, 1.80541e-05
1991-03-05, 1.41916e-05
1991-03-06, 1.20927e-05
1991-03-07, 7.82654e-06
1991-03-08, 4.44373e-06
1991-03-09, 2.51312e-06
1991-03-10, 1.74650e-06
1991-03-11, 2.38760e-06
1991-03-12, 1.16688e-05
1991-03-13, 3.73423e-05
1991-03-14, 2.59124e-05
1991-03-15, 8.19383e-06
1991-03-16, 4.14465e-06
1991-03-17, 3.67521e-06
1991-03-18, 4.28454e-06
1991-03-19, 4.11333e-06
1991-03-20, 3.74363e-06
1991-03-21, 2.17518e-06
1991-03-22, 1.82060e-06
1991-03-23, 2.03830e-06
1991-03-24, 5.09912e-06
1991-03-25, 9.93754e-06
1991-03-26, 6.52153e-06
1991-03-27, 3.16695e-06
1991-03-28, 2.21825e-06
1991-03-29, 5.13746e-06
1991-03-30, 1.17301e-05
1991-03-31, 5.95083e-05
1991-04-01, 1.20637e-04
1991-04-02, 1.31718e-04
1991-04-03, 8.56819e-05
1991-04-04, 6.26652e-05
1991-04-05, 8.97392e-05
1991-04-06, 1.15398e-04
1991-04-07, 1.52714e-04
1991-04-08, 1.47661e-04
1991-04-09, 9.99411e-05
1991-04-10, 8.07956e-05
1991-04-11, 9.93722e-05
1991-04-12, 1.60743e-04
1991-04-13, 1.09654e-04
1991-04-14, 7.49351e-05
1991-04-15, 7.48005e-05
1991-04-16, 1.14689e-04
1991-04-17, 1.70413e-04
1991-04-18, 1.35148e-04
1991-04-19, 1.28059e-04
1991-04-20, 2.35647e-04
1991-04-21, 2.05718e-04
1991-04-22, 1.30488e-04
1991-04-23, 1.13742e-04
1991-04-24, 1.37156e-04
1991-04-25, 2.24461e-04
1991-04-26, 2.89472e-04
1991-04-27, 3.21586e-04
1991-04-28, 3.34161e-04
1991-04-29, 3.17852e-04
1991-04-30, 3.36569e-04
1991-05-01, 2.43206e-04
1991-05-02, 2.53383e-04
1991-05-03, 4.21018e-04
1991-05-04, 6.36112e-04
1991-05-05, 8.68904e-04
1991-05-06, 0.00104
1991-05-07, 0.00112
1991-05-08, 0.00113
1991-05-09, 0.00107
1991-05-10, 0.00107
1991-05-11, 0.00116
1991-05-12, 0.00124
1991-05-13, 0.00119
1991-05-14, 9.40269e-04
1991-05-15, 8.80092e-04
1991-05-16, 0.00106
1991-05-17, 9.54942e-04
1991-05-18, 7.88906e-04
1991-05-19, 8.90294e-04
1991-05-20, 0.00101
1991-05-21, 9.85656e-04
1991-05-22, 8.76835e-04
1991-05-23, 9.02728e-04
1991-05-24, 9.52621e-04
1991-05-25, 8.82877e-04
1991-05-26, 7.92710e-04
1991-05-27, 6.60906e-04
1991-05-28, 6.19475e-04
1991-05-29, 6.16260e-04
1991-05-30, 6.44257e-04
1991-05-31, 6.86763e-04
1991-06-01, 7.40888e-04
1991-06-02, 7.89365e-04
1991-06-03, 8.03004e-04
1991-06-04, 7.12198e-04
1991-06-05, 5.41856e-04
1991-06-06, 4.22169e-04
1991-06-07, 3.74224e-04
1991-06-08, 4.67305e-04
1991-06-09, 7.01572e-04
1991-06-10, 6.56593e-04
1991-06-11, 4.59255e-04
1991-06-12, 3.59325e-04
1991-06-13, 3.53371e-04
1991-06-14, 3.58466e-04
1991-06-15, 3.36753e-04
1991-06-16, 3.29631e-04
1991-06-17, 2.59159e-04
1991-06-18, 2.04719e-04
1991-06-19, 1.91579e-04
1991-06-20, 1.71624e-04
1991-06-21, 1.54903e-04
1991-06-22, 1.26568e-04
1991-06-23, 1.04987e-04
1991-06-24, 1.01194e-04
1991-06-25, 8.87169e-05
1991-06-26, 7.09287e-05
1991-06-27, 6.54681e-05
1991-06-28, 6.20535e-05
1991-06-29, 5.84204e-05
1991-06-30, 5.32082e-05
1991-07-01, 4.74721e-05
1991-07-02, 6.47229e-05
1991-07-03, 5.67786e-05
1991-07-04, 4.50475e-05
1991-07-05, 4.92844e-05
1991-07-06, 6.12001e-05
1991-07-07, 4.72806e-05
1991-07-08, 2.92934e-05
1991-07-09, 4.31288e-05
1991-07-10, 4.55524e-05
1991-07-11, 4.95473e-05
1991-07-12, 4.29574e-05
1991-07-13, 3.71455e-05
1991-07-14, 2.82097e-05
1991-07-15, 3.29033e-05
1991-07-16, 3.89232e-05
1991-07-17, 4.05389e-05
1991-07-18, 4.36999e-05
1991-07-19, 4.64704e-05
1991-07-20, 3.30747e-05
1991-07-21, 4.18838e-05
1991-07-22, 3.89273e-05
1991-07-23, 2.81415e-05
1991-07-24, 2.76437e-05
1991-07-25, 7.44280e-05
1991-07-26, 7.70125e-05
1991-07-27, 4.98692e-05
1991-07-28, 4.69246e-05
1991-07-29, 7.53156e-05
1991-07-30, 5.19870e-05
1991-07-31, 4.33133e-05
1991-08-01, 3.52797e-05
1991-08-02, 4.33378e-05
1991-08-03, 5.49108e-05
1991-08-04, 3.37341e-05
1991-08-05, 2.52089e-05
1991-08-06, 3.44273e-05
1991-08-07, 2.62117e-05
1991-08-08, 3.31739e-05
1991-08-09, 3.91277e-05
1991-08-10, 5.72386e-05
1991-08-11, 5.07735e-05
1991-08-12, 5.43447e-05
1991-08-13, 1.02570e-04
1991-08-14, 6.13513e-05
1991-08-15, 4.41614e-05
1991-08-16, 3.62132e-05
1991-08-17, 2.32768e-05
1991-08-18, 2.70201e-05
1991-08-19, 6.32602e-05
1991-08-20, 6.46434e-05
1991-08-21, 2.95788e-05
1991-08-22, 3.44357e-05
1991-08-23, 5.26976e-05
1991-08-24, 5.45076e-05
1991-08-25, 4.16372e-05
1991-08-26, 4.60280e-05
1991-08-27, 3.57376e-05
1991-08-28, 2.63758e-05
1991-08-29, 2.92675e-05
1991-08-30, 2.86841e-05
1991-08-31, 4.09234e-05
1991-09-01, 8.80781e-05
1991-09-02, 8.24061e-05
1991-09-03, 3.77982e-05
1991-09-04, 1.80686e-05
1991-09-05, 2.72129e-05
1991-09-06, 8.27173e-05
1991-09-07, 7.97380e-05
1991-09-08, 4.68501e-05
1991-09-09, 3.85434e-05
1991-09-10, 4.25474e-05
1991-09-11, 8.07485e-05
1991-09-12, 1.15440e-04
1991-09-13, 7.90942e-05
1991-09-14, 3.08000e-05
1991-09-15, 5.68003e-05
1991-09-16, 4.28949e-05
1991-09-17, 1.94694e-05
1991-09-18, 2.74996e-05
1991-09-19, 3.63431e-05
1991-09-20, 3.03129e-05
1991-09-21, 3.39692e-05
1991-09-22, 4.43940e-05
1991-09-23, 4.32496e-05
1991-09-24, 4.23638e-05
1991-09-25, 4.77148e-05
1991-09-26, 4.24730e-05
1991-09-27, 7.74514e-05
1991-09-28, 9.51315e-05
1991-09-29, 8.10518e-05
1991-09-30, 9.04551e-05
1991-10-01, 5.47792e-05
1991-10-02, 3.52263e-05
1991-10-03, 3.41103e-05
1991-10-04, 3.72686e-05
1991-10-05, 3.11449e-05
1991-10-06, 3.41737e-05
1991-10-07, 3.09377e-05
1991-10-08, 2.10176e-05
1991-10-09, 2.12681e-05
1991-10-10, 2.19642e-05
1991-10-11, 4.06326e-05
1991-10-12, 3.27456e-05
1991-10-13, 2.59638e-05
1991-10-14, 2.62014e-05
1991-10-15, 2.16417e-05
1991-10-16, 3.01435e-05
1991-10-17, 3.76614e-05
1991-10-18, 4.16550e-05
1991-10-19, 4.13074e-05
1991-10-20, 5.99457e-05
1991-10-21, 7.40600e-05
1991-10-22, 3.97403e-05
1991-10-23, 3.87189e-05
1991-10-24, 3.51260e-05
1991-10-25, 2.35965e-05
1991-10-26, 2.26484e-05
1991-10-27, 3.27600e-05
1991-10-28, 2.55665e-05
1991-10-29, 3.08856e-05
1991-10-30, 4.23396e-05
1991-10-31, 4.32834e-05
1991-11-01, 2.51805e-05
1991-11-02, 2.56938e-05
1991-11-03, 3.30056e-05
1991-11-04, 3.89152e-05
1991-11-05, 6.00407e-05
1991-11-06, 6.96755e-05
1991-11-07, 7.66297e-05
1991-11-08, 8.89598e-05
1991-11-09, 6.18391e-05
1991-11-10, 4.31878e-05
1991-11-11, 4.51019e-05
1991-11-12, 4.38074e-05
1991-11-13, 3.65885e-05
1991-11-14, 2.82875e-05
1991-11-15, 2.65219e-05
1991-11-16, 2.79334e-05
1991-11-17, 3.78193e-05
1991-11-18, 4.26819e-05
1991-11-19, 2.61544e-05
1991-11-20, 2.45201e-05
1991-11-21, 2.73187e-05
1991-11-22, 3.41715e-05
1991-11-23, 4.10108e-05
1991-11-24, 3.78345e-05
1991-11-25, 1.90160e-05
1991-11-26, 1.71368e-05
1991-11-27, 4.60417e-05
1991-11-28, 7.96916e-05
1991-11-29, 7.79168e-05
1991-11-30, 5.05028e-05
1991-12-01, 4.09320e-05
1991-12-02, 2.49288e-05
1991-12-03, 2.27320e-05
1991-12-04, 3.02660e-05
1991-12-05, 2.20102e-05
1991-12-06, 1.85958e-05
1991-12-07, 1.57758e-05
1991-12-08, 1.32509e-05
1991-12-09, 1.16611e-05
1991-12-10, 8.64171e-06
1991-12-11, 1.43681e-05
1991-12-12, 2.01351e-05
1991-12-13, 1.72577e-05
1991-12-14, 1.93864e-05
1991-12-15, 1.66552e-05
1991-12-16, 1.34234e-05
1991-12-17, 1.50188e-05
1991-12-18, 1.17381e-05
1991-12-19, 8.68637e-06
1991-12-20, 9.17332e-06
1991-12-21, 1.14961e-05
1991-12-22, 2.25977e-05
