date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.01189, 0.11463, 0.10120, 0.09267, 0.00144, 0.00526, 0.08011, 0.01381, 0.08784, 0.39847, 0.09267
1991-01-02, 0.01456, 0.09765, 0.10447, 0.09294, 0.00160, 0.00434, 0.07686, 0.01542, 0.09010, 0.40813, 0.09392
1991-01-03, 0.01395, 0.08046, 0.10859, 0.08741, 0.00198, 0.00445, 0.07152, 0.01715, 0.09284, 0.42479, 0.09685
1991-01-04, 0.00956, 0.06626, 0.11518, 0.06959, 0.00226, 0.00486, 0.06052, 0.01879, 0.09772, 0.45321, 0.10206
1991-01-05, 0.00840, 0.07278, 0.11562, 0.06083, 0.00211, 0.00452, 0.05953, 0.01880, 0.09774, 0.45839, 0.10129
1991-01-06, 0.00825, 0.08220, 0.11142, 0.06008, 0.00192, 0.00386, 0.07328, 0.01817, 0.09410, 0.44935, 0.09737
1991-01-07, 0.01159, 0.09771, 0.10297, 0.06523, 0.00163, 0.00343, 0.10127, 0.01614, 0.08753, 0.42188, 0.09062
1991-01-08, 0.01263, 0.10368, 0.10077, 0.06345, 0.00150, 0.00321, 0.11227, 0.01454, 0.08673, 0.41110, 0.09013
1991-01-09, 0.01119, 0.09172, 0.10292, 0.07873, 0.00148, 0.00321, 0.10030, 0.01626, 0.08726, 0.41585, 0.09109
1991-01-10, 0.01231, 0.11120, 0.09401, 0.08516, 0.00148, 0.00291, 0.13247, 0.01408, 0.08044, 0.38181, 0.08412
1991-01-11, 0.01166, 0.09741, 0.10112, 0.08294, 0.00168, 0.00290, 0.11269, 0.01621, 0.08569, 0.39876, 0.08895
1991-01-12, 0.01065, 0.09217, 0.10581, 0.07228, 0.00181, 0.00323, 0.10633, 0.01794, 0.08868, 0.40908, 0.09202
1991-01-13, 0.00985, 0.09137, 0.10694, 0.06449, 0.00191, 0.00324, 0.10732, 0.01920, 0.08843, 0.41566, 0.09159
1991-01-14, 0.00860, 0.07253, 0.11369, 0.05862, 0.00201, 0.00300, 0.09070, 0.02171, 0.09278, 0.44045, 0.09593
1991-01-15, 0.00746, 0.05912, 0.11846, 0.05614, 0.00208, 0.00340, 0.07673, 0.02411, 0.09528, 0.45874, 0.09847
1991-01-16, 0.00834, 0.06642, 0.11323, 0.06718, 0.00184, 0.00350, 0.09656, 0.02299, 0.09116, 0.43422, 0.09456
1991-01-17, 0.00816, 0.06620, 0.11653, 0.05792, 0.00184, 0.00307, 0.08833, 0.02404, 0.09347, 0.44364, 0.09681
1991-01-18, 0.00901, 0.06054, 0.11905, 0.05557, 0.00188, 0.00264, 0.09132, 0.02625, 0.09378, 0.44346, 0.09651
1991-01-19, 0.00948, 0.05879, 0.11855, 0.05492, 0.00189, 0.00262, 0.09398, 0.02721, 0.09194, 0.44675, 0.09386
