date, weight 
1991-01-01, 4.82707e-05
1991-01-02, 3.43307e-05
1991-01-03, 2.01361e-05
1991-01-04, 2.46162e-05
1991-01-05, 3.71541e-05
1991-01-06, 2.92831e-05
1991-01-07, 3.89981e-05
1991-01-08, 6.70293e-05
1991-01-09, 8.39156e-05
1991-01-10, 6.08129e-05
1991-01-11, 3.81711e-05
1991-01-12, 4.09885e-05
1991-01-13, 3.08424e-05
1991-01-14, 1.55234e-05
1991-01-15, 1.12113e-05
1991-01-16, 9.28801e-06
1991-01-17, 2.50761e-05
1991-01-18, 5.19182e-05
1991-01-19, 4.20915e-05
1991-01-20, 1.31104e-05
1991-01-21, 1.15691e-05
1991-01-22, 3.62202e-05
1991-01-23, 3.90642e-05
1991-01-24, 1.66712e-05
1991-01-25, 1.43457e-05
1991-01-26, 1.67051e-05
1991-01-27, 3.97702e-05
1991-01-28, 7.12473e-05
1991-01-29, 1.30388e-04
1991-01-30, 1.24055e-04
1991-01-31, 4.28846e-05
1991-02-01, 1.98759e-05
1991-02-02, 1.99873e-05
1991-02-03, 3.12809e-05
1991-02-04, 6.57258e-05
1991-02-05, 8.82467e-05
1991-02-06, 4.85266e-05
1991-02-07, 3.36528e-05
1991-02-08, 7.31622e-05
1991-02-09, 8.95961e-05
1991-02-10, 3.75072e-05
1991-02-11, 1.67377e-05
1991-02-12, 2.71848e-05
1991-02-13, 3.62373e-05
1991-02-14, 3.91704e-05
1991-02-15, 3.11636e-05
1991-02-16, 2.92997e-05
1991-02-17, 4.39213e-05
1991-02-18, 6.27966e-05
1991-02-19, 7.64893e-05
1991-02-20, 9.62573e-05
1991-02-21, 8.66985e-05
1991-02-22, 6.72074e-05
1991-02-23, 5.66307e-05
1991-02-24, 3.66624e-05
1991-02-25, 2.71096e-05
1991-02-26, 5.67273e-05
1991-02-27, 1.67091e-04
1991-02-28, 1.67909e-04
1991-03-01, 1.10341e-04
1991-03-02, 1.56968e-04
1991-03-03, 1.35622e-04
1991-03-04, 1.12022e-04
1991-03-05, 1.31286e-04
1991-03-06, 1.24447e-04
1991-03-07, 7.25449e-05
1991-03-08, 3.25780e-05
1991-03-09, 2.16351e-05
1991-03-10, 1.79846e-05
1991-03-11, 1.83376e-05
1991-03-12, 5.42949e-05
1991-03-13, 8.92167e-05
1991-03-14, 7.55889e-05
1991-03-15, 4.77409e-05
1991-03-16, 2.49638e-05
1991-03-17, 2.49188e-05
1991-03-18, 5.91840e-05
1991-03-19, 5.09383e-05
1991-03-20, 4.05664e-05
1991-03-21, 4.10941e-05
1991-03-22, 3.45709e-05
1991-03-23, 4.07226e-05
1991-03-24, 4.95421e-05
1991-03-25, 7.94541e-05
1991-03-26, 9.99734e-05
1991-03-27, 7.35030e-05
1991-03-28, 6.20559e-05
1991-03-29, 8.25300e-05
1991-03-30, 1.50828e-04
1991-03-31, 2.59301e-04
1991-04-01, 2.61907e-04
1991-04-02, 2.66161e-04
1991-04-03, 3.04445e-04
1991-04-04, 3.33214e-04
1991-04-05, 3.61137e-04
1991-04-06, 4.35323e-04
1991-04-07, 5.13373e-04
1991-04-08, 4.87660e-04
1991-04-09, 4.00431e-04
1991-04-10, 3.52575e-04
1991-04-11, 3.91614e-04
1991-04-12, 4.17587e-04
1991-04-13, 3.61743e-04
1991-04-14, 4.20073e-04
1991-04-15, 4.29535e-04
1991-04-16, 3.75573e-04
1991-04-17, 4.22985e-04
1991-04-18, 4.61335e-04
1991-04-19, 5.28301e-04
1991-04-20, 6.81888e-04
1991-04-21, 6.12008e-04
1991-04-22, 5.33739e-04
1991-04-23, 5.70208e-04
1991-04-24, 5.78444e-04
1991-04-25, 6.57180e-04
1991-04-26, 8.11506e-04
1991-04-27, 7.70319e-04
1991-04-28, 6.39923e-04
1991-04-29, 5.71500e-04
1991-04-30, 5.53661e-04
1991-05-01, 5.23530e-04
1991-05-02, 4.82216e-04
1991-05-03, 5.26218e-04
1991-05-04, 7.09654e-04
1991-05-05, 8.62360e-04
1991-05-06, 9.24785e-04
1991-05-07, 9.18371e-04
1991-05-08, 8.22378e-04
1991-05-09, 7.04325e-04
1991-05-10, 6.67385e-04
1991-05-11, 7.67255e-04
1991-05-12, 8.60040e-04
1991-05-13, 8.05180e-04
1991-05-14, 7.34224e-04
1991-05-15, 7.07953e-04
1991-05-16, 7.23155e-04
1991-05-17, 7.16235e-04
1991-05-18, 6.14403e-04
1991-05-19, 5.63640e-04
1991-05-20, 5.04687e-04
1991-05-21, 4.47774e-04
1991-05-22, 4.16087e-04
1991-05-23, 3.72753e-04
1991-05-24, 3.31186e-04
1991-05-25, 2.79569e-04
1991-05-26, 2.22699e-04
1991-05-27, 1.85518e-04
1991-05-28, 1.46825e-04
1991-05-29, 1.41774e-04
1991-05-30, 1.37198e-04
1991-05-31, 1.63145e-04
1991-06-01, 1.45815e-04
1991-06-02, 1.12449e-04
1991-06-03, 1.01062e-04
1991-06-04, 7.93629e-05
1991-06-05, 7.37132e-05
1991-06-06, 6.54489e-05
1991-06-07, 5.36394e-05
1991-06-08, 7.48080e-05
1991-06-09, 7.13513e-05
1991-06-10, 4.25723e-05
1991-06-11, 3.70952e-05
1991-06-12, 3.11021e-05
1991-06-13, 2.94184e-05
1991-06-14, 3.30902e-05
1991-06-15, 4.19138e-05
1991-06-16, 5.84788e-05
1991-06-17, 4.41084e-05
1991-06-18, 3.24074e-05
1991-06-19, 4.91998e-05
1991-06-20, 4.44249e-05
1991-06-21, 3.58245e-05
1991-06-22, 2.34306e-05
1991-06-23, 2.94041e-05
1991-06-24, 7.63741e-05
1991-06-25, 6.28030e-05
1991-06-26, 2.82390e-05
1991-06-27, 3.02205e-05
1991-06-28, 3.76633e-05
1991-06-29, 2.04011e-05
1991-06-30, 2.97384e-05
