date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.00456, 0.01695, 0.17881, 0.00757, 0.00010, 0.00042, 0.01248, 0.06002, 0.12630, 0.49366, 0.09912
1991-01-02, 0.00439, 0.01518, 0.18119, 0.00719, 0.00009, 0.00047, 0.01056, 0.06114, 0.12693, 0.49376, 0.09910
1991-01-03, 0.00427, 0.01393, 0.18340, 0.00685, 0.00008, 0.00056, 0.00925, 0.06217, 0.12741, 0.49308, 0.09901
1991-01-04, 0.00416, 0.01295, 0.18560, 0.00655, 0.00007, 0.00063, 0.00825, 0.06312, 0.12793, 0.49193, 0.09880
1991-01-05, 0.00410, 0.01276, 0.18779, 0.00623, 0.00006, 0.00059, 0.00803, 0.06396, 0.12856, 0.48964, 0.09828
1991-01-06, 0.00509, 0.02082, 0.18229, 0.01008, 0.00004, 0.00026, 0.02795, 0.06251, 0.12389, 0.47307, 0.09399
1991-01-07, 0.00503, 0.02073, 0.18349, 0.01608, 0.00004, 0.00022, 0.02230, 0.06285, 0.12393, 0.47145, 0.09388
1991-01-08, 0.00538, 0.01699, 0.18440, 0.02009, 0.00003, 0.00026, 0.02579, 0.06350, 0.12301, 0.46775, 0.09280
1991-01-09, 0.00497, 0.01321, 0.18426, 0.03498, 0.00003, 0.00019, 0.02375, 0.06315, 0.12219, 0.46138, 0.09190
1991-01-10, 0.00519, 0.01562, 0.18669, 0.02932, 0.00002, 0.00014, 0.02645, 0.06369, 0.12318, 0.45722, 0.09247
1991-01-11, 0.00494, 0.01553, 0.18951, 0.02908, 0.00002, 0.00015, 0.02295, 0.06484, 0.12388, 0.45667, 0.09244
1991-01-12, 0.00445, 0.01427, 0.19166, 0.03098, 0.00001, 0.00014, 0.02060, 0.06595, 0.12390, 0.45613, 0.09189
1991-01-13, 0.00436, 0.01411, 0.19414, 0.02857, 0.00001, 0.00016, 0.01887, 0.06690, 0.12441, 0.45650, 0.09197
1991-01-14, 0.00424, 0.01297, 0.19660, 0.02614, 0.00001, 0.00020, 0.01720, 0.06778, 0.12495, 0.45792, 0.09198
1991-01-15, 0.00410, 0.01202, 0.19893, 0.02409, 0.00001, 0.00018, 0.01615, 0.06858, 0.12542, 0.45867, 0.09184
1991-01-16, 0.00400, 0.01123, 0.20117, 0.02236, 0.00001, 0.00009, 0.01526, 0.06937, 0.12577, 0.45918, 0.09157
1991-01-17, 0.00390, 0.01057, 0.20334, 0.02082, 0.00001, 0.00008, 0.01433, 0.07011, 0.12605, 0.45946, 0.09132
1991-01-18, 0.00382, 0.01000, 0.20548, 0.01949, 0.00001, 0.00009, 0.01347, 0.07082, 0.12632, 0.45940, 0.09111
1991-01-19, 0.00374, 0.00952, 0.20764, 0.01828, 0.00001, 0.00009, 0.01266, 0.07150, 0.12661, 0.45905, 0.09090
1991-01-20, 0.00390, 0.01476, 0.20614, 0.01721, 0.00001, 0.00007, 0.01777, 0.07082, 0.12469, 0.45547, 0.08915
