date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.00450, 0.01645, 0.17649, 0.00807, 0.00014, 0.00054, 0.00837, 0.05806, 0.12779, 0.49922, 0.10037
1991-01-02, 0.00440, 0.01541, 0.17860, 0.00771, 0.00013, 0.00062, 0.00737, 0.05907, 0.12825, 0.49827, 0.10019
1991-01-03, 0.00431, 0.01450, 0.18077, 0.00738, 0.00011, 0.00062, 0.00656, 0.06004, 0.12882, 0.49703, 0.09987
1991-01-04, 0.00422, 0.01376, 0.18279, 0.00709, 0.00010, 0.00053, 0.00593, 0.06105, 0.12920, 0.49573, 0.09960
1991-01-05, 0.00457, 0.01859, 0.18232, 0.00677, 0.00008, 0.00038, 0.00977, 0.06101, 0.12809, 0.49035, 0.09806
1991-01-06, 0.00546, 0.02185, 0.17806, 0.01510, 0.00007, 0.00027, 0.02397, 0.05900, 0.12484, 0.47612, 0.09525
1991-01-07, 0.00517, 0.02675, 0.17806, 0.01735, 0.00006, 0.00033, 0.02689, 0.05924, 0.12333, 0.46894, 0.09387
1991-01-08, 0.00550, 0.02506, 0.17853, 0.01971, 0.00005, 0.00038, 0.03128, 0.05986, 0.12230, 0.46492, 0.09239
1991-01-09, 0.00511, 0.01518, 0.18174, 0.02725, 0.00004, 0.00036, 0.02515, 0.06018, 0.12430, 0.46664, 0.09404
1991-01-10, 0.00540, 0.01899, 0.18345, 0.02370, 0.00003, 0.00029, 0.02620, 0.06102, 0.12436, 0.46288, 0.09368
1991-01-11, 0.00542, 0.02235, 0.18525, 0.02270, 0.00003, 0.00025, 0.02574, 0.06198, 0.12435, 0.45910, 0.09282
1991-01-12, 0.00495, 0.02077, 0.18710, 0.02660, 0.00002, 0.00024, 0.02356, 0.06281, 0.12445, 0.45730, 0.09221
1991-01-13, 0.00478, 0.01992, 0.18983, 0.02251, 0.00003, 0.00029, 0.02338, 0.06379, 0.12528, 0.45770, 0.09249
1991-01-14, 0.00455, 0.01808, 0.19264, 0.01940, 0.00003, 0.00030, 0.02174, 0.06483, 0.12609, 0.45991, 0.09243
1991-01-15, 0.00437, 0.01676, 0.19520, 0.01737, 0.00003, 0.00019, 0.01978, 0.06586, 0.12659, 0.46164, 0.09220
1991-01-16, 0.00424, 0.01552, 0.19766, 0.01581, 0.00003, 0.00010, 0.01780, 0.06681, 0.12700, 0.46307, 0.09196
1991-01-17, 0.00413, 0.01440, 0.20003, 0.01456, 0.00002, 0.00011, 0.01609, 0.06767, 0.12738, 0.46387, 0.09175
1991-01-18, 0.00403, 0.01345, 0.20234, 0.01353, 0.00001, 0.00013, 0.01463, 0.06849, 0.12770, 0.46415, 0.09155
1991-01-19, 0.00393, 0.01265, 0.20464, 0.01265, 0.00001, 0.00015, 0.01336, 0.06927, 0.12805, 0.46395, 0.09135
1991-01-20, 0.00384, 0.01195, 0.20694, 0.01190, 0.00000, 0.00010, 0.01223, 0.07006, 0.12834, 0.46345, 0.09119
