date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.00388, 0.01068, 0.18849, 0.00647, 0.00006, 0.00034, 0.00599, 0.06487, 0.12994, 0.49068, 0.09861
1991-01-02, 0.00382, 0.01023, 0.19051, 0.00620, 0.00005, 0.00042, 0.00550, 0.06570, 0.13030, 0.48895, 0.09830
1991-01-03, 0.00376, 0.00985, 0.19257, 0.00596, 0.00005, 0.00052, 0.00508, 0.06648, 0.13070, 0.48702, 0.09800
1991-01-04, 0.00370, 0.00947, 0.19467, 0.00574, 0.00004, 0.00058, 0.00474, 0.06725, 0.13113, 0.48507, 0.09762
1991-01-05, 0.00369, 0.01000, 0.19637, 0.00547, 0.00003, 0.00038, 0.00516, 0.06814, 0.13101, 0.48265, 0.09709
1991-01-06, 0.00428, 0.01828, 0.19257, 0.00436, 0.00002, 0.00015, 0.02052, 0.06729, 0.12753, 0.47126, 0.09374
1991-01-07, 0.00434, 0.01835, 0.19105, 0.01618, 0.00001, 0.00006, 0.02082, 0.06665, 0.12595, 0.46424, 0.09235
1991-01-08, 0.00520, 0.02675, 0.18845, 0.01898, 0.00001, 0.00007, 0.02796, 0.06605, 0.12251, 0.45412, 0.08989
1991-01-09, 0.00526, 0.02749, 0.18830, 0.02259, 0.00001, 0.00006, 0.03333, 0.06599, 0.12140, 0.44686, 0.08871
1991-01-10, 0.00475, 0.02868, 0.19092, 0.01784, 0.00001, 0.00005, 0.03411, 0.06661, 0.12215, 0.44558, 0.08930
1991-01-11, 0.00464, 0.02839, 0.19394, 0.01483, 0.00001, 0.00005, 0.03206, 0.06797, 0.12265, 0.44638, 0.08909
1991-01-12, 0.00496, 0.02544, 0.19789, 0.01552, 0.00001, 0.00004, 0.02987, 0.06867, 0.12485, 0.44202, 0.09074
1991-01-13, 0.00471, 0.02175, 0.20117, 0.01221, 0.00000, 0.00006, 0.02805, 0.07013, 0.12554, 0.44581, 0.09057
1991-01-14, 0.00423, 0.01866, 0.20457, 0.01046, 0.00000, 0.00006, 0.02361, 0.07143, 0.12649, 0.44984, 0.09065
1991-01-15, 0.00396, 0.01638, 0.20783, 0.00948, 0.00000, 0.00006, 0.01973, 0.07251, 0.12742, 0.45180, 0.09083
