date, weight 
1991-01-01, 1.72339e-07
1991-01-02, 1.66699e-07
1991-01-03, 1.61373e-07
1991-01-04, 1.56287e-07
1991-01-05, 1.53035e-07
1991-01-06, 1.49202e-07
1991-01-07, 1.42532e-07
1991-01-08, 1.38279e-07
1991-01-09, 1.34295e-07
1991-01-10, 1.30512e-07
1991-01-11, 1.26902e-07
1991-01-12, 1.23456e-07
1991-01-13, 1.20170e-07
1991-01-14, 1.17027e-07
1991-01-15, 1.14018e-07
1991-01-16, 1.11137e-07
1991-01-17, 1.08376e-07
1991-01-18, 1.05727e-07
1991-01-19, 1.03184e-07
1991-01-20, 1.00742e-07
1991-01-21, 9.83961e-08
1991-01-22, 9.61419e-08
1991-01-23, 9.39738e-08
1991-01-24, 9.18875e-08
1991-01-25, 8.98790e-08
1991-01-26, 8.79445e-08
1991-01-27, 8.60804e-08
1991-01-28, 8.42836e-08
1991-01-29, 8.25508e-08
1991-01-30, 8.08791e-08
1991-01-31, 7.92657e-08
1991-02-01, 7.77079e-08
1991-02-02, 7.62032e-08
1991-02-03, 7.47497e-08
1991-02-04, 7.33447e-08
1991-02-05, 7.19864e-08
1991-02-06, 7.06725e-08
1991-02-07, 6.94014e-08
1991-02-08, 6.81711e-08
1991-02-09, 6.69800e-08
1991-02-10, 6.58265e-08
1991-02-11, 6.47091e-08
1991-02-12, 6.36261e-08
1991-02-13, 6.25764e-08
1991-02-14, 6.15586e-08
1991-02-15, 6.05714e-08
1991-02-16, 5.96136e-08
1991-02-17, 5.86836e-08
1991-02-18, 5.77736e-08
1991-02-19, 5.68859e-08
1991-02-20, 5.60258e-08
1991-02-21, 5.51933e-08
1991-02-22, 5.43898e-08
1991-02-23, 5.36101e-08
1991-02-24, 5.30693e-08
1991-02-25, 5.24499e-08
1991-02-26, 5.13964e-08
1991-02-27, 5.06821e-08
1991-02-28, 5.50261e-08
1991-03-01, 5.32584e-08
1991-03-02, 4.92067e-08
1991-03-03, 4.81417e-08
1991-03-04, 4.74233e-08
1991-03-05, 4.67904e-08
1991-03-06, 4.61939e-08
1991-03-07, 4.56207e-08
1991-03-08, 4.50656e-08
1991-03-09, 4.45262e-08
1991-03-10, 4.40011e-08
1991-03-11, 4.34895e-08
1991-03-12, 4.29905e-08
1991-03-13, 4.25038e-08
1991-03-14, 4.20293e-08
1991-03-15, 4.52047e-08
1991-03-16, 4.62007e-08
1991-03-17, 4.08431e-08
1991-03-18, 4.02006e-08
1991-03-19, 3.97666e-08
1991-03-20, 3.93538e-08
1991-03-21, 3.89510e-08
1991-03-22, 3.86510e-08
1991-03-23, 4.51986e-08
1991-03-24, 1.55532e-07
1991-03-25, 1.96755e-07
1991-03-26, 6.00138e-08
1991-03-27, 4.55256e-08
1991-03-28, 4.07102e-07
1991-03-29, 6.37388e-07
1991-03-30, 2.28235e-06
1991-03-31, 1.53951e-05
1991-04-01, 1.33152e-05
1991-04-02, 2.86377e-06
1991-04-03, 6.51329e-06
1991-04-04, 2.03624e-05
1991-04-05, 2.01020e-05
1991-04-06, 2.98415e-05
1991-04-07, 2.93803e-05
1991-04-08, 1.12411e-05
1991-04-09, 4.67704e-06
1991-04-10, 2.56507e-06
1991-04-11, 1.63246e-06
1991-04-12, 1.09753e-06
1991-04-13, 7.85508e-07
1991-04-14, 8.02128e-07
1991-04-15, 7.98253e-07
1991-04-16, 1.02261e-05
1991-04-17, 7.27116e-05
1991-04-18, 7.10905e-05
1991-04-19, 4.17565e-05
1991-04-20, 2.79490e-05
1991-04-21, 1.20325e-05
1991-04-22, 5.83682e-06
1991-04-23, 4.01154e-06
1991-04-24, 7.95531e-06
1991-04-25, 3.89947e-05
1991-04-26, 1.11004e-04
1991-04-27, 7.52999e-05
1991-04-28, 3.76668e-05
1991-04-29, 8.89381e-05
1991-04-30, 1.43613e-04
1991-05-01, 1.76725e-04
1991-05-02, 1.77003e-04
1991-05-03, 2.17935e-04
1991-05-04, 3.81223e-04
1991-05-05, 5.17847e-04
1991-05-06, 7.65790e-04
1991-05-07, 8.91518e-04
1991-05-08, 0.00107
1991-05-09, 0.00100
1991-05-10, 8.40821e-04
1991-05-11, 6.35047e-04
1991-05-12, 4.12332e-04
1991-05-13, 4.59279e-04
1991-05-14, 6.61566e-04
1991-05-15, 7.35171e-04
1991-05-16, 7.55657e-04
1991-05-17, 8.19629e-04
1991-05-18, 0.00101
1991-05-19, 0.00124
1991-05-20, 0.00115
1991-05-21, 0.00104
1991-05-22, 9.69358e-04
1991-05-23, 7.29566e-04
1991-05-24, 5.92734e-04
1991-05-25, 6.41912e-04
1991-05-26, 9.60734e-04
1991-05-27, 0.00102
1991-05-28, 7.31603e-04
1991-05-29, 5.82133e-04
1991-05-30, 6.52258e-04
1991-05-31, 6.81653e-04
1991-06-01, 7.04597e-04
1991-06-02, 7.67375e-04
1991-06-03, 7.09756e-04
1991-06-04, 6.70248e-04
1991-06-05, 8.11129e-04
1991-06-06, 0.00112
1991-06-07, 0.00125
1991-06-08, 0.00123
1991-06-09, 9.23269e-04
1991-06-10, 8.38834e-04
1991-06-11, 9.77292e-04
1991-06-12, 0.00106
1991-06-13, 0.00100
1991-06-14, 0.00112
1991-06-15, 0.00130
1991-06-16, 0.00121
1991-06-17, 0.00105
1991-06-18, 9.14397e-04
1991-06-19, 7.21941e-04
1991-06-20, 5.77580e-04
1991-06-21, 3.95542e-04
1991-06-22, 2.78878e-04
1991-06-23, 2.61899e-04
1991-06-24, 2.61185e-04
1991-06-25, 2.27397e-04
1991-06-26, 1.82684e-04
1991-06-27, 1.65698e-04
1991-06-28, 1.53979e-04
1991-06-29, 1.24680e-04
1991-06-30, 1.33972e-04
1991-07-01, 1.52142e-04
1991-07-02, 9.74188e-05
1991-07-03, 8.53962e-05
1991-07-04, 5.10355e-05
1991-07-05, 3.91364e-05
1991-07-06, 3.45927e-05
1991-07-07, 4.74886e-05
1991-07-08, 5.93347e-05
1991-07-09, 5.73024e-05
1991-07-10, 4.83830e-05
1991-07-11, 3.37343e-05
1991-07-12, 2.78379e-05
1991-07-13, 4.10129e-05
1991-07-14, 4.61753e-05
1991-07-15, 3.75450e-05
1991-07-16, 3.04002e-05
1991-07-17, 3.90816e-05
1991-07-18, 3.45908e-05
1991-07-19, 2.80352e-05
1991-07-20, 3.74105e-05
1991-07-21, 4.14073e-05
1991-07-22, 3.09051e-05
1991-07-23, 2.63601e-05
1991-07-24, 2.29136e-05
1991-07-25, 3.15456e-05
1991-07-26, 3.50291e-05
1991-07-27, 2.81859e-05
1991-07-28, 3.62583e-05
1991-07-29, 5.50240e-05
1991-07-30, 5.42671e-05
1991-07-31, 4.33735e-05
1991-08-01, 3.35048e-05
1991-08-02, 4.73972e-05
1991-08-03, 4.75300e-05
1991-08-04, 4.37239e-05
1991-08-05, 3.92301e-05
1991-08-06, 4.90214e-05
