date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.00352, 0.00849, 0.20995, 0.00262, 0.00000, 0.00002, 0.00148, 0.07374, 0.13741, 0.46936, 0.09340
1991-01-02, 0.00348, 0.00821, 0.21194, 0.00254, 0.00000, 0.00001, 0.00142, 0.07432, 0.13749, 0.46758, 0.09301
1991-01-03, 0.00343, 0.00796, 0.21390, 0.00246, 0.00000, 0.00002, 0.00137, 0.07488, 0.13750, 0.46583, 0.09265
1991-01-04, 0.00339, 0.00772, 0.21587, 0.00238, 0.00000, 0.00001, 0.00132, 0.07542, 0.13751, 0.46410, 0.09229
1991-01-05, 0.00336, 0.00911, 0.21701, 0.00228, 0.00000, 0.00001, 0.00276, 0.07563, 0.13709, 0.46114, 0.09160
1991-01-06, 0.00333, 0.00966, 0.21856, 0.00220, 0.00000, 0.00001, 0.00339, 0.07597, 0.13688, 0.45893, 0.09108
1991-01-07, 0.00326, 0.00726, 0.22181, 0.00217, 0.00000, 0.00001, 0.00133, 0.07693, 0.13749, 0.45854, 0.09121
1991-01-08, 0.00321, 0.00689, 0.22385, 0.00211, 0.00000, 0.00001, 0.00115, 0.07741, 0.13749, 0.45701, 0.09087
1991-01-09, 0.00317, 0.00667, 0.22586, 0.00205, 0.00000, 0.00000, 0.00109, 0.07786, 0.13746, 0.45533, 0.09050
1991-01-10, 0.00313, 0.00648, 0.22787, 0.00199, 0.00000, 0.00000, 0.00104, 0.07829, 0.13741, 0.45363, 0.09015
1991-01-11, 0.00310, 0.00630, 0.22989, 0.00194, 0.00000, 0.00000, 0.00099, 0.07870, 0.13736, 0.45191, 0.08981
1991-01-12, 0.00306, 0.00614, 0.23191, 0.00188, 0.00000, 0.00000, 0.00096, 0.07909, 0.13729, 0.45021, 0.08948
1991-01-13, 0.00302, 0.00598, 0.23392, 0.00183, 0.00000, 0.00000, 0.00093, 0.07946, 0.13720, 0.44851, 0.08915
