date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.00353, 0.01776, 0.20300, 0.00410, 0.00000, 0.00007, 0.00747, 0.07064, 0.13275, 0.46885, 0.09182
1991-01-02, 0.00345, 0.01674, 0.20539, 0.00391, 0.00000, 0.00006, 0.00676, 0.07137, 0.13315, 0.46758, 0.09158
1991-01-03, 0.00338, 0.01585, 0.20777, 0.00374, 0.00000, 0.00008, 0.00616, 0.07203, 0.13357, 0.46608, 0.09132
1991-01-04, 0.00332, 0.01505, 0.21023, 0.00358, 0.00000, 0.00012, 0.00564, 0.07259, 0.13415, 0.46434, 0.09098
1991-01-05, 0.00325, 0.01450, 0.21297, 0.00343, 0.00000, 0.00016, 0.00536, 0.07302, 0.13510, 0.46168, 0.09051
1991-01-06, 0.00352, 0.02006, 0.21152, 0.00323, 0.00000, 0.00007, 0.01083, 0.07295, 0.13208, 0.45631, 0.08941
1991-01-07, 0.00366, 0.02768, 0.20910, 0.00306, 0.00000, 0.00001, 0.01794, 0.07216, 0.12893, 0.44984, 0.08762
1991-01-08, 0.00364, 0.02982, 0.21051, 0.00311, 0.00000, 0.00000, 0.02006, 0.07248, 0.12862, 0.44464, 0.08712
1991-01-09, 0.00335, 0.02768, 0.21502, 0.00372, 0.00000, 0.00001, 0.01492, 0.07378, 0.13049, 0.44313, 0.08790
1991-01-10, 0.00316, 0.02200, 0.21898, 0.00381, 0.00000, 0.00000, 0.01074, 0.07500, 0.13183, 0.44611, 0.08835
1991-01-11, 0.00306, 0.01701, 0.22242, 0.00360, 0.00000, 0.00000, 0.00832, 0.07601, 0.13271, 0.44828, 0.08858
1991-01-12, 0.00299, 0.01493, 0.22516, 0.00335, 0.00000, 0.00000, 0.00703, 0.07675, 0.13310, 0.44814, 0.08854
1991-01-13, 0.00293, 0.01374, 0.22763, 0.00314, 0.00000, 0.00000, 0.00615, 0.07738, 0.13331, 0.44733, 0.08840
1991-01-14, 0.00288, 0.01285, 0.22998, 0.00296, 0.00000, 0.00000, 0.00547, 0.07794, 0.13344, 0.44625, 0.08823
1991-01-15, 0.00284, 0.01211, 0.23227, 0.00280, 0.00000, 0.00000, 0.00492, 0.07846, 0.13353, 0.44503, 0.08804
1991-01-16, 0.00279, 0.01146, 0.23452, 0.00267, 0.00000, 0.00000, 0.00447, 0.07895, 0.13360, 0.44370, 0.08785
1991-01-17, 0.00275, 0.01089, 0.23674, 0.00255, 0.00000, 0.00001, 0.00408, 0.07940, 0.13363, 0.44228, 0.08766
1991-01-18, 0.00271, 0.01038, 0.23894, 0.00245, 0.00000, 0.00001, 0.00374, 0.07983, 0.13365, 0.44082, 0.08747
1991-01-19, 0.00268, 0.00992, 0.24112, 0.00235, 0.00000, 0.00001, 0.00345, 0.08024, 0.13366, 0.43931, 0.08727
1991-01-20, 0.00265, 0.00950, 0.24327, 0.00227, 0.00000, 0.00001, 0.00319, 0.08062, 0.13364, 0.43777, 0.08708
1991-01-21, 0.00261, 0.00912, 0.24540, 0.00219, 0.00000, 0.00001, 0.00297, 0.08099, 0.13360, 0.43622, 0.08688
1991-01-22, 0.00258, 0.00877, 0.24752, 0.00212, 0.00000, 0.00001, 0.00277, 0.08133, 0.13356, 0.43467, 0.08668
1991-01-23, 0.00255, 0.00844, 0.24963, 0.00205, 0.00000, 0.00000, 0.00258, 0.08166, 0.13350, 0.43311, 0.08647
1991-01-24, 0.00252, 0.00814, 0.25172, 0.00199, 0.00000, 0.00000, 0.00242, 0.08197, 0.13344, 0.43153, 0.08627
1991-01-25, 0.00249, 0.00786, 0.25379, 0.00193, 0.00000, 0.00000, 0.00228, 0.08226, 0.13336, 0.42996, 0.08607
1991-01-26, 0.00246, 0.00760, 0.25583, 0.00188, 0.00000, 0.00000, 0.00215, 0.08254, 0.13326, 0.42840, 0.08588
1991-01-27, 0.00243, 0.00736, 0.25786, 0.00182, 0.00000, 0.00000, 0.00204, 0.08280, 0.13315, 0.42685, 0.08569
1991-01-28, 0.00241, 0.00712, 0.25987, 0.00177, 0.00000, 0.00000, 0.00193, 0.08304, 0.13304, 0.42530, 0.08550
1991-01-29, 0.00238, 0.00690, 0.26187, 0.00173, 0.00000, 0.00000, 0.00184, 0.08327, 0.13292, 0.42377, 0.08532
1991-01-30, 0.00236, 0.00670, 0.26384, 0.00168, 0.00000, 0.00000, 0.00176, 0.08349, 0.13279, 0.42224, 0.08514
1991-01-31, 0.00234, 0.00651, 0.26580, 0.00164, 0.00000, 0.00000, 0.00168, 0.08369, 0.13265, 0.42073, 0.08496
1991-02-01, 0.00231, 0.00633, 0.26775, 0.00160, 0.00000, 0.00000, 0.00161, 0.08389, 0.13252, 0.41921, 0.08479
1991-02-02, 0.00229, 0.00615, 0.26968, 0.00156, 0.00000, 0.00000, 0.00155, 0.08407, 0.13239, 0.41770, 0.08462
1991-02-03, 0.00227, 0.00598, 0.27159, 0.00152, 0.00000, 0.00000, 0.00149, 0.08424, 0.13224, 0.41622, 0.08446
1991-02-04, 0.00225, 0.00582, 0.27349, 0.00148, 0.00000, 0.00000, 0.00144, 0.08439, 0.13208, 0.41476, 0.08429
1991-02-05, 0.00222, 0.00567, 0.27537, 0.00145, 0.00000, 0.00000, 0.00139, 0.08454, 0.13191, 0.41332, 0.08413
1991-02-06, 0.00220, 0.00552, 0.27723, 0.00141, 0.00000, 0.00000, 0.00134, 0.08467, 0.13175, 0.41189, 0.08397
1991-02-07, 0.00218, 0.00538, 0.27908, 0.00138, 0.00000, 0.00000, 0.00130, 0.08479, 0.13157, 0.41048, 0.08382
