date, weight 
1991-01-01, 1.48494e-07
1991-01-02, 1.41763e-07
1991-01-03, 1.36030e-07
1991-01-04, 1.30955e-07
1991-01-05, 1.31358e-07
1991-01-06, 1.68317e-07
1991-01-07, 2.63680e-07
1991-01-08, 2.63676e-07
1991-01-09, 1.83604e-07
1991-01-10, 1.45497e-07
1991-01-11, 1.17522e-07
1991-01-12, 1.08987e-07
1991-01-13, 1.03383e-07
1991-01-14, 9.89283e-08
1991-01-15, 9.51433e-08
1991-01-16, 9.18155e-08
1991-01-17, 8.88272e-08
1991-01-18, 8.60948e-08
1991-01-19, 8.35694e-08
1991-01-20, 8.12222e-08
1991-01-21, 7.90209e-08
1991-01-22, 7.69425e-08
1991-01-23, 7.49821e-08
1991-01-24, 7.31286e-08
1991-01-25, 7.13696e-08
1991-01-26, 6.96979e-08
1991-01-27, 6.81045e-08
1991-01-28, 6.65798e-08
1991-01-29, 6.51219e-08
1991-01-30, 6.43195e-08
1991-01-31, 6.33363e-08
1991-02-01, 6.11638e-08
1991-02-02, 5.98732e-08
1991-02-03, 5.86825e-08
1991-02-04, 5.75431e-08
1991-02-05, 5.64458e-08
1991-02-06, 5.53885e-08
1991-02-07, 5.43691e-08
1991-02-08, 5.33857e-08
1991-02-09, 5.24350e-08
1991-02-10, 5.15158e-08
1991-02-11, 5.06290e-08
1991-02-12, 4.97728e-08
1991-02-13, 4.89448e-08
1991-02-14, 5.34459e-08
1991-02-15, 1.36537e-07
1991-02-16, 6.12099e-07
1991-02-17, 1.03267e-06
1991-02-18, 1.47640e-06
1991-02-19, 2.02676e-06
1991-02-20, 2.30962e-06
1991-02-21, 2.39738e-06
1991-02-22, 1.55872e-06
1991-02-23, 1.41602e-06
1991-02-24, 1.26597e-06
1991-02-25, 6.22349e-07
1991-02-26, 3.58045e-07
1991-02-27, 2.42015e-07
1991-02-28, 1.79319e-07
1991-03-01, 1.51140e-07
1991-03-02, 1.08885e-07
1991-03-03, 9.16147e-08
1991-03-04, 8.00489e-08
1991-03-05, 7.14534e-08
1991-03-06, 6.47729e-08
1991-03-07, 5.95293e-08
1991-03-08, 5.53193e-08
1991-03-09, 5.40363e-08
1991-03-10, 5.24677e-08
1991-03-11, 1.71616e-07
1991-03-12, 2.69159e-07
1991-03-13, 8.52305e-08
1991-03-14, 5.45106e-08
1991-03-15, 4.62776e-08
1991-03-16, 5.36084e-08
1991-03-17, 5.83062e-08
1991-03-18, 6.61991e-06
1991-03-19, 1.81219e-05
1991-03-20, 9.11417e-06
1991-03-21, 4.19971e-06
1991-03-22, 2.11989e-06
1991-03-23, 1.12785e-06
1991-03-24, 7.64343e-07
1991-03-25, 1.10485e-06
1991-03-26, 1.10429e-06
1991-03-27, 4.23097e-07
1991-03-28, 3.34005e-07
1991-03-29, 3.74664e-07
1991-03-30, 1.86726e-06
1991-03-31, 1.05383e-05
1991-04-01, 9.15542e-06
1991-04-02, 3.32425e-06
1991-04-03, 1.61219e-06
1991-04-04, 6.70933e-06
1991-04-05, 2.20502e-05
1991-04-06, 2.33484e-05
1991-04-07, 2.92093e-05
1991-04-08, 3.54350e-05
1991-04-09, 3.81022e-05
1991-04-10, 2.50824e-05
1991-04-11, 1.23592e-05
1991-04-12, 1.08770e-05
1991-04-13, 2.15601e-05
1991-04-14, 1.71332e-05
1991-04-15, 7.27470e-06
1991-04-16, 5.29620e-06
1991-04-17, 3.55552e-06
1991-04-18, 4.32846e-06
1991-04-19, 1.81558e-05
1991-04-20, 2.26379e-05
1991-04-21, 1.61528e-05
1991-04-22, 1.66122e-05
1991-04-23, 1.31915e-05
1991-04-24, 1.74659e-05
1991-04-25, 3.39092e-05
1991-04-26, 9.11960e-05
1991-04-27, 1.46714e-04
1991-04-28, 7.63773e-05
1991-04-29, 4.99273e-05
1991-04-30, 7.98490e-05
1991-05-01, 1.22842e-04
1991-05-02, 1.39364e-04
1991-05-03, 1.69293e-04
1991-05-04, 2.76087e-04
1991-05-05, 3.41900e-04
1991-05-06, 3.65676e-04
1991-05-07, 5.02198e-04
1991-05-08, 5.95318e-04
1991-05-09, 6.73083e-04
1991-05-10, 7.62165e-04
1991-05-11, 7.82292e-04
1991-05-12, 8.45102e-04
1991-05-13, 8.58803e-04
1991-05-14, 6.96069e-04
1991-05-15, 6.36520e-04
1991-05-16, 5.56993e-04
1991-05-17, 4.39469e-04
1991-05-18, 4.73697e-04
1991-05-19, 7.21061e-04
1991-05-20, 7.88877e-04
1991-05-21, 7.03967e-04
1991-05-22, 7.42224e-04
1991-05-23, 7.43470e-04
1991-05-24, 5.34605e-04
1991-05-25, 4.25432e-04
1991-05-26, 5.06212e-04
1991-05-27, 5.60824e-04
1991-05-28, 5.07240e-04
1991-05-29, 4.67953e-04
1991-05-30, 5.20039e-04
1991-05-31, 7.79077e-04
1991-06-01, 8.35714e-04
1991-06-02, 8.64680e-04
1991-06-03, 9.14848e-04
1991-06-04, 7.49350e-04
1991-06-05, 5.94142e-04
1991-06-06, 5.96847e-04
1991-06-07, 7.74896e-04
1991-06-08, 0.00118
1991-06-09, 0.00141
1991-06-10, 0.00115
1991-06-11, 9.99275e-04
1991-06-12, 9.82934e-04
1991-06-13, 9.01140e-04
1991-06-14, 9.05609e-04
1991-06-15, 0.00114
1991-06-16, 0.00135
1991-06-17, 0.00133
1991-06-18, 0.00131
1991-06-19, 0.00123
1991-06-20, 0.00108
1991-06-21, 0.00110
1991-06-22, 8.94808e-04
1991-06-23, 6.78651e-04
1991-06-24, 6.02195e-04
1991-06-25, 5.81469e-04
1991-06-26, 5.90435e-04
1991-06-27, 5.88200e-04
1991-06-28, 5.80674e-04
1991-06-29, 4.58182e-04
1991-06-30, 3.50085e-04
1991-07-01, 2.82552e-04
1991-07-02, 2.15080e-04
1991-07-03, 1.43299e-04
1991-07-04, 1.09849e-04
1991-07-05, 8.96858e-05
1991-07-06, 1.04476e-04
1991-07-07, 1.09105e-04
1991-07-08, 8.26590e-05
1991-07-09, 7.57255e-05
1991-07-10, 8.07492e-05
1991-07-11, 9.22529e-05
1991-07-12, 8.86741e-05
1991-07-13, 5.38109e-05
1991-07-14, 5.46433e-05
1991-07-15, 5.27017e-05
1991-07-16, 3.63747e-05
1991-07-17, 4.06415e-05
1991-07-18, 4.56022e-05
1991-07-19, 4.87047e-05
1991-07-20, 4.57504e-05
1991-07-21, 3.93571e-05
1991-07-22, 3.45570e-05
1991-07-23, 2.86636e-05
1991-07-24, 2.23908e-05
1991-07-25, 1.61390e-05
1991-07-26, 2.05020e-05
1991-07-27, 1.93350e-05
1991-07-28, 1.34834e-05
1991-07-29, 2.65557e-05
1991-07-30, 4.86609e-05
1991-07-31, 4.66671e-05
1991-08-01, 3.52417e-05
1991-08-02, 2.72240e-05
1991-08-03, 2.55940e-05
1991-08-04, 2.58937e-05
1991-08-05, 2.52885e-05
1991-08-06, 2.87550e-05
1991-08-07, 3.02588e-05
1991-08-08, 2.53003e-05
1991-08-09, 1.83155e-05
1991-08-10, 1.89328e-05
1991-08-11, 2.57577e-05
1991-08-12, 2.92024e-05
1991-08-13, 3.40916e-05
1991-08-14, 3.19646e-05
1991-08-15, 3.37606e-05
1991-08-16, 5.31349e-05
1991-08-17, 2.81399e-05
1991-08-18, 2.90458e-05
1991-08-19, 3.44459e-05
1991-08-20, 3.05817e-05
1991-08-21, 2.61041e-05
1991-08-22, 1.06555e-05
1991-08-23, 1.01921e-05
1991-08-24, 1.07470e-05
1991-08-25, 8.68041e-06
1991-08-26, 1.76564e-05
1991-08-27, 6.22485e-05
1991-08-28, 7.01289e-05
1991-08-29, 4.88368e-05
1991-08-30, 5.54239e-05
1991-08-31, 3.16456e-05
1991-09-01, 3.01326e-05
1991-09-02, 4.61810e-05
1991-09-03, 3.72641e-05
1991-09-04, 2.11993e-05
1991-09-05, 2.06617e-05
1991-09-06, 2.19235e-05
1991-09-07, 1.90296e-05
1991-09-08, 1.28206e-05
1991-09-09, 1.62423e-05
1991-09-10, 1.46075e-05
1991-09-11, 1.39586e-05
1991-09-12, 2.01036e-05
1991-09-13, 3.04311e-05
1991-09-14, 3.56447e-05
1991-09-15, 2.12280e-05
1991-09-16, 3.09191e-05
1991-09-17, 3.03170e-05
1991-09-18, 3.33357e-05
1991-09-19, 2.04447e-05
1991-09-20, 1.71724e-05
1991-09-21, 2.52679e-05
1991-09-22, 2.64532e-05
1991-09-23, 3.09354e-05
1991-09-24, 5.41177e-05
1991-09-25, 5.46642e-05
1991-09-26, 1.90408e-05
1991-09-27, 1.18994e-05
1991-09-28, 1.11944e-05
1991-09-29, 1.55386e-05
1991-09-30, 2.23278e-05
1991-10-01, 2.96657e-05
1991-10-02, 2.33909e-05
1991-10-03, 3.85109e-05
1991-10-04, 4.58227e-05
1991-10-05, 3.14190e-05
1991-10-06, 1.29575e-05
1991-10-07, 2.32736e-05
1991-10-08, 3.61455e-05
1991-10-09, 1.70543e-05
1991-10-10, 1.73096e-05
1991-10-11, 1.90184e-05
1991-10-12, 1.63763e-05
1991-10-13, 1.93753e-05
1991-10-14, 1.59592e-05
1991-10-15, 1.34486e-05
1991-10-16, 2.67900e-05
1991-10-17, 2.94803e-05
1991-10-18, 2.61472e-05
1991-10-19, 4.37909e-05
1991-10-20, 3.28045e-05
1991-10-21, 2.74286e-05
1991-10-22, 2.53627e-05
1991-10-23, 1.54167e-05
1991-10-24, 1.75372e-05
1991-10-25, 2.14886e-05
1991-10-26, 1.77004e-05
1991-10-27, 1.57294e-05
1991-10-28, 1.39176e-05
1991-10-29, 2.38313e-05
1991-10-30, 2.54212e-05
1991-10-31, 2.20577e-05
1991-11-01, 1.84248e-05
1991-11-02, 1.39909e-05
1991-11-03, 1.68290e-05
1991-11-04, 3.13203e-05
1991-11-05, 3.20947e-05
1991-11-06, 2.61501e-05
1991-11-07, 1.56202e-05
1991-11-08, 8.18435e-06
1991-11-09, 1.12873e-05
1991-11-10, 1.62666e-05
1991-11-11, 2.35729e-05
1991-11-12, 3.46003e-05
1991-11-13, 2.48559e-05
1991-11-14, 1.46167e-05
1991-11-15, 9.31638e-06
1991-11-16, 8.23133e-06
1991-11-17, 1.75301e-05
1991-11-18, 3.49104e-05
1991-11-19, 1.97438e-05
1991-11-20, 8.18898e-06
1991-11-21, 4.69094e-06
1991-11-22, 4.78188e-06
1991-11-23, 7.39752e-06
1991-11-24, 4.99486e-06
1991-11-25, 2.84150e-06
1991-11-26, 2.50795e-06
1991-11-27, 3.14876e-06
1991-11-28, 2.17068e-06
1991-11-29, 1.67386e-06
1991-11-30, 1.94038e-06
1991-12-01, 2.05525e-06
1991-12-02, 2.46260e-06
1991-12-03, 2.81319e-06
1991-12-04, 2.29439e-06
1991-12-05, 1.28733e-06
1991-12-06, 1.15206e-06
1991-12-07, 1.35602e-06
1991-12-08, 2.58804e-06
1991-12-09, 4.35477e-06
1991-12-10, 2.48487e-06
1991-12-11, 1.01422e-06
1991-12-12, 6.93968e-07
1991-12-13, 5.71305e-07
1991-12-14, 5.04537e-07
1991-12-15, 4.37110e-07
1991-12-16, 4.39361e-07
1991-12-17, 5.20189e-07
1991-12-18, 2.02455e-06
1991-12-19, 7.86399e-06
1991-12-20, 6.18281e-06
1991-12-21, 2.06612e-06
1991-12-22, 1.52000e-06
1991-12-23, 9.75947e-07
1991-12-24, 6.33181e-07
1991-12-25, 4.70057e-07
1991-12-26, 3.86032e-07
1991-12-27, 3.37277e-07
1991-12-28, 3.09291e-07
1991-12-29, 3.09855e-07
1991-12-30, 2.71459e-07
1991-12-31, 2.28739e-07
