date, weight 
1991-01-01, 4.88663e-06
1991-01-02, 3.44036e-06
1991-01-03, 2.45431e-06
1991-01-04, 1.90931e-06
1991-01-05, 1.98333e-06
1991-01-06, 3.26083e-06
1991-01-07, 4.09093e-06
1991-01-08, 2.99366e-06
1991-01-09, 2.31416e-06
1991-01-10, 1.64697e-06
1991-01-11, 1.17436e-06
1991-01-12, 1.69706e-06
1991-01-13, 3.25868e-06
1991-01-14, 2.57772e-06
1991-01-15, 1.23539e-06
1991-01-16, 2.21651e-06
1991-01-17, 8.63759e-06
1991-01-18, 6.91026e-06
1991-01-19, 2.27897e-06
1991-01-20, 1.10970e-06
1991-01-21, 7.60808e-07
1991-01-22, 1.60349e-06
1991-01-23, 2.13780e-06
1991-01-24, 6.83192e-07
1991-01-25, 4.57670e-07
1991-01-26, 3.78420e-07
1991-01-27, 3.46991e-07
1991-01-28, 4.50279e-07
1991-01-29, 5.92321e-07
1991-01-30, 4.05711e-07
1991-01-31, 2.69757e-07
1991-02-01, 2.36366e-07
1991-02-02, 2.19683e-07
1991-02-03, 1.95876e-07
1991-02-04, 1.82653e-07
1991-02-05, 1.71204e-07
1991-02-06, 1.63275e-07
1991-02-07, 1.56128e-07
1991-02-08, 1.75667e-07
1991-02-09, 3.58085e-07
1991-02-10, 9.18477e-07
1991-02-11, 1.70186e-06
1991-02-12, 1.63559e-06
1991-02-13, 2.25194e-06
1991-02-14, 5.82167e-06
1991-02-15, 8.63866e-06
1991-02-16, 6.76789e-06
1991-02-17, 3.31766e-06
1991-02-18, 2.62844e-06
1991-02-19, 3.07246e-06
1991-02-20, 3.18294e-06
1991-02-21, 3.43318e-06
1991-02-22, 3.28733e-06
1991-02-23, 3.61474e-06
1991-02-24, 4.69144e-06
1991-02-25, 3.25600e-06
1991-02-26, 1.61529e-06
1991-02-27, 1.16804e-06
1991-02-28, 1.10964e-06
1991-03-01, 1.92225e-06
1991-03-02, 2.18165e-06
1991-03-03, 1.04140e-06
1991-03-04, 6.28067e-07
1991-03-05, 6.43041e-07
1991-03-06, 5.27498e-07
1991-03-07, 3.14285e-07
1991-03-08, 2.47720e-07
1991-03-09, 1.91840e-07
1991-03-10, 1.73837e-07
1991-03-11, 2.20515e-07
1991-03-12, 2.32593e-06
1991-03-13, 5.86838e-06
1991-03-14, 4.25488e-06
1991-03-15, 1.36520e-06
1991-03-16, 8.01427e-07
1991-03-17, 5.84963e-07
1991-03-18, 3.78047e-07
1991-03-19, 5.88960e-07
1991-03-20, 7.96288e-07
1991-03-21, 6.75149e-07
1991-03-22, 4.63043e-07
1991-03-23, 3.31904e-07
1991-03-24, 2.75670e-07
1991-03-25, 4.83679e-07
1991-03-26, 5.77996e-07
1991-03-27, 2.98693e-07
1991-03-28, 7.01524e-07
1991-03-29, 1.59813e-06
1991-03-30, 1.49993e-06
1991-03-31, 6.27523e-06
1991-04-01, 8.55759e-06
1991-04-02, 5.62575e-06
1991-04-03, 4.89526e-06
1991-04-04, 9.59080e-06
1991-04-05, 3.61843e-05
1991-04-06, 3.70034e-05
1991-04-07, 4.33454e-05
1991-04-08, 5.59286e-05
1991-04-09, 4.83498e-05
1991-04-10, 3.56370e-05
1991-04-11, 2.36684e-05
1991-04-12, 2.98380e-05
1991-04-13, 3.31054e-05
1991-04-14, 3.02662e-05
1991-04-15, 2.30084e-05
1991-04-16, 2.35581e-05
1991-04-17, 3.06535e-05
1991-04-18, 2.71917e-05
1991-04-19, 4.00994e-05
1991-04-20, 5.91792e-05
1991-04-21, 6.33139e-05
1991-04-22, 6.38587e-05
1991-04-23, 5.51353e-05
1991-04-24, 5.08611e-05
1991-04-25, 6.31626e-05
1991-04-26, 1.04850e-04
1991-04-27, 1.55275e-04
1991-04-28, 1.24457e-04
1991-04-29, 1.43699e-04
1991-04-30, 1.92287e-04
1991-05-01, 1.59050e-04
1991-05-02, 1.79532e-04
1991-05-03, 2.97729e-04
1991-05-04, 3.98510e-04
1991-05-05, 4.99141e-04
1991-05-06, 6.18172e-04
1991-05-07, 6.63526e-04
1991-05-08, 6.67006e-04
1991-05-09, 8.05049e-04
1991-05-10, 8.89088e-04
1991-05-11, 8.75171e-04
1991-05-12, 0.00103
1991-05-13, 9.89359e-04
1991-05-14, 7.90311e-04
1991-05-15, 7.11553e-04
1991-05-16, 6.56984e-04
1991-05-17, 6.16213e-04
1991-05-18, 6.12139e-04
1991-05-19, 7.81154e-04
1991-05-20, 8.86153e-04
1991-05-21, 7.82033e-04
1991-05-22, 8.19630e-04
1991-05-23, 8.90550e-04
1991-05-24, 7.23915e-04
1991-05-25, 5.56986e-04
1991-05-26, 5.65774e-04
1991-05-27, 5.67585e-04
1991-05-28, 5.86359e-04
1991-05-29, 6.05134e-04
1991-05-30, 6.44743e-04
1991-05-31, 8.15398e-04
1991-06-01, 9.95977e-04
1991-06-02, 0.00114
1991-06-03, 0.00129
1991-06-04, 0.00113
1991-06-05, 9.33688e-04
1991-06-06, 7.88258e-04
1991-06-07, 7.62134e-04
1991-06-08, 0.00103
1991-06-09, 0.00131
1991-06-10, 0.00116
1991-06-11, 9.24391e-04
1991-06-12, 7.98112e-04
1991-06-13, 6.57230e-04
1991-06-14, 6.20460e-04
1991-06-15, 7.33250e-04
1991-06-16, 7.72289e-04
1991-06-17, 7.05625e-04
1991-06-18, 6.71921e-04
1991-06-19, 6.21218e-04
1991-06-20, 5.32953e-04
1991-06-21, 4.90571e-04
1991-06-22, 3.87700e-04
1991-06-23, 2.81412e-04
1991-06-24, 2.44765e-04
1991-06-25, 2.70968e-04
1991-06-26, 2.86449e-04
1991-06-27, 3.00290e-04
1991-06-28, 3.68475e-04
1991-06-29, 3.74788e-04
1991-06-30, 3.26903e-04
1991-07-01, 2.10774e-04
1991-07-02, 1.30001e-04
1991-07-03, 1.13991e-04
1991-07-04, 8.44459e-05
1991-07-05, 7.03027e-05
1991-07-06, 8.70074e-05
1991-07-07, 8.64042e-05
1991-07-08, 6.41864e-05
1991-07-09, 5.09126e-05
1991-07-10, 5.46143e-05
1991-07-11, 5.84016e-05
1991-07-12, 4.79730e-05
1991-07-13, 4.23679e-05
1991-07-14, 4.35577e-05
1991-07-15, 4.18826e-05
1991-07-16, 3.59859e-05
1991-07-17, 3.54751e-05
1991-07-18, 3.97243e-05
1991-07-19, 3.42352e-05
1991-07-20, 4.16338e-05
1991-07-21, 6.68054e-05
1991-07-22, 6.07669e-05
1991-07-23, 4.24011e-05
1991-07-24, 3.64581e-05
1991-07-25, 4.22342e-05
1991-07-26, 3.82695e-05
1991-07-27, 2.51912e-05
1991-07-28, 2.36601e-05
1991-07-29, 4.73827e-05
1991-07-30, 5.74401e-05
1991-07-31, 3.34912e-05
1991-08-01, 2.06952e-05
1991-08-02, 1.74843e-05
1991-08-03, 1.95864e-05
1991-08-04, 1.77589e-05
1991-08-05, 1.11250e-05
1991-08-06, 2.96900e-05
1991-08-07, 3.30447e-05
1991-08-08, 2.87247e-05
1991-08-09, 2.79536e-05
1991-08-10, 2.08483e-05
1991-08-11, 2.00645e-05
1991-08-12, 2.15996e-05
1991-08-13, 2.97058e-05
1991-08-14, 2.86315e-05
1991-08-15, 2.14504e-05
1991-08-16, 1.71361e-05
1991-08-17, 2.22311e-05
1991-08-18, 4.83400e-05
1991-08-19, 4.70014e-05
1991-08-20, 3.24978e-05
1991-08-21, 2.91345e-05
1991-08-22, 5.34595e-05
1991-08-23, 4.99632e-05
1991-08-24, 1.87791e-05
1991-08-25, 2.02780e-05
1991-08-26, 2.22511e-05
1991-08-27, 4.79203e-05
1991-08-28, 4.68710e-05
1991-08-29, 3.11674e-05
1991-08-30, 3.69574e-05
1991-08-31, 4.40850e-05
1991-09-01, 4.49955e-05
1991-09-02, 3.34457e-05
1991-09-03, 2.40877e-05
1991-09-04, 1.13106e-05
1991-09-05, 1.78944e-05
1991-09-06, 2.19494e-05
1991-09-07, 1.32717e-05
1991-09-08, 1.32881e-05
1991-09-09, 1.25347e-05
1991-09-10, 2.23045e-05
1991-09-11, 3.55937e-05
1991-09-12, 3.25306e-05
1991-09-13, 2.98351e-05
1991-09-14, 2.95791e-05
1991-09-15, 6.83814e-05
1991-09-16, 6.94266e-05
1991-09-17, 3.91194e-05
1991-09-18, 2.58169e-05
1991-09-19, 1.25590e-05
1991-09-20, 1.07698e-05
1991-09-21, 1.56001e-05
1991-09-22, 2.36212e-05
1991-09-23, 3.19697e-05
1991-09-24, 5.05877e-05
1991-09-25, 4.58927e-05
1991-09-26, 5.66368e-05
1991-09-27, 9.23504e-05
1991-09-28, 4.25171e-05
1991-09-29, 4.91705e-05
1991-09-30, 5.03038e-05
1991-10-01, 3.40846e-05
1991-10-02, 3.14125e-05
1991-10-03, 6.17876e-05
1991-10-04, 4.97849e-05
1991-10-05, 2.42659e-05
1991-10-06, 1.43370e-05
1991-10-07, 2.37308e-05
1991-10-08, 2.95907e-05
1991-10-09, 1.82116e-05
1991-10-10, 1.18910e-05
1991-10-11, 1.85474e-05
1991-10-12, 2.54265e-05
1991-10-13, 2.96943e-05
1991-10-14, 3.29528e-05
1991-10-15, 4.04847e-05
1991-10-16, 5.96536e-05
1991-10-17, 4.94712e-05
1991-10-18, 6.27887e-05
1991-10-19, 5.89345e-05
1991-10-20, 4.64865e-05
1991-10-21, 5.15280e-05
1991-10-22, 3.96269e-05
1991-10-23, 3.02040e-05
1991-10-24, 3.97205e-05
1991-10-25, 2.74746e-05
1991-10-26, 3.08669e-05
1991-10-27, 2.85527e-05
1991-10-28, 2.92696e-05
1991-10-29, 3.92013e-05
1991-10-30, 3.42635e-05
1991-10-31, 4.28242e-05
1991-11-01, 2.63917e-05
1991-11-02, 3.55913e-05
1991-11-03, 5.40210e-05
1991-11-04, 5.16130e-05
1991-11-05, 4.27778e-05
1991-11-06, 3.91707e-05
1991-11-07, 3.26901e-05
1991-11-08, 1.01456e-04
1991-11-09, 1.17834e-04
1991-11-10, 5.17118e-05
1991-11-11, 4.35181e-05
1991-11-12, 5.78470e-05
1991-11-13, 5.68914e-05
1991-11-14, 3.67370e-05
1991-11-15, 2.29749e-05
1991-11-16, 1.89630e-05
1991-11-17, 2.37711e-05
1991-11-18, 3.25348e-05
1991-11-19, 3.10059e-05
1991-11-20, 2.71051e-05
1991-11-21, 2.16022e-05
1991-11-22, 1.96222e-05
1991-11-23, 3.43051e-05
1991-11-24, 3.37133e-05
1991-11-25, 4.06259e-05
1991-11-26, 3.80759e-05
1991-11-27, 3.01184e-05
1991-11-28, 2.83036e-05
1991-11-29, 2.73358e-05
1991-11-30, 2.78023e-05
1991-12-01, 2.98555e-05
1991-12-02, 1.73126e-05
1991-12-03, 2.37683e-05
1991-12-04, 3.75641e-05
1991-12-05, 2.24811e-05
1991-12-06, 1.26050e-05
1991-12-07, 1.16372e-05
1991-12-08, 8.93077e-06
1991-12-09, 5.68533e-06
1991-12-10, 7.20314e-06
1991-12-11, 1.98485e-05
1991-12-12, 2.10428e-05
1991-12-13, 1.33157e-05
1991-12-14, 7.47670e-06
1991-12-15, 5.24001e-06
1991-12-16, 3.04180e-06
1991-12-17, 3.23495e-06
1991-12-18, 4.04797e-06
1991-12-19, 5.10774e-06
1991-12-20, 4.01570e-06
1991-12-21, 4.78241e-06
1991-12-22, 7.61986e-06
1991-12-23, 1.12403e-05
1991-12-24, 1.40423e-05
1991-12-25, 1.79273e-05
1991-12-26, 2.10174e-05
1991-12-27, 2.33312e-05
1991-12-28, 5.24365e-05
1991-12-29, 4.99103e-05
1991-12-30, 1.73605e-05
1991-12-31, 8.12006e-06
