date, weight 
1991-01-01, 2.54833e-07
1991-01-02, 2.45054e-07
1991-01-03, 2.35671e-07
1991-01-04, 2.27448e-07
1991-01-05, 2.66631e-07
1991-01-06, 2.97263e-07
1991-01-07, 2.17395e-07
1991-01-08, 2.03090e-07
1991-01-09, 1.94811e-07
1991-01-10, 1.86348e-07
1991-01-11, 1.79970e-07
1991-01-12, 1.73805e-07
1991-01-13, 1.68460e-07
1991-01-14, 1.63425e-07
1991-01-15, 1.58643e-07
1991-01-16, 1.54102e-07
1991-01-17, 1.49788e-07
1991-01-18, 1.45677e-07
1991-01-19, 1.41756e-07
1991-01-20, 1.38014e-07
1991-01-21, 1.34439e-07
1991-01-22, 1.31014e-07
1991-01-23, 1.27735e-07
1991-01-24, 1.24851e-07
1991-01-25, 8.16796e-07
1991-01-26, 1.34809e-06
1991-01-27, 3.57700e-07
1991-01-28, 1.97928e-07
1991-01-29, 1.53092e-07
1991-01-30, 1.33539e-07
1991-01-31, 1.22592e-07
1991-02-01, 1.15529e-07
1991-02-02, 1.28529e-07
1991-02-03, 1.37035e-07
1991-02-04, 7.89943e-07
1991-02-05, 1.44659e-06
1991-02-06, 6.53460e-07
1991-02-07, 2.15652e-07
1991-02-08, 1.15300e-06
1991-02-09, 6.62949e-06
1991-02-10, 5.11553e-06
1991-02-11, 1.25095e-06
1991-02-12, 5.86516e-07
1991-02-13, 3.46776e-07
1991-02-14, 2.42898e-07
1991-02-15, 1.89091e-07
1991-02-16, 1.57783e-07
1991-02-17, 1.37853e-07
1991-02-18, 1.57898e-07
1991-02-19, 3.07964e-07
1991-02-20, 2.18581e-07
1991-02-21, 1.19703e-07
1991-02-22, 1.27618e-07
1991-02-23, 1.28720e-07
1991-02-24, 2.64684e-07
1991-02-25, 2.27045e-06
1991-02-26, 5.34840e-06
1991-02-27, 1.03781e-05
1991-02-28, 2.07933e-05
1991-03-01, 3.59549e-06
1991-03-02, 1.71031e-06
1991-03-03, 1.04513e-06
1991-03-04, 8.13159e-07
1991-03-05, 6.37697e-07
1991-03-06, 1.99874e-06
1991-03-07, 1.06427e-05
1991-03-08, 3.46883e-05
1991-03-09, 6.12354e-05
1991-03-10, 4.44930e-05
1991-03-11, 2.89329e-05
1991-03-12, 4.21680e-05
1991-03-13, 6.26740e-05
1991-03-14, 7.15983e-05
1991-03-15, 1.15251e-04
1991-03-16, 8.87605e-05
1991-03-17, 3.57455e-05
1991-03-18, 1.71567e-05
1991-03-19, 1.00057e-05
1991-03-20, 1.48029e-05
1991-03-21, 4.83518e-05
1991-03-22, 5.00863e-05
1991-03-23, 5.81472e-05
1991-03-24, 1.04639e-04
1991-03-25, 2.16922e-04
1991-03-26, 3.11248e-04
1991-03-27, 4.58832e-04
1991-03-28, 5.37002e-04
1991-03-29, 4.95224e-04
1991-03-30, 4.02519e-04
1991-03-31, 2.28035e-04
1991-04-01, 1.21684e-04
1991-04-02, 1.03099e-04
1991-04-03, 2.01893e-04
1991-04-04, 3.52864e-04
1991-04-05, 4.21713e-04
1991-04-06, 5.51888e-04
1991-04-07, 5.49944e-04
1991-04-08, 5.68688e-04
1991-04-09, 4.84642e-04
1991-04-10, 3.82256e-04
1991-04-11, 5.48809e-04
1991-04-12, 8.89290e-04
1991-04-13, 8.35437e-04
1991-04-14, 7.90557e-04
1991-04-15, 0.00104
1991-04-16, 0.00120
1991-04-17, 0.00125
1991-04-18, 0.00146
1991-04-19, 0.00119
1991-04-20, 0.00103
1991-04-21, 8.96049e-04
1991-04-22, 8.79906e-04
1991-04-23, 8.78819e-04
1991-04-24, 6.59412e-04
1991-04-25, 5.35345e-04
1991-04-26, 4.91320e-04
1991-04-27, 3.90962e-04
1991-04-28, 3.67534e-04
1991-04-29, 3.32240e-04
1991-04-30, 4.27194e-04
1991-05-01, 4.66198e-04
1991-05-02, 3.61170e-04
1991-05-03, 2.68343e-04
1991-05-04, 2.54846e-04
1991-05-05, 2.90860e-04
1991-05-06, 2.90328e-04
1991-05-07, 2.98750e-04
1991-05-08, 6.44417e-04
1991-05-09, 9.72445e-04
1991-05-10, 6.44835e-04
1991-05-11, 3.50986e-04
1991-05-12, 3.61588e-04
1991-05-13, 4.04513e-04
1991-05-14, 4.12237e-04
1991-05-15, 4.36974e-04
1991-05-16, 4.40363e-04
1991-05-17, 4.60481e-04
1991-05-18, 3.60400e-04
1991-05-19, 3.45862e-04
1991-05-20, 4.35161e-04
1991-05-21, 5.32468e-04
1991-05-22, 4.74501e-04
1991-05-23, 4.22330e-04
1991-05-24, 3.88487e-04
1991-05-25, 2.67219e-04
1991-05-26, 2.16397e-04
1991-05-27, 2.04671e-04
1991-05-28, 1.88876e-04
1991-05-29, 1.96387e-04
1991-05-30, 1.90697e-04
1991-05-31, 1.74581e-04
1991-06-01, 1.15123e-04
1991-06-02, 7.81100e-05
1991-06-03, 5.30628e-05
1991-06-04, 4.76110e-05
1991-06-05, 6.68396e-05
1991-06-06, 8.73902e-05
1991-06-07, 1.14955e-04
1991-06-08, 1.33038e-04
1991-06-09, 8.13732e-05
1991-06-10, 4.49360e-05
1991-06-11, 3.84622e-05
1991-06-12, 3.41671e-05
1991-06-13, 5.12783e-05
1991-06-14, 1.16870e-04
1991-06-15, 1.99283e-04
1991-06-16, 2.15109e-04
1991-06-17, 1.10980e-04
1991-06-18, 8.20962e-05
1991-06-19, 1.18670e-04
1991-06-20, 1.52904e-04
1991-06-21, 1.76540e-04
1991-06-22, 1.50489e-04
1991-06-23, 7.27697e-05
1991-06-24, 9.57337e-05
1991-06-25, 7.58286e-05
1991-06-26, 9.49018e-05
1991-06-27, 1.30450e-04
1991-06-28, 1.78112e-04
1991-06-29, 2.57991e-04
