date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.00455, 0.01097, 0.20246, 0.00407, 0.00001, 0.00022, 0.00855, 0.06065, 0.14777, 0.46582, 0.09494
1991-01-02, 0.00441, 0.00919, 0.20531, 0.00387, 0.00001, 0.00021, 0.00639, 0.06157, 0.14820, 0.46595, 0.09489
1991-01-03, 0.00430, 0.00810, 0.20792, 0.00369, 0.00001, 0.00017, 0.00499, 0.06239, 0.14852, 0.46524, 0.09466
1991-01-04, 0.00430, 0.00917, 0.20954, 0.00343, 0.00001, 0.00017, 0.00560, 0.06283, 0.14831, 0.46265, 0.09400
1991-01-05, 0.00413, 0.00748, 0.20500, 0.02454, 0.00001, 0.00018, 0.00913, 0.06081, 0.14493, 0.45248, 0.09132
1991-01-06, 0.00405, 0.00655, 0.20679, 0.02666, 0.00000, 0.00022, 0.00930, 0.06127, 0.14484, 0.44956, 0.09077
1991-01-07, 0.00404, 0.00630, 0.21255, 0.01845, 0.00000, 0.00020, 0.00823, 0.06317, 0.14674, 0.44891, 0.09141
1991-01-08, 0.00401, 0.00712, 0.21647, 0.01136, 0.00000, 0.00022, 0.00710, 0.06433, 0.14762, 0.45010, 0.09166
1991-01-09, 0.00396, 0.00724, 0.21967, 0.00796, 0.00000, 0.00022, 0.00596, 0.06512, 0.14832, 0.45013, 0.09141
1991-01-10, 0.00388, 0.00586, 0.22393, 0.00617, 0.00000, 0.00022, 0.00386, 0.06601, 0.14982, 0.44893, 0.09131
1991-01-11, 0.00384, 0.00584, 0.22579, 0.00518, 0.00000, 0.00008, 0.00344, 0.06694, 0.14886, 0.44875, 0.09128
1991-01-12, 0.00377, 0.00492, 0.22842, 0.00456, 0.00000, 0.00001, 0.00231, 0.06767, 0.14885, 0.44824, 0.09126
1991-01-13, 0.00372, 0.00470, 0.23075, 0.00413, 0.00000, 0.00001, 0.00198, 0.06820, 0.14874, 0.44686, 0.09092
1991-01-14, 0.00367, 0.00454, 0.23305, 0.00381, 0.00000, 0.00000, 0.00177, 0.06870, 0.14862, 0.44527, 0.09056
1991-01-15, 0.00363, 0.00441, 0.23534, 0.00355, 0.00000, 0.00000, 0.00161, 0.06917, 0.14850, 0.44357, 0.09022
1991-01-16, 0.00359, 0.00428, 0.23762, 0.00334, 0.00000, 0.00000, 0.00147, 0.06964, 0.14836, 0.44183, 0.08988
1991-01-17, 0.00354, 0.00416, 0.23988, 0.00315, 0.00000, 0.00000, 0.00136, 0.07008, 0.14820, 0.44008, 0.08954
1991-01-18, 0.00351, 0.00405, 0.24215, 0.00299, 0.00000, 0.00000, 0.00126, 0.07051, 0.14803, 0.43831, 0.08920
1991-01-19, 0.00347, 0.00395, 0.24440, 0.00285, 0.00000, 0.00000, 0.00117, 0.07092, 0.14787, 0.43651, 0.08886
1991-01-20, 0.00343, 0.00385, 0.24666, 0.00272, 0.00000, 0.00000, 0.00110, 0.07132, 0.14769, 0.43471, 0.08853
1991-01-21, 0.00339, 0.00376, 0.24891, 0.00261, 0.00000, 0.00000, 0.00103, 0.07170, 0.14750, 0.43291, 0.08819
1991-01-22, 0.00336, 0.00367, 0.25115, 0.00250, 0.00000, 0.00000, 0.00098, 0.07206, 0.14732, 0.43110, 0.08786
1991-01-23, 0.00332, 0.00358, 0.25340, 0.00241, 0.00000, 0.00000, 0.00092, 0.07242, 0.14714, 0.42928, 0.08753
