date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.00454, 0.01066, 0.20872, 0.00597, 0.00000, 0.00008, 0.00230, 0.06271, 0.15017, 0.46355, 0.09129
1991-01-02, 0.00448, 0.01041, 0.21102, 0.00571, 0.00000, 0.00009, 0.00211, 0.06339, 0.15006, 0.46174, 0.09097
1991-01-03, 0.00443, 0.01022, 0.21335, 0.00548, 0.00000, 0.00008, 0.00203, 0.06406, 0.15001, 0.45971, 0.09063
1991-01-04, 0.00475, 0.01404, 0.21291, 0.00504, 0.00000, 0.00007, 0.00675, 0.06379, 0.14860, 0.45472, 0.08933
1991-01-05, 0.00439, 0.01047, 0.20765, 0.02809, 0.00000, 0.00008, 0.00895, 0.06146, 0.14521, 0.44649, 0.08723
1991-01-06, 0.00431, 0.00964, 0.20957, 0.03030, 0.00000, 0.00010, 0.00909, 0.06200, 0.14500, 0.44325, 0.08674
1991-01-07, 0.00433, 0.00966, 0.21441, 0.02501, 0.00000, 0.00010, 0.00928, 0.06354, 0.14618, 0.44045, 0.08704
1991-01-08, 0.00426, 0.00944, 0.21961, 0.01812, 0.00000, 0.00012, 0.00742, 0.06504, 0.14759, 0.44078, 0.08762
1991-01-09, 0.00420, 0.00907, 0.22350, 0.01383, 0.00000, 0.00014, 0.00566, 0.06620, 0.14816, 0.44157, 0.08768
1991-01-10, 0.00413, 0.00884, 0.22672, 0.01117, 0.00000, 0.00013, 0.00446, 0.06708, 0.14837, 0.44159, 0.08751
1991-01-11, 0.00407, 0.00862, 0.22964, 0.00946, 0.00000, 0.00011, 0.00365, 0.06781, 0.14841, 0.44099, 0.08724
1991-01-12, 0.00402, 0.00842, 0.23241, 0.00827, 0.00000, 0.00003, 0.00310, 0.06847, 0.14839, 0.44000, 0.08688
1991-01-13, 0.00397, 0.00825, 0.23503, 0.00741, 0.00000, 0.00001, 0.00271, 0.06904, 0.14831, 0.43870, 0.08657
1991-01-14, 0.00392, 0.00808, 0.23753, 0.00677, 0.00000, 0.00001, 0.00242, 0.06957, 0.14816, 0.43726, 0.08627
1991-01-15, 0.00388, 0.00793, 0.24000, 0.00625, 0.00000, 0.00001, 0.00219, 0.07007, 0.14799, 0.43572, 0.08597
1991-01-16, 0.00384, 0.00778, 0.24243, 0.00582, 0.00000, 0.00001, 0.00200, 0.07054, 0.14781, 0.43410, 0.08566
1991-01-17, 0.00379, 0.00763, 0.24485, 0.00545, 0.00000, 0.00000, 0.00185, 0.07100, 0.14762, 0.43245, 0.08535
