date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.00532, 0.02952, 0.19392, 0.00319, 0.00001, 0.00017, 0.01683, 0.05849, 0.14313, 0.45646, 0.09297
1991-01-02, 0.00506, 0.02616, 0.19696, 0.00300, 0.00001, 0.00018, 0.01449, 0.05949, 0.14383, 0.45775, 0.09306
1991-01-03, 0.00491, 0.02360, 0.19984, 0.00286, 0.00000, 0.00015, 0.01223, 0.06044, 0.14443, 0.45847, 0.09307
1991-01-04, 0.00482, 0.02337, 0.19902, 0.01035, 0.00000, 0.00014, 0.01419, 0.06008, 0.14283, 0.45374, 0.09146
1991-01-05, 0.00523, 0.02062, 0.19542, 0.02838, 0.00000, 0.00016, 0.01510, 0.05856, 0.14015, 0.44714, 0.08925
1991-01-06, 0.00555, 0.02020, 0.18943, 0.04736, 0.00000, 0.00020, 0.02092, 0.05682, 0.13521, 0.43788, 0.08644
1991-01-07, 0.00513, 0.01902, 0.19376, 0.04324, 0.00000, 0.00019, 0.02124, 0.05837, 0.13640, 0.43604, 0.08660
1991-01-08, 0.00491, 0.01798, 0.20181, 0.02942, 0.00000, 0.00018, 0.01819, 0.06080, 0.14012, 0.43845, 0.08815
1991-01-09, 0.00461, 0.01603, 0.20879, 0.01923, 0.00000, 0.00018, 0.01326, 0.06277, 0.14292, 0.44272, 0.08949
1991-01-10, 0.00441, 0.01495, 0.21368, 0.01363, 0.00000, 0.00017, 0.01011, 0.06409, 0.14443, 0.44463, 0.08990
1991-01-11, 0.00427, 0.01414, 0.21711, 0.01045, 0.00000, 0.00010, 0.00807, 0.06515, 0.14492, 0.44579, 0.09000
1991-01-12, 0.00416, 0.01321, 0.22012, 0.00853, 0.00000, 0.00002, 0.00646, 0.06602, 0.14517, 0.44638, 0.08991
1991-01-13, 0.00407, 0.01259, 0.22290, 0.00728, 0.00000, 0.00002, 0.00548, 0.06671, 0.14532, 0.44596, 0.08968
1991-01-14, 0.00400, 0.01205, 0.22552, 0.00639, 0.00000, 0.00001, 0.00475, 0.06733, 0.14539, 0.44511, 0.08944
1991-01-15, 0.00392, 0.01158, 0.22807, 0.00573, 0.00000, 0.00001, 0.00418, 0.06790, 0.14543, 0.44398, 0.08919
1991-01-16, 0.00386, 0.01116, 0.23057, 0.00520, 0.00000, 0.00001, 0.00372, 0.06844, 0.14542, 0.44269, 0.08894
1991-01-17, 0.00380, 0.01077, 0.23302, 0.00477, 0.00000, 0.00000, 0.00334, 0.06895, 0.14538, 0.44130, 0.08867
1991-01-18, 0.00375, 0.01048, 0.23548, 0.00442, 0.00000, 0.00000, 0.00307, 0.06945, 0.14533, 0.43960, 0.08841
1991-01-19, 0.00370, 0.01019, 0.23788, 0.00411, 0.00000, 0.00000, 0.00283, 0.06991, 0.14527, 0.43796, 0.08813
1991-01-20, 0.00365, 0.00980, 0.24026, 0.00385, 0.00000, 0.00000, 0.00250, 0.07036, 0.14519, 0.43655, 0.08785
1991-01-21, 0.00360, 0.00952, 0.24262, 0.00362, 0.00000, 0.00000, 0.00229, 0.07078, 0.14507, 0.43496, 0.08755
1991-01-22, 0.00356, 0.00925, 0.24497, 0.00342, 0.00000, 0.00000, 0.00211, 0.07119, 0.14495, 0.43330, 0.08725
1991-01-23, 0.00352, 0.00913, 0.24729, 0.00324, 0.00000, 0.00000, 0.00207, 0.07157, 0.14481, 0.43142, 0.08696
1991-01-24, 0.00348, 0.00897, 0.24958, 0.00307, 0.00000, 0.00000, 0.00199, 0.07193, 0.14469, 0.42963, 0.08665
1991-01-25, 0.00354, 0.02261, 0.24446, 0.00291, 0.00000, 0.00000, 0.01328, 0.06931, 0.14021, 0.41936, 0.08432
1991-01-26, 0.00357, 0.02357, 0.24665, 0.00280, 0.00000, 0.00000, 0.01423, 0.06986, 0.13955, 0.41641, 0.08335
1991-01-27, 0.00354, 0.01990, 0.25165, 0.00268, 0.00000, 0.00000, 0.01210, 0.07111, 0.14115, 0.41380, 0.08408
1991-01-28, 0.00340, 0.01529, 0.25549, 0.00256, 0.00000, 0.00000, 0.00904, 0.07210, 0.14193, 0.41597, 0.08422
1991-01-29, 0.00319, 0.01199, 0.25091, 0.01809, 0.00000, 0.00000, 0.01330, 0.06998, 0.13815, 0.41134, 0.08305
1991-01-30, 0.00313, 0.01026, 0.25305, 0.01977, 0.00000, 0.00000, 0.01277, 0.07044, 0.13767, 0.41038, 0.08252
1991-01-31, 0.00318, 0.00938, 0.26031, 0.01231, 0.00000, 0.00000, 0.00861, 0.07244, 0.14033, 0.41022, 0.08321
1991-02-01, 0.00318, 0.00874, 0.26520, 0.00730, 0.00000, 0.00000, 0.00545, 0.07349, 0.14184, 0.41109, 0.08371
1991-02-02, 0.00336, 0.01353, 0.26497, 0.00489, 0.00000, 0.00000, 0.00933, 0.07316, 0.14022, 0.40807, 0.08247
1991-02-03, 0.00333, 0.01660, 0.26539, 0.00368, 0.00000, 0.00000, 0.01169, 0.07298, 0.13901, 0.40584, 0.08148
1991-02-04, 0.00308, 0.01107, 0.26512, 0.01683, 0.00000, 0.00000, 0.01276, 0.07128, 0.13809, 0.40060, 0.08117
1991-02-05, 0.00295, 0.00775, 0.25810, 0.03370, 0.00000, 0.00000, 0.01799, 0.06763, 0.13632, 0.39544, 0.08012
1991-02-06, 0.00296, 0.00725, 0.26343, 0.02804, 0.00000, 0.00000, 0.01520, 0.06949, 0.13806, 0.39517, 0.08039
1991-02-07, 0.00299, 0.00753, 0.27383, 0.01546, 0.00000, 0.00000, 0.00941, 0.07300, 0.14069, 0.39564, 0.08144
1991-02-08, 0.00299, 0.00779, 0.27975, 0.00844, 0.00000, 0.00000, 0.00574, 0.07466, 0.14164, 0.39718, 0.08181
1991-02-09, 0.00298, 0.00939, 0.27008, 0.01601, 0.00000, 0.00000, 0.01515, 0.07013, 0.13879, 0.39668, 0.08080
1991-02-10, 0.00297, 0.01048, 0.27081, 0.01634, 0.00000, 0.00000, 0.01758, 0.07014, 0.13778, 0.39420, 0.07970
1991-02-11, 0.00292, 0.00702, 0.27745, 0.01593, 0.00000, 0.00000, 0.01398, 0.07185, 0.14029, 0.39024, 0.08032
1991-02-12, 0.00289, 0.00637, 0.28266, 0.01309, 0.00000, 0.00000, 0.01090, 0.07309, 0.14080, 0.38943, 0.08077
1991-02-13, 0.00286, 0.00610, 0.28706, 0.01027, 0.00000, 0.00000, 0.00833, 0.07411, 0.14100, 0.38941, 0.08085
1991-02-14, 0.00283, 0.00594, 0.29079, 0.00810, 0.00000, 0.00000, 0.00639, 0.07491, 0.14091, 0.38941, 0.08072
1991-02-15, 0.00280, 0.00579, 0.29398, 0.00652, 0.00000, 0.00000, 0.00501, 0.07550, 0.14072, 0.38916, 0.08051
1991-02-16, 0.00277, 0.00566, 0.29679, 0.00538, 0.00000, 0.00000, 0.00406, 0.07593, 0.14050, 0.38861, 0.08029
1991-02-17, 0.00276, 0.00604, 0.29915, 0.00456, 0.00000, 0.00000, 0.00365, 0.07621, 0.14021, 0.38741, 0.08002
1991-02-18, 0.00263, 0.00487, 0.28929, 0.02161, 0.00000, 0.00000, 0.01006, 0.07344, 0.13632, 0.38340, 0.07839
1991-02-19, 0.00262, 0.00463, 0.29163, 0.02134, 0.00000, 0.00000, 0.01022, 0.07385, 0.13607, 0.38174, 0.07790
1991-02-20, 0.00264, 0.00484, 0.30017, 0.01258, 0.00000, 0.00000, 0.00730, 0.07562, 0.13917, 0.37934, 0.07834
1991-02-21, 0.00263, 0.00485, 0.30583, 0.00720, 0.00000, 0.00000, 0.00411, 0.07646, 0.14033, 0.37963, 0.07896
1991-02-22, 0.00261, 0.00476, 0.30939, 0.00465, 0.00000, 0.00000, 0.00261, 0.07694, 0.14027, 0.37979, 0.07898
1991-02-23, 0.00255, 0.00434, 0.30288, 0.01885, 0.00000, 0.00000, 0.00699, 0.07523, 0.13625, 0.37569, 0.07721
1991-02-24, 0.00259, 0.00620, 0.30262, 0.01856, 0.00000, 0.00000, 0.00872, 0.07492, 0.13499, 0.37501, 0.07640
1991-02-25, 0.00258, 0.00605, 0.30319, 0.02076, 0.00000, 0.00000, 0.00938, 0.07472, 0.13441, 0.37286, 0.07603
1991-02-26, 0.00247, 0.00418, 0.30198, 0.02804, 0.00000, 0.00000, 0.00934, 0.07399, 0.13317, 0.37105, 0.07579
1991-02-27, 0.00338, 0.01617, 0.29000, 0.03070, 0.00000, 0.00000, 0.03065, 0.07047, 0.12614, 0.36097, 0.07153
1991-02-28, 0.00306, 0.01661, 0.27722, 0.04764, 0.00000, 0.00000, 0.04220, 0.06617, 0.12339, 0.35346, 0.07025
1991-03-01, 0.00313, 0.02117, 0.28199, 0.04434, 0.00000, 0.00000, 0.04112, 0.06712, 0.12411, 0.34699, 0.07003
1991-03-02, 0.00382, 0.03359, 0.27639, 0.04209, 0.00000, 0.00000, 0.05039, 0.06584, 0.11978, 0.34096, 0.06714
1991-03-03, 0.00393, 0.02662, 0.27463, 0.05187, 0.00000, 0.00001, 0.04902, 0.06440, 0.12166, 0.33928, 0.06859
1991-03-04, 0.00401, 0.02584, 0.28125, 0.04568, 0.00000, 0.00001, 0.04728, 0.06544, 0.12285, 0.33812, 0.06952
1991-03-05, 0.00307, 0.01365, 0.27937, 0.06875, 0.00000, 0.00001, 0.03863, 0.06367, 0.12179, 0.34165, 0.06941
1991-03-06, 0.00280, 0.00806, 0.28645, 0.06737, 0.00000, 0.00001, 0.03027, 0.06498, 0.12347, 0.34614, 0.07044
1991-03-07, 0.00297, 0.00852, 0.28804, 0.06986, 0.00000, 0.00001, 0.03320, 0.06533, 0.12253, 0.34043, 0.06911
1991-03-08, 0.00288, 0.00876, 0.29810, 0.05328, 0.00000, 0.00001, 0.02806, 0.06736, 0.12674, 0.34344, 0.07136
1991-03-09, 0.00371, 0.02050, 0.29194, 0.04494, 0.00000, 0.00002, 0.03347, 0.06548, 0.12256, 0.34705, 0.07034
1991-03-10, 0.00362, 0.02363, 0.29304, 0.04605, 0.00000, 0.00002, 0.03476, 0.06609, 0.12012, 0.34469, 0.06798
1991-03-11, 0.00345, 0.02597, 0.27963, 0.06619, 0.00000, 0.00004, 0.05075, 0.06260, 0.11461, 0.33091, 0.06585
1991-03-12, 0.00331, 0.02138, 0.28318, 0.07271, 0.00000, 0.00006, 0.04878, 0.06326, 0.11474, 0.32679, 0.06580
1991-03-13, 0.00360, 0.01677, 0.26447, 0.08589, 0.00001, 0.00008, 0.06332, 0.05823, 0.11397, 0.32622, 0.06744
1991-03-14, 0.00367, 0.01573, 0.27295, 0.06330, 0.00004, 0.00008, 0.06026, 0.05928, 0.11812, 0.33585, 0.07073
1991-03-15, 0.00401, 0.01412, 0.27861, 0.06315, 0.00011, 0.00009, 0.04948, 0.06001, 0.12027, 0.33793, 0.07224
1991-03-16, 0.00610, 0.02174, 0.27750, 0.06132, 0.00019, 0.00011, 0.05167, 0.05996, 0.11773, 0.33328, 0.07041
1991-03-17, 0.00805, 0.01879, 0.27939, 0.06346, 0.00027, 0.00017, 0.05418, 0.06080, 0.11659, 0.32982, 0.06848
1991-03-18, 0.00726, 0.01155, 0.27773, 0.07327, 0.00033, 0.00036, 0.04987, 0.05946, 0.11796, 0.33129, 0.07092
1991-03-19, 0.00699, 0.01671, 0.25120, 0.10073, 0.00026, 0.00069, 0.06421, 0.05144, 0.11069, 0.32887, 0.06821
1991-03-20, 0.00754, 0.01744, 0.24291, 0.11127, 0.00020, 0.00067, 0.06721, 0.04793, 0.11025, 0.32709, 0.06746
1991-03-21, 0.00742, 0.01308, 0.23739, 0.13187, 0.00022, 0.00038, 0.08022, 0.04733, 0.10652, 0.31130, 0.06427
1991-03-22, 0.00599, 0.01109, 0.24394, 0.12304, 0.00023, 0.00044, 0.07596, 0.04842, 0.10905, 0.31525, 0.06660
1991-03-23, 0.00508, 0.01046, 0.23723, 0.12564, 0.00028, 0.00054, 0.07965, 0.04771, 0.10781, 0.31824, 0.06736
1991-03-24, 0.00556, 0.00882, 0.24626, 0.10871, 0.00038, 0.00051, 0.07877, 0.04984, 0.11052, 0.32197, 0.06865
1991-03-25, 0.00641, 0.02476, 0.22893, 0.08963, 0.00047, 0.00045, 0.08909, 0.04419, 0.10826, 0.33592, 0.07189
1991-03-26, 0.00768, 0.02825, 0.20967, 0.09840, 0.00055, 0.00047, 0.10171, 0.04085, 0.10203, 0.33985, 0.07054
1991-03-27, 0.00871, 0.02727, 0.19118, 0.12858, 0.00060, 0.00060, 0.10386, 0.03717, 0.09809, 0.33410, 0.06985
1991-03-28, 0.01009, 0.02348, 0.20295, 0.11498, 0.00069, 0.00091, 0.09620, 0.03856, 0.10515, 0.33097, 0.07602
1991-03-29, 0.01050, 0.02976, 0.17466, 0.13407, 0.00086, 0.00138, 0.12301, 0.03263, 0.09535, 0.32582, 0.07195
1991-03-30, 0.00939, 0.01918, 0.16887, 0.13978, 0.00115, 0.00193, 0.11710, 0.03008, 0.09637, 0.34051, 0.07563
1991-03-31, 0.01074, 0.03011, 0.15046, 0.14820, 0.00127, 0.00243, 0.14732, 0.02489, 0.09110, 0.32163, 0.07185
1991-04-01, 0.01086, 0.02947, 0.15264, 0.15555, 0.00123, 0.00288, 0.13013, 0.02480, 0.09198, 0.32664, 0.07381
1991-04-02, 0.00944, 0.01780, 0.16886, 0.14715, 0.00180, 0.00339, 0.11170, 0.02796, 0.10103, 0.33251, 0.07836
1991-04-03, 0.01011, 0.01546, 0.15993, 0.15845, 0.00265, 0.00336, 0.11741, 0.02664, 0.09802, 0.33204, 0.07595
1991-04-04, 0.01086, 0.01422, 0.15205, 0.17097, 0.00374, 0.00336, 0.11901, 0.02375, 0.10185, 0.32623, 0.07395
1991-04-05, 0.00990, 0.01265, 0.13343, 0.19131, 0.00454, 0.00347, 0.11878, 0.01624, 0.10678, 0.32621, 0.07670
1991-04-06, 0.00781, 0.01000, 0.13680, 0.19294, 0.00505, 0.00361, 0.11191, 0.01687, 0.10661, 0.33079, 0.07762
1991-04-07, 0.01600, 0.01743, 0.12711, 0.21068, 0.00286, 0.00232, 0.13377, 0.01553, 0.09764, 0.30563, 0.07104
1991-04-08, 0.01771, 0.01866, 0.12874, 0.20309, 0.00227, 0.00220, 0.12891, 0.01582, 0.09718, 0.31420, 0.07122
1991-04-09, 0.02344, 0.01766, 0.13488, 0.19615, 0.00218, 0.00249, 0.12238, 0.01719, 0.10026, 0.30979, 0.07357
1991-04-10, 0.02588, 0.02975, 0.12398, 0.20100, 0.00215, 0.00262, 0.13011, 0.01497, 0.09774, 0.30151, 0.07029
1991-04-11, 0.02697, 0.01854, 0.12434, 0.20331, 0.00177, 0.00234, 0.13353, 0.01530, 0.09906, 0.30323, 0.07162
1991-04-12, 0.02871, 0.01659, 0.12551, 0.21426, 0.00193, 0.00195, 0.12405, 0.01545, 0.09988, 0.29825, 0.07342
1991-04-13, 0.02713, 0.01626, 0.12799, 0.20769, 0.00194, 0.00176, 0.11956, 0.01532, 0.10072, 0.30643, 0.07521
1991-04-14, 0.02581, 0.01509, 0.10773, 0.24514, 0.00191, 0.00144, 0.12841, 0.01127, 0.09172, 0.29844, 0.07303
1991-04-15, 0.02807, 0.01351, 0.11033, 0.23379, 0.00206, 0.00175, 0.12732, 0.01173, 0.09745, 0.29888, 0.07510
1991-04-16, 0.02924, 0.01279, 0.09576, 0.27190, 0.00168, 0.00207, 0.13651, 0.00851, 0.08263, 0.28637, 0.07256
1991-04-17, 0.03175, 0.01705, 0.07082, 0.28743, 0.00144, 0.00257, 0.14720, 0.00106, 0.07942, 0.29145, 0.06981
1991-04-18, 0.03294, 0.01566, 0.07536, 0.27071, 0.00168, 0.00254, 0.14055, 0.00130, 0.09208, 0.29235, 0.07485
1991-04-19, 0.03275, 0.02423, 0.07745, 0.25848, 0.00214, 0.00315, 0.13578, 0.00159, 0.10166, 0.28644, 0.07633
1991-04-20, 0.04058, 0.02482, 0.06837, 0.30057, 0.00249, 0.00333, 0.15520, 0.00150, 0.10051, 0.23551, 0.06711
1991-04-21, 0.04313, 0.02557, 0.07125, 0.27948, 0.00248, 0.00338, 0.15389, 0.00131, 0.10340, 0.24476, 0.07135
1991-04-22, 0.04221, 0.02882, 0.07471, 0.26061, 0.00338, 0.00365, 0.14892, 0.00156, 0.10625, 0.25445, 0.07545
1991-04-23, 0.05992, 0.02681, 0.06648, 0.27635, 0.00315, 0.00270, 0.15687, 0.00066, 0.09049, 0.24874, 0.06782
1991-04-24, 0.05802, 0.03788, 0.06249, 0.28666, 0.00257, 0.00277, 0.16058, 0.00053, 0.08797, 0.23660, 0.06395
