date, weight 
1991-01-01, 4.54577e-07
1991-01-02, 3.77954e-07
1991-01-03, 3.45594e-07
1991-01-04, 3.25097e-07
1991-01-05, 3.16251e-07
1991-01-06, 3.05126e-07
1991-01-07, 2.92410e-07
1991-01-08, 2.68199e-07
1991-01-09, 2.55985e-07
1991-01-10, 2.47559e-07
1991-01-11, 2.38511e-07
1991-01-12, 2.27059e-07
1991-01-13, 2.18956e-07
1991-01-14, 2.11226e-07
1991-01-15, 2.03664e-07
1991-01-16, 1.96909e-07
1991-01-17, 1.90550e-07
1991-01-18, 1.84525e-07
1991-01-19, 1.78815e-07
1991-01-20, 1.73418e-07
1991-01-21, 1.68303e-07
1991-01-22, 1.63445e-07
1991-01-23, 1.58834e-07
1991-01-24, 1.54433e-07
1991-01-25, 1.46091e-06
1991-01-26, 2.47814e-06
1991-01-27, 6.19535e-07
1991-01-28, 3.05948e-07
1991-01-29, 3.76621e-07
1991-01-30, 4.54110e-07
1991-01-31, 2.05576e-07
1991-02-01, 1.64035e-07
1991-02-02, 1.51334e-07
1991-02-03, 1.43939e-07
1991-02-04, 1.89022e-07
1991-02-05, 6.60104e-07
1991-02-06, 8.13346e-07
1991-02-07, 2.11262e-07
1991-02-08, 4.53861e-07
1991-02-09, 9.60938e-07
1991-02-10, 1.29091e-06
1991-02-11, 1.04457e-06
1991-02-12, 3.84901e-07
1991-02-13, 2.40073e-07
1991-02-14, 1.72290e-07
1991-02-15, 1.54929e-07
1991-02-16, 1.45445e-07
1991-02-17, 1.20752e-07
1991-02-18, 2.48125e-07
1991-02-19, 7.45760e-07
1991-02-20, 1.23957e-06
1991-02-21, 1.45943e-06
1991-02-22, 1.15696e-06
1991-02-23, 3.19792e-07
1991-02-24, 1.98551e-07
1991-02-25, 2.71800e-07
1991-02-26, 1.53125e-06
1991-02-27, 6.44020e-06
1991-02-28, 2.83810e-05
1991-03-01, 1.21105e-05
1991-03-02, 8.73741e-06
1991-03-03, 6.41119e-06
1991-03-04, 2.57864e-06
1991-03-05, 3.32321e-06
1991-03-06, 1.61678e-05
1991-03-07, 2.19812e-05
1991-03-08, 3.85649e-05
1991-03-09, 9.05627e-05
1991-03-10, 6.53691e-05
1991-03-11, 3.27796e-05
1991-03-12, 4.22936e-05
1991-03-13, 4.93135e-05
1991-03-14, 4.66360e-05
1991-03-15, 1.80029e-04
1991-03-16, 2.98902e-04
1991-03-17, 1.19809e-04
1991-03-18, 3.49000e-05
1991-03-19, 2.45890e-05
1991-03-20, 1.87112e-05
1991-03-21, 2.40278e-05
1991-03-22, 2.72111e-05
1991-03-23, 2.74403e-05
1991-03-24, 3.96370e-05
1991-03-25, 8.81316e-05
1991-03-26, 1.74168e-04
1991-03-27, 1.92189e-04
1991-03-28, 2.56897e-04
1991-03-29, 3.64121e-04
1991-03-30, 4.07339e-04
1991-03-31, 3.13789e-04
1991-04-01, 2.01774e-04
1991-04-02, 1.60153e-04
1991-04-03, 1.11045e-04
1991-04-04, 1.17035e-04
1991-04-05, 2.04434e-04
1991-04-06, 4.72802e-04
1991-04-07, 6.93571e-04
1991-04-08, 7.08197e-04
1991-04-09, 5.85747e-04
1991-04-10, 4.02196e-04
1991-04-11, 3.85553e-04
1991-04-12, 6.22800e-04
1991-04-13, 7.90242e-04
1991-04-14, 9.33825e-04
1991-04-15, 8.64526e-04
1991-04-16, 8.60671e-04
1991-04-17, 9.20729e-04
1991-04-18, 0.00110
1991-04-19, 0.00121
1991-04-20, 9.99718e-04
1991-04-21, 8.71205e-04
1991-04-22, 8.13221e-04
1991-04-23, 7.67698e-04
1991-04-24, 5.94785e-04
1991-04-25, 5.36294e-04
1991-04-26, 5.10780e-04
1991-04-27, 4.51944e-04
1991-04-28, 5.24357e-04
1991-04-29, 4.44219e-04
1991-04-30, 5.33703e-04
1991-05-01, 6.87624e-04
1991-05-02, 4.88013e-04
1991-05-03, 3.72401e-04
1991-05-04, 3.56962e-04
1991-05-05, 3.36188e-04
1991-05-06, 3.58945e-04
1991-05-07, 3.71104e-04
1991-05-08, 5.96030e-04
1991-05-09, 9.99727e-04
1991-05-10, 9.85321e-04
1991-05-11, 7.58861e-04
1991-05-12, 6.16608e-04
1991-05-13, 5.69486e-04
1991-05-14, 4.62606e-04
1991-05-15, 3.88897e-04
1991-05-16, 3.42448e-04
1991-05-17, 3.55663e-04
1991-05-18, 3.83695e-04
1991-05-19, 3.82537e-04
1991-05-20, 3.89034e-04
1991-05-21, 4.44355e-04
1991-05-22, 4.06102e-04
1991-05-23, 3.25680e-04
1991-05-24, 3.18059e-04
1991-05-25, 2.31455e-04
1991-05-26, 1.81408e-04
1991-05-27, 1.68217e-04
1991-05-28, 1.09755e-04
1991-05-29, 1.36058e-04
1991-05-30, 1.96562e-04
1991-05-31, 1.81385e-04
1991-06-01, 1.15509e-04
1991-06-02, 6.22791e-05
1991-06-03, 5.04143e-05
1991-06-04, 3.23936e-05
1991-06-05, 3.22004e-05
1991-06-06, 5.63262e-05
1991-06-07, 8.80497e-05
1991-06-08, 1.07671e-04
1991-06-09, 6.91334e-05
1991-06-10, 8.66801e-05
1991-06-11, 1.52287e-04
1991-06-12, 7.29839e-05
1991-06-13, 3.52727e-05
1991-06-14, 5.56451e-05
1991-06-15, 6.13701e-05
1991-06-16, 8.11503e-05
1991-06-17, 6.84625e-05
1991-06-18, 8.52528e-05
1991-06-19, 1.40817e-04
1991-06-20, 1.11298e-04
1991-06-21, 6.71541e-05
1991-06-22, 6.61631e-05
1991-06-23, 6.50547e-05
1991-06-24, 2.19426e-04
1991-06-25, 1.46572e-04
1991-06-26, 1.98089e-04
1991-06-27, 2.10440e-04
1991-06-28, 1.68045e-04
1991-06-29, 2.82689e-04
1991-06-30, 1.75749e-04
1991-07-01, 1.54382e-04
1991-07-02, 1.34875e-04
1991-07-03, 1.58383e-04
1991-07-04, 2.41538e-04
1991-07-05, 2.17135e-04
1991-07-06, 1.60364e-04
1991-07-07, 1.74999e-04
1991-07-08, 1.08575e-04
1991-07-09, 1.22667e-04
1991-07-10, 8.36738e-05
1991-07-11, 6.54752e-05
1991-07-12, 1.24891e-04
1991-07-13, 1.24179e-04
1991-07-14, 7.20935e-05
1991-07-15, 7.98298e-05
1991-07-16, 1.02581e-04
1991-07-17, 7.60337e-05
1991-07-18, 6.32346e-05
1991-07-19, 1.10121e-04
1991-07-20, 7.89459e-05
1991-07-21, 7.00556e-05
1991-07-22, 7.59272e-05
1991-07-23, 7.90413e-05
