date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.00723, 0.03212, 0.15237, 0.03681, 0.00020, 0.00052, 0.04712, 0.04365, 0.11830, 0.46720, 0.09450
1991-01-02, 0.00658, 0.02751, 0.15687, 0.03225, 0.00022, 0.00069, 0.03778, 0.04553, 0.12049, 0.47601, 0.09607
1991-01-03, 0.00607, 0.02395, 0.16073, 0.02827, 0.00024, 0.00065, 0.02976, 0.04723, 0.12220, 0.48384, 0.09708
1991-01-04, 0.00612, 0.02529, 0.16193, 0.02520, 0.00025, 0.00058, 0.02967, 0.04800, 0.12207, 0.48451, 0.09638
1991-01-05, 0.00642, 0.02329, 0.15703, 0.05009, 0.00021, 0.00061, 0.03958, 0.04656, 0.11770, 0.46629, 0.09222
1991-01-06, 0.00566, 0.01824, 0.15945, 0.05269, 0.00018, 0.00068, 0.03301, 0.04652, 0.11956, 0.47014, 0.09387
1991-01-07, 0.00542, 0.01627, 0.16158, 0.05241, 0.00014, 0.00069, 0.03477, 0.04781, 0.11986, 0.46779, 0.09326
1991-01-08, 0.00477, 0.01061, 0.16313, 0.05817, 0.00010, 0.00043, 0.03941, 0.04875, 0.11985, 0.46181, 0.09296
1991-01-09, 0.00456, 0.01023, 0.16735, 0.05622, 0.00008, 0.00041, 0.03119, 0.05034, 0.12191, 0.46330, 0.09441
1991-01-10, 0.00478, 0.01582, 0.16790, 0.05396, 0.00008, 0.00058, 0.03605, 0.05119, 0.12071, 0.45645, 0.09249
1991-01-11, 0.00478, 0.01679, 0.16776, 0.06299, 0.00011, 0.00051, 0.03601, 0.05140, 0.11949, 0.44964, 0.09052
1991-01-12, 0.00459, 0.01348, 0.17108, 0.06392, 0.00017, 0.00051, 0.03083, 0.05243, 0.12101, 0.45117, 0.09081
1991-01-13, 0.00471, 0.02082, 0.17267, 0.04884, 0.00024, 0.00067, 0.03409, 0.05336, 0.12106, 0.45299, 0.09056
1991-01-14, 0.00481, 0.02161, 0.17505, 0.04037, 0.00028, 0.00056, 0.03278, 0.05447, 0.12151, 0.45771, 0.09085
1991-01-15, 0.00463, 0.01402, 0.18034, 0.03645, 0.00029, 0.00037, 0.02453, 0.05648, 0.12393, 0.46619, 0.09275
1991-01-16, 0.00409, 0.01099, 0.18433, 0.03197, 0.00028, 0.00030, 0.01897, 0.05799, 0.12546, 0.47198, 0.09364
1991-01-17, 0.00394, 0.00960, 0.18707, 0.02891, 0.00025, 0.00029, 0.01624, 0.05906, 0.12617, 0.47460, 0.09389
1991-01-18, 0.00384, 0.00912, 0.18943, 0.02660, 0.00022, 0.00030, 0.01469, 0.05999, 0.12656, 0.47531, 0.09394
