date, weight 
1991-01-01, 1.42704e-06
1991-01-02, 1.07461e-06
1991-01-03, 8.86660e-07
1991-01-04, 7.68623e-07
1991-01-05, 8.52679e-07
1991-01-06, 6.12602e-06
1991-01-07, 1.39764e-05
1991-01-08, 6.74355e-06
1991-01-09, 5.42350e-06
1991-01-10, 4.64564e-06
1991-01-11, 1.89035e-06
1991-01-12, 1.16277e-06
1991-01-13, 8.24094e-07
1991-01-14, 6.75534e-07
1991-01-15, 5.56476e-07
1991-01-16, 4.86433e-07
1991-01-17, 4.36222e-07
1991-01-18, 3.97029e-07
1991-01-19, 4.00086e-07
1991-01-20, 3.94129e-07
1991-01-21, 3.21391e-07
1991-01-22, 2.95589e-07
1991-01-23, 2.77397e-07
1991-01-24, 2.63695e-07
1991-01-25, 2.65193e-07
1991-01-26, 2.93149e-07
1991-01-27, 2.65076e-07
1991-01-28, 2.43100e-07
1991-01-29, 2.73534e-07
1991-01-30, 2.15594e-06
1991-01-31, 3.94948e-06
1991-02-01, 2.33734e-06
1991-02-02, 7.85861e-07
1991-02-03, 5.11584e-07
1991-02-04, 5.16166e-07
1991-02-05, 2.76354e-06
1991-02-06, 1.32114e-05
1991-02-07, 1.02278e-05
1991-02-08, 3.73317e-06
1991-02-09, 2.61909e-06
1991-02-10, 4.28545e-06
1991-02-11, 5.75310e-06
1991-02-12, 1.98223e-06
1991-02-13, 1.63830e-06
1991-02-14, 8.38316e-07
1991-02-15, 5.17833e-07
1991-02-16, 3.88887e-07
1991-02-17, 3.19151e-07
1991-02-18, 3.59348e-07
1991-02-19, 7.75318e-07
1991-02-20, 5.89383e-07
1991-02-21, 8.38147e-06
1991-02-22, 1.34090e-05
1991-02-23, 2.57179e-06
1991-02-24, 1.03115e-06
1991-02-25, 3.35543e-06
1991-02-26, 4.85206e-06
1991-02-27, 1.46169e-06
1991-02-28, 2.92778e-05
1991-03-01, 2.56673e-05
1991-03-02, 1.03701e-05
1991-03-03, 8.40093e-06
1991-03-04, 5.09788e-06
1991-03-05, 2.46634e-06
1991-03-06, 2.31054e-06
1991-03-07, 2.79785e-06
1991-03-08, 1.00439e-05
1991-03-09, 4.30971e-05
1991-03-10, 6.55919e-05
1991-03-11, 3.88325e-05
1991-03-12, 3.01583e-05
1991-03-13, 8.64212e-05
1991-03-14, 1.56159e-04
1991-03-15, 3.19145e-04
1991-03-16, 4.70906e-04
1991-03-17, 2.85241e-04
1991-03-18, 1.02370e-04
1991-03-19, 4.77926e-05
1991-03-20, 3.28787e-05
1991-03-21, 2.16680e-05
1991-03-22, 3.17640e-05
1991-03-23, 4.04012e-05
1991-03-24, 7.35995e-05
1991-03-25, 8.97776e-05
1991-03-26, 1.38833e-04
1991-03-27, 2.63246e-04
1991-03-28, 4.11883e-04
1991-03-29, 4.30405e-04
1991-03-30, 4.49859e-04
1991-03-31, 5.15900e-04
1991-04-01, 5.11481e-04
1991-04-02, 5.02592e-04
1991-04-03, 2.54942e-04
1991-04-04, 1.38718e-04
1991-04-05, 1.42131e-04
1991-04-06, 2.46635e-04
1991-04-07, 5.47035e-04
1991-04-08, 6.79788e-04
1991-04-09, 6.14839e-04
1991-04-10, 4.74092e-04
1991-04-11, 2.84976e-04
1991-04-12, 2.47837e-04
1991-04-13, 3.45229e-04
1991-04-14, 6.48992e-04
1991-04-15, 7.78279e-04
1991-04-16, 8.68421e-04
1991-04-17, 8.42120e-04
1991-04-18, 8.32241e-04
1991-04-19, 0.00119
1991-04-20, 0.00110
1991-04-21, 0.00107
1991-04-22, 0.00122
1991-04-23, 0.00127
1991-04-24, 0.00112
1991-04-25, 9.62903e-04
1991-04-26, 7.38440e-04
1991-04-27, 6.29511e-04
1991-04-28, 6.26413e-04
1991-04-29, 6.00176e-04
1991-04-30, 5.47744e-04
1991-05-01, 5.32927e-04
1991-05-02, 6.12580e-04
1991-05-03, 5.64466e-04
1991-05-04, 4.49899e-04
1991-05-05, 5.03346e-04
1991-05-06, 6.36919e-04
1991-05-07, 6.91909e-04
1991-05-08, 7.19364e-04
1991-05-09, 7.75111e-04
1991-05-10, 9.09317e-04
1991-05-11, 8.79979e-04
1991-05-12, 7.98678e-04
1991-05-13, 7.46550e-04
1991-05-14, 4.87954e-04
1991-05-15, 3.46867e-04
1991-05-16, 3.24235e-04
1991-05-17, 3.63462e-04
1991-05-18, 3.86386e-04
1991-05-19, 3.27698e-04
1991-05-20, 3.03541e-04
1991-05-21, 4.08105e-04
1991-05-22, 4.50554e-04
1991-05-23, 3.52682e-04
1991-05-24, 2.29457e-04
1991-05-25, 2.09347e-04
1991-05-26, 2.06339e-04
1991-05-27, 1.33986e-04
1991-05-28, 1.20645e-04
1991-05-29, 1.07745e-04
1991-05-30, 1.54022e-04
1991-05-31, 1.73761e-04
1991-06-01, 1.06606e-04
1991-06-02, 8.15876e-05
1991-06-03, 6.60118e-05
1991-06-04, 4.77086e-05
1991-06-05, 3.15353e-05
1991-06-06, 2.38405e-05
1991-06-07, 4.24884e-05
1991-06-08, 7.18014e-05
1991-06-09, 5.55367e-05
1991-06-10, 3.88205e-05
1991-06-11, 6.31015e-05
1991-06-12, 7.11634e-05
1991-06-13, 6.43900e-05
1991-06-14, 5.31309e-05
1991-06-15, 3.39131e-05
1991-06-16, 3.65745e-05
1991-06-17, 4.20500e-05
1991-06-18, 3.13931e-05
1991-06-19, 3.56897e-05
1991-06-20, 2.26404e-05
1991-06-21, 3.13691e-05
1991-06-22, 3.26706e-05
1991-06-23, 2.19725e-05
1991-06-24, 1.60895e-05
1991-06-25, 3.21734e-05
1991-06-26, 6.48919e-05
1991-06-27, 4.34707e-05
1991-06-28, 4.73046e-05
1991-06-29, 1.20684e-04
1991-06-30, 1.85048e-04
1991-07-01, 9.15555e-05
1991-07-02, 1.12095e-04
1991-07-03, 1.37703e-04
1991-07-04, 1.49214e-04
1991-07-05, 1.27364e-04
1991-07-06, 1.10281e-04
1991-07-07, 9.08085e-05
1991-07-08, 7.50077e-05
1991-07-09, 5.60140e-05
1991-07-10, 6.07681e-05
1991-07-11, 6.41445e-05
1991-07-12, 6.41835e-05
1991-07-13, 4.20063e-05
1991-07-14, 2.75370e-05
1991-07-15, 4.82377e-05
1991-07-16, 5.06609e-05
1991-07-17, 3.58934e-05
1991-07-18, 3.08745e-05
1991-07-19, 3.17337e-05
1991-07-20, 3.37508e-05
1991-07-21, 3.47467e-05
1991-07-22, 5.55473e-05
1991-07-23, 5.55129e-05
1991-07-24, 3.22572e-05
1991-07-25, 3.19984e-05
1991-07-26, 4.62965e-05
1991-07-27, 9.23598e-05
1991-07-28, 6.55848e-05
1991-07-29, 1.12966e-04
1991-07-30, 1.63380e-04
1991-07-31, 8.47876e-05
1991-08-01, 7.96857e-05
1991-08-02, 8.80685e-05
1991-08-03, 8.72846e-05
1991-08-04, 5.28554e-05
1991-08-05, 4.17226e-05
1991-08-06, 2.38265e-05
1991-08-07, 3.25245e-05
1991-08-08, 7.08811e-05
1991-08-09, 8.54775e-05
1991-08-10, 5.13290e-05
1991-08-11, 8.27320e-05
1991-08-12, 7.08610e-05
1991-08-13, 4.46088e-05
1991-08-14, 5.89033e-05
1991-08-15, 6.53953e-05
1991-08-16, 4.80357e-05
1991-08-17, 8.30647e-05
1991-08-18, 7.82819e-05
1991-08-19, 4.57264e-05
1991-08-20, 4.58166e-05
1991-08-21, 7.18623e-05
1991-08-22, 7.35981e-05
1991-08-23, 3.32244e-05
1991-08-24, 2.33786e-05
1991-08-25, 2.82501e-05
1991-08-26, 6.60966e-05
1991-08-27, 9.00341e-05
1991-08-28, 6.83098e-05
1991-08-29, 5.15082e-05
1991-08-30, 3.31692e-05
1991-08-31, 3.09687e-05
1991-09-01, 3.64013e-05
1991-09-02, 3.09460e-05
1991-09-03, 7.83373e-05
1991-09-04, 1.52534e-04
1991-09-05, 8.71638e-05
1991-09-06, 3.32336e-05
1991-09-07, 1.00256e-04
1991-09-08, 2.57887e-04
1991-09-09, 1.30236e-04
1991-09-10, 9.58350e-05
1991-09-11, 9.94284e-05
1991-09-12, 6.11874e-05
1991-09-13, 5.87965e-05
1991-09-14, 7.06293e-05
1991-09-15, 1.12509e-04
1991-09-16, 8.55199e-05
1991-09-17, 9.95104e-05
1991-09-18, 1.08764e-04
1991-09-19, 7.28329e-05
1991-09-20, 9.20503e-05
1991-09-21, 1.19391e-04
1991-09-22, 6.77948e-05
1991-09-23, 4.72080e-05
1991-09-24, 3.82958e-05
1991-09-25, 6.64158e-05
1991-09-26, 6.54096e-05
1991-09-27, 7.69094e-05
1991-09-28, 6.95523e-05
1991-09-29, 8.43348e-05
1991-09-30, 6.60230e-05
1991-10-01, 6.87213e-05
1991-10-02, 1.27420e-04
1991-10-03, 7.13226e-05
1991-10-04, 4.94560e-05
1991-10-05, 1.47572e-04
1991-10-06, 2.36757e-04
1991-10-07, 1.61728e-04
1991-10-08, 9.04227e-05
1991-10-09, 7.65308e-05
1991-10-10, 8.43346e-05
1991-10-11, 4.59226e-05
1991-10-12, 4.17355e-05
1991-10-13, 4.98103e-05
1991-10-14, 5.38037e-05
1991-10-15, 6.22290e-05
1991-10-16, 3.45726e-05
1991-10-17, 3.69534e-05
1991-10-18, 4.36297e-05
1991-10-19, 5.89324e-05
1991-10-20, 5.89037e-05
1991-10-21, 7.22940e-05
1991-10-22, 4.36367e-05
1991-10-23, 4.71856e-05
1991-10-24, 3.85244e-05
1991-10-25, 9.28180e-05
1991-10-26, 1.01882e-04
1991-10-27, 5.13833e-05
1991-10-28, 3.52421e-05
1991-10-29, 2.09807e-05
1991-10-30, 2.52853e-05
1991-10-31, 7.64254e-05
1991-11-01, 7.90411e-05
1991-11-02, 5.05613e-05
1991-11-03, 7.39474e-05
1991-11-04, 6.28160e-05
1991-11-05, 2.80279e-05
1991-11-06, 2.52104e-05
1991-11-07, 2.51179e-05
1991-11-08, 2.63780e-05
1991-11-09, 3.99765e-05
1991-11-10, 3.35236e-05
1991-11-11, 3.37560e-05
1991-11-12, 3.79535e-05
1991-11-13, 4.10228e-05
1991-11-14, 3.97060e-05
1991-11-15, 5.10283e-05
1991-11-16, 3.28618e-05
1991-11-17, 1.76502e-05
1991-11-18, 1.14007e-05
1991-11-19, 2.62011e-05
1991-11-20, 3.64784e-05
1991-11-21, 2.52722e-05
1991-11-22, 2.11684e-05
1991-11-23, 1.35846e-05
1991-11-24, 2.61392e-05
1991-11-25, 5.68507e-05
1991-11-26, 4.18859e-05
1991-11-27, 1.53572e-05
1991-11-28, 8.81964e-06
1991-11-29, 6.46357e-06
1991-11-30, 8.83484e-06
1991-12-01, 2.36138e-05
1991-12-02, 3.00806e-05
1991-12-03, 1.95853e-05
1991-12-04, 7.66030e-06
1991-12-05, 6.56615e-06
1991-12-06, 7.06666e-06
1991-12-07, 1.30671e-05
1991-12-08, 7.70402e-06
1991-12-09, 3.48424e-06
1991-12-10, 3.48786e-06
1991-12-11, 4.45606e-06
1991-12-12, 3.10227e-06
1991-12-13, 2.36093e-06
1991-12-14, 2.39559e-06
1991-12-15, 5.38118e-06
1991-12-16, 1.71378e-05
1991-12-17, 2.03373e-05
1991-12-18, 9.42799e-06
1991-12-19, 4.25634e-06
1991-12-20, 3.47125e-06
1991-12-21, 2.33202e-06
1991-12-22, 1.70603e-06
1991-12-23, 2.95332e-06
1991-12-24, 1.62130e-05
1991-12-25, 1.77597e-05
1991-12-26, 6.59528e-06
1991-12-27, 3.42846e-06
1991-12-28, 2.05354e-06
1991-12-29, 5.18336e-06
1991-12-30, 7.07560e-06
1991-12-31, 2.63225e-06
