date, weight 
1991-01-01, 8.03950e-08
1991-01-02, 8.56689e-08
1991-01-03, 8.84309e-08
1991-01-04, 8.01086e-08
1991-01-05, 7.99467e-08
1991-01-06, 7.08917e-08
1991-01-07, 6.86353e-08
1991-01-08, 7.16349e-08
1991-01-09, 9.00635e-08
1991-01-10, 8.20542e-08
1991-01-11, 6.83635e-08
1991-01-12, 6.32075e-08
1991-01-13, 6.17505e-08
1991-01-14, 7.25369e-08
1991-01-15, 8.05088e-08
1991-01-16, 6.15797e-08
1991-01-17, 5.66376e-08
1991-01-18, 5.48160e-08
1991-01-19, 5.34798e-08
1991-01-20, 3.30742e-07
1991-01-21, 1.06865e-06
1991-01-22, 6.44635e-07
1991-01-23, 2.94391e-07
1991-01-24, 1.75952e-07
1991-01-25, 3.30601e-07
1991-01-26, 8.19458e-07
1991-01-27, 5.20012e-07
1991-01-28, 2.25470e-07
1991-01-29, 1.28722e-07
1991-01-30, 1.01413e-07
1991-01-31, 1.29082e-07
1991-02-01, 2.78656e-07
1991-02-02, 1.89083e-06
1991-02-03, 2.26081e-06
1991-02-04, 6.67896e-07
1991-02-05, 4.48818e-07
1991-02-06, 2.53468e-07
1991-02-07, 1.49674e-07
1991-02-08, 1.09107e-07
1991-02-09, 8.70521e-08
1991-02-10, 7.27969e-08
1991-02-11, 6.30231e-08
1991-02-12, 5.65703e-08
1991-02-13, 5.19078e-08
1991-02-14, 4.83577e-08
1991-02-15, 4.58857e-08
1991-02-16, 4.46348e-08
1991-02-17, 5.22390e-08
1991-02-18, 6.18542e-08
1991-02-19, 5.47053e-08
1991-02-20, 4.13151e-08
1991-02-21, 4.47979e-08
1991-02-22, 4.71103e-08
1991-02-23, 3.75063e-08
1991-02-24, 3.50987e-08
1991-02-25, 4.59256e-08
1991-02-26, 5.26924e-08
1991-02-27, 3.54255e-08
1991-02-28, 2.09462e-07
1991-03-01, 7.85640e-07
1991-03-02, 6.36917e-07
1991-03-03, 3.84658e-07
1991-03-04, 4.50853e-07
1991-03-05, 3.74373e-07
1991-03-06, 1.31829e-07
1991-03-07, 9.13757e-08
1991-03-08, 9.56296e-08
1991-03-09, 1.25649e-07
1991-03-10, 1.14007e-07
1991-03-11, 1.38110e-07
1991-03-12, 3.45007e-07
1991-03-13, 9.37145e-07
1991-03-14, 1.23490e-06
1991-03-15, 1.54118e-06
1991-03-16, 1.57012e-06
1991-03-17, 2.23743e-06
1991-03-18, 1.48796e-06
1991-03-19, 7.41130e-07
1991-03-20, 4.88600e-07
1991-03-21, 3.09441e-07
1991-03-22, 2.34291e-07
1991-03-23, 2.72674e-07
1991-03-24, 6.11925e-07
1991-03-25, 8.48278e-07
1991-03-26, 7.52537e-07
1991-03-27, 3.51082e-07
1991-03-28, 1.71765e-07
1991-03-29, 1.58162e-07
1991-03-30, 1.25936e-07
1991-03-31, 3.31149e-07
1991-04-01, 4.05810e-06
1991-04-02, 4.95304e-06
1991-04-03, 3.77834e-06
1991-04-04, 1.27234e-05
1991-04-05, 1.91981e-05
1991-04-06, 1.28985e-05
1991-04-07, 5.37530e-06
1991-04-08, 5.07539e-06
1991-04-09, 1.09032e-05
1991-04-10, 2.80213e-05
1991-04-11, 4.60884e-05
1991-04-12, 2.75800e-05
1991-04-13, 1.51821e-05
1991-04-14, 2.87828e-05
1991-04-15, 4.40012e-05
1991-04-16, 2.53231e-05
1991-04-17, 1.40848e-05
1991-04-18, 2.54236e-05
1991-04-19, 6.75841e-05
1991-04-20, 1.01152e-04
1991-04-21, 1.09399e-04
1991-04-22, 1.37361e-04
1991-04-23, 2.36471e-04
1991-04-24, 2.36089e-04
1991-04-25, 2.12858e-04
1991-04-26, 2.72570e-04
1991-04-27, 2.74399e-04
1991-04-28, 1.94451e-04
1991-04-29, 1.80780e-04
1991-04-30, 1.93359e-04
1991-05-01, 2.21863e-04
1991-05-02, 2.11252e-04
1991-05-03, 1.93250e-04
1991-05-04, 2.35450e-04
1991-05-05, 2.74643e-04
1991-05-06, 3.12698e-04
1991-05-07, 4.19062e-04
1991-05-08, 5.78141e-04
1991-05-09, 5.66614e-04
1991-05-10, 4.87650e-04
1991-05-11, 4.39077e-04
1991-05-12, 4.24507e-04
1991-05-13, 6.30371e-04
1991-05-14, 8.99644e-04
1991-05-15, 8.98929e-04
1991-05-16, 7.96183e-04
1991-05-17, 8.31438e-04
1991-05-18, 0.00107
1991-05-19, 0.00124
1991-05-20, 0.00123
1991-05-21, 0.00108
1991-05-22, 9.11000e-04
1991-05-23, 6.70415e-04
1991-05-24, 4.69688e-04
1991-05-25, 6.00382e-04
1991-05-26, 9.66417e-04
1991-05-27, 0.00118
1991-05-28, 0.00106
1991-05-29, 9.50444e-04
1991-05-30, 0.00101
1991-05-31, 0.00107
1991-06-01, 0.00116
1991-06-02, 0.00119
1991-06-03, 0.00120
1991-06-04, 0.00109
1991-06-05, 0.00102
1991-06-06, 0.00108
1991-06-07, 0.00105
1991-06-08, 9.43616e-04
1991-06-09, 8.87770e-04
1991-06-10, 8.41884e-04
1991-06-11, 7.82749e-04
1991-06-12, 7.53039e-04
1991-06-13, 6.77385e-04
1991-06-14, 6.37476e-04
1991-06-15, 7.23571e-04
1991-06-16, 7.95540e-04
1991-06-17, 7.91968e-04
1991-06-18, 7.76969e-04
1991-06-19, 7.17892e-04
1991-06-20, 5.71913e-04
1991-06-21, 4.34672e-04
1991-06-22, 3.54385e-04
1991-06-23, 3.40569e-04
1991-06-24, 3.38736e-04
1991-06-25, 3.16330e-04
1991-06-26, 2.74603e-04
1991-06-27, 2.49255e-04
1991-06-28, 2.65383e-04
1991-06-29, 2.75795e-04
1991-06-30, 2.64956e-04
1991-07-01, 2.53892e-04
1991-07-02, 2.43660e-04
1991-07-03, 2.58325e-04
1991-07-04, 2.65618e-04
1991-07-05, 2.18961e-04
1991-07-06, 1.72875e-04
1991-07-07, 1.42458e-04
1991-07-08, 1.26140e-04
1991-07-09, 1.12776e-04
1991-07-10, 1.05648e-04
1991-07-11, 1.01117e-04
1991-07-12, 9.95908e-05
1991-07-13, 9.29425e-05
1991-07-14, 9.46549e-05
1991-07-15, 1.07260e-04
1991-07-16, 7.50031e-05
1991-07-17, 4.51053e-05
1991-07-18, 4.05937e-05
1991-07-19, 4.19465e-05
1991-07-20, 3.64235e-05
1991-07-21, 3.72461e-05
1991-07-22, 3.33013e-05
1991-07-23, 2.48094e-05
1991-07-24, 2.55107e-05
1991-07-25, 2.45155e-05
1991-07-26, 2.37427e-05
1991-07-27, 2.13581e-05
1991-07-28, 1.67683e-05
1991-07-29, 1.61329e-05
1991-07-30, 1.65687e-05
1991-07-31, 1.54421e-05
1991-08-01, 1.27289e-05
1991-08-02, 1.24446e-05
1991-08-03, 1.49116e-05
1991-08-04, 1.61592e-05
1991-08-05, 1.71541e-05
1991-08-06, 2.04805e-05
1991-08-07, 2.88465e-05
1991-08-08, 2.75421e-05
1991-08-09, 2.07028e-05
1991-08-10, 2.63800e-05
1991-08-11, 3.23217e-05
1991-08-12, 3.20048e-05
1991-08-13, 2.00811e-05
1991-08-14, 2.09976e-05
1991-08-15, 2.12863e-05
1991-08-16, 2.01150e-05
1991-08-17, 2.83518e-05
1991-08-18, 2.76319e-05
1991-08-19, 1.28331e-05
1991-08-20, 1.10320e-05
1991-08-21, 1.01309e-05
1991-08-22, 1.37854e-05
1991-08-23, 1.91690e-05
1991-08-24, 2.20029e-05
1991-08-25, 2.11948e-05
1991-08-26, 1.08829e-05
1991-08-27, 1.73070e-05
1991-08-28, 2.18802e-05
1991-08-29, 1.92709e-05
1991-08-30, 1.97850e-05
1991-08-31, 2.33020e-05
1991-09-01, 1.99144e-05
1991-09-02, 1.61750e-05
1991-09-03, 1.70052e-05
1991-09-04, 2.34477e-05
1991-09-05, 2.30400e-05
1991-09-06, 2.00225e-05
1991-09-07, 1.82680e-05
1991-09-08, 9.61862e-06
1991-09-09, 1.27159e-05
1991-09-10, 1.82336e-05
1991-09-11, 1.83329e-05
1991-09-12, 1.69837e-05
1991-09-13, 2.84830e-05
1991-09-14, 2.00480e-05
1991-09-15, 1.99054e-05
1991-09-16, 2.15500e-05
1991-09-17, 1.81175e-05
1991-09-18, 1.64564e-05
1991-09-19, 1.90953e-05
1991-09-20, 2.05196e-05
1991-09-21, 2.33759e-05
1991-09-22, 1.61510e-05
1991-09-23, 1.65557e-05
1991-09-24, 1.37553e-05
1991-09-25, 1.70974e-05
1991-09-26, 9.67007e-06
1991-09-27, 8.87437e-06
1991-09-28, 1.04437e-05
1991-09-29, 8.31280e-06
1991-09-30, 1.86188e-05
1991-10-01, 2.04130e-05
1991-10-02, 1.39516e-05
1991-10-03, 1.40504e-05
1991-10-04, 9.19936e-06
1991-10-05, 7.43265e-06
1991-10-06, 5.65130e-06
1991-10-07, 7.08166e-06
1991-10-08, 9.92058e-06
1991-10-09, 1.31349e-05
1991-10-10, 1.19154e-05
1991-10-11, 1.11777e-05
1991-10-12, 1.42762e-05
1991-10-13, 1.28957e-05
1991-10-14, 9.22879e-06
1991-10-15, 1.20242e-05
1991-10-16, 1.66141e-05
1991-10-17, 1.81115e-05
1991-10-18, 2.80152e-05
1991-10-19, 2.44452e-05
1991-10-20, 1.62958e-05
1991-10-21, 2.84276e-05
1991-10-22, 3.39396e-05
1991-10-23, 4.13509e-05
1991-10-24, 4.93795e-05
