date, weight 
1991-01-01, 8.26595e-06
1991-01-02, 5.59141e-06
1991-01-03, 2.44662e-06
1991-01-04, 1.58909e-06
1991-01-05, 1.57354e-06
1991-01-06, 3.68678e-06
1991-01-07, 4.21201e-06
1991-01-08, 6.57577e-06
1991-01-09, 8.29409e-06
1991-01-10, 8.91578e-06
1991-01-11, 8.68829e-06
1991-01-12, 2.38047e-06
1991-01-13, 2.38406e-06
1991-01-14, 2.73219e-06
1991-01-15, 8.80894e-07
1991-01-16, 5.67905e-07
1991-01-17, 4.37590e-07
1991-01-18, 3.63161e-07
1991-01-19, 3.13323e-07
1991-01-20, 5.66344e-06
1991-01-21, 9.66837e-06
1991-01-22, 2.37497e-06
1991-01-23, 8.77231e-07
1991-01-24, 5.14333e-07
1991-01-25, 1.15356e-06
1991-01-26, 5.51095e-06
1991-01-27, 7.39662e-06
1991-01-28, 2.09433e-06
1991-01-29, 7.82874e-07
1991-01-30, 4.61861e-07
1991-01-31, 3.53015e-07
1991-02-01, 3.05161e-05
1991-02-02, 1.56300e-04
1991-02-03, 1.09641e-04
1991-02-04, 8.89372e-05
1991-02-05, 1.10420e-04
1991-02-06, 3.23520e-05
1991-02-07, 1.42304e-05
1991-02-08, 9.07087e-06
1991-02-09, 6.13678e-06
1991-02-10, 4.73765e-06
1991-02-11, 3.06128e-06
1991-02-12, 2.25103e-06
1991-02-13, 6.18424e-06
1991-02-14, 9.14637e-06
1991-02-15, 7.46223e-06
1991-02-16, 9.19341e-06
1991-02-17, 5.85046e-06
1991-02-18, 7.40558e-06
1991-02-19, 2.22053e-06
1991-02-20, 1.25123e-06
1991-02-21, 9.06407e-07
1991-02-22, 7.46295e-07
1991-02-23, 4.41421e-06
1991-02-24, 7.00589e-06
1991-02-25, 1.80428e-06
1991-02-26, 1.43880e-06
1991-02-27, 2.35757e-05
1991-02-28, 2.55248e-04
1991-03-01, 2.88382e-04
1991-03-02, 1.71549e-04
1991-03-03, 1.78906e-04
1991-03-04, 7.60220e-05
