date, weight 
1991-01-01, 1.52724e-06
1991-01-02, 6.75604e-07
1991-01-03, 4.08693e-07
1991-01-04, 2.89920e-07
1991-01-05, 2.85376e-07
1991-01-06, 2.84133e-07
1991-01-07, 1.86264e-07
1991-01-08, 1.62587e-07
1991-01-09, 4.51531e-07
1991-01-10, 2.58006e-06
1991-01-11, 3.09311e-06
1991-01-12, 6.54412e-07
1991-01-13, 3.20437e-07
1991-01-14, 2.15369e-07
1991-01-15, 1.68944e-07
1991-01-16, 1.44360e-07
1991-01-17, 1.29259e-07
1991-01-18, 1.18953e-07
1991-01-19, 1.11353e-07
1991-01-20, 1.05359e-07
1991-01-21, 1.00371e-07
1991-01-22, 9.61714e-08
1991-01-23, 9.25255e-08
1991-01-24, 8.92999e-08
1991-01-25, 8.73337e-08
1991-01-26, 8.52175e-08
1991-01-27, 8.16981e-08
1991-01-28, 7.91528e-08
1991-01-29, 7.70546e-08
1991-01-30, 7.51502e-08
1991-01-31, 7.34428e-08
1991-02-01, 8.50629e-07
1991-02-02, 3.07546e-06
1991-02-03, 5.03266e-06
1991-02-04, 4.02651e-06
1991-02-05, 3.71660e-06
1991-02-06, 2.93919e-06
1991-02-07, 9.95415e-07
1991-02-08, 5.80804e-07
1991-02-09, 6.82338e-06
1991-02-10, 1.07810e-05
1991-02-11, 2.34120e-06
1991-02-12, 9.80584e-07
1991-02-13, 5.43477e-07
1991-02-14, 3.55724e-07
1991-02-15, 2.59433e-07
1991-02-16, 2.03387e-07
1991-02-17, 1.67690e-07
1991-02-18, 1.48756e-07
1991-02-19, 1.85704e-07
1991-02-20, 2.19905e-07
1991-02-21, 1.62124e-07
1991-02-22, 1.11706e-07
1991-02-23, 1.32993e-07
1991-02-24, 1.86992e-07
1991-02-25, 1.79613e-07
1991-02-26, 8.61703e-07
1991-02-27, 9.45307e-06
1991-02-28, 1.67467e-05
1991-03-01, 6.05078e-05
1991-03-02, 2.90994e-05
1991-03-03, 7.23565e-05
1991-03-04, 5.94060e-05
1991-03-05, 3.79977e-05
1991-03-06, 3.85250e-05
1991-03-07, 1.92191e-05
1991-03-08, 2.95034e-05
1991-03-09, 3.59739e-05
1991-03-10, 2.19423e-05
1991-03-11, 1.61849e-05
1991-03-12, 7.85271e-06
1991-03-13, 4.47390e-06
1991-03-14, 8.50326e-06
1991-03-15, 3.85647e-05
1991-03-16, 7.86380e-05
1991-03-17, 4.46413e-05
1991-03-18, 1.74793e-05
1991-03-19, 1.92928e-05
1991-03-20, 2.20415e-05
1991-03-21, 2.85629e-05
1991-03-22, 4.82414e-05
1991-03-23, 2.22099e-05
1991-03-24, 8.69277e-05
1991-03-25, 3.85067e-04
1991-03-26, 4.15109e-04
1991-03-27, 2.56310e-04
1991-03-28, 2.76630e-04
1991-03-29, 3.05762e-04
1991-03-30, 2.73585e-04
1991-03-31, 2.31671e-04
1991-04-01, 2.75633e-04
1991-04-02, 4.40254e-04
1991-04-03, 4.83777e-04
1991-04-04, 6.90724e-04
1991-04-05, 7.41739e-04
1991-04-06, 6.40236e-04
1991-04-07, 7.71904e-04
1991-04-08, 6.51001e-04
1991-04-09, 5.68914e-04
1991-04-10, 6.24737e-04
1991-04-11, 8.26512e-04
1991-04-12, 8.91577e-04
1991-04-13, 7.04029e-04
1991-04-14, 9.48369e-04
1991-04-15, 0.00140
1991-04-16, 0.00142
1991-04-17, 0.00119
1991-04-18, 7.82638e-04
1991-04-19, 7.15289e-04
1991-04-20, 9.18307e-04
1991-04-21, 8.26633e-04
1991-04-22, 5.76544e-04
1991-04-23, 4.33270e-04
1991-04-24, 4.24310e-04
1991-04-25, 3.83842e-04
1991-04-26, 2.99840e-04
1991-04-27, 2.70067e-04
1991-04-28, 2.85360e-04
1991-04-29, 2.11097e-04
1991-04-30, 1.65191e-04
1991-05-01, 1.84540e-04
1991-05-02, 1.67762e-04
1991-05-03, 2.13713e-04
1991-05-04, 2.63795e-04
1991-05-05, 2.33808e-04
1991-05-06, 1.48576e-04
1991-05-07, 1.12954e-04
1991-05-08, 1.49137e-04
1991-05-09, 1.43663e-04
1991-05-10, 8.73101e-05
1991-05-11, 5.08808e-05
1991-05-12, 5.20445e-05
1991-05-13, 5.84291e-05
1991-05-14, 7.07493e-05
1991-05-15, 2.71310e-05
1991-05-16, 4.41195e-05
1991-05-17, 9.08109e-05
1991-05-18, 1.49256e-04
1991-05-19, 2.42897e-04
1991-05-20, 1.41991e-04
1991-05-21, 9.90066e-05
1991-05-22, 6.46972e-05
1991-05-23, 9.39607e-05
1991-05-24, 1.44145e-04
1991-05-25, 7.86913e-05
1991-05-26, 8.89242e-05
1991-05-27, 1.02960e-04
1991-05-28, 7.73039e-05
1991-05-29, 6.91705e-05
1991-05-30, 1.72769e-04
1991-05-31, 1.38546e-04
1991-06-01, 7.28035e-05
1991-06-02, 9.81769e-05
1991-06-03, 1.49252e-04
1991-06-04, 6.57105e-05
1991-06-05, 5.46085e-05
1991-06-06, 6.48494e-05
1991-06-07, 9.67815e-05
1991-06-08, 1.22093e-04
1991-06-09, 9.77825e-05
1991-06-10, 1.19695e-04
1991-06-11, 1.75545e-04
1991-06-12, 2.40823e-04
1991-06-13, 1.50280e-04
1991-06-14, 1.19607e-04
1991-06-15, 1.22240e-04
1991-06-16, 1.15543e-04
1991-06-17, 9.37337e-05
1991-06-18, 8.49441e-04
1991-06-19, 0.00103
1991-06-20, 4.33431e-04
1991-06-21, 4.26611e-04
1991-06-22, 2.70058e-04
1991-06-23, 2.42023e-04
1991-06-24, 1.24248e-04
1991-06-25, 2.59124e-04
1991-06-26, 4.02502e-04
1991-06-27, 2.96393e-04
1991-06-28, 1.57311e-04
1991-06-29, 1.05987e-04
1991-06-30, 1.47067e-04
1991-07-01, 2.56543e-04
1991-07-02, 1.62073e-04
1991-07-03, 8.31698e-05
1991-07-04, 1.14481e-04
1991-07-05, 6.72353e-04
1991-07-06, 6.51386e-04
1991-07-07, 3.23123e-04
1991-07-08, 2.35961e-04
1991-07-09, 1.77055e-04
1991-07-10, 1.25851e-04
1991-07-11, 1.36316e-04
1991-07-12, 1.37784e-04
1991-07-13, 7.49957e-05
1991-07-14, 1.11219e-04
1991-07-15, 1.99000e-04
1991-07-16, 3.08881e-04
1991-07-17, 2.38406e-04
1991-07-18, 1.79248e-04
1991-07-19, 2.78325e-04
1991-07-20, 3.35569e-04
1991-07-21, 2.10373e-04
1991-07-22, 1.36696e-04
1991-07-23, 1.14577e-04
1991-07-24, 1.20480e-04
1991-07-25, 9.68940e-05
1991-07-26, 9.03045e-05
1991-07-27, 7.75622e-05
1991-07-28, 1.03152e-04
1991-07-29, 9.52232e-05
1991-07-30, 1.03609e-04
1991-07-31, 1.07201e-04
1991-08-01, 5.76369e-05
1991-08-02, 2.62963e-05
1991-08-03, 3.86734e-05
1991-08-04, 3.56226e-05
1991-08-05, 6.51283e-05
1991-08-06, 1.13074e-04
1991-08-07, 8.44173e-05
1991-08-08, 8.56310e-05
1991-08-09, 1.79027e-04
1991-08-10, 1.31664e-04
1991-08-11, 7.62259e-05
1991-08-12, 9.20347e-05
1991-08-13, 6.31868e-05
1991-08-14, 1.65068e-04
1991-08-15, 1.67098e-04
1991-08-16, 1.43792e-04
1991-08-17, 2.58503e-04
1991-08-18, 2.03389e-04
1991-08-19, 1.36909e-04
1991-08-20, 6.60433e-05
1991-08-21, 5.53425e-05
1991-08-22, 6.62009e-05
1991-08-23, 5.85178e-05
1991-08-24, 2.09966e-04
1991-08-25, 3.08888e-04
1991-08-26, 8.56824e-05
1991-08-27, 5.03100e-05
1991-08-28, 4.89333e-05
1991-08-29, 1.20236e-04
