date, weight 
1991-01-01, 2.63429e-07
1991-01-02, 2.07245e-07
1991-01-03, 1.38514e-06
1991-01-04, 2.11541e-06
1991-01-05, 4.81618e-07
1991-01-06, 2.70088e-07
1991-01-07, 2.07080e-07
1991-01-08, 1.78683e-07
1991-01-09, 6.81966e-06
1991-01-10, 1.43899e-05
1991-01-11, 4.62532e-06
1991-01-12, 1.43307e-06
1991-01-13, 7.29738e-07
1991-01-14, 4.63473e-07
1991-01-15, 3.39853e-07
1991-01-16, 2.71251e-07
1991-01-17, 2.28947e-07
1991-01-18, 2.00433e-07
1991-01-19, 1.79853e-07
1991-01-20, 1.64271e-07
1991-01-21, 1.52021e-07
1991-01-22, 1.42086e-07
1991-01-23, 1.33838e-07
1991-01-24, 1.26838e-07
1991-01-25, 1.20790e-07
1991-01-26, 1.15495e-07
1991-01-27, 1.10817e-07
1991-01-28, 1.06654e-07
1991-01-29, 1.02914e-07
1991-01-30, 9.95214e-08
1991-01-31, 9.66253e-08
1991-02-01, 1.76638e-07
1991-02-02, 3.84741e-06
1991-02-03, 1.34038e-05
1991-02-04, 1.63492e-05
1991-02-05, 9.21083e-06
1991-02-06, 2.64851e-06
1991-02-07, 1.24793e-06
1991-02-08, 7.41941e-07
1991-02-09, 5.10058e-07
1991-02-10, 3.59763e-07
1991-02-11, 2.78693e-07
1991-02-12, 2.27609e-07
1991-02-13, 3.44110e-07
1991-02-14, 4.30026e-07
1991-02-15, 1.97970e-07
1991-02-16, 1.56227e-07
1991-02-17, 1.36026e-07
1991-02-18, 1.38711e-07
1991-02-19, 1.46843e-07
1991-02-20, 1.65015e-07
1991-02-21, 1.62819e-07
1991-02-22, 1.02192e-07
1991-02-23, 9.15121e-08
1991-02-24, 8.51031e-08
1991-02-25, 1.47687e-07
1991-02-26, 2.63325e-06
1991-02-27, 1.22967e-05
1991-02-28, 1.32646e-05
1991-03-01, 1.18981e-05
1991-03-02, 1.54833e-05
1991-03-03, 7.46219e-05
1991-03-04, 7.63626e-05
1991-03-05, 6.74610e-05
1991-03-06, 9.12970e-05
1991-03-07, 4.92722e-05
1991-03-08, 2.40598e-05
1991-03-09, 2.28630e-05
1991-03-10, 1.30133e-05
1991-03-11, 1.73794e-05
1991-03-12, 1.55198e-05
1991-03-13, 7.03753e-06
1991-03-14, 1.27080e-05
1991-03-15, 3.30420e-05
1991-03-16, 8.68211e-05
1991-03-17, 4.45558e-05
1991-03-18, 1.90987e-05
1991-03-19, 2.13216e-05
1991-03-20, 1.37560e-05
1991-03-21, 1.24052e-05
1991-03-22, 1.53713e-05
1991-03-23, 1.86786e-05
1991-03-24, 8.94879e-05
1991-03-25, 3.25079e-04
1991-03-26, 3.89455e-04
1991-03-27, 3.33960e-04
1991-03-28, 3.19261e-04
1991-03-29, 3.80738e-04
1991-03-30, 3.62914e-04
1991-03-31, 2.08527e-04
1991-04-01, 2.17297e-04
1991-04-02, 3.44263e-04
1991-04-03, 4.18544e-04
1991-04-04, 5.21752e-04
1991-04-05, 4.74956e-04
1991-04-06, 3.70292e-04
1991-04-07, 5.18887e-04
1991-04-08, 5.33305e-04
1991-04-09, 6.07900e-04
1991-04-10, 8.95028e-04
1991-04-11, 0.00111
1991-04-12, 0.00100
1991-04-13, 8.75424e-04
1991-04-14, 0.00110
1991-04-15, 0.00138
1991-04-16, 0.00148
1991-04-17, 0.00142
1991-04-18, 0.00118
1991-04-19, 0.00120
1991-04-20, 0.00136
1991-04-21, 0.00119
1991-04-22, 0.00104
1991-04-23, 8.21532e-04
1991-04-24, 6.72060e-04
1991-04-25, 4.79296e-04
1991-04-26, 4.27972e-04
1991-04-27, 4.93142e-04
1991-04-28, 4.65715e-04
1991-04-29, 4.16623e-04
1991-04-30, 3.63423e-04
1991-05-01, 3.80264e-04
1991-05-02, 3.90766e-04
1991-05-03, 4.08143e-04
1991-05-04, 3.74105e-04
1991-05-05, 3.16749e-04
1991-05-06, 2.23977e-04
1991-05-07, 2.20791e-04
1991-05-08, 2.93281e-04
1991-05-09, 3.07471e-04
1991-05-10, 2.43400e-04
1991-05-11, 1.59387e-04
1991-05-12, 1.10319e-04
1991-05-13, 1.44747e-04
1991-05-14, 1.92960e-04
1991-05-15, 1.71760e-04
1991-05-16, 1.42179e-04
1991-05-17, 1.02202e-04
1991-05-18, 1.30392e-04
1991-05-19, 1.20826e-04
1991-05-20, 8.40733e-05
1991-05-21, 9.50348e-05
1991-05-22, 7.03916e-05
1991-05-23, 7.44840e-05
1991-05-24, 1.34892e-04
1991-05-25, 1.42334e-04
1991-05-26, 1.45705e-04
1991-05-27, 1.33729e-04
1991-05-28, 1.23365e-04
1991-05-29, 1.81742e-04
1991-05-30, 2.28472e-04
1991-05-31, 2.17112e-04
1991-06-01, 1.20305e-04
1991-06-02, 6.80539e-05
1991-06-03, 4.31267e-05
1991-06-04, 3.38342e-05
1991-06-05, 4.02222e-05
1991-06-06, 5.64853e-05
1991-06-07, 9.68546e-05
1991-06-08, 1.59099e-04
1991-06-09, 1.04958e-04
1991-06-10, 6.69260e-05
1991-06-11, 4.78832e-05
1991-06-12, 1.34092e-04
1991-06-13, 1.36711e-04
1991-06-14, 1.37001e-04
1991-06-15, 2.09956e-04
1991-06-16, 1.33978e-04
1991-06-17, 6.84328e-05
1991-06-18, 7.86449e-05
1991-06-19, 1.03446e-04
1991-06-20, 1.49775e-04
1991-06-21, 2.76586e-04
1991-06-22, 1.80960e-04
1991-06-23, 1.11862e-04
1991-06-24, 1.16530e-04
1991-06-25, 2.84032e-04
1991-06-26, 3.15110e-04
1991-06-27, 1.58313e-04
1991-06-28, 1.04108e-04
1991-06-29, 7.46716e-05
1991-06-30, 8.57771e-05
1991-07-01, 1.55987e-04
1991-07-02, 1.39865e-04
1991-07-03, 8.77548e-05
1991-07-04, 8.31500e-05
1991-07-05, 1.07832e-04
1991-07-06, 1.31603e-04
1991-07-07, 9.24769e-05
1991-07-08, 1.38427e-04
1991-07-09, 1.22822e-04
1991-07-10, 1.50438e-04
1991-07-11, 1.69636e-04
1991-07-12, 1.87100e-04
1991-07-13, 1.15577e-04
1991-07-14, 1.06644e-04
1991-07-15, 2.20916e-04
1991-07-16, 2.03648e-04
1991-07-17, 1.81120e-04
1991-07-18, 2.50500e-04
1991-07-19, 2.78165e-04
1991-07-20, 2.29454e-04
1991-07-21, 1.59471e-04
1991-07-22, 1.17785e-04
1991-07-23, 8.52443e-05
1991-07-24, 7.50833e-05
1991-07-25, 1.04800e-04
1991-07-26, 2.38096e-04
1991-07-27, 2.80399e-04
1991-07-28, 1.93937e-04
1991-07-29, 1.34293e-04
1991-07-30, 9.93286e-05
1991-07-31, 1.21967e-04
1991-08-01, 1.02109e-04
1991-08-02, 6.54275e-05
1991-08-03, 3.40001e-05
1991-08-04, 3.94712e-05
1991-08-05, 4.75818e-05
1991-08-06, 8.44267e-05
1991-08-07, 8.88262e-05
1991-08-08, 1.09023e-04
1991-08-09, 2.51655e-04
1991-08-10, 1.47069e-04
1991-08-11, 7.84189e-05
1991-08-12, 1.25830e-04
1991-08-13, 1.21334e-04
1991-08-14, 8.54059e-05
1991-08-15, 8.74520e-05
1991-08-16, 6.51128e-05
1991-08-17, 7.45036e-05
1991-08-18, 1.33486e-04
1991-08-19, 2.24131e-04
1991-08-20, 8.56331e-05
1991-08-21, 4.08578e-05
1991-08-22, 5.15594e-05
1991-08-23, 4.28402e-05
1991-08-24, 7.28602e-05
1991-08-25, 2.51240e-04
1991-08-26, 1.79479e-04
1991-08-27, 7.90133e-05
1991-08-28, 6.85279e-05
1991-08-29, 5.23597e-05
1991-08-30, 5.98073e-05
1991-08-31, 4.03181e-05
1991-09-01, 6.18701e-05
1991-09-02, 1.06366e-04
1991-09-03, 1.04256e-04
1991-09-04, 6.92980e-05
1991-09-05, 6.12572e-05
1991-09-06, 1.30875e-04
1991-09-07, 1.66403e-04
1991-09-08, 5.92107e-05
1991-09-09, 5.56101e-05
1991-09-10, 1.27275e-04
1991-09-11, 2.79060e-04
1991-09-12, 1.66680e-04
1991-09-13, 1.59630e-04
1991-09-14, 1.53894e-04
1991-09-15, 8.67600e-05
1991-09-16, 2.38224e-04
1991-09-17, 7.57255e-04
1991-09-18, 3.26147e-04
1991-09-19, 9.83648e-05
1991-09-20, 7.72027e-05
1991-09-21, 9.83297e-05
1991-09-22, 7.75296e-05
1991-09-23, 7.74245e-05
1991-09-24, 6.18188e-05
1991-09-25, 5.27793e-05
1991-09-26, 6.76183e-05
1991-09-27, 5.25324e-05
1991-09-28, 3.21437e-05
1991-09-29, 3.49592e-05
1991-09-30, 2.37996e-05
1991-10-01, 3.25975e-05
1991-10-02, 1.07863e-04
1991-10-03, 1.43377e-04
1991-10-04, 6.63520e-05
1991-10-05, 3.00930e-05
1991-10-06, 2.76101e-05
1991-10-07, 2.88999e-05
1991-10-08, 6.60993e-05
1991-10-09, 1.07187e-04
1991-10-10, 5.27844e-05
1991-10-11, 2.92059e-05
1991-10-12, 2.91138e-05
1991-10-13, 3.17031e-05
1991-10-14, 2.21270e-05
1991-10-15, 2.80383e-05
1991-10-16, 3.29139e-05
1991-10-17, 5.53120e-05
1991-10-18, 6.38467e-05
1991-10-19, 4.85279e-05
1991-10-20, 3.44561e-05
1991-10-21, 2.73831e-05
1991-10-22, 4.45874e-05
1991-10-23, 4.85505e-05
1991-10-24, 3.24920e-05
1991-10-25, 4.06035e-05
1991-10-26, 6.89025e-05
1991-10-27, 5.51846e-05
1991-10-28, 7.86456e-05
1991-10-29, 4.18473e-05
1991-10-30, 2.17358e-05
1991-10-31, 1.19817e-05
1991-11-01, 1.14139e-05
1991-11-02, 1.73259e-05
1991-11-03, 1.19577e-05
1991-11-04, 2.75795e-05
1991-11-05, 6.64737e-05
1991-11-06, 4.26138e-05
1991-11-07, 3.64517e-05
1991-11-08, 4.21622e-05
1991-11-09, 2.32534e-05
1991-11-10, 1.34229e-05
1991-11-11, 6.60720e-06
1991-11-12, 5.27887e-06
1991-11-13, 1.14044e-05
1991-11-14, 1.07455e-05
1991-11-15, 5.28471e-06
1991-11-16, 4.57582e-06
1991-11-17, 6.28043e-06
1991-11-18, 1.64171e-05
1991-11-19, 1.86485e-05
1991-11-20, 6.33493e-06
1991-11-21, 5.03367e-06
1991-11-22, 9.95005e-06
1991-11-23, 9.22936e-06
1991-11-24, 3.38940e-06
1991-11-25, 2.20911e-06
1991-11-26, 1.67304e-06
1991-11-27, 1.38457e-06
1991-11-28, 1.20453e-06
1991-11-29, 1.07116e-06
1991-11-30, 9.62773e-07
1991-12-01, 8.72484e-07
1991-12-02, 7.96429e-07
1991-12-03, 7.31546e-07
1991-12-04, 6.75330e-07
1991-12-05, 6.26110e-07
1991-12-06, 5.82601e-07
1991-12-07, 5.43723e-07
1991-12-08, 5.08778e-07
1991-12-09, 4.77423e-07
1991-12-10, 4.49011e-07
1991-12-11, 4.31061e-07
1991-12-12, 4.16369e-07
1991-12-13, 5.77614e-07
1991-12-14, 6.62033e-07
1991-12-15, 4.06260e-07
1991-12-16, 3.42821e-07
1991-12-17, 3.19101e-07
1991-12-18, 3.01751e-07
1991-12-19, 2.86960e-07
1991-12-20, 2.73780e-07
1991-12-21, 2.61681e-07
1991-12-22, 2.50442e-07
1991-12-23, 2.39971e-07
1991-12-24, 2.30098e-07
