date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.00445, 0.00653, 0.23196, 0.02826, 0.00007, 0.00005, 0.01187, 0.06200, 0.16229, 0.41445, 0.07807
1991-01-02, 0.00438, 0.00603, 0.23659, 0.02606, 0.00006, 0.00006, 0.00866, 0.06293, 0.16339, 0.41315, 0.07869
1991-01-03, 0.00429, 0.00567, 0.23993, 0.02442, 0.00005, 0.00004, 0.00704, 0.06354, 0.16357, 0.41272, 0.07873
1991-01-04, 0.00420, 0.00537, 0.24287, 0.02306, 0.00005, 0.00006, 0.00616, 0.06407, 0.16332, 0.41231, 0.07854
1991-01-05, 0.00411, 0.00509, 0.24511, 0.02339, 0.00005, 0.00006, 0.00625, 0.06436, 0.16269, 0.41079, 0.07810
1991-01-06, 0.00403, 0.00486, 0.24772, 0.02281, 0.00005, 0.00005, 0.00619, 0.06478, 0.16236, 0.40940, 0.07775
1991-01-07, 0.00398, 0.00465, 0.25162, 0.01916, 0.00005, 0.00005, 0.00479, 0.06557, 0.16287, 0.40931, 0.07795
1991-01-08, 0.00395, 0.00482, 0.25459, 0.01757, 0.00004, 0.00005, 0.00459, 0.06604, 0.16265, 0.40790, 0.07780
1991-01-09, 0.00429, 0.00540, 0.25014, 0.02135, 0.00003, 0.00006, 0.01154, 0.06373, 0.15769, 0.40793, 0.07786
1991-01-10, 0.00407, 0.00490, 0.24480, 0.03463, 0.00001, 0.00007, 0.01916, 0.06231, 0.15185, 0.40262, 0.07559
1991-01-11, 0.00395, 0.00476, 0.24647, 0.04312, 0.00001, 0.00003, 0.01881, 0.06291, 0.15041, 0.39547, 0.07406
1991-01-12, 0.00398, 0.00446, 0.24924, 0.04632, 0.00001, 0.00003, 0.01862, 0.06340, 0.15026, 0.38990, 0.07377
1991-01-13, 0.00464, 0.01705, 0.24479, 0.04260, 0.00001, 0.00004, 0.02903, 0.06145, 0.14615, 0.38213, 0.07210
1991-01-14, 0.00457, 0.01809, 0.24788, 0.03868, 0.00002, 0.00006, 0.02968, 0.06175, 0.14684, 0.37984, 0.07258
1991-01-15, 0.00402, 0.00891, 0.25756, 0.03506, 0.00004, 0.00006, 0.02128, 0.06410, 0.15139, 0.38296, 0.07462
1991-01-16, 0.00380, 0.00556, 0.26292, 0.03183, 0.00007, 0.00005, 0.01694, 0.06526, 0.15261, 0.38595, 0.07502
1991-01-17, 0.00370, 0.00450, 0.26687, 0.02888, 0.00009, 0.00003, 0.01478, 0.06601, 0.15296, 0.38729, 0.07489
1991-01-18, 0.00364, 0.00409, 0.27045, 0.02623, 0.00008, 0.00003, 0.01321, 0.06662, 0.15318, 0.38774, 0.07474
1991-01-19, 0.00358, 0.00387, 0.27383, 0.02394, 0.00006, 0.00003, 0.01194, 0.06717, 0.15331, 0.38767, 0.07461
1991-01-20, 0.00353, 0.00371, 0.27709, 0.02197, 0.00003, 0.00003, 0.01087, 0.06767, 0.15335, 0.38725, 0.07449
