date, weight 
1991-01-01, 5.78688e-07
1991-01-02, 3.02361e-07
1991-01-03, 2.12673e-07
1991-01-04, 1.72300e-07
1991-01-05, 1.50915e-07
1991-01-06, 1.37598e-07
1991-01-07, 1.27469e-07
1991-01-08, 1.20383e-07
1991-01-09, 2.62886e-06
1991-01-10, 5.55083e-06
1991-01-11, 2.06109e-06
1991-01-12, 7.19671e-07
1991-01-13, 3.54735e-07
1991-01-14, 2.45281e-07
1991-01-15, 1.78191e-07
1991-01-16, 1.48816e-07
1991-01-17, 1.30937e-07
1991-01-18, 1.18700e-07
1991-01-19, 1.09696e-07
1991-01-20, 1.02709e-07
1991-01-21, 9.71054e-08
1991-01-22, 9.24372e-08
1991-01-23, 8.83050e-08
1991-01-24, 8.47904e-08
1991-01-25, 8.16896e-08
1991-01-26, 7.89234e-08
1991-01-27, 7.64339e-08
1991-01-28, 7.41518e-08
1991-01-29, 7.20719e-08
1991-01-30, 7.01766e-08
1991-01-31, 6.84220e-08
1991-02-01, 8.60052e-08
1991-02-02, 6.29144e-06
1991-02-03, 1.48627e-05
1991-02-04, 9.46237e-06
1991-02-05, 1.47990e-05
1991-02-06, 1.24233e-05
1991-02-07, 2.96514e-06
1991-02-08, 1.35243e-06
1991-02-09, 4.49308e-06
1991-02-10, 6.21020e-06
1991-02-11, 1.66860e-06
1991-02-12, 8.90778e-07
1991-02-13, 5.57829e-07
1991-02-14, 3.99538e-07
1991-02-15, 3.08077e-07
1991-02-16, 2.48758e-07
1991-02-17, 2.07627e-07
1991-02-18, 1.81458e-07
1991-02-19, 1.69083e-07
1991-02-20, 3.23883e-07
1991-02-21, 9.04639e-07
1991-02-22, 5.33706e-07
1991-02-23, 2.31723e-07
1991-02-24, 6.06681e-07
1991-02-25, 7.06673e-07
1991-02-26, 2.80705e-07
1991-02-27, 2.37014e-06
1991-02-28, 1.36195e-05
1991-03-01, 2.61745e-05
1991-03-02, 5.85156e-06
1991-03-03, 1.96915e-05
1991-03-04, 3.80213e-05
1991-03-05, 4.74164e-05
1991-03-06, 8.79260e-05
1991-03-07, 7.76414e-05
1991-03-08, 6.93588e-05
1991-03-09, 4.30108e-05
1991-03-10, 1.93548e-05
1991-03-11, 1.11547e-05
1991-03-12, 6.77053e-06
1991-03-13, 5.48849e-06
1991-03-14, 2.47585e-05
1991-03-15, 4.94911e-05
1991-03-16, 4.14205e-05
1991-03-17, 2.85101e-05
1991-03-18, 1.02155e-05
1991-03-19, 2.23533e-05
1991-03-20, 3.36989e-05
1991-03-21, 3.39879e-05
1991-03-22, 4.48950e-05
1991-03-23, 3.62299e-05
1991-03-24, 7.36750e-05
1991-03-25, 2.22047e-04
1991-03-26, 2.55259e-04
1991-03-27, 2.25145e-04
1991-03-28, 2.71357e-04
1991-03-29, 2.58831e-04
1991-03-30, 1.89275e-04
1991-03-31, 1.89527e-04
1991-04-01, 2.35555e-04
1991-04-02, 3.05880e-04
1991-04-03, 3.34146e-04
1991-04-04, 4.23783e-04
1991-04-05, 5.10587e-04
1991-04-06, 4.20791e-04
1991-04-07, 6.02601e-04
1991-04-08, 6.11948e-04
1991-04-09, 4.20864e-04
1991-04-10, 4.12332e-04
1991-04-11, 6.06774e-04
1991-04-12, 8.30374e-04
1991-04-13, 8.45640e-04
1991-04-14, 0.00101
1991-04-15, 0.00117
1991-04-16, 0.00147
1991-04-17, 0.00145
1991-04-18, 9.85054e-04
1991-04-19, 8.84831e-04
1991-04-20, 0.00118
1991-04-21, 0.00114
1991-04-22, 7.17751e-04
1991-04-23, 4.42585e-04
1991-04-24, 3.57951e-04
1991-04-25, 3.45853e-04
1991-04-26, 4.37504e-04
1991-04-27, 5.96299e-04
1991-04-28, 5.90430e-04
1991-04-29, 6.26440e-04
1991-04-30, 6.54657e-04
1991-05-01, 5.36499e-04
1991-05-02, 3.86215e-04
1991-05-03, 2.96280e-04
1991-05-04, 3.30387e-04
1991-05-05, 4.49438e-04
1991-05-06, 4.92422e-04
