date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.00893, 0.00867, 0.18921, 0.04541, 0.00035, 0.00034, 0.01214, 0.04459, 0.15147, 0.45195, 0.08695
1991-01-02, 0.00762, 0.00739, 0.19321, 0.03944, 0.00029, 0.00030, 0.01019, 0.04565, 0.15252, 0.45597, 0.08741
1991-01-03, 0.00679, 0.00603, 0.19655, 0.03533, 0.00023, 0.00035, 0.00809, 0.04665, 0.15287, 0.45984, 0.08727
1991-01-04, 0.00628, 0.00521, 0.19961, 0.03227, 0.00020, 0.00029, 0.00681, 0.04766, 0.15265, 0.46228, 0.08673
1991-01-05, 0.00645, 0.00653, 0.19722, 0.03911, 0.00019, 0.00025, 0.01301, 0.04653, 0.14822, 0.45743, 0.08506
1991-01-06, 0.00599, 0.00564, 0.19989, 0.04097, 0.00019, 0.00028, 0.01091, 0.04749, 0.14782, 0.45652, 0.08429
1991-01-07, 0.00560, 0.00489, 0.19342, 0.05648, 0.00020, 0.00030, 0.01897, 0.04588, 0.14017, 0.45153, 0.08258
1991-01-08, 0.00552, 0.00466, 0.19589, 0.05865, 0.00020, 0.00023, 0.01876, 0.04676, 0.13972, 0.44772, 0.08189
1991-01-09, 0.00543, 0.00448, 0.19801, 0.06250, 0.00019, 0.00014, 0.02097, 0.04706, 0.13943, 0.43934, 0.08246
1991-01-10, 0.00523, 0.00425, 0.19670, 0.06416, 0.00018, 0.00016, 0.02156, 0.04570, 0.13781, 0.44079, 0.08346
1991-01-11, 0.00642, 0.01173, 0.19574, 0.06477, 0.00017, 0.00012, 0.02770, 0.04610, 0.13464, 0.43269, 0.07992
1991-01-12, 0.00565, 0.01304, 0.19856, 0.06564, 0.00023, 0.00020, 0.02884, 0.04671, 0.13515, 0.42601, 0.07998
1991-01-13, 0.00520, 0.00559, 0.20601, 0.06339, 0.00026, 0.00043, 0.02092, 0.04846, 0.13886, 0.42854, 0.08234
1991-01-14, 0.00489, 0.00465, 0.19151, 0.08686, 0.00025, 0.00048, 0.03229, 0.04413, 0.13053, 0.42362, 0.08080
1991-01-15, 0.00462, 0.00419, 0.19443, 0.08341, 0.00023, 0.00037, 0.03167, 0.04521, 0.13043, 0.42547, 0.07997
1991-01-16, 0.00445, 0.00380, 0.20161, 0.07457, 0.00029, 0.00044, 0.03034, 0.04709, 0.13398, 0.42328, 0.08016
1991-01-17, 0.00424, 0.00358, 0.20848, 0.06423, 0.00044, 0.00057, 0.02609, 0.04861, 0.13682, 0.42597, 0.08095
1991-01-18, 0.00404, 0.00342, 0.20928, 0.06633, 0.00060, 0.00053, 0.02585, 0.04906, 0.13501, 0.42594, 0.07995
1991-01-19, 0.00391, 0.00328, 0.21186, 0.06410, 0.00069, 0.00042, 0.02494, 0.04979, 0.13473, 0.42672, 0.07957
1991-01-20, 0.00384, 0.00314, 0.21925, 0.05292, 0.00068, 0.00029, 0.02067, 0.05143, 0.13807, 0.42939, 0.08033
1991-01-21, 0.00375, 0.00302, 0.22369, 0.04778, 0.00062, 0.00024, 0.01798, 0.05248, 0.13874, 0.43131, 0.08040
