date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.00675, 0.01210, 0.19540, 0.04865, 0.00018, 0.00021, 0.01257, 0.04690, 0.15466, 0.43908, 0.08349
1991-01-02, 0.00596, 0.00904, 0.19998, 0.04362, 0.00015, 0.00021, 0.01032, 0.04804, 0.15597, 0.44254, 0.08417
1991-01-03, 0.00549, 0.00749, 0.20356, 0.03948, 0.00012, 0.00023, 0.00862, 0.04904, 0.15631, 0.44557, 0.08409
1991-01-04, 0.00519, 0.00651, 0.20684, 0.03642, 0.00011, 0.00018, 0.00735, 0.05000, 0.15611, 0.44762, 0.08367
1991-01-05, 0.00513, 0.00661, 0.20358, 0.04398, 0.00010, 0.00015, 0.01595, 0.04851, 0.15093, 0.44311, 0.08195
1991-01-06, 0.00499, 0.00610, 0.20627, 0.04422, 0.00010, 0.00016, 0.01519, 0.04948, 0.15043, 0.44205, 0.08100
1991-01-07, 0.00476, 0.00551, 0.20128, 0.06363, 0.00009, 0.00018, 0.02091, 0.04847, 0.14454, 0.43173, 0.07889
1991-01-08, 0.00465, 0.00517, 0.20470, 0.06091, 0.00008, 0.00018, 0.02116, 0.04937, 0.14506, 0.42958, 0.07914
1991-01-09, 0.00459, 0.00420, 0.21385, 0.04622, 0.00007, 0.00013, 0.01720, 0.05114, 0.14992, 0.43081, 0.08187
1991-01-10, 0.00460, 0.00397, 0.21302, 0.04523, 0.00006, 0.00014, 0.01600, 0.05027, 0.14757, 0.43623, 0.08290
1991-01-11, 0.00568, 0.00986, 0.21328, 0.04532, 0.00007, 0.00009, 0.01999, 0.05095, 0.14474, 0.43038, 0.07964
1991-01-12, 0.00513, 0.01107, 0.21608, 0.04710, 0.00012, 0.00016, 0.02038, 0.05158, 0.14467, 0.42429, 0.07942
1991-01-13, 0.00460, 0.00458, 0.22304, 0.04610, 0.00016, 0.00035, 0.01261, 0.05312, 0.14769, 0.42610, 0.08167
1991-01-14, 0.00438, 0.00386, 0.21810, 0.05080, 0.00015, 0.00032, 0.01911, 0.05087, 0.14571, 0.42474, 0.08197
1991-01-15, 0.00426, 0.00361, 0.22112, 0.04816, 0.00014, 0.00028, 0.01841, 0.05180, 0.14549, 0.42552, 0.08123
1991-01-16, 0.00411, 0.00342, 0.22414, 0.04690, 0.00019, 0.00038, 0.01889, 0.05264, 0.14524, 0.42347, 0.08061
1991-01-17, 0.00394, 0.00326, 0.22758, 0.04388, 0.00031, 0.00047, 0.01810, 0.05340, 0.14544, 0.42304, 0.08058
1991-01-18, 0.00370, 0.00311, 0.22175, 0.05829, 0.00044, 0.00041, 0.02273, 0.05212, 0.13948, 0.41897, 0.07900
1991-01-19, 0.00359, 0.00302, 0.22385, 0.05748, 0.00054, 0.00030, 0.02296, 0.05280, 0.13853, 0.41866, 0.07827
1991-01-20, 0.00357, 0.00292, 0.23279, 0.04541, 0.00055, 0.00021, 0.01896, 0.05479, 0.14246, 0.41947, 0.07888
1991-01-21, 0.00351, 0.00282, 0.23820, 0.03941, 0.00051, 0.00017, 0.01554, 0.05593, 0.14379, 0.42104, 0.07909
1991-01-22, 0.00345, 0.00272, 0.24215, 0.03583, 0.00047, 0.00017, 0.01348, 0.05679, 0.14409, 0.42189, 0.07897
