date, weight 
1991-01-01, 3.10344e-07
1991-01-02, 1.98328e-07
1991-01-03, 1.61698e-07
1991-01-04, 1.43762e-07
1991-01-05, 1.32787e-07
1991-01-06, 1.24907e-07
1991-01-07, 1.18728e-07
1991-01-08, 1.13575e-07
1991-01-09, 2.88856e-07
1991-01-10, 1.04489e-06
1991-01-11, 1.26224e-06
1991-01-12, 3.14046e-07
1991-01-13, 1.71505e-07
1991-01-14, 2.03436e-07
1991-01-15, 2.37295e-07
1991-01-16, 1.22433e-07
1991-01-17, 1.02932e-07
1991-01-18, 9.45342e-08
1991-01-19, 8.92951e-08
1991-01-20, 8.54054e-08
1991-01-21, 8.22430e-08
1991-01-22, 7.95198e-08
1991-01-23, 7.70958e-08
1991-01-24, 7.80771e-08
1991-01-25, 7.77965e-08
1991-01-26, 7.17307e-08
1991-01-27, 6.94497e-08
1991-01-28, 6.76969e-08
1991-01-29, 6.61242e-08
1991-01-30, 6.46514e-08
1991-01-31, 6.32528e-08
1991-02-01, 6.38593e-08
1991-02-02, 1.16373e-06
1991-02-03, 1.78145e-06
1991-02-04, 1.76041e-06
1991-02-05, 3.18618e-06
1991-02-06, 4.49307e-06
1991-02-07, 2.82559e-06
1991-02-08, 3.46656e-06
1991-02-09, 1.12675e-05
1991-02-10, 7.97282e-06
1991-02-11, 2.52365e-06
1991-02-12, 1.29750e-06
1991-02-13, 6.57072e-07
1991-02-14, 4.23545e-07
1991-02-15, 3.06296e-07
1991-02-16, 2.36951e-07
1991-02-17, 4.83925e-07
1991-02-18, 7.26707e-07
1991-02-19, 1.08694e-06
1991-02-20, 3.91680e-06
1991-02-21, 9.46700e-06
1991-02-22, 6.79975e-06
1991-02-23, 1.80778e-06
1991-02-24, 9.19322e-07
1991-02-25, 2.56997e-06
1991-02-26, 4.64609e-06
1991-02-27, 1.20745e-05
1991-02-28, 2.48194e-05
1991-03-01, 4.56432e-06
1991-03-02, 2.73936e-06
1991-03-03, 8.50441e-06
1991-03-04, 2.16591e-05
1991-03-05, 6.06122e-05
1991-03-06, 1.01775e-04
1991-03-07, 8.44660e-05
1991-03-08, 5.85795e-05
1991-03-09, 3.98753e-05
1991-03-10, 1.90852e-05
1991-03-11, 8.47589e-06
1991-03-12, 5.13729e-06
1991-03-13, 3.36084e-06
1991-03-14, 1.98923e-05
1991-03-15, 4.26273e-05
1991-03-16, 2.65827e-05
1991-03-17, 2.99652e-05
1991-03-18, 1.42558e-05
1991-03-19, 1.06706e-05
1991-03-20, 1.30160e-05
1991-03-21, 2.36155e-05
1991-03-22, 4.07338e-05
1991-03-23, 1.24911e-04
1991-03-24, 1.84603e-04
1991-03-25, 1.38337e-04
1991-03-26, 1.92689e-04
1991-03-27, 2.70406e-04
1991-03-28, 3.75088e-04
1991-03-29, 3.62893e-04
1991-03-30, 2.26403e-04
1991-03-31, 1.75826e-04
1991-04-01, 2.14883e-04
1991-04-02, 1.72247e-04
1991-04-03, 2.17953e-04
1991-04-04, 3.39792e-04
1991-04-05, 4.81420e-04
1991-04-06, 5.16869e-04
1991-04-07, 7.49416e-04
1991-04-08, 8.74944e-04
1991-04-09, 6.76767e-04
1991-04-10, 5.20769e-04
1991-04-11, 6.20918e-04
1991-04-12, 9.72985e-04
1991-04-13, 9.96471e-04
1991-04-14, 9.35273e-04
1991-04-15, 0.00116
1991-04-16, 0.00144
1991-04-17, 0.00174
1991-04-18, 0.00135
1991-04-19, 9.38770e-04
1991-04-20, 0.00104
1991-04-21, 9.12912e-04
1991-04-22, 7.84733e-04
1991-04-23, 5.92144e-04
1991-04-24, 3.64237e-04
1991-04-25, 3.03534e-04
1991-04-26, 3.39270e-04
1991-04-27, 5.71273e-04
1991-04-28, 5.97272e-04
1991-04-29, 6.08591e-04
1991-04-30, 9.28856e-04
1991-05-01, 8.79211e-04
1991-05-02, 6.84957e-04
1991-05-03, 6.02308e-04
1991-05-04, 4.34009e-04
1991-05-05, 4.93183e-04
1991-05-06, 6.61489e-04
1991-05-07, 5.24827e-04
1991-05-08, 5.03220e-04
1991-05-09, 4.62889e-04
1991-05-10, 4.02489e-04
1991-05-11, 3.09660e-04
1991-05-12, 2.71236e-04
1991-05-13, 2.20348e-04
1991-05-14, 1.35359e-04
1991-05-15, 1.42921e-04
1991-05-16, 2.22494e-04
1991-05-17, 1.98222e-04
1991-05-18, 1.60492e-04
1991-05-19, 1.29345e-04
1991-05-20, 1.01693e-04
1991-05-21, 8.40418e-05
1991-05-22, 1.26975e-04
1991-05-23, 1.46202e-04
1991-05-24, 7.85707e-05
1991-05-25, 8.80570e-05
1991-05-26, 1.10025e-04
1991-05-27, 5.95099e-05
1991-05-28, 1.08685e-04
1991-05-29, 2.45278e-04
