date, weight 
1991-01-01, 7.77908e-07
1991-01-02, 4.54756e-07
1991-01-03, 3.35833e-07
1991-01-04, 2.74296e-07
1991-01-05, 5.30749e-07
1991-01-06, 6.83901e-07
1991-01-07, 2.58816e-07
1991-01-08, 2.09109e-07
1991-01-09, 4.00671e-07
1991-01-10, 3.05871e-06
1991-01-11, 6.34309e-06
1991-01-12, 3.05428e-06
1991-01-13, 9.39099e-07
1991-01-14, 1.09097e-06
1991-01-15, 1.34805e-06
1991-01-16, 4.23915e-07
1991-01-17, 2.66873e-07
1991-01-18, 2.09032e-07
1991-01-19, 1.78298e-07
1991-01-20, 1.53407e-07
1991-01-21, 1.38794e-07
1991-01-22, 1.28032e-07
1991-01-23, 1.40100e-07
1991-01-24, 2.62552e-07
1991-01-25, 2.25801e-07
1991-01-26, 1.24253e-07
1991-01-27, 1.06176e-07
1991-01-28, 9.79858e-08
1991-01-29, 9.25871e-08
1991-01-30, 8.84211e-08
1991-01-31, 8.61457e-08
1991-02-01, 8.46738e-08
1991-02-02, 7.30568e-07
1991-02-03, 1.08253e-06
1991-02-04, 8.39877e-07
1991-02-05, 5.13151e-06
1991-02-06, 1.43271e-05
1991-02-07, 8.32102e-06
1991-02-08, 8.29889e-06
1991-02-09, 2.53763e-05
1991-02-10, 2.09631e-05
1991-02-11, 6.79488e-06
1991-02-12, 2.96691e-06
1991-02-13, 1.79177e-06
1991-02-14, 1.08878e-06
1991-02-15, 7.62301e-07
1991-02-16, 5.69322e-07
1991-02-17, 4.42452e-07
1991-02-18, 3.85291e-07
1991-02-19, 4.59127e-07
1991-02-20, 6.27769e-07
1991-02-21, 1.14563e-06
1991-02-22, 2.59677e-06
1991-02-23, 2.89786e-06
1991-02-24, 5.66999e-06
1991-02-25, 6.32718e-06
1991-02-26, 5.63179e-05
1991-02-27, 1.17751e-04
1991-02-28, 6.11376e-05
1991-03-01, 2.79469e-05
1991-03-02, 2.94023e-05
1991-03-03, 1.52894e-05
1991-03-04, 1.30759e-05
1991-03-05, 4.60341e-05
1991-03-06, 9.64657e-05
1991-03-07, 1.02330e-04
1991-03-08, 6.73368e-05
1991-03-09, 4.12293e-05
1991-03-10, 3.15351e-05
1991-03-11, 1.75491e-05
1991-03-12, 1.02337e-05
1991-03-13, 8.56822e-06
1991-03-14, 3.57509e-05
1991-03-15, 6.90727e-05
1991-03-16, 5.45766e-05
1991-03-17, 6.55311e-05
1991-03-18, 4.06030e-05
1991-03-19, 4.08836e-05
1991-03-20, 8.21521e-05
1991-03-21, 9.85341e-05
1991-03-22, 1.54872e-04
1991-03-23, 2.02836e-04
1991-03-24, 2.04614e-04
1991-03-25, 2.39784e-04
1991-03-26, 2.92382e-04
1991-03-27, 5.43219e-04
1991-03-28, 6.02607e-04
1991-03-29, 5.29961e-04
1991-03-30, 4.51347e-04
1991-03-31, 4.21557e-04
1991-04-01, 3.78738e-04
1991-04-02, 3.19950e-04
1991-04-03, 5.66514e-04
1991-04-04, 7.37957e-04
1991-04-05, 7.36617e-04
1991-04-06, 7.25899e-04
1991-04-07, 8.98111e-04
1991-04-08, 8.92320e-04
1991-04-09, 6.36961e-04
1991-04-10, 5.99216e-04
1991-04-11, 7.25789e-04
1991-04-12, 8.85960e-04
1991-04-13, 9.42761e-04
1991-04-14, 0.00104
1991-04-15, 0.00107
1991-04-16, 0.00126
1991-04-17, 0.00122
1991-04-18, 9.07518e-04
1991-04-19, 9.24578e-04
1991-04-20, 0.00115
1991-04-21, 8.75644e-04
1991-04-22, 6.02648e-04
1991-04-23, 4.42130e-04
1991-04-24, 3.10554e-04
1991-04-25, 2.95327e-04
1991-04-26, 2.94146e-04
1991-04-27, 2.24435e-04
1991-04-28, 2.00414e-04
1991-04-29, 1.83297e-04
1991-04-30, 2.46484e-04
1991-05-01, 2.95513e-04
1991-05-02, 2.59556e-04
1991-05-03, 2.34349e-04
1991-05-04, 1.59485e-04
1991-05-05, 3.29465e-04
1991-05-06, 4.27823e-04
1991-05-07, 3.20202e-04
1991-05-08, 3.54025e-04
1991-05-09, 2.83845e-04
1991-05-10, 2.11783e-04
1991-05-11, 1.45396e-04
1991-05-12, 2.44335e-04
1991-05-13, 4.32184e-04
1991-05-14, 2.35486e-04
1991-05-15, 8.81175e-05
1991-05-16, 7.23362e-05
1991-05-17, 8.21951e-05
1991-05-18, 1.16734e-04
1991-05-19, 7.97242e-05
1991-05-20, 9.00339e-05
1991-05-21, 1.16074e-04
1991-05-22, 2.11598e-04
1991-05-23, 2.78040e-04
1991-05-24, 1.03949e-04
1991-05-25, 7.93180e-05
