date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.00814, 0.02264, 0.20932, 0.03726, 0.00018, 0.00018, 0.01418, 0.04562, 0.16167, 0.42391, 0.07691
1991-01-02, 0.00744, 0.01911, 0.21382, 0.02972, 0.00016, 0.00019, 0.01508, 0.04651, 0.16278, 0.42762, 0.07758
1991-01-03, 0.00692, 0.01233, 0.21896, 0.02575, 0.00015, 0.00016, 0.00905, 0.04753, 0.16451, 0.43582, 0.07883
1991-01-04, 0.00637, 0.01023, 0.22311, 0.02252, 0.00012, 0.00010, 0.00641, 0.04850, 0.16469, 0.43879, 0.07915
1991-01-05, 0.00581, 0.00895, 0.21991, 0.03080, 0.00011, 0.00008, 0.01509, 0.04715, 0.15990, 0.43436, 0.07784
1991-01-06, 0.00556, 0.00814, 0.22310, 0.03013, 0.00011, 0.00007, 0.01503, 0.04818, 0.15934, 0.43339, 0.07695
1991-01-07, 0.00521, 0.00753, 0.21994, 0.04490, 0.00011, 0.00006, 0.02184, 0.04755, 0.15455, 0.42289, 0.07541
1991-01-08, 0.00503, 0.00707, 0.22334, 0.04419, 0.00011, 0.00006, 0.02171, 0.04845, 0.15442, 0.42023, 0.07540
1991-01-09, 0.00474, 0.00647, 0.22852, 0.04254, 0.00010, 0.00006, 0.02534, 0.04964, 0.15556, 0.41178, 0.07525
1991-01-10, 0.00478, 0.00575, 0.22301, 0.04455, 0.00010, 0.00007, 0.02610, 0.04905, 0.15192, 0.41845, 0.07623
1991-01-11, 0.00494, 0.01066, 0.22567, 0.04334, 0.00010, 0.00005, 0.02938, 0.05009, 0.15123, 0.41022, 0.07432
1991-01-12, 0.00498, 0.01710, 0.22784, 0.03965, 0.00009, 0.00007, 0.03207, 0.05043, 0.15043, 0.40368, 0.07366
1991-01-13, 0.00483, 0.01425, 0.23339, 0.03456, 0.00009, 0.00011, 0.02790, 0.05162, 0.15254, 0.40594, 0.07475
1991-01-14, 0.00431, 0.00681, 0.22558, 0.05700, 0.00009, 0.00011, 0.03489, 0.04803, 0.14671, 0.40222, 0.07425
1991-01-15, 0.00419, 0.00465, 0.22899, 0.05686, 0.00007, 0.00014, 0.03309, 0.04898, 0.14625, 0.40340, 0.07338
1991-01-16, 0.00426, 0.00490, 0.23678, 0.04500, 0.00009, 0.00014, 0.02869, 0.05124, 0.14970, 0.40471, 0.07448
1991-01-17, 0.00422, 0.00473, 0.24223, 0.03871, 0.00013, 0.00012, 0.02477, 0.05245, 0.15107, 0.40618, 0.07539
1991-01-18, 0.00394, 0.00301, 0.24033, 0.05209, 0.00016, 0.00007, 0.02896, 0.05125, 0.14666, 0.39987, 0.07366
1991-01-19, 0.00386, 0.00274, 0.24407, 0.05061, 0.00016, 0.00004, 0.02736, 0.05217, 0.14639, 0.39943, 0.07316
1991-01-20, 0.00383, 0.00295, 0.24973, 0.04577, 0.00013, 0.00003, 0.02493, 0.05374, 0.14783, 0.39772, 0.07334
1991-01-21, 0.00378, 0.00316, 0.25541, 0.03856, 0.00009, 0.00002, 0.02081, 0.05514, 0.14951, 0.39948, 0.07403
1991-01-22, 0.00372, 0.00325, 0.26042, 0.03273, 0.00007, 0.00002, 0.01730, 0.05631, 0.15049, 0.40131, 0.07437
1991-01-23, 0.00366, 0.00325, 0.26481, 0.02857, 0.00007, 0.00002, 0.01479, 0.05732, 0.15092, 0.40222, 0.07437
1991-01-24, 0.00363, 0.00471, 0.26739, 0.02488, 0.00008, 0.00002, 0.01600, 0.05784, 0.15004, 0.40171, 0.07369
1991-01-25, 0.00357, 0.00553, 0.27060, 0.02224, 0.00010, 0.00002, 0.01647, 0.05846, 0.14971, 0.39995, 0.07335
1991-01-26, 0.00348, 0.00351, 0.27563, 0.02077, 0.00013, 0.00002, 0.01173, 0.05952, 0.15091, 0.40045, 0.07386
1991-01-27, 0.00342, 0.00316, 0.27931, 0.01926, 0.00014, 0.00002, 0.00975, 0.06022, 0.15108, 0.39981, 0.07383
1991-01-28, 0.00342, 0.00301, 0.27545, 0.03833, 0.00014, 0.00002, 0.01378, 0.05859, 0.14632, 0.38963, 0.07130
1991-01-29, 0.00340, 0.00295, 0.27890, 0.03776, 0.00014, 0.00002, 0.01314, 0.05933, 0.14588, 0.38772, 0.07075
1991-01-30, 0.00333, 0.00300, 0.26855, 0.05228, 0.00013, 0.00003, 0.02157, 0.05521, 0.14313, 0.38244, 0.07033
1991-01-31, 0.00330, 0.00297, 0.27251, 0.04929, 0.00012, 0.00005, 0.02029, 0.05595, 0.14408, 0.38091, 0.07053
1991-02-01, 0.00322, 0.00286, 0.26000, 0.05734, 0.00010, 0.00006, 0.02915, 0.05206, 0.14168, 0.38323, 0.07030
1991-02-02, 0.00326, 0.00277, 0.26561, 0.05295, 0.00008, 0.00008, 0.02340, 0.05318, 0.14471, 0.38284, 0.07112
