date, weight 
1991-01-01, 7.78154e-07
1991-01-02, 4.00845e-07
1991-01-03, 3.13522e-07
1991-01-04, 2.68344e-07
1991-01-05, 3.03071e-07
1991-01-06, 5.49851e-07
1991-01-07, 5.76162e-07
1991-01-08, 2.87623e-07
1991-01-09, 1.67976e-06
1991-01-10, 5.92474e-06
1991-01-11, 4.27078e-06
1991-01-12, 2.08270e-06
1991-01-13, 7.36279e-07
1991-01-14, 4.47220e-07
1991-01-15, 3.31161e-07
1991-01-16, 2.69841e-07
1991-01-17, 2.33063e-07
1991-01-18, 2.24854e-07
1991-01-19, 2.20707e-07
1991-01-20, 1.77449e-07
1991-01-21, 1.62559e-07
1991-01-22, 1.52124e-07
1991-01-23, 1.87738e-07
1991-01-24, 1.51507e-06
1991-01-25, 2.94097e-06
1991-01-26, 1.23054e-06
1991-01-27, 4.65848e-07
1991-01-28, 2.68797e-07
1991-01-29, 1.97454e-07
1991-01-30, 1.62010e-07
1991-01-31, 1.41273e-07
1991-02-01, 1.27692e-07
1991-02-02, 3.51200e-07
1991-02-03, 4.74429e-07
1991-02-04, 2.22711e-07
1991-02-05, 8.33023e-07
1991-02-06, 3.67741e-06
1991-02-07, 8.29927e-06
1991-02-08, 2.21500e-05
1991-02-09, 3.17161e-05
1991-02-10, 1.52912e-05
1991-02-11, 5.00396e-06
1991-02-12, 2.97230e-06
1991-02-13, 2.39530e-06
1991-02-14, 1.20937e-06
1991-02-15, 7.74879e-07
1991-02-16, 5.90043e-07
1991-02-17, 4.29656e-07
1991-02-18, 3.48950e-07
1991-02-19, 1.63946e-06
1991-02-20, 5.06282e-06
1991-02-21, 3.12532e-06
1991-02-22, 8.30536e-07
1991-02-23, 8.17216e-07
1991-02-24, 6.89939e-06
1991-02-25, 2.22205e-05
1991-02-26, 1.02017e-04
1991-02-27, 1.86757e-04
1991-02-28, 1.06195e-04
1991-03-01, 6.05850e-05
1991-03-02, 3.42153e-05
1991-03-03, 1.70577e-05
1991-03-04, 8.97755e-06
1991-03-05, 8.31743e-06
1991-03-06, 1.93146e-05
1991-03-07, 4.52777e-05
1991-03-08, 7.27849e-05
1991-03-09, 6.56827e-05
1991-03-10, 3.00747e-05
1991-03-11, 1.29842e-05
1991-03-12, 1.63576e-05
1991-03-13, 3.14888e-05
1991-03-14, 8.29760e-05
1991-03-15, 2.06444e-04
1991-03-16, 1.56864e-04
1991-03-17, 1.05391e-04
1991-03-18, 8.80665e-05
1991-03-19, 6.89365e-05
1991-03-20, 9.23135e-05
1991-03-21, 8.94131e-05
1991-03-22, 1.65829e-04
1991-03-23, 2.41111e-04
1991-03-24, 2.59340e-04
1991-03-25, 3.00557e-04
1991-03-26, 2.07500e-04
1991-03-27, 2.94651e-04
1991-03-28, 5.54898e-04
1991-03-29, 7.19316e-04
1991-03-30, 6.34018e-04
1991-03-31, 5.50207e-04
1991-04-01, 5.27403e-04
1991-04-02, 3.74880e-04
1991-04-03, 3.49415e-04
1991-04-04, 4.08858e-04
1991-04-05, 4.06617e-04
1991-04-06, 4.57791e-04
1991-04-07, 6.13972e-04
1991-04-08, 8.81473e-04
1991-04-09, 6.63748e-04
1991-04-10, 4.27312e-04
1991-04-11, 3.33524e-04
1991-04-12, 3.87600e-04
1991-04-13, 4.91556e-04
1991-04-14, 6.26745e-04
1991-04-15, 6.63828e-04
1991-04-16, 5.52915e-04
1991-04-17, 5.76740e-04
1991-04-18, 5.13486e-04
1991-04-19, 4.13827e-04
1991-04-20, 6.31290e-04
1991-04-21, 5.53120e-04
1991-04-22, 2.90103e-04
1991-04-23, 2.43923e-04
1991-04-24, 2.37037e-04
1991-04-25, 2.96294e-04
1991-04-26, 3.91033e-04
1991-04-27, 2.85329e-04
1991-04-28, 2.82884e-04
1991-04-29, 2.45660e-04
1991-04-30, 2.41806e-04
1991-05-01, 2.73886e-04
1991-05-02, 1.97599e-04
1991-05-03, 1.52307e-04
1991-05-04, 1.36388e-04
1991-05-05, 1.88724e-04
1991-05-06, 2.41517e-04
1991-05-07, 3.02567e-04
1991-05-08, 3.54115e-04
1991-05-09, 2.98992e-04
1991-05-10, 2.41245e-04
1991-05-11, 1.79858e-04
1991-05-12, 2.23312e-04
1991-05-13, 2.69146e-04
1991-05-14, 2.37752e-04
1991-05-15, 2.16557e-04
1991-05-16, 1.83129e-04
1991-05-17, 2.49528e-04
1991-05-18, 2.76925e-04
1991-05-19, 2.21072e-04
1991-05-20, 1.81852e-04
1991-05-21, 9.05180e-05
1991-05-22, 1.22971e-04
1991-05-23, 2.05240e-04
1991-05-24, 1.26371e-04
1991-05-25, 8.84998e-05
1991-05-26, 1.53086e-04
1991-05-27, 1.36618e-04
1991-05-28, 7.94705e-05
1991-05-29, 8.15926e-05
1991-05-30, 4.18356e-04
1991-05-31, 4.60674e-04
1991-06-01, 1.30260e-04
1991-06-02, 9.48464e-05
1991-06-03, 5.31532e-05
1991-06-04, 7.71274e-05
1991-06-05, 9.63764e-05
1991-06-06, 7.05408e-05
1991-06-07, 1.64663e-04
1991-06-08, 1.83502e-04
1991-06-09, 2.05526e-04
1991-06-10, 2.53055e-04
1991-06-11, 4.60920e-04
1991-06-12, 4.02126e-04
1991-06-13, 2.87772e-04
1991-06-14, 3.12660e-04
1991-06-15, 2.09581e-04
1991-06-16, 1.17609e-04
1991-06-17, 7.17420e-05
1991-06-18, 8.36909e-05
1991-06-19, 1.14563e-04
1991-06-20, 9.30122e-05
1991-06-21, 1.20637e-04
1991-06-22, 1.10358e-04
1991-06-23, 1.33529e-04
1991-06-24, 1.79291e-04
1991-06-25, 1.46219e-04
1991-06-26, 5.07087e-04
1991-06-27, 5.83963e-04
1991-06-28, 4.16378e-04
1991-06-29, 1.98625e-04
