date, weight 
1991-01-01, 3.54116e-07
1991-01-02, 3.17122e-07
1991-01-03, 2.94833e-07
1991-01-04, 2.78219e-07
1991-01-05, 4.17895e-07
1991-01-06, 5.32958e-07
1991-01-07, 2.91576e-07
1991-01-08, 2.54303e-07
1991-01-09, 3.94632e-07
1991-01-10, 4.60221e-07
1991-01-11, 2.77256e-07
1991-01-12, 2.54690e-07
1991-01-13, 2.08213e-07
1991-01-14, 1.95033e-07
1991-01-15, 1.86587e-07
1991-01-16, 1.79711e-07
1991-01-17, 1.73833e-07
1991-01-18, 1.68282e-07
1991-01-19, 1.62727e-07
1991-01-20, 1.57833e-07
1991-01-21, 1.53231e-07
1991-01-22, 1.48861e-07
1991-01-23, 1.47841e-07
1991-01-24, 1.42871e-06
1991-01-25, 6.54924e-06
1991-01-26, 4.80963e-06
1991-01-27, 1.54351e-06
1991-01-28, 6.49801e-07
1991-01-29, 3.91143e-07
1991-01-30, 2.80961e-07
1991-01-31, 2.24295e-07
1991-02-01, 1.91124e-07
1991-02-02, 6.23720e-07
1991-02-03, 8.56055e-07
1991-02-04, 1.38156e-06
1991-02-05, 2.98469e-06
1991-02-06, 3.30884e-06
1991-02-07, 3.82394e-06
1991-02-08, 2.74614e-05
1991-02-09, 5.66274e-05
1991-02-10, 2.51523e-05
1991-02-11, 7.13446e-06
1991-02-12, 4.16509e-06
1991-02-13, 3.13815e-06
1991-02-14, 1.54231e-06
1991-02-15, 1.02102e-06
1991-02-16, 7.52693e-07
1991-02-17, 6.14751e-07
1991-02-18, 6.15036e-07
1991-02-19, 3.30286e-06
1991-02-20, 8.61996e-06
1991-02-21, 6.85997e-06
1991-02-22, 6.64649e-06
1991-02-23, 4.17055e-06
1991-02-24, 6.73933e-06
1991-02-25, 2.31438e-05
1991-02-26, 2.81413e-05
1991-02-27, 4.30079e-05
1991-02-28, 5.96235e-05
1991-03-01, 3.63186e-05
1991-03-02, 1.86759e-05
1991-03-03, 1.08746e-05
1991-03-04, 9.84487e-06
1991-03-05, 3.03123e-05
1991-03-06, 1.20131e-04
1991-03-07, 2.07532e-04
1991-03-08, 2.10313e-04
1991-03-09, 1.51765e-04
1991-03-10, 7.16775e-05
1991-03-11, 3.16932e-05
1991-03-12, 4.98053e-05
1991-03-13, 6.96948e-05
1991-03-14, 9.01666e-05
1991-03-15, 2.45872e-04
1991-03-16, 1.97087e-04
1991-03-17, 6.27597e-05
1991-03-18, 5.10868e-05
1991-03-19, 4.70982e-05
1991-03-20, 9.71623e-05
1991-03-21, 9.68499e-05
1991-03-22, 1.04452e-04
1991-03-23, 1.74993e-04
1991-03-24, 1.75467e-04
1991-03-25, 2.83907e-04
1991-03-26, 3.32408e-04
1991-03-27, 4.83507e-04
1991-03-28, 5.61356e-04
1991-03-29, 5.83401e-04
1991-03-30, 5.08873e-04
1991-03-31, 3.66609e-04
1991-04-01, 3.52314e-04
1991-04-02, 3.56964e-04
1991-04-03, 4.54050e-04
1991-04-04, 5.01432e-04
1991-04-05, 5.12567e-04
1991-04-06, 6.80058e-04
1991-04-07, 7.11520e-04
1991-04-08, 7.81723e-04
1991-04-09, 6.08466e-04
1991-04-10, 4.73611e-04
