date, weight 
1991-01-01, 2.77838e-07
1991-01-02, 2.66154e-07
1991-01-03, 2.55042e-07
1991-01-04, 2.44953e-07
1991-01-05, 2.66211e-07
1991-01-06, 2.88318e-07
1991-01-07, 2.34822e-07
1991-01-08, 2.21975e-07
1991-01-09, 2.73216e-07
1991-01-10, 2.92961e-07
1991-01-11, 2.15648e-07
1991-01-12, 1.96740e-07
1991-01-13, 1.82440e-07
1991-01-14, 1.75286e-07
1991-01-15, 1.69403e-07
1991-01-16, 1.64159e-07
1991-01-17, 1.59279e-07
1991-01-18, 1.54652e-07
1991-01-19, 1.50264e-07
1991-01-20, 1.46111e-07
1991-01-21, 1.42164e-07
1991-01-22, 1.38392e-07
1991-01-23, 1.34789e-07
1991-01-24, 1.10299e-06
1991-01-25, 5.41712e-06
1991-01-26, 3.70483e-06
1991-01-27, 1.02736e-06
1991-01-28, 4.81127e-07
1991-01-29, 3.05627e-07
1991-01-30, 2.28568e-07
1991-01-31, 1.87697e-07
1991-02-01, 1.63432e-07
1991-02-02, 1.55341e-07
1991-02-03, 1.47689e-07
1991-02-04, 8.35811e-07
1991-02-05, 1.97165e-06
1991-02-06, 1.47583e-06
1991-02-07, 4.40487e-07
1991-02-08, 4.09525e-06
1991-02-09, 1.98366e-05
1991-02-10, 1.34645e-05
1991-02-11, 3.29587e-06
1991-02-12, 1.83274e-06
1991-02-13, 1.32216e-06
1991-02-14, 6.25701e-07
1991-02-15, 4.23164e-07
1991-02-16, 3.23135e-07
1991-02-17, 2.69777e-07
1991-02-18, 2.83961e-07
1991-02-19, 1.23499e-06
1991-02-20, 2.48963e-06
1991-02-21, 1.97815e-06
1991-02-22, 2.72432e-06
1991-02-23, 1.93068e-06
1991-02-24, 3.60042e-06
1991-02-25, 1.69914e-05
1991-02-26, 2.23430e-05
1991-02-27, 3.36914e-05
1991-02-28, 4.67646e-05
1991-03-01, 2.70816e-05
1991-03-02, 1.36952e-05
1991-03-03, 6.08180e-06
1991-03-04, 4.49261e-06
1991-03-05, 1.05271e-05
1991-03-06, 4.49156e-05
1991-03-07, 1.07275e-04
1991-03-08, 1.37461e-04
1991-03-09, 1.14094e-04
1991-03-10, 5.56102e-05
1991-03-11, 2.16416e-05
1991-03-12, 3.60126e-05
1991-03-13, 5.60907e-05
1991-03-14, 7.74610e-05
1991-03-15, 2.04470e-04
1991-03-16, 1.55406e-04
1991-03-17, 5.12350e-05
1991-03-18, 3.78267e-05
1991-03-19, 3.04659e-05
1991-03-20, 7.11868e-05
1991-03-21, 7.80389e-05
1991-03-22, 8.30470e-05
1991-03-23, 1.30600e-04
1991-03-24, 1.37055e-04
1991-03-25, 2.53861e-04
1991-03-26, 3.17996e-04
1991-03-27, 4.43164e-04
1991-03-28, 5.43208e-04
1991-03-29, 6.59370e-04
1991-03-30, 5.49582e-04
1991-03-31, 3.03655e-04
1991-04-01, 2.42227e-04
1991-04-02, 2.19884e-04
1991-04-03, 3.39817e-04
1991-04-04, 4.48610e-04
1991-04-05, 4.86327e-04
1991-04-06, 6.52681e-04
1991-04-07, 7.12316e-04
1991-04-08, 8.41457e-04
1991-04-09, 6.57803e-04
1991-04-10, 5.23041e-04
1991-04-11, 7.40823e-04
1991-04-12, 8.76759e-04
1991-04-13, 7.70000e-04
1991-04-14, 7.37887e-04
1991-04-15, 9.15795e-04
1991-04-16, 0.00128
1991-04-17, 0.00153
1991-04-18, 0.00142
1991-04-19, 0.00104
1991-04-20, 0.00102
1991-04-21, 0.00101
1991-04-22, 9.43920e-04
1991-04-23, 7.18718e-04
1991-04-24, 4.22158e-04
1991-04-25, 3.66499e-04
1991-04-26, 3.77862e-04
1991-04-27, 3.93178e-04
1991-04-28, 3.04988e-04
1991-04-29, 2.55140e-04
1991-04-30, 3.51317e-04
1991-05-01, 4.26614e-04
1991-05-02, 3.35081e-04
1991-05-03, 2.58660e-04
1991-05-04, 1.72461e-04
1991-05-05, 1.42489e-04
1991-05-06, 1.58538e-04
1991-05-07, 2.40509e-04
1991-05-08, 3.57911e-04
1991-05-09, 3.77661e-04
1991-05-10, 3.19343e-04
1991-05-11, 2.52317e-04
1991-05-12, 2.00720e-04
1991-05-13, 1.38302e-04
1991-05-14, 1.21421e-04
1991-05-15, 1.03575e-04
1991-05-16, 2.07895e-04
1991-05-17, 2.74748e-04
1991-05-18, 1.56121e-04
1991-05-19, 1.37018e-04
1991-05-20, 1.25445e-04
1991-05-21, 1.02295e-04
1991-05-22, 1.12589e-04
1991-05-23, 2.27939e-04
1991-05-24, 1.94142e-04
1991-05-25, 8.55992e-05
1991-05-26, 7.53039e-05
1991-05-27, 5.55567e-05
1991-05-28, 6.02438e-05
1991-05-29, 1.67587e-04
1991-05-30, 2.20126e-04
1991-05-31, 1.63889e-04
1991-06-01, 7.85245e-05
1991-06-02, 7.87908e-05
1991-06-03, 4.88982e-05
1991-06-04, 6.74346e-05
1991-06-05, 1.30829e-04
1991-06-06, 1.23754e-04
1991-06-07, 1.89947e-04
1991-06-08, 2.01467e-04
1991-06-09, 8.27284e-05
1991-06-10, 8.84938e-05
1991-06-11, 1.60407e-04
1991-06-12, 1.39215e-04
1991-06-13, 1.05044e-04
1991-06-14, 1.65415e-04
1991-06-15, 2.11276e-04
1991-06-16, 1.16603e-04
1991-06-17, 5.69341e-05
1991-06-18, 7.90042e-05
1991-06-19, 1.38113e-04
1991-06-20, 1.28665e-04
1991-06-21, 1.86274e-04
1991-06-22, 1.52039e-04
1991-06-23, 8.26258e-05
1991-06-24, 1.02385e-04
1991-06-25, 9.40793e-05
1991-06-26, 2.22174e-04
1991-06-27, 2.71068e-04
1991-06-28, 3.50942e-04
1991-06-29, 3.21099e-04
1991-06-30, 1.61529e-04
1991-07-01, 1.53774e-04
1991-07-02, 1.67495e-04
1991-07-03, 2.07387e-04
1991-07-04, 2.15557e-04
1991-07-05, 1.55859e-04
1991-07-06, 1.96648e-04
1991-07-07, 1.93381e-04
1991-07-08, 9.44351e-05
1991-07-09, 1.00224e-04
1991-07-10, 8.02237e-05
1991-07-11, 1.00241e-04
1991-07-12, 1.82279e-04
1991-07-13, 1.86833e-04
1991-07-14, 1.52328e-04
1991-07-15, 1.80189e-04
1991-07-16, 1.55784e-04
1991-07-17, 1.25657e-04
1991-07-18, 9.74345e-05
1991-07-19, 7.30791e-05
1991-07-20, 8.57736e-05
1991-07-21, 9.89014e-05
1991-07-22, 1.00263e-04
1991-07-23, 5.24291e-05
1991-07-24, 5.29410e-05
1991-07-25, 6.73838e-05
1991-07-26, 7.16079e-05
1991-07-27, 7.30516e-05
1991-07-28, 1.14864e-04
1991-07-29, 1.22642e-04
1991-07-30, 8.72897e-05
1991-07-31, 6.51851e-05
1991-08-01, 8.76298e-05
1991-08-02, 1.25174e-04
1991-08-03, 8.35422e-05
1991-08-04, 5.63562e-05
1991-08-05, 1.16198e-04
1991-08-06, 1.45348e-04
1991-08-07, 7.40400e-05
1991-08-08, 4.20915e-05
1991-08-09, 9.20928e-05
1991-08-10, 8.83989e-05
1991-08-11, 4.64351e-05
1991-08-12, 7.01544e-05
1991-08-13, 7.59547e-05
1991-08-14, 1.10336e-04
1991-08-15, 1.98784e-04
1991-08-16, 1.49255e-04
1991-08-17, 1.06878e-04
1991-08-18, 1.18725e-04
1991-08-19, 1.61565e-04
1991-08-20, 1.48944e-04
1991-08-21, 1.19359e-04
1991-08-22, 1.06477e-04
1991-08-23, 1.61484e-04
1991-08-24, 1.70338e-04
1991-08-25, 1.55780e-04
1991-08-26, 1.68759e-04
1991-08-27, 6.55721e-05
1991-08-28, 9.77939e-05
1991-08-29, 1.64298e-04
1991-08-30, 2.05017e-04
1991-08-31, 3.26773e-04
1991-09-01, 2.26665e-04
1991-09-02, 1.68198e-04
1991-09-03, 1.66071e-04
1991-09-04, 8.02936e-05
1991-09-05, 1.30327e-04
1991-09-06, 1.67645e-04
1991-09-07, 1.69830e-04
1991-09-08, 1.19809e-04
1991-09-09, 8.12913e-05
1991-09-10, 7.19366e-05
1991-09-11, 9.75492e-05
1991-09-12, 1.12764e-04
1991-09-13, 9.24459e-05
1991-09-14, 1.07627e-04
1991-09-15, 5.89267e-05
1991-09-16, 3.75222e-05
1991-09-17, 8.81216e-05
1991-09-18, 2.46064e-04
1991-09-19, 1.66439e-04
1991-09-20, 9.02189e-05
1991-09-21, 8.94318e-05
1991-09-22, 7.45839e-05
1991-09-23, 1.01963e-04
1991-09-24, 1.06380e-04
1991-09-25, 8.30047e-05
1991-09-26, 4.58223e-05
1991-09-27, 3.47990e-05
1991-09-28, 5.42419e-05
1991-09-29, 1.46732e-04
1991-09-30, 1.18422e-04
1991-10-01, 5.43784e-05
1991-10-02, 3.93463e-05
1991-10-03, 2.20145e-05
1991-10-04, 1.58317e-05
1991-10-05, 2.04740e-05
1991-10-06, 4.50389e-05
1991-10-07, 8.84373e-05
1991-10-08, 6.87673e-05
1991-10-09, 1.81429e-04
1991-10-10, 2.01128e-04
1991-10-11, 6.01581e-05
1991-10-12, 4.49557e-05
1991-10-13, 1.14173e-04
1991-10-14, 1.19887e-04
1991-10-15, 5.93924e-05
1991-10-16, 3.88098e-05
1991-10-17, 3.62302e-05
1991-10-18, 5.78658e-05
1991-10-19, 7.68038e-05
1991-10-20, 8.73157e-05
1991-10-21, 5.08455e-05
1991-10-22, 3.86674e-05
1991-10-23, 3.76374e-05
1991-10-24, 3.84789e-05
1991-10-25, 3.15949e-05
1991-10-26, 3.54376e-05
1991-10-27, 1.24398e-04
1991-10-28, 1.69791e-04
1991-10-29, 1.36719e-04
1991-10-30, 1.00177e-04
1991-10-31, 4.77168e-05
1991-11-01, 3.63233e-05
1991-11-02, 9.96045e-05
1991-11-03, 1.10881e-04
1991-11-04, 4.44267e-05
1991-11-05, 2.28490e-05
1991-11-06, 1.58059e-05
1991-11-07, 4.61330e-05
1991-11-08, 7.47222e-05
1991-11-09, 5.88906e-05
1991-11-10, 4.72592e-05
1991-11-11, 2.47270e-05
1991-11-12, 1.88144e-05
1991-11-13, 3.41073e-05
1991-11-14, 6.42977e-05
1991-11-15, 2.85015e-05
1991-11-16, 1.30515e-05
1991-11-17, 9.17491e-06
1991-11-18, 8.43660e-06
1991-11-19, 1.93518e-05
1991-11-20, 2.54201e-05
1991-11-21, 1.34524e-05
1991-11-22, 6.84535e-06
1991-11-23, 5.11776e-06
1991-11-24, 8.72607e-06
1991-11-25, 1.19155e-05
1991-11-26, 5.28419e-06
1991-11-27, 3.34496e-06
1991-11-28, 2.55692e-06
1991-11-29, 2.17336e-06
1991-11-30, 1.92816e-06
1991-12-01, 2.21052e-06
1991-12-02, 2.40406e-06
1991-12-03, 2.97081e-06
1991-12-04, 3.64893e-06
1991-12-05, 1.54298e-06
1991-12-06, 1.27957e-06
1991-12-07, 1.12889e-06
1991-12-08, 1.03191e-06
1991-12-09, 9.51323e-07
1991-12-10, 8.83222e-07
1991-12-11, 8.23328e-07
1991-12-12, 7.69143e-07
1991-12-13, 7.41752e-07
1991-12-14, 7.11555e-07
1991-12-15, 6.47883e-07
1991-12-16, 1.62791e-06
1991-12-17, 2.54317e-06
1991-12-18, 1.22728e-06
1991-12-19, 7.02235e-07
1991-12-20, 5.82923e-07
1991-12-21, 5.09510e-07
1991-12-22, 4.68763e-07
1991-12-23, 4.37675e-07
1991-12-24, 4.12791e-07
1991-12-25, 3.91515e-07
1991-12-26, 3.73341e-07
1991-12-27, 3.54469e-07
1991-12-28, 3.45689e-07
1991-12-29, 3.37499e-07
1991-12-30, 3.09098e-07
1991-12-31, 2.94292e-07
