date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.00482, 0.00744, 0.20636, 0.00578, 0.00001, 0.00018, 0.00184, 0.05751, 0.15777, 0.46638, 0.09190
1991-01-02, 0.00476, 0.00727, 0.20893, 0.00547, 0.00001, 0.00014, 0.00177, 0.05818, 0.15764, 0.46429, 0.09154
1991-01-03, 0.00469, 0.00694, 0.21151, 0.00520, 0.00001, 0.00009, 0.00157, 0.05887, 0.15744, 0.46246, 0.09122
1991-01-04, 0.00463, 0.00680, 0.21415, 0.00495, 0.00001, 0.00007, 0.00153, 0.05950, 0.15730, 0.46020, 0.09087
1991-01-05, 0.00460, 0.00863, 0.21573, 0.00475, 0.00001, 0.00008, 0.00280, 0.05989, 0.15645, 0.45693, 0.09014
1991-01-06, 0.00455, 0.00882, 0.21749, 0.00572, 0.00001, 0.00010, 0.00343, 0.06028, 0.15584, 0.45426, 0.08950
1991-01-07, 0.00445, 0.00641, 0.22099, 0.00661, 0.00000, 0.00011, 0.00239, 0.06104, 0.15637, 0.45220, 0.08943
1991-01-08, 0.00440, 0.00682, 0.22409, 0.00474, 0.00000, 0.00008, 0.00191, 0.06175, 0.15644, 0.45052, 0.08925
1991-01-09, 0.00447, 0.00937, 0.22178, 0.01193, 0.00000, 0.00007, 0.00700, 0.06088, 0.15325, 0.44409, 0.08718
1991-01-10, 0.00474, 0.01613, 0.21907, 0.01406, 0.00000, 0.00008, 0.01482, 0.06011, 0.14972, 0.43677, 0.08449
1991-01-11, 0.00460, 0.01592, 0.22554, 0.00602, 0.00000, 0.00003, 0.01190, 0.06193, 0.15181, 0.43676, 0.08550
1991-01-12, 0.00426, 0.00852, 0.23294, 0.00451, 0.00000, 0.00000, 0.00458, 0.06356, 0.15480, 0.43960, 0.08723
1991-01-13, 0.00416, 0.00631, 0.23684, 0.00389, 0.00000, 0.00000, 0.00220, 0.06433, 0.15530, 0.43956, 0.08742
1991-01-14, 0.00409, 0.00565, 0.23974, 0.00355, 0.00000, 0.00000, 0.00156, 0.06489, 0.15516, 0.43819, 0.08717
1991-01-15, 0.00403, 0.00537, 0.24241, 0.00333, 0.00000, 0.00000, 0.00132, 0.06538, 0.15486, 0.43647, 0.08683
1991-01-16, 0.00399, 0.00518, 0.24501, 0.00316, 0.00000, 0.00000, 0.00120, 0.06584, 0.15452, 0.43464, 0.08647
