date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.00657, 0.02336, 0.18273, 0.03270, 0.00004, 0.00032, 0.01756, 0.05163, 0.15735, 0.44161, 0.08614
1991-01-02, 0.00629, 0.02047, 0.18658, 0.03094, 0.00004, 0.00025, 0.01493, 0.05277, 0.15863, 0.44229, 0.08681
1991-01-03, 0.00592, 0.01813, 0.19026, 0.02700, 0.00003, 0.00011, 0.01261, 0.05384, 0.15954, 0.44543, 0.08713
1991-01-04, 0.00566, 0.01624, 0.19371, 0.02377, 0.00003, 0.00006, 0.01074, 0.05487, 0.16001, 0.44779, 0.08711
1991-01-05, 0.00544, 0.01474, 0.18993, 0.04061, 0.00002, 0.00008, 0.01562, 0.05287, 0.15660, 0.43983, 0.08426
1991-01-06, 0.00518, 0.01358, 0.18570, 0.04915, 0.00002, 0.00012, 0.02540, 0.05123, 0.15177, 0.43562, 0.08223
1991-01-07, 0.00512, 0.01261, 0.19149, 0.04232, 0.00001, 0.00008, 0.02367, 0.05363, 0.15330, 0.43525, 0.08253
1991-01-08, 0.00486, 0.01163, 0.19045, 0.05124, 0.00001, 0.00005, 0.03141, 0.05282, 0.15034, 0.42567, 0.08152
1991-01-09, 0.00515, 0.01122, 0.19420, 0.05220, 0.00001, 0.00003, 0.03212, 0.05406, 0.15031, 0.41900, 0.08169
1991-01-10, 0.00508, 0.01039, 0.19253, 0.05948, 0.00000, 0.00003, 0.03591, 0.05382, 0.14670, 0.41521, 0.08085
1991-01-11, 0.00596, 0.01273, 0.19645, 0.05858, 0.00000, 0.00004, 0.02857, 0.05541, 0.14725, 0.41451, 0.08050
1991-01-12, 0.00580, 0.02023, 0.19579, 0.05768, 0.00001, 0.00006, 0.03217, 0.05547, 0.14360, 0.41020, 0.07901
1991-01-13, 0.00550, 0.01937, 0.20058, 0.05374, 0.00001, 0.00011, 0.02968, 0.05666, 0.14536, 0.40923, 0.07977
1991-01-14, 0.00525, 0.01189, 0.20786, 0.05175, 0.00001, 0.00011, 0.02094, 0.05832, 0.15009, 0.41232, 0.08146
1991-01-15, 0.00472, 0.00902, 0.21236, 0.04742, 0.00001, 0.00008, 0.01731, 0.05940, 0.15182, 0.41592, 0.08193
1991-01-16, 0.00454, 0.00806, 0.21753, 0.04017, 0.00002, 0.00015, 0.01381, 0.06072, 0.15331, 0.41947, 0.08222
1991-01-17, 0.00442, 0.00749, 0.22088, 0.03656, 0.00002, 0.00016, 0.01206, 0.06151, 0.15360, 0.42128, 0.08203
1991-01-18, 0.00426, 0.01356, 0.21383, 0.04844, 0.00002, 0.00011, 0.02449, 0.05883, 0.14592, 0.41186, 0.07867
1991-01-19, 0.00424, 0.01535, 0.21490, 0.04790, 0.00002, 0.00008, 0.02801, 0.05901, 0.14437, 0.40878, 0.07733
1991-01-20, 0.00420, 0.00977, 0.22632, 0.03509, 0.00002, 0.00006, 0.01707, 0.06227, 0.15160, 0.41348, 0.08012
1991-01-21, 0.00409, 0.00745, 0.23160, 0.02978, 0.00001, 0.00006, 0.01181, 0.06357, 0.15346, 0.41731, 0.08086
1991-01-22, 0.00403, 0.00646, 0.23535, 0.02675, 0.00001, 0.00004, 0.00944, 0.06440, 0.15403, 0.41842, 0.08106
1991-01-23, 0.00438, 0.01913, 0.22864, 0.02393, 0.00001, 0.00003, 0.02324, 0.06263, 0.14591, 0.41371, 0.07840
1991-01-24, 0.00483, 0.02298, 0.23076, 0.02244, 0.00001, 0.00002, 0.01982, 0.06272, 0.14563, 0.41194, 0.07885
1991-01-25, 0.00497, 0.02408, 0.23421, 0.02169, 0.00002, 0.00001, 0.01542, 0.06351, 0.14592, 0.41141, 0.07876
1991-01-26, 0.00505, 0.02375, 0.23784, 0.02243, 0.00002, 0.00001, 0.01174, 0.06437, 0.14634, 0.40987, 0.07858
1991-01-27, 0.00481, 0.02237, 0.24068, 0.02262, 0.00003, 0.00001, 0.01290, 0.06478, 0.14660, 0.40655, 0.07865
1991-01-28, 0.00477, 0.02096, 0.24407, 0.02067, 0.00003, 0.00003, 0.01251, 0.06535, 0.14709, 0.40563, 0.07889
1991-01-29, 0.00459, 0.01968, 0.24721, 0.01944, 0.00003, 0.00005, 0.01175, 0.06591, 0.14738, 0.40511, 0.07885
1991-01-30, 0.00441, 0.01859, 0.25020, 0.01846, 0.00002, 0.00002, 0.01094, 0.06645, 0.14748, 0.40472, 0.07870
1991-01-31, 0.00429, 0.01756, 0.25307, 0.01760, 0.00002, 0.00001, 0.01021, 0.06697, 0.14750, 0.40426, 0.07850
1991-02-01, 0.00419, 0.01655, 0.25594, 0.01680, 0.00002, 0.00002, 0.00957, 0.06749, 0.14768, 0.40344, 0.07831
1991-02-02, 0.00420, 0.01737, 0.24024, 0.02560, 0.00001, 0.00003, 0.02314, 0.06243, 0.14282, 0.40610, 0.07805
1991-02-03, 0.00418, 0.01741, 0.24161, 0.02680, 0.00001, 0.00003, 0.02508, 0.06292, 0.14201, 0.40335, 0.07660
1991-02-04, 0.00428, 0.01409, 0.23040, 0.04144, 0.00001, 0.00003, 0.03003, 0.05755, 0.14353, 0.40125, 0.07740
1991-02-05, 0.00425, 0.01333, 0.23304, 0.03756, 0.00001, 0.00004, 0.02797, 0.05741, 0.14605, 0.40184, 0.07851
1991-02-06, 0.00411, 0.01278, 0.23707, 0.03703, 0.00000, 0.00005, 0.02596, 0.05803, 0.14720, 0.39889, 0.07888
1991-02-07, 0.00398, 0.01227, 0.24122, 0.03545, 0.00000, 0.00007, 0.02378, 0.05868, 0.14844, 0.39693, 0.07918
1991-02-08, 0.00417, 0.01179, 0.24538, 0.03130, 0.00000, 0.00007, 0.02158, 0.05931, 0.14883, 0.39802, 0.07955
1991-02-09, 0.00505, 0.01660, 0.24475, 0.02904, 0.00001, 0.00006, 0.02592, 0.05897, 0.14638, 0.39505, 0.07818
1991-02-10, 0.00608, 0.02618, 0.23882, 0.03042, 0.00002, 0.00006, 0.03888, 0.05719, 0.14058, 0.38738, 0.07439
1991-02-11, 0.00657, 0.03484, 0.22982, 0.02913, 0.00005, 0.00016, 0.05230, 0.05444, 0.13583, 0.38384, 0.07300
1991-02-12, 0.00659, 0.04081, 0.22600, 0.03067, 0.00007, 0.00028, 0.05542, 0.05313, 0.13315, 0.38117, 0.07271
1991-02-13, 0.00575, 0.02895, 0.23993, 0.03275, 0.00013, 0.00021, 0.04087, 0.05596, 0.13864, 0.38206, 0.07476
1991-02-14, 0.00490, 0.01728, 0.25127, 0.03683, 0.00024, 0.00020, 0.03033, 0.05802, 0.14325, 0.38160, 0.07609
1991-02-15, 0.00427, 0.01509, 0.24667, 0.04715, 0.00035, 0.00038, 0.03709, 0.05541, 0.13838, 0.37949, 0.07573
1991-02-16, 0.00403, 0.01382, 0.25089, 0.04499, 0.00038, 0.00047, 0.03537, 0.05626, 0.13891, 0.37933, 0.07555
1991-02-17, 0.00411, 0.01337, 0.25609, 0.04106, 0.00033, 0.00041, 0.03471, 0.05747, 0.14045, 0.37665, 0.07535
1991-02-18, 0.00392, 0.01240, 0.25286, 0.05131, 0.00025, 0.00031, 0.03505, 0.05567, 0.13893, 0.37515, 0.07416
1991-02-19, 0.00385, 0.01164, 0.25800, 0.04504, 0.00019, 0.00025, 0.03145, 0.05651, 0.14121, 0.37654, 0.07532
1991-02-20, 0.00422, 0.01103, 0.24271, 0.06642, 0.00018, 0.00022, 0.03910, 0.05228, 0.13475, 0.37515, 0.07396
1991-02-21, 0.00444, 0.01043, 0.24436, 0.07117, 0.00022, 0.00020, 0.03858, 0.05300, 0.13356, 0.37168, 0.07235
1991-02-22, 0.00469, 0.01001, 0.25383, 0.06222, 0.00029, 0.00021, 0.03514, 0.05487, 0.13703, 0.36854, 0.07317
1991-02-23, 0.00443, 0.01028, 0.24627, 0.06525, 0.00037, 0.00026, 0.04218, 0.05285, 0.13361, 0.37043, 0.07407
1991-02-24, 0.00612, 0.02576, 0.23487, 0.06468, 0.00043, 0.00016, 0.05201, 0.05062, 0.12775, 0.36695, 0.07066
1991-02-25, 0.00645, 0.02451, 0.23912, 0.06129, 0.00047, 0.00011, 0.05008, 0.05129, 0.12926, 0.36614, 0.07129
1991-02-26, 0.00600, 0.02106, 0.24971, 0.04824, 0.00048, 0.00011, 0.04262, 0.05254, 0.13565, 0.36801, 0.07558
1991-02-27, 0.00605, 0.02182, 0.24912, 0.04127, 0.00048, 0.00012, 0.05355, 0.05256, 0.13276, 0.36820, 0.07407
1991-02-28, 0.00570, 0.01869, 0.24744, 0.05764, 0.00047, 0.00015, 0.03643, 0.05164, 0.13185, 0.37444, 0.07553
1991-03-01, 0.00802, 0.01905, 0.22838, 0.09097, 0.00049, 0.00048, 0.04638, 0.04568, 0.12393, 0.36570, 0.07092
1991-03-02, 0.00985, 0.02107, 0.22934, 0.10168, 0.00048, 0.00042, 0.05043, 0.04636, 0.12273, 0.34888, 0.06877
1991-03-03, 0.00920, 0.02067, 0.21889, 0.11458, 0.00053, 0.00045, 0.05509, 0.04303, 0.12285, 0.34419, 0.07052
1991-03-04, 0.00624, 0.01636, 0.22364, 0.10919, 0.00061, 0.00062, 0.04928, 0.04355, 0.12895, 0.34794, 0.07361
1991-03-05, 0.00947, 0.01532, 0.21969, 0.10689, 0.00054, 0.00068, 0.05376, 0.04274, 0.12623, 0.35217, 0.07250
1991-03-06, 0.00968, 0.02775, 0.20528, 0.11071, 0.00042, 0.00077, 0.07044, 0.03790, 0.11848, 0.34925, 0.06931
