date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.00431, 0.00915, 0.23277, 0.00712, 0.00000, 0.00002, 0.00150, 0.06525, 0.15531, 0.44041, 0.08416
1991-01-02, 0.00426, 0.00892, 0.23547, 0.00692, 0.00000, 0.00002, 0.00145, 0.06574, 0.15507, 0.43831, 0.08384
1991-01-03, 0.00421, 0.00869, 0.23818, 0.00674, 0.00000, 0.00001, 0.00140, 0.06621, 0.15484, 0.43623, 0.08350
1991-01-04, 0.00416, 0.00846, 0.24088, 0.00656, 0.00000, 0.00001, 0.00136, 0.06667, 0.15459, 0.43417, 0.08316
1991-01-05, 0.00411, 0.00826, 0.24355, 0.00639, 0.00000, 0.00001, 0.00132, 0.06711, 0.15432, 0.43208, 0.08285
1991-01-06, 0.00406, 0.00807, 0.24621, 0.00623, 0.00000, 0.00001, 0.00129, 0.06754, 0.15404, 0.43002, 0.08254
1991-01-07, 0.00401, 0.00788, 0.24888, 0.00605, 0.00000, 0.00001, 0.00125, 0.06794, 0.15377, 0.42796, 0.08222
1991-01-08, 0.00475, 0.00814, 0.24629, 0.00587, 0.00000, 0.00001, 0.01300, 0.06731, 0.14963, 0.42449, 0.08052
1991-01-09, 0.00438, 0.00814, 0.24541, 0.01400, 0.00000, 0.00001, 0.00714, 0.06606, 0.14826, 0.42496, 0.08166
1991-01-10, 0.00440, 0.00804, 0.24744, 0.01536, 0.00000, 0.00001, 0.00791, 0.06659, 0.14727, 0.42254, 0.08045
1991-01-11, 0.00434, 0.00788, 0.24949, 0.01769, 0.00000, 0.00002, 0.00954, 0.06676, 0.14685, 0.41730, 0.08012
1991-01-12, 0.00428, 0.00762, 0.25285, 0.01650, 0.00000, 0.00008, 0.00927, 0.06719, 0.14733, 0.41443, 0.08046
1991-01-13, 0.00420, 0.00736, 0.25591, 0.01549, 0.00000, 0.00021, 0.00880, 0.06762, 0.14749, 0.41247, 0.08046
1991-01-14, 0.00417, 0.00716, 0.25873, 0.01459, 0.00000, 0.00013, 0.00834, 0.06804, 0.14742, 0.41118, 0.08023
1991-01-15, 0.00414, 0.00700, 0.26145, 0.01381, 0.00002, 0.00005, 0.00785, 0.06844, 0.14725, 0.41012, 0.07989
1991-01-16, 0.00409, 0.00685, 0.26413, 0.01312, 0.00004, 0.00002, 0.00732, 0.06883, 0.14702, 0.40907, 0.07950
1991-01-17, 0.00403, 0.00671, 0.26683, 0.01249, 0.00006, 0.00001, 0.00679, 0.06920, 0.14679, 0.40796, 0.07913
1991-01-18, 0.00397, 0.00657, 0.26953, 0.01190, 0.00005, 0.00001, 0.00629, 0.06957, 0.14656, 0.40678, 0.07877
1991-01-19, 0.00390, 0.00644, 0.27222, 0.01135, 0.00004, 0.00000, 0.00582, 0.06992, 0.14632, 0.40557, 0.07843
1991-01-20, 0.00383, 0.00631, 0.27490, 0.01083, 0.00002, 0.00000, 0.00539, 0.07027, 0.14608, 0.40428, 0.07810
1991-01-21, 0.00376, 0.00618, 0.27758, 0.01036, 0.00001, 0.00000, 0.00500, 0.07060, 0.14584, 0.40290, 0.07777
1991-01-22, 0.00369, 0.00605, 0.28025, 0.00993, 0.00001, 0.00000, 0.00465, 0.07092, 0.14562, 0.40142, 0.07747
1991-01-23, 0.00362, 0.00593, 0.28290, 0.00952, 0.00001, 0.00000, 0.00434, 0.07123, 0.14541, 0.39986, 0.07718
1991-01-24, 0.00356, 0.00580, 0.28554, 0.00914, 0.00003, 0.00000, 0.00406, 0.07152, 0.14518, 0.39827, 0.07691
1991-01-25, 0.00350, 0.00568, 0.28816, 0.00878, 0.00004, 0.00000, 0.00380, 0.07180, 0.14495, 0.39664, 0.07664
1991-01-26, 0.00344, 0.00557, 0.29077, 0.00844, 0.00004, 0.00000, 0.00356, 0.07206, 0.14473, 0.39500, 0.07638
1991-01-27, 0.00339, 0.00545, 0.29334, 0.00811, 0.00005, 0.00000, 0.00335, 0.07232, 0.14451, 0.39334, 0.07614
1991-01-28, 0.00334, 0.00534, 0.29590, 0.00781, 0.00005, 0.00000, 0.00316, 0.07256, 0.14428, 0.39168, 0.07589
1991-01-29, 0.00329, 0.00523, 0.29843, 0.00751, 0.00004, 0.00000, 0.00298, 0.07279, 0.14406, 0.39002, 0.07566
1991-01-30, 0.00325, 0.00513, 0.30093, 0.00723, 0.00004, 0.00000, 0.00282, 0.07301, 0.14383, 0.38835, 0.07543
1991-01-31, 0.00320, 0.00502, 0.30341, 0.00696, 0.00003, 0.00000, 0.00267, 0.07322, 0.14360, 0.38667, 0.07521
1991-02-01, 0.00316, 0.00492, 0.30586, 0.00670, 0.00002, 0.00000, 0.00253, 0.07342, 0.14340, 0.38497, 0.07499
1991-02-02, 0.00313, 0.00482, 0.30829, 0.00646, 0.00002, 0.00000, 0.00240, 0.07362, 0.14320, 0.38328, 0.07479
1991-02-03, 0.00309, 0.00473, 0.31070, 0.00622, 0.00001, 0.00000, 0.00228, 0.07380, 0.14304, 0.38154, 0.07458
1991-02-04, 0.00299, 0.00460, 0.29958, 0.01484, 0.00001, 0.00000, 0.01146, 0.06949, 0.14053, 0.38217, 0.07434
1991-02-05, 0.00297, 0.00452, 0.30185, 0.01544, 0.00001, 0.00000, 0.01207, 0.06983, 0.13993, 0.37983, 0.07354
1991-02-06, 0.00298, 0.00444, 0.30437, 0.01673, 0.00000, 0.00000, 0.01368, 0.07013, 0.13965, 0.37481, 0.07319
1991-02-07, 0.00297, 0.00436, 0.30762, 0.01623, 0.00000, 0.00001, 0.01310, 0.07046, 0.14001, 0.37176, 0.07348
1991-02-08, 0.00318, 0.00506, 0.28977, 0.03023, 0.00000, 0.00000, 0.01993, 0.06263, 0.13926, 0.37607, 0.07386
1991-02-09, 0.00326, 0.00529, 0.29305, 0.02939, 0.00000, 0.00001, 0.01897, 0.06320, 0.13912, 0.37438, 0.07333
1991-02-10, 0.00360, 0.00604, 0.29842, 0.02702, 0.00000, 0.00001, 0.01770, 0.06453, 0.13959, 0.36998, 0.07309
1991-02-11, 0.00367, 0.00593, 0.30499, 0.02328, 0.00001, 0.00000, 0.01554, 0.06623, 0.14000, 0.36718, 0.07318
1991-02-12, 0.00352, 0.00551, 0.31152, 0.01978, 0.00001, 0.00001, 0.01326, 0.06797, 0.14005, 0.36530, 0.07307
1991-02-13, 0.00331, 0.00509, 0.31746, 0.01670, 0.00001, 0.00000, 0.01117, 0.06953, 0.13998, 0.36395, 0.07281
1991-02-14, 0.00313, 0.00472, 0.32256, 0.01412, 0.00000, 0.00000, 0.00939, 0.07075, 0.13986, 0.36292, 0.07254
1991-02-15, 0.00300, 0.00443, 0.32681, 0.01209, 0.00000, 0.00000, 0.00796, 0.07165, 0.13974, 0.36199, 0.07232
1991-02-16, 0.00291, 0.00421, 0.33043, 0.01055, 0.00000, 0.00000, 0.00685, 0.07231, 0.13960, 0.36103, 0.07211
1991-02-17, 0.00285, 0.00424, 0.33357, 0.00937, 0.00000, 0.00000, 0.00615, 0.07280, 0.13944, 0.35968, 0.07189
1991-02-18, 0.00284, 0.01026, 0.33230, 0.00842, 0.00000, 0.00000, 0.00926, 0.07211, 0.13729, 0.35685, 0.07066
1991-02-19, 0.00267, 0.00574, 0.32699, 0.02370, 0.00000, 0.00000, 0.01265, 0.06985, 0.13418, 0.35433, 0.06990
1991-02-20, 0.00272, 0.00465, 0.33056, 0.01705, 0.00000, 0.00000, 0.01377, 0.06996, 0.13474, 0.35580, 0.07075
1991-02-21, 0.00280, 0.00460, 0.33220, 0.02064, 0.00000, 0.00000, 0.01353, 0.07026, 0.13385, 0.35244, 0.06969
1991-02-22, 0.00278, 0.00436, 0.33438, 0.02643, 0.00000, 0.00000, 0.01100, 0.07053, 0.13351, 0.34777, 0.06923
1991-02-23, 0.00274, 0.00441, 0.33706, 0.02610, 0.00000, 0.00000, 0.01112, 0.07090, 0.13338, 0.34536, 0.06893
1991-02-24, 0.00269, 0.00432, 0.33951, 0.02555, 0.00000, 0.00001, 0.01057, 0.07115, 0.13363, 0.34365, 0.06892
1991-02-25, 0.00262, 0.00401, 0.34194, 0.02390, 0.00000, 0.00002, 0.00992, 0.07126, 0.13425, 0.34266, 0.06940
1991-02-26, 0.00401, 0.01536, 0.33089, 0.02304, 0.00000, 0.00003, 0.02604, 0.06874, 0.12869, 0.33686, 0.06634
1991-02-27, 0.00273, 0.00666, 0.33049, 0.03549, 0.00001, 0.00004, 0.02155, 0.06800, 0.12878, 0.33902, 0.06724
1991-02-28, 0.00246, 0.00424, 0.33324, 0.03904, 0.00002, 0.00003, 0.01934, 0.06833, 0.12923, 0.33681, 0.06725
1991-03-01, 0.00253, 0.00396, 0.34105, 0.03182, 0.00004, 0.00003, 0.01599, 0.06969, 0.13340, 0.33356, 0.06792
1991-03-02, 0.00251, 0.00374, 0.34536, 0.02829, 0.00004, 0.00006, 0.01319, 0.07033, 0.13389, 0.33428, 0.06831
1991-03-03, 0.00248, 0.00360, 0.34901, 0.02550, 0.00003, 0.00007, 0.01116, 0.07088, 0.13425, 0.33457, 0.06846
1991-03-04, 0.00221, 0.00341, 0.32290, 0.05504, 0.00002, 0.00007, 0.02519, 0.06427, 0.12577, 0.33449, 0.06663
1991-03-05, 0.00234, 0.00361, 0.32571, 0.04834, 0.00000, 0.00005, 0.02446, 0.06456, 0.12642, 0.33741, 0.06711
1991-03-06, 0.00242, 0.00642, 0.32991, 0.04666, 0.00000, 0.00003, 0.02453, 0.06566, 0.12604, 0.33261, 0.06572
1991-03-07, 0.00243, 0.01034, 0.33420, 0.04108, 0.00000, 0.00002, 0.02210, 0.06636, 0.12741, 0.33004, 0.06601
1991-03-08, 0.00278, 0.00598, 0.32984, 0.04771, 0.00001, 0.00002, 0.02852, 0.06528, 0.12628, 0.32762, 0.06594
1991-03-09, 0.00268, 0.00572, 0.33459, 0.05010, 0.00003, 0.00002, 0.02275, 0.06623, 0.12646, 0.32560, 0.06582
1991-03-10, 0.00330, 0.02326, 0.32042, 0.05087, 0.00005, 0.00007, 0.03713, 0.06433, 0.11969, 0.31868, 0.06221
1991-03-11, 0.00335, 0.02170, 0.32324, 0.05571, 0.00006, 0.00017, 0.03568, 0.06488, 0.11982, 0.31359, 0.06179
1991-03-12, 0.00449, 0.03445, 0.30414, 0.05481, 0.00008, 0.00013, 0.04872, 0.05671, 0.12041, 0.31431, 0.06174
1991-03-13, 0.00429, 0.03194, 0.29680, 0.05988, 0.00015, 0.00008, 0.05547, 0.05450, 0.11732, 0.31905, 0.06052
1991-03-14, 0.00510, 0.04131, 0.27218, 0.06966, 0.00024, 0.00008, 0.06620, 0.04840, 0.11213, 0.32406, 0.06064
1991-03-15, 0.00494, 0.03388, 0.28534, 0.07084, 0.00029, 0.00010, 0.05837, 0.05303, 0.11244, 0.32080, 0.05996
1991-03-16, 0.00436, 0.02241, 0.30160, 0.07150, 0.00026, 0.00012, 0.04871, 0.05660, 0.11770, 0.31432, 0.06240
1991-03-17, 0.00421, 0.01475, 0.31164, 0.06934, 0.00018, 0.00014, 0.04323, 0.05856, 0.12017, 0.31387, 0.06391
1991-03-18, 0.00465, 0.01197, 0.31686, 0.06445, 0.00010, 0.00013, 0.04088, 0.05944, 0.12195, 0.31457, 0.06500
1991-03-19, 0.00496, 0.01312, 0.31910, 0.06192, 0.00005, 0.00011, 0.04037, 0.05998, 0.12198, 0.31366, 0.06474
1991-03-20, 0.00538, 0.01622, 0.30156, 0.08952, 0.00005, 0.00010, 0.04941, 0.05752, 0.11428, 0.30527, 0.06069
1991-03-21, 0.00410, 0.01030, 0.30670, 0.09167, 0.00010, 0.00013, 0.04250, 0.05816, 0.11516, 0.30929, 0.06189
1991-03-22, 0.00388, 0.00728, 0.31364, 0.09115, 0.00006, 0.00015, 0.04189, 0.05942, 0.11641, 0.30388, 0.06224
1991-03-23, 0.00362, 0.01676, 0.30513, 0.09187, 0.00013, 0.00016, 0.05255, 0.05827, 0.11131, 0.30033, 0.05987
1991-03-24, 0.00422, 0.03630, 0.27656, 0.09476, 0.00022, 0.00025, 0.06741, 0.04986, 0.10716, 0.30374, 0.05953
1991-03-25, 0.00461, 0.03763, 0.23261, 0.12544, 0.00029, 0.00034, 0.08413, 0.03610, 0.10268, 0.31577, 0.06041
1991-03-26, 0.00521, 0.02435, 0.25175, 0.11232, 0.00030, 0.00034, 0.07936, 0.04042, 0.10975, 0.31111, 0.06509
1991-03-27, 0.00625, 0.02095, 0.23687, 0.13536, 0.00027, 0.00035, 0.09069, 0.03927, 0.10236, 0.30434, 0.06328
1991-03-28, 0.00813, 0.02329, 0.22982, 0.13751, 0.00026, 0.00053, 0.09336, 0.03907, 0.10019, 0.30467, 0.06315
1991-03-29, 0.00926, 0.03578, 0.20353, 0.13488, 0.00026, 0.00086, 0.12324, 0.03351, 0.09416, 0.30246, 0.06207
1991-03-30, 0.00737, 0.03602, 0.18792, 0.15324, 0.00033, 0.00105, 0.11895, 0.02817, 0.09284, 0.30822, 0.06591
1991-03-31, 0.01233, 0.04034, 0.17474, 0.16298, 0.00044, 0.00097, 0.14084, 0.02726, 0.08603, 0.29302, 0.06104
1991-04-01, 0.01441, 0.03600, 0.15579, 0.19366, 0.00044, 0.00087, 0.14655, 0.02437, 0.08627, 0.28027, 0.06137
1991-04-02, 0.01535, 0.03272, 0.15271, 0.19695, 0.00063, 0.00105, 0.14756, 0.02439, 0.08695, 0.27921, 0.06247
1991-04-03, 0.01584, 0.02960, 0.15660, 0.21262, 0.00093, 0.00110, 0.13622, 0.02608, 0.08741, 0.27401, 0.05959
1991-04-04, 0.01796, 0.02746, 0.14106, 0.22520, 0.00086, 0.00091, 0.13686, 0.01782, 0.09194, 0.27737, 0.06255
1991-04-05, 0.01515, 0.02555, 0.15028, 0.21566, 0.00088, 0.00088, 0.12746, 0.01955, 0.09562, 0.28467, 0.06431
1991-04-06, 0.01514, 0.02824, 0.14495, 0.21330, 0.00101, 0.00093, 0.13069, 0.01818, 0.08964, 0.29389, 0.06401
1991-04-07, 0.01671, 0.03764, 0.14075, 0.21009, 0.00063, 0.00113, 0.13377, 0.01694, 0.08740, 0.29190, 0.06305
1991-04-08, 0.01786, 0.04148, 0.14681, 0.19491, 0.00062, 0.00158, 0.13082, 0.01798, 0.09180, 0.29113, 0.06502
1991-04-09, 0.01870, 0.03450, 0.14524, 0.20182, 0.00092, 0.00179, 0.12585, 0.01840, 0.09227, 0.29234, 0.06818
1991-04-10, 0.02328, 0.03435, 0.12891, 0.22110, 0.00097, 0.00153, 0.13571, 0.01560, 0.08424, 0.28831, 0.06600
1991-04-11, 0.02610, 0.03015, 0.13614, 0.22127, 0.00118, 0.00160, 0.12777, 0.01651, 0.09022, 0.28079, 0.06828
1991-04-12, 0.02873, 0.02401, 0.12528, 0.23029, 0.00135, 0.00147, 0.13724, 0.01451, 0.08488, 0.28480, 0.06744
1991-04-13, 0.03078, 0.01403, 0.09726, 0.25367, 0.00133, 0.00130, 0.15138, 0.00854, 0.07649, 0.29770, 0.06753
1991-04-14, 0.03206, 0.01551, 0.09930, 0.25498, 0.00171, 0.00192, 0.14477, 0.00896, 0.07895, 0.29380, 0.06806
1991-04-15, 0.03448, 0.01489, 0.09742, 0.28912, 0.00202, 0.00247, 0.14269, 0.00941, 0.07871, 0.26418, 0.06461
1991-04-16, 0.03772, 0.01469, 0.08021, 0.29630, 0.00189, 0.00224, 0.14707, 0.00286, 0.08035, 0.26901, 0.06766
1991-04-17, 0.03734, 0.01431, 0.08704, 0.26991, 0.00195, 0.00206, 0.13498, 0.00287, 0.09116, 0.28342, 0.07496
1991-04-18, 0.03872, 0.03665, 0.06836, 0.27138, 0.00198, 0.00241, 0.15673, 0.00046, 0.08396, 0.27064, 0.06870
